69,2021-11-10,【行情】港股核电板块走低，中广核新能源跌超8%，中广核矿业跌超6%，东方电气、哈尔滨电气跌近5%，中广核电力跌超3%,金十数据
70,2021-11-10,今年核电累计发电量占比近5%,中国能源网
71,2021-11-09,中国广核：公司目前管理的6台在建机组，装机容量约709万千瓦,每日经济新闻
72,2021-11-09,中国广核：核燃料成本占销售电力业务营业成本的比重约为30%左右,每日经济新闻
73,2021-11-08,中国广核(003816.SZ)2021年度第四期超短期融资券将于11月15日兑付,智通财经
74,2021-11-08,中广核电力：2021年度第四期超短期融资券到期兑付的公告,Wind
75,2021-11-05,【异动股】中广核电力(01816.HK)跌4.46%,财华社
76,2021-11-04,【异动股】中广核电力(01816.HK)涨3.24%,财华社
77,2021-11-03,北向资金连续5日净买入，隆基股份遭大幅抛售超16亿元,Wind
78,2021-11-03,中国广核：中银国际、花旗银行等5家机构于10月28日调研我司,证券之星
79,2021-11-02,社保大举加仓！证金汇金频频减持，三季度这么“炒股”,Wind
80,2021-11-01,电气设备行业周报：光伏产业链价格涨势趋缓,新浪
81,2021-11-01,港股基金分歧加大，仓位首尾相差超30%,Wind
82,2021-10-30,机构三季度持股趋分散，大资金偏爱钢铁和有色,Wind
83,2021-10-29,贝莱德增持中广核电力(01816)309.5万股，每股作价约2.25港元,智通财经
84,2021-10-28,【权益变动】中广核电力(01816.HK)获贝莱德增持309.5万股,财华社
85,2021-10-28,BlackRock Inc.增持中广核电力股份约309.50万股,每日经济新闻
86,2021-10-28,【异动股】中广核电力(01816.HK)跌4.07%,财华社
87,2021-10-27,中国广核公布三季报 前三季净利增加6.43%,新浪
88,2021-10-27,【港股通】中广核电力(01816)前三季度净利润87.11亿元 同比增长6.43%,和讯
89,2021-10-27,中广核电力(01816.HK)第三季度净利32.12亿元 同比增长7.82%,格隆汇
90,2021-10-27,图解中国广核三季报：第三季度单季净利润同比增7.82%,证券之星
91,2021-10-27,中国广核：2021年第三季度净利润约32.12亿元，同比增长7.82%,每日经济新闻
92,2021-10-27,中国广核：前三季度净利润同比增长6.43%,Wind
93,2021-10-27,中广核电力(01816.HK)：王红军获委任为非执行董事,格隆汇
94,2021-10-27,中广核电力：王红军获委任为本公司的非执行董事,Wind
95,2021-10-27,BlackRock Inc.减持中广核电力股份约1473.86万股,每日经济新闻
96,2021-10-27,中国广核电力1816｜首9月纯利增6.4% | 头条金融网,头条日报
97,2021-10-26,公用周报：广东等多省份颁布电价市场改革通知 21Q1-Q3风电光伏分别新增装机16.4、25.7GW,新浪
98,2021-10-26,中国广核：目前公司市场交易电量主要以中长期交易为主,每日经济新闻
99,2021-10-25,花旗：均予龙源与中广核买入评级，目标价为19港元及2.2港元,Wind
100,2021-10-25,花旗：看好龙源电力(00916)及中广核电力(01816) 成本稳定及受惠市场化电价,智通财经
101,2021-10-25,大行评级 | 花旗：龙源电力、中广核电力运营成本相对稳定，予买入评级,格隆汇
102,2021-10-25,公用事业行业：火电需求维持强势 风光装机高速增长幅收窄,新浪
103,2021-10-20,中广核电力：建议股东优先选择网络投票或委託投票方式参加临时股东大会,Wind
104,2021-10-20,中国广核：核电上网电价分为两部分，一部分是计划电量上网电价，另一部分是市场电量上网电价,每日经济新闻
105,2021-10-19,公用事业及环保行业报告：发改委上调煤电市场化交易电价上浮空间,新浪
106,2021-10-19,核电的机会来了,搜狐
107,2021-10-18,【异动股】中广核电力(01816.HK)跌3.11%,财华社
108,2021-10-18,公用环保行业周报：江苏山东首次交易电价顶格上浮 2022年电价谈判结果保持乐观,新浪
109,2021-10-17,公用周报：深化煤电电价市场化改革政策落地 前9月全社会用电量累计同比+12.9%,新浪
110,2021-10-15,公用事业三季度业绩前瞻：煤电利润触底 新能源业绩高增,新浪
111,2021-10-15,中国广核回应“台山核电站机组折旧等情况”相关问题,每日经济新闻
112,2021-10-15,中国广核：从目前情况来看，市场电价总体较计划电价有一定的折让,每日经济新闻
113,2021-10-15,中国广核：公司上半年上网电量952.27亿千万时包含了联营企业红沿河核电,每日经济新闻
114,2021-10-15,中国广核：目前公司暂未实施回购，如后续回购港股，将予以注销,每日经济新闻
115,2021-10-13,公用事业行业：电价改革持续推进 市场电比例大幅提高,新浪
116,2021-10-12,公用事业行业周报：正价差时代开启 电价趋势性上行,新浪
117,2021-10-12,中广核电力：将于10月27日举行董事会会议,Wind
118,2021-10-12,中广核电力(01816.HK)“18广核电力MTN004”将于10月19日兑付,格隆汇
119,2021-10-12,Wind风控日报2021年10月12日星期二,Wind
120,2021-10-12,上市公司正负面新闻2021年10月12日星期二,Wind
121,2021-10-12,中国广核股东恒健投资拟减持不超过5.05亿股 拟减持股份,中国经济网
122,2021-10-11,中国广核：股东恒健投资拟减持不超过1%股份 拟减持股份,Wind
123,2021-10-11,中广核电力(01816.HK)：1-9月核电机组总发电量升6.83%至1586.43亿千瓦时,格隆汇
124,2021-10-11,中国广核：恒健投资拟减持不超1%公司股份 拟减持股份,财联社
125,2021-10-11,中广核电力：前9个月核电机组总发电量约1586.43亿千瓦时,Wind
126,2021-10-11,【异动股】中广核电力(01816.HK)跌3.96%,财华社
127,2021-10-11,【行情】港股电力股多数下跌，中国电力(02380.HK)跌超7%，中广核电力(01816.HK)跌4.41%，华润电力(00836.HK)跌3.2%，顺泰控股(01335.HK)跌近2%,金十数据
128,2021-10-11,中广核电力：公司上半年市场化电量占比约37.90%,Wind
129,2021-10-11,国泰君安：电价上涨趋势明确，电力板块价值重估,Wind
130,2021-10-11,每日理财观察：投资者踊跃申请开通北交所交易权限,Wind
131,2021-10-10,国君策略：节后首日市场止跌回温，金秋十月成色十足,Wind
132,2021-10-09,中国广核：核电上网电价分为两部分，一部分是计划电量上网电价，另一部分是市场电量上网电价,每日经济新闻
133,2021-10-09,中国广核：公司上半年市场电价低于计划电价,每日经济新闻
134,2021-10-08,电气设备行业周报：关注新能源及电网建设高景气环节,新浪
135,2021-10-08,中国广核：快堆仍未有投产的项目，公司未参与相关研发,每日经济新闻
136,2021-10-08,中国广核：公司目前没有参与风、光等新能源,每日经济新闻
137,2021-10-08,公用环保行业周报：限电潮后深化改革信号渐强 改变电力行业底层投资逻辑,新浪
138,2021-10-08,【异动股】中广核电力(01816.HK)跌7.23%,财华社
139,2021-10-08,公用事业及环保行业报告：湖南市场化电价首次实现煤电联动,新浪
140,2021-10-07,中国广核：台山1号机组的相关检修工作仍在进行,财联社
141,2021-10-07,中国广核(003816.SZ)：目前台山2号机组保持满功率运行,智通财经
142,2021-10-07,预见2022：《2022年中国核电行业全景图谱》(附市场现状、竞争格局、发展前景等),前瞻研究院
143,2021-10-06,【异动股】中广核电力(01816.HK)涨4.12%,财华社
144,2021-10-06,汇丰：将中国广核H股评级上调至买进,Wind
145,2021-10-04,国君策略十月金股组合：不惧扰动 进击金秋,新浪
146,2021-10-04,【异动股】中广核电力(01816.HK)涨5.49%,财华社
147,2021-10-03,港股10月投资策略及十大金股,智通财经
148,2021-09-30,中国广核：目前绿色电力交易是以风电、光伏等为标的物，核电暂不在此范围,每日经济新闻
149,2021-09-30,电力行业：电力紧张延续 新能源发电重塑供给格局,新浪
150,2021-09-30,中广核电力(01816.HK)：台山核电站1、2号机组保持安全稳定运行,格隆汇
151,2021-09-30,【异动股】中广核电力(01816.HK)涨3.51%,财华社
152,2021-09-30,核电满负荷运行，未来争取每年开工6-8台机组,Wind
153,2021-09-30,独家|核电满负荷运行，未来争取每年开工6-8台机组,第一财经
154,2021-09-29,北向资金结束连续3日净买入，宝钢股份净卖出额创新高,Wind
155,2021-09-29,【异动股】中广核电力(01816.HK)跌3.73%,财华社
156,2021-09-29,碳排放权期货上线在即？碳市场将补充关键一环,搜狐
157,2021-09-29,上证指数跌超1%，电力、稀土板块继续下滑,Wind
158,2021-09-28,中国广核：红沿河5号机组已于今年7月31日投入商业运营，目前机组运行状态良好，公司将努力确保机组安全稳定运行，争取多发满发，为社会提供更多清洁稳定的低碳能源,每日经济新闻
159,2021-09-28,中国广核：公司管理的在运机组除了检修或换料大修外，其他机组均处于满载状态,每日经济新闻
160,2021-09-28,中国广核：公司暂未有参与钍基熔盐堆的相关技术研究,每日经济新闻
161,2021-09-28,中国广核：山东招远项目目前处于前期准备阶段,每日经济新闻
162,2021-09-28,中国广核：公司管理的在运核电机组，目前有一台机组在停机检修、一台机组在换料大修，其余机组都处于满载运行状态。根据公司换料大修计划，下半年公司有5个换料大修，目前已经完成1个,每日经济新闻
163,2021-09-28,中国广核：台山1号机组仍在停机检修中,每日经济新闻
164,2021-09-28,中国广核：公司目前没有与中国核电合并计划,每日经济新闻
165,2021-09-28,【异动股】中广核电力(01816.HK)涨3%,财华社
166,2021-09-27,大行评级 | 花旗：看好从事清洁能源业务的龙源电力、中广核电力及长江电力,格隆汇
167,2021-09-27,花旗：看好龙源电力(00916)、中广核电力(01816)等,智通财经
168,2021-09-27,电力行业事件点评：能耗双控形势严峻 新能源运营商有望受益于能源结构转型,新浪
169,2021-09-27,【异动股】中广核电力(01816.HK)涨4.5%,财华社
170,2021-09-26,公用事业行业周报：能耗双控下 加大新能源电力消纳为必由之路,新浪
171,2021-09-26,公用事业周报：多省份大面积限电停产 两部委强化电厂7天安全存煤底线 经营问题,新浪
172,2021-09-26,电力指数五周劲升26%，绿电掀起飓风、机构喊话价值重估,Wind
173,2021-09-24,【异动股】中广核电力(01816.HK)跌3.49%,财华社
174,2021-09-23,中广核电力：公司暂未有参与钍基熔盐堆的相关技术研究,Wind
175,2021-09-23,中国广核：公司未有参与钍基熔盐堆和高温气冷堆相关技术研究,每日经济新闻
176,2021-09-23,【异动股】中广核电力(01816.HK)涨10.29%,财华社
177,2021-09-22,公用事业及环保行业报告：全国绿色电力交易试点启动,新浪
178,2021-09-22,中国广核：暂未有计划开展风电业务方面的投资,每日经济新闻
179,2021-09-22,中国广核：公司下属企业已经与铀业公司签订了核燃料长期供应合同,每日经济新闻
180,2021-09-22,中广核电力：预计红沿河6号机组和防城港3、4号机组将于2022年开始陆续投产,Wind
181,2021-09-22,中国广核：前公司管理25台在运核电机组,每日经济新闻
182,2021-09-22,核电板块异动拉升，台海核电封涨停，中国核电、中国核建、东方电气、中国广核等,新浪
183,2021-09-21,中国广核：大亚湾核电站安全运营10000天 累计供电超3800亿度,e公司
184,2021-09-21,公用事业周报：8月全社会总电量累计同比+13.8% 发改委印发《完善能源消费强度和总量双控制度方案》,新浪
185,2021-09-21,BlackRock Inc.增持中广核电力股份约210.04万股,每日经济新闻
186,2021-09-20,贝莱德增持中广核电力(01816)210.04万股，每股作价约2.13港元,智通财经
187,2021-09-20,【权益变动】中广核电力(01816.HK)获贝莱德增持210.0418万股,财华社
188,2021-09-17,新一批“电改”在路上，新能源发电全面爆发,Wind
189,2021-09-17,煤炭板块重挫逾7%！白酒飙升3%，医药重新崛起,Wind
190,2021-09-16,中广核电力：公司多品种债务融资工具（TDFI）获准注册,Wind
191,2021-09-16,中国广核：公司多品种债务融资工具(TDFI)获准注册,财联社
192,2021-09-16,中国广核(003816.SZ)：公司多品种债务融资工具(TDFI)获准注册,格隆汇
193,2021-09-16,中广核电力1816｜大亚湾核电站安全运营一万天 | 头条金融网,头条日报
194,2021-09-16,【异动股】中广核电力(01816.HK)跌5.16%,财华社
195,2021-09-15,中国短期融资券及中期票据信用分析周报,新浪
196,2021-09-15,中国广核(003816.SZ)完成发行12亿元2021年度第五期超短期融资券,智通财经
197,2021-09-14,中国广核：公司没有投资铀矿,每日经济新闻
198,2021-09-14,中国广核：公司下属企业已经与控股股东中广核集团旗下的中广核铀业发展有限公司签订了核燃料长期供应合同,每日经济新闻
199,2021-09-14,【异动股】中广核电力(01816.HK)跌3.14%,财华社
200,2021-09-13,【异动股】中广核电力(01816.HK)涨3.77%,财华社
201,2021-09-13,公用事业行业：两部委推动绿电交易试点 《抽水蓄能中长期发展规划(2021-2035年)》印发实施,新浪
202,2021-09-12,中国广核：目前绿色电力交易是以风电、光伏等为标的物，核电暂不在此范围,每日经济新闻
203,2021-09-09,中广核电力(01816.HK)拟委任王红军为非执行董事,格隆汇
204,2021-09-09,中国广核(003816.SZ)：李明亮辞任非执行董事等职务 董监高成员变化,智通财经
205,2021-09-09,中广核电力：将于10月27日举行2021年第一次临时股东大会,Wind
206,2021-09-09,【异动股】中广核电力(01816.HK)涨3.5%,金融界
207,2021-09-08,公用事业行业周报：持续推荐有成长性的新能源及火电转型标的,新浪
208,2021-09-08,【行情】电力板块午后持续走强，黔源电力涨超9%，华能水电、华银电力、永泰能源、中国广核等跟涨,金十数据
209,2021-09-08,【异动股】中广核电力(01816.HK)涨3.63%,财华社
210,2021-09-07,电价只降不涨惯性打破，板块价值将重估,金融界
211,2021-09-06,电力设备与新能源行业报告：优质动力电池商加大出口,新浪
212,2021-09-04,环保公用行业2021年中报总结：21Q2板块基金持仓环比-0.17PCT 新能源发电板块领涨,新浪
213,2021-09-02,2021年中国核电行业市场竞争格局——中国广核：2025年装机总容量将突破4000万千瓦,前瞻研究院
214,2021-09-02,中国广核：公司目前未有参与海外项目投资,Wind
215,2021-09-01,中国广核：台山1号机组目前正按计划开展停机检修工作,Wind
216,2021-09-01,中国广核：扣除对关联企业投资收益后公司归母净利润增长较少主因上半年开展大修较多,Wind
217,2021-08-31,蒙能集团与中国广核新能源控股有限公司洽谈合作,北极星电力
218,2021-08-30,中国广核：中银国际、花旗银行等4家机构于8月27日调研我司,证券之星
219,2021-08-30,中国广核：公司在储能方面暂未有布局,每日经济新闻
220,2021-08-30,公用环保行业周报：发改委完善电解铝阶梯电价政策利好新能源发电,新浪
221,2021-08-29,东兴证券维持中国广核推荐评级：运营水平卓越估值水平稳定,每日经济新闻
