,2021-12-31,金地集团(600383)：险资减持压力大量释放 减持股份,广发证券
894,2021-07-21,金地集团成立深圳金地数字科技公司，注册资本为5000万元,乐居财经
895,2021-07-21,金地集团通过产业投资打造高科技产业生态圈,证券日报网
896,2021-07-21,A股7月21日地产股午盘：金地集团跌3.29%,乐居财经
897,2021-07-21,金地集团成立数字科技公司，经营范围含物联网技术研发等,企查查
898,2021-07-21,金地集团(600383)：中期业绩料受结转结构影响下滑 全年料稳增 盈利能力下降,新浪
899,2021-07-20,房地产行业市场交易周报：行业资金紧张 板块继续下跌 估值继续下行,新浪
900,2021-07-20,金地集团寻找第二增长曲线 产业项目布局17城总数达36个,e公司
901,2021-07-20,金地集团：徐倩辞任监事会监事职务 董燕生获提名 董监高成员变化,中国网
902,2021-07-20,金地集团：监事徐倩辞职 董监高成员变化,Wind
903,2021-07-20,金地集团(600383.SH)监事徐倩辞职 董监高成员变化,智通财经
904,2021-07-20,房地产行业周报：行业销售动能减弱 龙头房企业绩增长趋缓,新浪
905,2021-07-19,房地产行业周报：销售回落趋势明显 共有产权房迎政策利好,新浪
906,2021-07-19,房地产行业周报：6月行业数据再放缓 多地整治二手房市场,新浪
907,2021-07-19,房地产行业周报：投资回落 销售放缓 资金趋紧 竣工大增,新浪
908,2021-07-18,【兴证地产】新房二手房周报：本周新房销售同比上升环比下降，二手房销售同比下降环比上升,YCMProperty
909,2021-07-18,房地产行业月报：投资销售剪刀差扩大 季度竣工效应突显,新浪
910,2021-07-17,6月统计局数据点评：新开工和土地购置偏弱 竣工超预期单月同增67%,新浪
911,2021-07-16,【招商房地产】真实销售高位回落，新开工转正， 竣工大幅回升—房地产行业最新观点及1-6月数据深度解读,降噪房地产
912,2021-07-15,金地集团(600383)公司点评：上半年完成销售目标58% 金额口径拿地强度33%,新浪
913,2021-07-15,1-6月统计局房地产数据点评：销售投资延续回落态势 竣工边际改善显着,新浪
914,2021-07-14,金地集团向招商银行申请260亿元融资额度，期限不超两年,乐居财经
915,2021-07-14,金地集团(600383.SH)拟向招商银行申请260亿元综合融资额度,智通财经
916,2021-07-14,万科A、保利地产、金地集团集体下滑，均创两年半新低,Wind
917,2021-07-14,房地产行业周报：控二手房价严禁炒作学区房 增一手房量加大居住用地供应,新浪
918,2021-07-12,房地产开发行业周报：央行宣布全面降准0.5PCT；西安建立二手住房成交参考价格机制,新浪
919,2021-07-12,【兴证地产】新房二手房周报：本周新房销售同比上升环比下降，二手房销售同环比均下降,YCMProperty
920,2021-07-12,房地产行业周报：深圳规范住房公积金缴存提取 上海实施二手房源价格核验,新浪
921,2021-07-12,房地产行业周报：央行全面降准 多地加强二手房价监管,新浪
922,2021-07-09,天风证券维持金地集团买入评级，6月经营公告点评：全年销售目标完成过半，拿地力度保持积极,每日经济新闻
923,2021-07-09,天风证券：金地集团(600383.SH)全年销售目标完成过半，拿地力度保持积极，维持“买入”评级,智通财经
924,2021-07-09,A股快报 | 金科股份今跌3.79% 金地集团涨1.31%报10.07元/股,观点地产网
925,2021-07-09,46股获券商买入评级，精达股份目标涨幅达83.01%,Wind
926,2021-07-08,75股获买入评级 最新:保利地产,中财网
927,2021-07-08,金地集团半年签约额完成6成年度目标 深耕绿色建筑全年总可售货值4600亿,长江商报
928,2021-07-07,房地产行业市场交易周报：板块估值继续下行 看好龙头买入机会,新浪
929,2021-07-07,金地集团发布6月销售情况 上半年累计签约1628亿元,资本邦
930,2021-07-07,金地集团(600383)6月销售点评：销售保持增长 拿地力度加大,新浪
931,2021-07-07,金地集团上半年累计签约1628亿元，同比上升60.22%,资本邦
932,2021-07-07,南京楼市上半年新房成交创4年新高 核心区房源“抢手”首付提高至八成,证券日报网
933,2021-07-07,金地集团近期新增14个项目，上半年完成年度销售目标的58.15%,资本邦
934,2021-07-07,房地产行业集中供地跟踪报告：第一次集中供地总体供不应求 城市分化依旧,新浪
935,2021-07-07,业绩快报 | 时代中国半年销售454亿 合生创展销售212亿,新浪
936,2021-07-06,半年销售1628亿与利润下滑 金地规模狂奔背后的ROE失衡 盈利能力下降,观点地产网
937,2021-07-06,"「绿色地产」总土储权益占比有待提高,金地集团转型深耕绿色建筑",搜狐
938,2021-07-06,金地集团上半年销售1628亿 完成全年目标58.15%,北京商报
939,2021-07-06,金地集团前6个月销售1628亿元，全年目标为2800亿元,澎湃新闻
940,2021-07-06,房地产土地周报：土地市场降温 楼市因城施策,新浪
941,2021-07-06,金地集团拟对29.69亿元债券付息，每10派0.485,乐居财经
942,2021-07-06,金地集团上半年签约额1628亿元 近期新增14个项目,贝壳财经
943,2021-07-06,金地集团上半年累计签约金额1628亿 同比增60.22%,观点地产网
944,2021-07-06,金地集团：2021年6月签约金额340.3亿元,每日经济新闻
945,2021-07-06,金地集团2021年上半年销售金额 1628.3 亿元，同比上升 60.22%,乐居财经
946,2021-07-06,金地集团(600383.SH)：1-6月实现签约额1628.3亿元同比上升60.22%,格隆汇
947,2021-07-05,2021年第27周地产行业周报：销售小幅增长 试点房企商票纳入监管范围,新浪
948,2021-07-05,房地产行业周报：主流房企销售增速回落 物管公司密集赴港上市 盈利能力下降,新浪
949,2021-07-05,房地产开发行业周报：公募REITS新增保障性租赁住房行业 武汉完成首批集中供地,新浪
950,2021-07-04,"房地产行业21年6月百强房企销售数据解读：6月百强房企销售增速放缓 或与近期信贷额度紧张导致放款周期拉长形成“断层”有关
盈利能力下降",新浪
951,2021-07-03,基金经理“开怼”地产分析师？景顺长城韩文强重仓地产股业绩垫底,第一财经
952,2021-07-03,【兴证地产】本周新房二手房销售同比下降，环比提升,YCMProperty
953,2021-07-02,6月百强房企销售点评：6月增速继续放缓 近半房企销售完成度过半 盈利能力下降,新浪
954,2021-07-02,嘉兴稳投收购银川金地3%股权，金地集团仍为大股东,乐居财经
955,2021-07-02,房地产行业月报：6月销售增速显着回落 企业分化明显,新浪
956,2021-07-02,6月百强房企销售点评：6月单月同比增速改善 多数龙头房企增长明显,新浪
957,2021-07-01,中药板块再添政策性利好，六氟磷酸锂价格持续上涨丨明日主题前瞻,第一财经
958,2021-07-01,金地集团预计派发2020年度现金红利31.6亿 每股0.7元,观点地产网
959,2021-07-01,金地集团(600383.SH)拟每股派0.7元 7月9日分红,智通财经
960,2021-07-01,2021年6月房企销售数据点评：销售增速放缓 房企分化加剧,新浪
961,2021-07-01,“药中茅台”12天股价翻倍！重磅利好板块多股涨停,Wind
962,2021-07-01,房地产板块午后拉升，万科A大涨超6%，招商蛇口、新城控股、华侨城、金地集团,新浪
963,2021-07-01,地产股集体反弹 机构：拿地利润率短期难见拐点丨牛熊眼,第一财经
964,2021-06-30,房地产行业周报：首批基础设施REITS上市表现平稳 上海徐州武汉集中供地依旧较热,新浪
965,2021-06-29,房地产行业市场交易周报：板块明显弱于大盘 估值中枢持续下降,新浪
966,2021-06-29,地产行业周报：上海首批次集中供地溢价率较低 LPR连续14月持平,新浪
967,2021-06-29,房地产2021年中期投资策略：病树前头万木春,新浪
968,2021-06-29,金地集团50亿住房租赁专项公司债获反馈 速动比率为3年新低,中华网
969,2021-06-28,房地产行业周报(第二十五周),新浪
970,2021-06-28,金地集团50亿元住房租赁专项公司债券状态更新为“已反馈”,乐居财经
971,2021-06-27,【天风地产|周观点】LPR连续14个月“不动”，房贷利率上行趋势不变,天诚地产会
972,2021-06-26,富德生命人寿重仓ST北文损失惨重，偿付充足率长期低位徘徊,红周刊
973,2021-06-25,金地集团2021年5月销售金额同比增长约24.86%，销售面积同比增长约29.28%,面包财经
974,2021-06-25,【面包财报】金地集团2021年5月销售金额同比增长约24.86%，销售面积同比增长约29.28%,面包财经
975,2021-06-25,金地集团13.77亿元摘得武汉中法半岛小镇地块 建面约51.7万方,乐居财经
976,2021-06-25,A股快报 | 金地集团今开1.35% 金科股份发行10亿元公司债,观点地产网
977,2021-06-25,房地产指数持续跑输大盘，机构不悲观、新阶段下力荐“好学生”,Wind
978,2021-06-24,碧桂园、金地集团投资“小库科技”，后者专注于人工智能在建筑行业应用,TechWeb
979,2021-06-24,房地产行业2021年中期投资策略：跨越转轨周期 重估长期主义,新浪
980,2021-06-23,多地房贷收紧，地产估值已处于历史低位，价值投资还有吗？,Wind
981,2021-06-23,1-5月统计局数据点评：拿地、销售、投资增速明显下滑 开工与竣工剪刀差修复 整体市场运行趋于平稳,新浪
982,2021-06-23,【晨观方正】固收/房地产/科技&电子 20210623,新浪
983,2021-06-22,房地产行业周报：上海、合肥迎来集中供地 多地表态坚持“房住不炒”,新浪
984,2021-06-22,公募REITs系列研究之三：未来已来,华泰证券
985,2021-06-22,金地集团严舰：从全屋智能、绿色健康等六个方向打造产业链,乐居财经
986,2021-06-22,金地集团2021年5月销售金额284.8亿元，销售面积129.8万平方米,面包财经
987,2021-06-22,【面包财报】金地集团2021年5月销售金额284.8亿元，销售面积129.8万平方米,面包财经
988,2021-06-22,房地产行业市场交易周报：板块继续下跌 估值持续低迷 连续下跌,新浪
989,2021-06-21,金地集团：将“18金地07”后2年的票面利率由5%下调至3.55%,Wind
990,2021-06-21,建议重视中报行情 | 中信建投晨会,中信建投证券研究
991,2021-06-20,【招商房地产】5月销售维持高位，竣工如期改善，预计复工压力减弱后新开工Q4改善,降噪房地产
992,2021-06-20,房地产行业1-5月房地产数据点评：单月竣工大幅回升 真实销售热度仍处高位,新浪
993,2021-06-19,【兴证地产】本周新房二手房销售同环比均下降,YCMProperty
994,2021-06-19,房地产行业点评统计局5月数据点评：低基数效应淡化 土拍新政节奏扰动,华安证券
995,2021-06-19,5月全国房地产销售与投资依旧保持韧性 可关注两条主线,方正证券
996,2021-06-19,云南华夏蓝厦房地产有限公司环境违法被罚10万元 环保处罚,每日经济新闻
997,2021-06-18,【ROE看房企】中国金茂归母净利占比骤降 拉低平均ROE至9% 盈利能力下降,新浪
998,2021-06-18,房地产行业月报：销售保持高增 土地新开工持续低迷,新浪
999,2021-06-17,【天风地产】单月销售增长平稳，开工低迷，竣工略有恢复——统计局 5 月数据点评,天诚地产会
1000,2021-06-17,金地成立“合肥鑫璟置业”新公司注册资本5亿 5月份销售额环比降1成 盈利能力下降,中华网
1001,2021-06-17,金地集团成立置业发展新公司，注册资本5亿元,企查查
1002,2021-06-17,房地产行业1-5月运行数据点评：竣工和新开工的剪刀差回补,新浪
1003,2021-06-17,房地产行业：市场交易周报：板块走势继续弱于大盘 估值持续低迷,新浪
1004,2021-06-17,房地产行业周报：成都厦门集中供地热度较高，北京鼓励社会资本参与城市更新,国信研究
1005,2021-06-16,房地产行业5月观察：供需缺口持续拉大,新浪
1006,2021-06-16,2021年房地产行业中期策略：地产+X正当时,新浪
1007,2021-06-16,朝闻国盛：中美利差继续上行 人民币小幅贬值,新浪
1008,2021-06-16,5月统计局房地产数据点评：销售投资增速有所回落 新开工降幅收窄,新浪
1009,2021-06-15,金地集团(600383)公司点评：1-5月销售额同增90% 一线城市拿地占比近三成,新浪
1010,2021-06-15,金地集团：完成发行15亿元第五期中期票据 发行利率3.79%,乐居财经
1011,2021-06-15,金地集团(600383.SH)完成发行15亿元2021年第五期中期票据,智通财经
1012,2021-06-15,房地产行业周报：土拍两集中地价仍高 土地出让收入划转税务征收,新浪
1013,2021-06-13,【天风地产 | 周观点】房企业绩增速放缓，楼市调控持续加码 盈利能力下降,天诚地产会
1014,2021-06-12,【兴证地产】新房二手房周报： 本周新房销售同比提升、环比下降，二手房销售同环比均下降,YCMProperty
1015,2021-06-12,集中供地的“马甲”团战,Wind
1016,2021-06-11,金地集团50亿元住房租赁专项公司债券获上交所受理,中国网
1017,2021-06-11,金地(集团)股份有限公司：拟下调“18金地07”票面利率,Wind
1018,2021-06-11,联合资信：维持金地集团主体长期信用等级为AAA 评级展望为稳定,乐居财经
1019,2021-06-11,房企积极备货迎接“期中考”,中房网
1020,2021-06-11,房地产深度报告：“两集中”加速结构分化 行业“周期”重估,华安证券
1021,2021-06-10,房地产开发2021年半年度策略行业策略：开发精选高质量ROE龙头 商业地产高速扩张、成长正当时,新浪
1022,2021-06-10,土地出让收入划转税务部门征收政策点评：地产行业影响有限 地方财政更加规范,新浪
1023,2021-06-10,8%股息率+四倍PE，小白马股价腰斩！地产变“地惨”，估值倒数第三，半数股破净,证券时报网
1024,2021-06-09,中国短期融资券及中期票据信用分析周报,新浪
1025,2021-06-09,金地集团更正：“18金地06”回售登记期6月11日至6月15日,Wind
1026,2021-06-09,房地产行业市场交易周报：板块继续弱于大盘 成交量创近两月新高,新浪
1027,2021-06-09,2021年5月房企销售融资点评：销售动能有所回落 债券融资规模下行成本提升,新浪
1028,2021-06-08,资色·深度丨金地广州增城项目让出话事权给景业名邦意在其城市更新资源?,和讯
1029,2021-06-08,土地出让金划转税务征收点评：土地市场透明度提升 远期有利供给优化,新浪
1030,2021-06-08,房地产行业动态点评：减免征印花税对房产交易活动影响有限,新浪
1031,2021-06-08,总量的视野：本周最新观点合集：电话会议纪要,新浪
1032,2021-06-08,金地集团拟发行15亿元中期票据 用于偿还到期债券,乐居财经
1033,2021-06-08,金地集团：“18金地06”回售登记期为6月8日至6月11日,Wind
1034,2021-06-08,房地产行业中期策略：大浪淘沙 退即是进,新浪
1035,2021-06-08,规范地方财政加码房地产全国统一调控,中信建投证券研究
1036,2021-06-07,房地产行业周报：土地出让金划归税务征收 长沙苏州土拍热度较高,新浪
1037,2021-06-07,房地产行业周报：土地出让金划转税务征收 首批公募REITS认购火热,新浪
1038,2021-06-07,土地收入被纳入税收部门管理，对地方财政、房地产行业等有何影响？,第一财经
1039,2021-06-07,房地产开发行业周报：5月全国房贷利率继续上升 土地出让收入划归税务部门征收,新浪
1040,2021-06-07,金地集团1-5月销售额同比上升89.95%，完成年度目标的46%,资本邦
1041,2021-06-07,地产股整体疲软，万科A、保利地产、招商蛇口、金地集团等普遍下滑,Wind
1042,2021-06-07,地产｜增加土地供给，深化预算改革,中信证券研究
1043,2021-06-07,【天风地产 | 周观点】公募REITs正式发行，楼市调控持续加码,天诚地产会
1044,2021-06-06,百亿军令状下 金地广州合伙“新手”景业名邦,观点地产网
1045,2021-06-06,房地产市场长效机制下 金地集团紧抓时代机遇有望实现价值重估,发布易
1046,2021-06-06,【招商房地产】复合增速显示5月百强房企销售景气度延续，去年复工节奏是单月同比增速回落的主因,降噪房地产
1047,2021-06-05,【兴证地产】新房二手房周报：本周新房销售同环比均提升， 二手房销售同环比均下降,YCMProperty
1048,2021-06-05,房地产行业对土地出让金纳入税收的点评：改变政府行为 迎来制度红利,新浪
1049,2021-06-05,上市公司正负面新闻2021年6月5日星期六,Wind
1050,2021-06-04,金地集团前5个月签约额1288亿元 近期新增13个项目,新京报
1051,2021-06-04,金地集团：前5月实现签约金额1288.0亿元 同比上升89.95%,中国网
1052,2021-06-04,金地集团：前5月销售1288亿元，同比上升89.95%,乐居财经
1053,2021-06-04,金地前5月实现签约销售1288亿 同比增长九成,观点地产网
1054,2021-06-04,金地集团：5月实现签约金额284.8亿元，同比上升24.84%,每日经济新闻
1055,2021-06-04,金地集团(600383.SH)5月实现签约金额同比上升24.84%,智通财经
1056,2021-06-04,金地集团：5月签约金额同比上升24.84%,Wind
1057,2021-06-04,凌克11亿买基金的醉翁之意,金融界
1058,2021-06-04,景业名邦集团：联合金地集团合作开发广州增城地块,乐居财经
1059,2021-06-04,房企管理红利时代，金地集团(600383.SH)如何重塑价值？,格隆汇
1060,2021-06-04,招保万金恒大等龙头地产股持续下跌，行业融资收紧了？,Wind
1061,2021-06-04,金地集团总裁黄俊灿：数字赋能，让地产管理更智慧 | 2021中国房地产数字峰会,钛媒体
1062,2021-06-03,坚守高ROE打开成长空间 金地集团正稳步回归房地产第一阵营,发布易
1063,2021-06-02,全维度夯实基本面 金地集团前5月销售金额1285亿稳居行业前十,和讯
1064,2021-06-02,金地集团：出资1亿元认购的私募基金完成备案,乐居财经
1065,2021-06-02,金地集团(600383.SH)认购的私募基金完成私募基金备案,智通财经
1066,2021-06-02,房地产行业5月百强房企销售点评：5月销售量价齐升但增速放缓 龙头房企分化明显,新浪
1067,2021-06-02,金融、房地产行业动态点评：“三孩”政策、人口老龄化对保险、地产行业的影响分析,新浪
1068,2021-06-02,房地产行业市场交易周报：板块上涨但弱于大盘 成交量连续两周回升,新浪
1069,2021-06-02,晨会聚焦210602重点关注现代牙科、商贸零售、机械、海外教育、港股、房地产、白酒、拓邦股份、洋河股份、美团,国信研究
1070,2021-06-02,金地集团拟参与投资设立私募基金，总规模20亿,投资界
1071,2021-06-02,金地集团拟参与投资纽尔利资本新基金，出资3亿元,投资界
1072,2021-06-01,【天风地产】5月销售量价齐升但增速放缓，龙头房企分化明显—5月百强房企销售点评,天诚地产会
1073,2021-06-01,2021年5月房企销售数据点评：高基数下销售增速放缓 韧性依旧并结构性靓丽,新浪
1074,2021-06-01,房地产行业月报：5月销售增幅收窄 50强企业分化明显,新浪
1075,2021-06-01,【开源地产|行业点评】销售增速趋势性回落，TOP30目标完成度40%,微信
1076,2021-06-01,A股快报 | 蓝光发展低开5% 金地集团参与设立私募基金,观点地产网
1077,2021-06-01,房企缺乏想象空间？多重优势加持 坚守高ROE的金地集团或将打破“刻板印象”,财联社
1078,2021-05-31,晚间重要公告2021年5月31日星期一,Wind
1079,2021-05-31,金地集团(600383.SH)：子公司拟出资3亿元参设私募基金,格隆汇
1080,2021-05-31,金地集团：子公司3亿元参与投资设立私募基金,Wind
1081,2021-05-31,首届中国房地产数字峰会圆满落幕，关于地产第二增长曲线，他们的答案在这里,钛媒体
1082,2021-05-31,2021年度地产上市公司50强,证券市场周刊
1083,2021-05-31,房地产行业周报：上海新房认购资格被认定为购房套数 深圳进一步规范新房售价,新浪
1084,2021-05-31,房地产行业：销售小幅增长 多地政策继续打补丁,新浪
1085,2021-05-31,地产股整体低迷，万科A、保利地产、新城控股、招商蛇口、金地集团走软,Wind
1086,2021-05-30,【天风地产 | 周观点】热点城市房贷利率上调，两集中收官房企利润承压,天诚地产会
1087,2021-05-30,地产行业周报：40城加大租赁住房供给 热点城市调控持续收紧,新浪
1088,2021-05-29,【兴证地产】新房二手房周报：本周新房销售同环比下降，二手房销售同比下降环比提升,YCMProperty
1089,2021-05-29,“寻找第二增长曲线”——2021中国房地产数字峰会盛大召开 凌克发表大会致辞,财经网
1090,2021-05-29,“专注极致·创新生态”创新孵化战略研讨会圆满结束！智汇港湾孵化器隆重揭牌,砍柴网
1091,2021-05-29,房企押注苏州首次集中土拍,Wind
1092,2021-05-28,金地集团：成功发行20亿元中期票据 票面利率3.72%,中国网
1093,2021-05-28,金地集团发行20亿元中期票据，利率为3.72%,资本邦
1094,2021-05-28,融信中国等16房企存踩三条红线风险,北京商报
1095,2021-05-27,金地集团(600383.SH)完成发行20亿元2021年第四期中期票据,智通财经
1096,2021-05-27,金地完成发行20亿元中期票据 发行利率3.72%,观点地产网
1097,2021-05-27,上市公司纷纷自投“搞私募”！宁德时代、药明康德等十多家纷纷出手，未来是“躺赢”还是“躺平”？,财联社
1098,2021-05-27,平安证券--地产行业杂谈系列之四：2021年新开工持续低迷之惑【行业研究】,金融界股吧
1099,2021-05-27,房地产行业专题研究：集中供地导致土地市场过热吗？,新浪
1100,2021-05-27,国信证券：房企补库的动机会边际降低，行业整体利润率有望企稳,证券时报网
1101,2021-05-27,房地产行业2021年6月投资策略：热度不减 静以待变,新浪
1102,2021-05-26,中国短期融资券及中期票据信用分析周报,新浪
1103,2021-05-26,八大券商主题策略：房地产处于估值和仓位的历史双底部 龙头标的名单全梳理,中金在线
1104,2021-05-26,【东北房地产】1-4月房地产数据点评：“两集中”下土地市场热度有望修复，真实投资销售韧性强,东北证券研究所
1105,2021-05-25,金地集团：“18金地04”回售金额为2000万元，拟转售,Wind
1106,2021-05-25,房地产行业周报：销售高增幅略有收窄 短周期景气难言反转,新浪
1107,2021-05-25,A股快报 | 金地集团今日涨幅3.45% 华夏幸福跌2.37%,观点地产网
1108,2021-05-25,房地产行业周报：真实投资销售韧性强 多地上调房贷利率,新浪
1109,2021-05-25,房地产开发行业周报：首批基础设施公募REITS落地；南京天津完成首批集中供地,新浪
1110,2021-05-25,平安证券--地产行业周报：港交所提高上市门槛，因城施策持续演绎【行业研究】,金融界股吧
1111,2021-05-24,房地产行业2020年报综述：身处低谷 静候曙光,新浪
1112,2021-05-24,【天风地产 | 周观点】全国新房市场量价增速放缓，LPR持续稳定,天诚地产会
1113,2021-05-22,【兴证地产】新房二手房周报：本周新房销售同比提升环比下降，二手房销售同比下降环比提升,YCMProperty
1114,2021-05-21,夜读·房企融资｜金地拟发20亿元中票，华润置地贷款20亿港元,贝壳财经
1115,2021-05-21,争抢苏州土地前夜：房企巨头狂设十数家“马甲公司”备战,房地产报
1116,2021-05-21,金地集团：“18金地06”回售登记期6月8日至6月11日,Wind
1117,2021-05-21,地产行业月报：楼市“小阳春”延续 首批土拍热度较高,新浪
1118,2021-05-21,金地集团：拟发行20亿元中期票据,中国网
1119,2021-05-21,金地集团将发行20亿元3年期中票，募集资金将全部用于偿还到期债券,Wind
1120,2021-05-21,A股房企TOP30成绩单：告别“暴利时代” 存货跌价损失创新高,投资者网
1121,2021-05-20,房地产市场交易周报：板块走势继续弱于大盘 龙头估值优势明显,新浪
1122,2021-05-20,房地产开发行业月报：拿地环比修复 销售维持景气,新浪
1123,2021-05-20,房地产行业2021年4月统计局数据点评：雄关漫道真如铁,新浪
1124,2021-05-20,房地产2021年1-4月月报：投资高位、销售靓丽 土地溢价率上行,新浪
1125,2021-05-20,国君地产 | 供需紧平衡的初演绎,国泰君安证券研究
1126,2021-05-20,房地产行业土地数据4月月报：全国土地供给环比上升、投资强度环比上升,新浪
1127,2021-05-20,房地产行业月报：投资销售增幅回落 土地新开工仍未放大,新浪
1128,2021-05-19,【行业月报】供需紧平衡的初演绎——龙头房企月报（4月）,小谢看地产
1129,2021-05-19,快讯｜李光宁出任华发股份董事局主席 陈茵出任总裁,财经网
1130,2021-05-19,华发股份：选举李光宁为董事局主席,金融界
1131,2021-05-19,地产股整体疲软，万科A、保利、招商蛇口、绿地、金地、金科股份普跌,Wind
1132,2021-05-19,金地集团：单日成立15家房地产咨询公司 注册资本均为50万,乐居财经
1133,2021-05-19,晨会聚焦210519重点关注华测导航、银行理财、汽车汽配、房地产、纺织服装、扬农化工、中兵红箭、华峰化学、中国移动,国信研究
1134,2021-05-19,龙头房企月报(4月)：供需紧平衡的初演绎,新浪
1135,2021-05-18,房地产1-4月月报：后端发力投资强势 销售表现依然靓丽,新浪
1136,2021-05-18,房地产行业周报：统计局公布七普数据 央行首提住房租赁金融支持,新浪
1137,2021-05-18,房地产行业统计局4月数据点评：单月销售增长平稳 开竣工下降 累计开发投资改善,新浪
1138,2021-05-18,房地产行业4月统计局房地产数据点评：销售较快增长景气度仍高 新开工增速转负,新浪
1139,2021-05-17,【招商证券房地产】真实销售及投资维持高增，竣工后续弹性或显现,降噪房地产
1140,2021-05-17,房地产行业4月观察：强投资、中销售、弱开工将延续至年底,新浪
1141,2021-05-17,房地产行业20&21Q1财报综述：底部已显 拐点将至,新浪
1142,2021-05-17,地产行业点评：投资、销售韧性依旧 新开工延续弱势,新浪
1143,2021-05-17,房地产行业2021年第20周地产周报：节后销售迅速反弹 房产税改革试点座谈会召开,新浪
1144,2021-05-17,集中供地导致土地市场过热吗？,第一财经
1145,2021-05-17,金地集团等被丰庆中药告上法庭，案由为合同纠纷 诉讼纠纷,乐居财经
1146,2021-05-17,1-4 月统计局房地产数据点评：销售动能略有减弱 投资走强主因拿地恢复,新浪
1147,2021-05-16,"【绿色周报】北京冬奥会推碳中和,仨焚烧厂环境违法被罚125万 环保处罚",搜狐
1148,2021-05-15,【兴证地产】新房二手房周报： 本周新房销售同环比均提升， 二手房销售同比下降，环比提升,YCMProperty
1149,2021-05-14,深圳首批集中供地开拍:30家房企鏖战150分钟,搜狐
1150,2021-05-14,金地转让湖北万豪科技发展70%股权给湖北万豪置业 资产异常,乐居财经
1151,2021-05-13,股东会见闻录丨凌克谈金地的追求 好公司标准应该是高ROE,观点地产网
1152,2021-05-13,房地产7城首批土拍两集中结果解读：热点城市拿地利润率承压 规模房企竞争优势凸显,新浪
1153,2021-05-13,【东北房地产】行业周报：真实销售市场景气度较高，政治局会议首提防止学区房炒作,东北证券研究所
1154,2021-05-12,房地产行业2021年中期投资策略：审视房企的长期路径 静待毛利拐点到来,新浪
1155,2021-05-12,地产股整体疲软、万科A、保利地产、新城控股、招商蛇口、金地集团普跌,Wind
1156,2021-05-12,销售每日AH推荐,新浪
1157,2021-05-12,金地集团：出资5150万元认购苏州麦纽创业投资合伙企业份额,中金在线
1158,2021-05-11,102股获买入评级最新:保利地产,中财网
1159,2021-05-11,金地集团：认购的5150万元私募基金完成私募基金备案,乐居财经
1160,2021-05-11,金地集团(600383.SH)子公司出资认购的私募基金完成备案,智通财经
1161,2021-05-11,金地集团(600383)2021年4月经营数据：拿地边际提速 积极发展股权投资业务,新浪
1162,2021-05-11,房地产行业2020年年报总评：去杠杆 控增速 面向未来,新浪
1163,2021-05-11,金地集团2021年4月销售金额316.7亿元，销售面积146.8万平方米,面包财经
1164,2021-05-11,【面包财报】金地集团2021年4月销售金额316.7亿元，销售面积146.8万平方米,面包财经
1165,2021-05-11,房地产开发行业周报：中央政治局强调“房住不炒”并点名学区房 房市政策或迎来全面调控+政策收紧;广州重庆首次集中供地溢价率为12%和43%,新浪
1166,2021-05-11,金地集团2021年4月销售金额同比增长约88.62%，销售面积同比增长约76.44%,面包财经
1167,2021-05-11,【面包财报】金地集团2021年4月销售金额同比增长约88.62%，销售面积同比增长约76.44%,面包财经
1168,2021-05-11,对话刘轶：“理科生”专属的浪漫情怀,乐居财经
1169,2021-05-11,金地集团(600383)：销售高增长 拿地稳健,新浪
1170,2021-05-11,【兴业证券晨会聚焦0511】通信-中瓷电子深度；医药-复星医药：拟与BioNTech设立合资公司；金属-海亮股份；地产-金地集团,兴证研究
1171,2021-05-11,天风研究 | 2020年报·2021一季报总结,天风研究
1172,2021-05-11,一季度房企“三条红线”有何变化？ ——房企2021年一季报解析,债券池
1173,2021-05-10,房地产行业周报：土地市场热度上升 投资选择以稳为主,新浪
1174,2021-05-10,房地产土地周报：土地市场持续降温 楼市因城施策,新浪
1175,2021-05-10,房地产行业2021年4月房企销售融资点评：“小阳春”行情热度延续 债券融资规模提升成本下行,新浪
1176,2021-05-10,一线地产股低迷，万科、保利、新城、招商蛇口、绿地、金地、金科普跌,Wind
1177,2021-05-10,固定收益主题报告：房企2021年一季报解析：一季度房企“三条红线”有何变化？,新浪
1178,2021-05-10,房地产行业2020年年报综述：滞后2年的全面降速,新浪
1179,2021-05-10,A股快报 | 嘉凯城涨1.96% 金地集团跌2.89%,观点地产网
1180,2021-05-10,晨报0510 | 宏观&策略专题、地产行业专题、牧原股份,国泰君安
1181,2021-05-10,金地集团(600383)：广州两集中斩获3宗土地 绿档优势凸显,广发证券
1182,2021-05-10,金地集团(600383)：扣非后业绩相对可观 长期价值持续凸显,新浪
1183,2021-05-09,【开源地产|地产综述】结算压力期到来，静待毛利率拐点，杠杆持续下降 盈利能力下降,微信
1184,2021-05-09,【天风地产|周观点】小长假楼市成交不及预期，学区房炒作或成调控重点,天诚地产会
1185,2021-05-09,【国君地产|年报综述】滞后2年的全面降速——2020年年报综述,小谢看地产
1186,2021-05-07,【兴证地产】新房二手房周报：本周新房销售同比增长，环比下降，二手房销售同环比均下降,YCMProperty
1187,2021-05-07,平安证券--地产行业杂谈系列之一2020年年报综述，业绩增速放缓，“三条红线”指标改善【行业研究】,金融界股吧
1188,2021-05-07,5月7日晚间重要行业研究汇总(附股),中金在线
1189,2021-05-07,金地集团：前4月销售额1003亿元，集中供地将平抑地价,澎湃新闻
