,2021-12-31,民生证券：给予豫园股份买入评级,证券之星
0,2021-12-29,IPO观察|资金压力大！“卖身”不成，金徽矿业瞄准A股,金融界
1,2021-12-28,12月股东减持超650亿，45家大额解禁来袭,Wind
2,2021-12-28,豫园股份：“18豫园01”完成转售债券金额1.9亿元,Wind
3,2021-12-27,豫园股份旗下东家APP“传家节”总GMV超1.3亿元 同比增长29%,上证报
4,2021-12-27,豫园股份拟出资4.9亿元，与复星高科等联合设立私募股权投资基金,资本邦
5,2021-12-24,豫园股份拟联合复星高科等企业组建投资基金 规模为10亿元,观点地产网
6,2021-12-24,豫园股份：拟出资4.9亿元参设私募股权投资基金,e公司
7,2021-12-24,豫园股份拟与复星高科等联合设立私募股权投资基金，规模10亿元,乐居财经
8,2021-12-24,豫园股份(600655.SH)：拟注册发行不超60亿元中期票据,格隆汇
9,2021-12-24,豫园股份(600655.SH)组建复星(杭州)汉兴私募股权投资基金,智通财经
10,2021-12-23,金徽矿业资金链岌岌可危，转贷、拆借、抵押、对赌引资等融资手段花样百出,新浪
11,2021-12-22,十年成败 资本大佬的“西北酒局”,佳酿网
12,2021-12-21,上海豫园旅游商城（集团）股份有限公司 关于以集中竞价交易方式首次回购公司A股股份的公告,中证报
13,2021-12-20,豫园股份101.49万元回购10.15万股A股，占总股本0.002609%,乐居财经
14,2021-12-20,豫园股份(600655.SH)首次回购10.15万股 耗资101.49万元,智通财经
15,2021-12-17,今年年货怎么买？豫园推出百余款年货新品，外卖平台可购,东方网
16,2021-12-17,A股早报2021年12月17日星期五,Wind
17,2021-12-15,豫园股份拟回购不超过2000万股 资金总额2.9亿元,观点地产网
18,2021-12-14,豫园股份旗下东家APP启动第七届“传家节” 将推近500场线上直播拍卖,上证报
19,2021-12-14,豫园股份：目前公司经营一切正常,每日经济新闻
20,2021-12-14,复星集团持有青岛啤酒4年减持套现114亿港元，浮盈22亿港元 减持股份,中证报
21,2021-12-14,豫园股份：拟回购1000万至2000万股股份,中金在线
22,2021-12-14,上市公司正负面新闻2021年12月14日星期二,Wind
23,2021-12-13,晚间重要公告2021年12月13日星期一,Wind
24,2021-12-13,豫园股份拟不超2.9亿元回购股份,上证报
25,2021-12-13,豫园股份拟回购1000万至2000万股股份，资金总额为2.9亿元,乐居财经
26,2021-12-13,豫园股份(600655.SH)拟回购1000万至2000万股 回购价不超14.5元/股,智通财经
27,2021-12-13,豫园股份：拟回购1000万股-2000万股,e公司
28,2021-12-13,豫园股份：拟以1000万元-2000万元回购股份,财联社
29,2021-12-12,下周这只股解禁近140亿元！逾360亿市值股股东解禁浮盈超20亿元 解禁,Wind
30,2021-12-10,下周401亿市值限售股解禁，恒玄科技解禁139亿居首 解禁,Wind
31,2021-12-10,德胜门大讲堂“首届中华美食地标产品发展高峰论坛”成功举办,凤凰网
32,2021-12-07,化妆品周报：377普通用途化妆品下架 迪阿股份上市在即,国金证券股份有限公司
33,2021-12-07,“上海首富”郭广昌转身,斑马消费
34,2021-12-06,换帅拿地复地岁末剧情,国际金融报
35,2021-12-04,河南超硬材料扎堆造钻，市场已过热警惕产能过剩,Wind
36,2021-12-03,零售行业月度投资策略：消费市场加快回升 新兴电商平台带动销售增长,新浪
37,2021-12-02,豫园股份：员工持股计划413.4万股已经完成过户,观点地产网
38,2021-12-02,豫园股份(600655.SH)：回购账户的413.4076万股已过户至第二期员工持股计划,格隆汇
39,2021-12-02,豫园股份(600655.SH)第二期员工持股计划完成股票过户,智通财经
40,2021-12-01,豫园股份(600655.SH)首期合伙人期权激励计划第一个行权期行权条件成就,智通财经
41,2021-11-29,年末冲刺拿地，复地迎来“龙湖系”新总裁张智聪,搜狐
42,2021-11-29,豫园股份2021年第四期超短期融资券实际发行8亿元 利率3.4%,观点地产网
43,2021-11-29,三季度，百货行业超常发挥了吗？,联商网
44,2021-11-26,培育钻石行业专题分析报告：印度进出口高增 下游进场加速,国金证券股份有限公司
45,2021-11-25,舍得酒业申请“故逢佳酿”等酒类商标,乐居财经
46,2021-11-24,中国短期融资券及中期票据信用分析周报,新浪
47,2021-11-24,豫园股份：2021年限制性股票激励计划授予103人 募得3030万元补充流动性,中证网
48,2021-11-24,豫园股份股票激励计划筹资3030万元 用于补充流动资金,搜狐
49,2021-11-24,豫园股份：2021年限制性股票激励计划授予564万股 涉资3030万元,观点地产网
50,2021-11-24,豫园股份：授予564.27万股限制性股票 筹集资金3030.13万元,中金在线
51,2021-11-24,豫园股份(600655.SH)授予激励对象564.27万股限制性股票,智通财经
52,2021-11-24,豫园股份拟发行上限为10亿元的超短融：128亿元债券待偿还,中国网
53,2021-11-23,豫园股份拟发行不超过10亿元超短期融资券,观点地产网
54,2021-11-22,费品零售&化妆品行业行业周报：多家美股消费品零售公司发布最新一季财报 维持推荐优质零售标的,新浪
55,2021-11-19,舍得酒业申请“舍得传承”酒类商标,乐居财经
56,2021-11-17,豫园股份东家APP发布“千匠守艺计划” 助力打造东方美学产业新集群,上证报
57,2021-11-17,豫园股份11月26日对“18豫园01”付息，每手派49.7元,乐居财经
58,2021-11-17,豫园股份：2019年员工期权激励计划部分已获授股票期权注销完成,观点地产网
59,2021-11-17,豫园股份已完成67.28万份股票期权注销,乐居财经
60,2021-11-17,金徽酒申请“金徽一口双香”酒类商标,乐居财经
61,2021-11-16,豫园股份：“18豫园01”回售金额为16.65亿元，拟转售,Wind
62,2021-11-16,早读拾光（11.16）丨统计局：10月份大中城市商品住宅价格环比略降 佳兆业美好等三上市公司今日起复牌,和讯
