,2021-12-30,700亿巨头同花顺又出事！监管出手,中投网
23,2021-11-26,国联证券与同花顺签署战略合作协议,中证网
24,2021-11-25,同花顺：已构建同花顺AI开放平台,每日经济新闻
25,2021-11-25,计算机年度策略：从产业变革到投资机会,新浪
26,2021-11-22,财富管理：基金投顾新规征求意见稿下发 统一规范化指引下制度体系或初步成型,新浪
27,2021-11-21,【民生计算机】计算机行情将如何演绎？,计算机司令部
28,2021-11-21,非银金融行业：流动性预期边际改善 推荐关注非银板块,广发证券
29,2021-11-17,金融行业动态：证券基金行业“大V”合作活动叫停 长期利好具备流量优势、组织架构创新的持牌机构,新浪
30,2021-11-15,南财脱水研报丨北交所开市，金融IT会否带来板块估值反弹？,21经济网
31,2021-11-15,同花顺：公司人工智能技术暂未运用于元宇宙,每日经济新闻
32,2021-11-15,中信建投：北交所设立催化券商板块行情,Wind
33,2021-11-15,中信建投：北交所设立催化券商板块行情,第一财经
34,2021-11-12,"A股突发，东方财富股吧崩了一天！董明珠22岁美女秘书成""钦点""接班人？最新回应来了！",中国基金报
35,2021-11-12,突发！东方财富股吧崩了，什么情况？国家队放大招，李嘉诚重磅出手，8连板大牛却遭闷杀，市场咋走？,券商中国
36,2021-11-12,打不开了？东方财富股吧疑似崩了，网友调侃：还好意思内涵同花顺,和讯
37,2021-11-12,2021胡润女企业家榜：碧桂园40岁的杨惠妍第九次成为中国女首富,Wind
38,2021-11-09,农业板块震荡回暖，种植业表现强劲,Wind
39,2021-11-08,“元宇宙”大牛股份遭冻结，五大概念股警示风险,Wind
40,2021-11-08,经济日报：“跨境券商”怎能无证驾驶,Wind
41,2021-11-05,同花顺：股东凯士奥减持1.3万股，叶琼玖等尚未减持,每日经济新闻
42,2021-11-05,财富管理机构重塑筋骨：藩篱被打破，在竞争与交融中快速演进,Wind
43,2021-11-02,互联网行业周报：互联网平台监管体系不断完善,新浪
44,2021-10-31,【兴证计算机】计算机行业三季报总结：整体稳健，龙头更优,兴业计算机团队
45,2021-10-31,【国君非银刘欣琦团队】机构业务也同样受益财富管理,欣琦看金融
46,2021-10-31,主力究竟爱谁？这些个股筹码正在快速集中,Wind
47,2021-10-30,创业板12年成绩单亮了！总市值突破13万亿,Wind
48,2021-10-29,炒股软件同花顺崩溃引发股民炸锅 自家股价却反向飘红,证券之星
49,2021-10-29,非银金融行业：加仓财富管理优势券商,广发证券
50,2021-10-29,"一周股话：新股中签如中刀，副总""切腹""推票？同花顺APP""崩了""，A股本周调整到位了吗？",和讯
51,2021-10-29,华金证券维持同花顺增持评级：危机并存的金融信息服务业龙头，目标价格为164.6元,每日经济新闻
52,2021-10-29,【报道】10月29日早间，记者致电同花顺，公司回应称，是否有赔偿方案暂时还不清楚，目前高管团队正在开会讨论，如果有具体方案会第一时间通知到用户,金十数据
53,2021-10-29,同花顺宕机，这次散户又输了…公司回应：高管正在讨论是否有赔偿方案,21世纪经济报道
54,2021-10-29,同花顺APP异常引来监管问话 券商资深IT人这样看,e公司
55,2021-10-29,同花顺因APP崩溃收警示函 金融监管处罚,鲸平台
56,2021-10-29,东吴证券：维持同花顺(300033.SZ)“买入”评级 持续获益于市场活跃,智通财经
57,2021-10-29,光大证券：维持同花顺(300033.SZ)“买入”评级 合同负债及现金流持续增长,智通财经
58,2021-10-29,大中华区收入猛增80%，苹果却大跌5%！脸书更名Meta，融创亏损卖贝壳,Wind
59,2021-10-29,同花顺APP“崩了”后，证监局出具警示函！律师：投资者能否索赔要看问题原因,中证报
60,2021-10-29,“同花顺崩了”上热搜折射了什么？“同花顺崩了”上热搜折射了什么？,证券日报
61,2021-10-29,同花顺崩溃，股民如何避雷,北京商报
62,2021-10-29,犀牛财经早讯：申通快递第三季度亏9159万 同花顺子公司收警示函,GPLP犀牛财经
63,2021-10-29,【东吴七点半】悲观情绪开始释放 快消类品种走强,东吴财经通
64,2021-10-29,10月29日四大证券报头版头条内容精华摘要,新浪
65,2021-10-29,“同花顺”APP崩了上热搜 证监局出具警示函 记入档案,快科技
66,2021-10-29,国内财经媒体头版2021年10月29日星期五,Wind
67,2021-10-29,【中信建投 非银&金融科技】同花顺：用户数持续增长，驱动先行指标表现稳健,中信建投非银金融研究
68,2021-10-28,公告精选丨雷迪克实控人因涉嫌内幕交易遭证监会立案调查；这些上市公司公布三季报（名单）,21世纪经济报道
69,2021-10-28,“同花顺崩了”上热搜 折射了什么？,证券日报
70,2021-10-28,同花顺App崩溃映射软件测试的重要性,凤凰网
71,2021-10-28,同花顺子公司被出具警示函：未立即报告APP异常,中新经纬
72,2021-10-28,旗下APP盘中异常，同花顺遭浙江监管局出具警示函,资本邦
73,2021-10-28,同花顺：APP出现异常，全资子公司收到浙江证监局警示函,澎湃新闻
74,2021-10-28,同花顺：全资子公司网络科技公司收到浙江证监局行政监管措施决定书,上证报
75,2021-10-28,APP出现异常，网友炸锅：“早不崩，晚不崩，开盘崩”！同花顺收警示函,每日经济新闻
76,2021-10-28,浙江证监局向同花顺下发行政监管措施决定书,证券时报网
77,2021-10-28,同花顺：浙江证监局出具警示函,第一财经
78,2021-10-28,同花顺：“同花顺”APP 出现异常 浙江证监局出具警示函,e公司
79,2021-10-28,同花顺：全资子公司浙江同花顺网络科技有限公司收到浙江监管局行政监管措施决定书,金十数据
80,2021-10-28,APP“宕机”未及时报告，同花顺子公司收行政监管措施决定书,Wind
81,2021-10-28,崩了！同花顺致歉 网友炸锅！经济日报：“网络异常”不是免死金牌！,经济日报
82,2021-10-28,冲上热搜！同花顺崩了！官方回应：深表歉意！损失能索赔吗？律师、专家分析→,央视
83,2021-10-28,同花顺“崩”上热搜！5.73亿用户懵了，亏损算谁的？律师这样说,中国经营报
84,2021-10-28,【经纬下午茶】5个交易日7只新股破发 “大肉签”高价股成重灾区,中新经纬
85,2021-10-28,同花顺崩了，错过交易是否可以索赔？律师称需证明因果关系,澎湃新闻
86,2021-10-28,同花顺一度崩了，公司致歉！股民的损失可以追究吗？,东方网
87,2021-10-28,同花顺早盘系统重度故障 自家股票还奋力收红了,中国经济网
88,2021-10-28,同花顺崩了！公司紧急致歉,中国经济网
89,2021-10-28,热搜第一！同花顺崩了，官方回应深表歉意，网友炸锅：“血亏，赔钱！” 亏损,每日经济新闻
90,2021-10-28,同花顺崩了，股民血亏算谁的 亏损,东方网
91,2021-10-28,同花顺上午发生宕机事故，公司称网络线路致异常 安全事故,阿尔法工场
92,2021-10-28,“同花顺崩了”冲上热搜第一，公司致歉！跌停潮冲击煤炭股，券商看好这些板块,中证报
93,2021-10-28,系统崩溃？同花顺：对用户造成的不便深表歉意,红周刊
94,2021-10-28,买不进卖不出波及千万用户，同花顺咋又“崩”了？,第一财经
95,2021-10-28,中1签亏1万3、煤炭股重挫8%、外资加仓57亿,Wind
96,2021-10-28,刷屏！同花顺APP突然崩了，投资者着急：争分夺秒的时候你却…同花顺紧急回应并致歉,券商中国
97,2021-10-28,新股破发暴跌25%：中1签亏1万3！,中国基金报
98,2021-10-28,同花顺一度崩了，网友：能索赔吗？,观察者网
99,2021-10-28,热搜第一！同花顺崩了！股民损失谁来赔？,中新经纬
100,2021-10-28,同花顺APP崩了，股民喊赔钱！律师：损失或需投资者自己承担,搜狐
101,2021-10-28,同花顺App部分用户出现登录异常，官方回应,IT之家
102,2021-10-28,同花顺“崩”上热搜 官方回应：正紧急修复,贝壳财经
103,2021-10-28,同花顺回应系统崩溃：网络线路异常，目前已回复,经济观察网
104,2021-10-28,同花顺早盘系统崩溃！网友称不能操作 亏了算谁的？律师解读来了 亏损,新浪
105,2021-10-28,同花顺系统崩溃冲上热搜 网友：不能操作，赔钱算谁的？,Bianews
106,2021-10-28,“同花顺崩了”上热搜！官方回应：网络线路出现异常，已恢复，深表歉意,金融界
107,2021-10-28,同花顺官方回应系统崩溃：部分用户出现登陆异常，目前已恢复,中华网
108,2021-10-28,早盘系统崩了！同花顺客服：具体处理好时间不太清楚,中华网
