69,2021-09-28,大飞机板块异动，航发动力直线拉升3%,Wind
70,2021-09-28,中航西飞等9股获融资净买入超亿元,证券时报网
71,2021-09-28,A股融资融券日报：两融余额减少146.44亿元（9月27日）,Wind
72,2021-09-28,杠杆资金重仓股曝光 中航西飞居首,第一财经
73,2021-09-24,每日理财观察：首批5只FOF-LOF产品获批,Wind
74,2021-09-23,快讯：中航西飞涨停 报于35.44元,金融界
75,2021-09-23,军工股午后崛起，中航西飞首板,Wind
76,2021-09-23,【行情】国防军工板块持续走高，智明达涨近14%，中航西飞、爱乐达、天海防务跟涨,金十数据
77,2021-09-18,中航西飞：公司目前的产能能够满足生产经营的需要,Wind
78,2021-09-16,内蒙一机(600967)：签铁路货车合同；外贸高增长、业绩拐点向上,新浪
79,2021-09-16,16股最新股东户数降逾一成,证券之星
80,2021-09-11,内蒙一机(600967)点评报告：获海外民品订单；期待军品放量、业绩拐点向上,新浪
81,2021-09-10,A股早报2021年9月10日星期五,Wind
82,2021-09-09,公募基金主动配置军工行业，深股通买入中航西飞4869万元,阿尔法工场
83,2021-09-09,中航西飞龙虎榜数据（9月9日）,Wind
84,2021-09-09,龙虎榜丨中航西飞今日涨停 1家机构净买入4887.64万元,格隆汇
85,2021-09-09,A股资金流向（9月9日）：资源股炒作进入高潮期，铜、黄金挖掘补涨,Wind
86,2021-09-09,快讯：中航西飞涨停 报于32.73元,金融界
87,2021-09-09,9月9日中航西飞涨停分析：航母，通用航空，军工研究所概念热股,证券之星
88,2021-09-09,A股收盘综述：上证指数迫近3700，“煤超风”、“钢铁侠”助阵,Wind
89,2021-09-09,中航西飞涨停，晨曦航空涨超10%，军工ETF（512660）涨超2%,资本邦
90,2021-09-09,军工股尾盘发力，中航西飞大涨8%,Wind
91,2021-08-31,航空航天与国防行业周报：重视军工主机厂的价值,新浪
92,2021-08-26,中航西飞(000768)：业绩发展稳健 军用大飞机平台增长确定性强,新浪
93,2021-08-25,【招商军工】中航西飞（000768）：航空主业持续增长，受益于军民用大飞机行业发展,招商军工研究
94,2021-08-25,改革红利！“中国神船”提速，军工迎最佳中报季,Wind
95,2021-08-25,安信证券维持中航西飞买入评级：2021H1扣非净利润增长28.9%，军机民机齐发展,每日经济新闻
96,2021-08-24,浙商证券给予中航西飞买入评级，中航西飞2021H1中报点评：扣非归母净利润增长29%，军用大飞机龙头稳健增长,每日经济新闻
97,2021-08-23,中航西飞(000768.SZ)半年度归母净利同比减少4.92%至3.36亿元 盈利能力下降,智通财经
98,2021-08-23,中航西飞：上半年净利润同比减少4.92%,Wind
99,2021-08-23,中航西飞：上半年净利润同比减少4.92% 盈利能力下降,Wind
100,2021-08-18,航空航天与国防行业周报：看好军工材料及红外行业,新浪
101,2021-08-18,432家公司公布最新股东户数,证券之星
102,2021-08-12,A股收盘综述：“茅族”、“宁族”集体哑火，周期股力扛指数,Wind
103,2021-08-12,千亿光伏龙头闪崩，万亿锂电巨头重挫！,Wind
104,2021-08-11,浙商证券：维持中航西飞(000768.SZ)“买入”评级 新舟700研制稳步推进 ARJ21交付连年翻倍,智通财经
105,2021-08-11,浙商证券维持中航西飞买入评级，中航西飞点评报告：新舟700涡浆飞机研制稳步推进；持续推荐军民用大飞机龙头,每日经济新闻
106,2021-08-10,北向资金尾盘加速进场连续2日净买入，白酒股强势反弹但仍遭外资抛售,Wind
107,2021-08-10,需求饱满、业绩强劲、估值低洼，军工板块长期成长确定丨牛熊眼,第一财经
108,2021-08-06,每日理财观察：全球新能车产业链再迎高速增长指标,Wind
109,2021-08-05,金融街下午茶2021年8月5日星期四,Wind
110,2021-08-05,A股收盘综述：资金畏高指数集体回调，军工股逆势爆发,Wind
111,2021-08-05,A股午盘综述：沪市权重力扛指数，军工股全线爆发,Wind
112,2021-08-05,军工股盘中快速走高，航天彩虹封涨停，次新股航宇科技大涨7%，高德红外、江龙船艇、航发控制、中航高科、利君股份、中航西飞等个股纷纷冲高。(中新经纬APP),中新经纬
113,2021-08-02,北向资金7月动向：重点进攻高景气成长制造主线，周期性行业遭抛售,Wind
114,2021-08-02,航空航天与国防行业周报：看好军工次新标的,新浪
115,2021-08-02,暖风频吹！“十四五”军工迎重要窗口期，黄金时代来临,Wind
116,2021-08-02,A股收盘综述：8月开门红，白马股集体回暖,Wind
117,2021-08-02,军工股全线爆发，中航重机、航发科技、中航西飞、中航高科等多股涨停,资本邦
118,2021-08-02,军工股尾盘全线爆发，中航重机等多股涨停,Wind
119,2021-08-02,大逆转！白酒机械强势回归，基建大周期要来了？,Wind
120,2021-08-02,A股午盘综述：上证指数涨1.5%，券商、白酒反弹,Wind
121,2021-08-02,军工股逆势上攻，爱乐达率先封板,Wind
122,2021-07-30,军工股垂直拉升,Wind
123,2021-07-30,A股全线反弹，创指大涨逾5%，热门赛道资金现分歧,Wind
124,2021-07-29,北向资金今日净买入逾42亿元，比亚迪、东方雨虹净买入居前,Wind
125,2021-07-29,A股全线反弹创指大涨逾5%，半导体、新能源继续冲锋,Wind
126,2021-07-28,国防军工行业快报：中航工业实现时间过半任务过半 行业保持高景气,新浪
127,2021-07-28,北向资金动向盘点：净卖不过才40亿，抛压为什么那么大,Wind
