67,2021-10-27,生益科技最新公告：第三季度净利同比增长93.88% 覆铜板需求旺盛,证券之星
68,2021-10-27,生益科技：第三季度净利同比增长93.88%,证券时报网
69,2021-10-27,生益科技：第三季度净利同比增近94% 覆铜板需求旺盛,e公司
70,2021-10-27,生益科技：第三季度净利同比增93.88%,格隆汇
71,2021-10-27,生益科技：前三季度净利润同比增长79.56%,Wind
72,2021-10-26,开源刘翔团队|行业深度报告：台资覆铜板复盘：高阶化升级，内资接力下个十年,刘翔电子研究
73,2021-10-26,科创板话题：联瑞新材,科创板日报
74,2021-10-25,机构、股东、高管争相买入这些业绩暴增股,证券时报网
75,2021-10-23,回撤近20%！摩根士丹利发出预警，科技股拐点在哪，这一指标暗藏玄机！机构密集调研且估值下降的科技股名单出炉,证券时报
76,2021-10-22,生益科技(600183.SH)：减持期过半 伟华电子未减持股份,格隆汇
77,2021-10-22,生益科技：股东伟华电子减持时间过半，尚未减持公司股份,每日经济新闻
78,2021-10-22,【招商电子】生益科技：前三季度业绩高增，仍望把握结构性增长机会,招商电子
79,2021-10-20,干货！2021年中国覆铜板行业竞争格局及市场份额分析 龙头企业业务能力较为领先,前瞻研究院
80,2021-10-20,机构、股东、高管争相买入这些业绩暴增股,证券时报网
81,2021-10-20,"【国金晨讯】大消费专题：美妆""双11""备战+消费三季报前瞻；迈瑞医疗：医疗新基建拉动稳健增长；上调生益科技盈利预测",国金证券研究所
82,2021-10-20,生益科技前三季净利预增81%远超同行 三年半投22亿研发攻关抓住市场机遇,长江商报
83,2021-10-19,A股异动 | 生益科技(600183.SH)涨逾4% 预计三季度扣非归母净利润同比增77%至85%,格隆汇
84,2021-10-19,开源证券维持生益科技买入评级，公司信息更新报告：2021Q3土地收储影响非经损益，下游需求景气分化,每日经济新闻
85,2021-10-19,开源证券：给予生益科技买入评级,证券之星
86,2021-10-19,【国金电子】生益科技：扣非归母保持高位水平，长期量价利仍可期,国金电子研究
87,2021-10-18,生益科技三季报净利预增81%，覆铜板产销大幅提升,阿尔法工场
88,2021-10-18,生益科技：2021年前三季度净利润预计增长79%-81%,中证网
89,2021-10-18,晚间重要公告2021年10月18日星期一,Wind
90,2021-10-18,生益科技：前三季度预计净利润同比增长79.0%~81.0%,Wind
91,2021-10-18,生益科技：预计前三季度实现净利润23.3亿元-23.6亿元，同比增加79%,新浪
92,2021-10-18,生益科技：预计前三季度净利同比增长79%-81%,财联社
93,2021-10-18,生益科技：预计前三季度净利润同比增长79%-81%,Wind
94,2021-10-15,电子行业2021年四季度投资策略：消费电子环比改善 布局低估值龙头半导体持续关注国产替代,新浪
95,2021-10-15,北向资金恢复交易后首日净买入近27亿，再度大手笔加仓新能源股,Wind
96,2021-10-14,行业深度！一文了解2021年中国覆铜板行业产业链现状、市场竞争格局及发展前景,前瞻研究院
97,2021-10-13,生益科技：孙公司10.84亿元竞得土地使用权 有利于公司对土地使用权资产进行盘活增值,发布易
98,2021-10-13,生益科技(600183.SH)孙公司以10.84亿元竞得咸阳地块,智通财经
99,2021-10-12,生益科技(600183.SH)：孙公司以10.84亿元竞得陕西咸阳一宗地块,格隆汇
100,2021-10-11,电子行业周报：台股营收透露曙光、先蹲后跳静待佳音,新浪
101,2021-10-09,和讯SGI公司|联瑞新材净利润增长85.1%！关联交易的“黑历史”引发股价滑坡？,和讯
102,2021-10-08,北向资金今日净卖出25.72亿元，贵州茅台遭大幅净卖出超11亿元,Wind
103,2021-10-08,电子行业北上资金月报,新浪
104,2021-10-08,电子行业2021年三季报业绩展望：消费电子环比业绩改善 半导体国产替代持续,新浪
105,2021-10-04,原材料紧缺，下游需求依旧旺盛，覆铜板“涨声”一片,财联社
106,2021-10-01,生益电子(688183)首次覆盖报告：行业领先数通领域PCB供应商 受益于扩产+通信PCB需求回暖,新浪
107,2021-09-30,[专精特新TOP100]南亚新材：高速覆铜板技术优势突出 新厂投产高端陆续放量,新浪
108,2021-09-30,生益科技：公司目前经营情况正常，订单饱满,每日经济新闻
109,2021-09-23,嗅到牛市味道？这家海外巨头连续3月大笔买入券商股,Wind
110,2021-09-22,电子行业周报：留意消费放缓对物联网影响,新浪
111,2021-09-17,电子行业深度报告：MINILED商业化开启 相关产业链迎来机遇,新浪
112,2021-09-15,A股共发生198宗大宗交易成交51.37亿元（9月15日）,Wind
113,2021-09-15,生益科技(600183.SH)：广新集团增持股份达1.85%、国弘投资减持股份达1% 减持股份,格隆汇
114,2021-09-15,生益科技(600183.SH)股东广新集团持股比例增至23.85%,智通财经
115,2021-09-15,透视大宗交易：9月15日共成交198笔，生益科技成交5.83亿元,每日经济新闻
116,2021-09-15,生益科技今日大宗交易成交2302.47万股，成交价25.3元溢价11.65%,Wind
117,2021-09-10,电子行业2021年中报总结：板块增速分化 自下而上关注细分龙头,新浪
118,2021-09-08,北向资金结束连续12日净买入，中国平安、歌尔股份净卖出均超6亿元,Wind
119,2021-09-02,电子行业北上资金月报,新浪
120,2021-08-31,新基建加码，重磅大会开幕，5G厂商业绩迎爆发,Wind
121,2021-08-26,北向资金连续4日净买入，中国铝业获大幅加仓近12亿元,Wind
122,2021-08-26,当前时点，为什么我们再度重视新基建及5G应用的投资机会？,金融界
123,2021-08-24,以政策加法培育“创新雨林”,南方日报
124,2021-08-23,二季度QFII青睐医药医疗器械行业公司,Wind
125,2021-08-23,二季度QFII青睐 医药医疗器械行业公司,中国基金报
126,2021-08-23,茅指数与宁组合同台竞技 数据剖析谁更技高一筹,证券时报
127,2021-08-22,景旺电子：利润增长遇瓶颈,证券市场周刊
128,2021-08-20,【铜箔周报】铜箔企业中报业绩普遍向好,中国电池网
129,2021-08-19,【天风电子】生益科技：21H1业绩超预期，持续看好CCL龙头成长性,科技伊甸园
130,2021-08-18,A股异动 | 生益科技(600183.SH)跌逾5% 股东伟华电子拟减持不超1%公司股份 拟减持股份,格隆汇
131,2021-08-18,109股获券商买入评级，万盛股份目标涨幅达93.28%,Wind
132,2021-08-17,生益科技：股东拟减持不超过2302.47万股 拟减持股份,中证网
133,2021-08-17,生益科技：伟华电子拟减持公司不超1%股份 拟减持股份,e公司
134,2021-08-17,生益科技(600183.SH)：持股14.17%的伟华电子拟减持不超2302.4743万股,格隆汇
135,2021-08-17,生益科技：股东伟华电子拟减持不超过1% 拟减持股份,财联社
136,2021-08-17,生益科技：伟华电子拟减持不超过总股本1%,Wind
137,2021-08-17,社保基金+QFII重仓25股，北上资金盯上5股,Wind
138,2021-08-17,四大恶人搞砸了A股?任泽平:该醒醒了-更新中,中财网
139,2021-08-17,生益科技：公司载板项目已动工 预计2022年下半年可建成投产,Wind
140,2021-08-17,生益科技：公司目前订单饱满，下游需求旺盛,每日经济新闻
141,2021-08-17,西南证券给予生益科技买入评级：全球覆铜板龙头迎量价齐升，目标价36.50元,每日经济新闻
