308,2021-03-30,【招商电子】生益科技：新五年计划开局，Q2及全年上行趋势望延续,招商电子
309,2021-03-30,产品需求逐渐回暖 生益科技2020年净利16.81亿元增长16%,上证报
310,2021-03-30,5G特种光缆第一股 中天科技分拆谜团,搜狐
311,2021-03-30,生益科技(600183.SH)拟以7000万元闲置募集资金暂时补充流动资金,格隆汇
312,2021-03-30,太平洋--生益科技：短期价格扰动影响渐低，高端板卡发力开辟全新通途【公司研究】,金融界股吧
313,2021-03-29,生益科技：2020年净利润16.81亿元 同比增16%,e公司
314,2021-03-29,生益科技(600183.SH)年度归母净利同比增16%至16.81亿元 拟10股派4元,智通财经
315,2021-03-29,生益科技(600183.SH)：2020年度净利升16%至16.81亿元 拟10派4元,格隆汇
316,2021-03-29,生益科技：2020年净利同比增16%拟10派4元,格隆汇
317,2021-03-29,生益科技：2020年净利润同比增长16.0%,Wind
318,2021-03-29,电子元器件周报：年报陆续披露 关注业绩超预期,新浪
319,2021-03-29,科技硬件行业周报：关注英特尔“IDM2.0”愿景,新浪
320,2021-03-29,电子行业动态点评：上游材料持续紧缺 覆铜板主升浪来临,新浪
321,2021-03-28,开源刘翔团队|金安国纪：FR-4覆铜板步入提价周期，有望释放盈利弹性,刘翔电子研究
322,2021-03-28,水泥迎来“涨价潮”，鸡价格上涨确定性增强丨明日主题前瞻,第一财经
323,2021-03-24,生益科技成立科技新公司，注册资本1.5亿,企查查
324,2021-03-24,电子行业研究：覆铜板已进入溢价阶段 中短期受益确定性强,国金证券股份有限公司
325,2021-03-23,化工行业新材料板块周观点：市场供应紧缺 有机硅、电石价格强劲上涨,新浪
326,2021-03-22,银河电子周观点：自动驾驶加速渗透 关注汽车传感器投资机会,新浪
327,2021-03-22,中国银河--电子行业：自动驾驶加速渗透，关注汽车传感器投资机会【行业研究】,金融界股吧
328,2021-03-21,科技硬件行业周报：SEMICON CHINA于上海召开 受到广泛关注,新浪
329,2021-03-10,生益科技(600183.SH)因陕西生益老厂土地被收储将获收购款3.28亿元,智通财经
330,2021-03-10,生益科技(600183.SH)：陕西生益老厂土地拟被收储预计实现资产处置收益约2.6亿元,格隆汇
331,2021-03-09,生益科技跌5.52% 上月初招商证券强烈推荐目标价36元,中国经济网
332,2021-03-08,科技硬件行业周报(3／6)：投资人关注中芯国际批量采购协议变化,新浪
333,2021-03-07,【招商电子】PCB月度深度跟踪：需求景气复苏，CCL引领行业上行周期,招商电子
334,2021-03-03,电子元器件：当前时点PCB产业链怎么看？,新浪
335,2021-03-02,通信行业点评：大宗涨价潮下 通信行业有哪些投资机会？,新浪
336,2021-03-02,国盛证券--通信行业：大宗涨价潮下，通信行业有哪些投资机会【行业研究】,金融界股吧
337,2021-02-26,野村：5G用户迁移趋势良好，吁买入中移动及中联通,Wind
338,2021-02-25,生益电子摘得首家“A拆A”，A股分拆上市空间多大,第一财经
339,2021-02-25,“A拆A”第一股成功登陆科创板 生益电子盘中涨超76%,金融界
340,2021-02-25,今日新股上市：冠中生态、生益电子,中国经济网
341,2021-02-23,生益科技控股子公司生益电子将于2月25日在科创板上市,上证报
342,2021-02-23,生益科技(600183.SH)：生益电子2月25日起上市交易,格隆汇
343,2021-02-23,生益科技(600183.SH)：生益电子将于2月25日在上交所科创板上市,智通财经
344,2021-02-22,电子行业周报：《周观点》系列 汽车电子空间巨大 天灾加剧半导体短缺,新浪
345,2021-02-19,半年赚了2.9亿！华为、三星、富士康的供应商准备上市了,21商评网
346,2021-02-16,【银河电子傅楚雄/王恺】两会前瞻丨前瞻两会风向，关注科技创新与产业升级,中国银河证券研究
347,2021-02-08,节前最后“新股红包”来了！中一签有望赚5万,上证报
348,2021-02-08,今日新股申购：生益电子,中国经济网
349,2021-02-08,本周七只新股申购 首单“A拆A”成功案例将诞生,金融界
350,2021-02-08,新股提示：生益电子今日申购,Wind
351,2021-02-08,生益电子将成A股分拆上市第一股 华为系最大“金主”,北京商报
352,2021-02-07,生益电子申购在即A股将迎分拆上市第一股,北京商报
353,2021-02-05,开源证券--生益科技：Q4单季度成本承压，预计2021盈利逐季改善【公司研究】,金融界股吧
354,2021-02-04,“A拆A”上市提速：生益电子或夺首单，接力者会是谁？,第一财经
355,2021-02-04,新能源车！这些细分领域值得研究,搜狐
356,2021-02-04,生益科技(600183)：4Q20低于预期 5G放缓及成本承压；预计2021下半年毛利率恢复,新浪
357,2021-02-03,中泰证券--生益科技：上游材料涨价侵蚀利润，2021年盈利能力有望恢复【公司研究】,金融界股吧
358,2021-02-03,睿智投资｜生益科技 (600183 CH) – 4Q20低于预期， 5G放缓及成本承压；预计2021下半年毛利率恢复,招银国际
359,2021-02-02,招银国际--生益科技：4Q20miss on slower 5G and cost pressure;Expect gradual GPM recovery in 1H21E【公司研究】,金融界股吧
360,2021-02-02,生益科技(600183)：收入稳健提升 高端产品突破刺激新成长,新浪
361,2021-02-01,生益科技跌8.5% 招商证券今刚喊强烈推荐目标价36元,中国经济网
362,2021-01-31,【招商电子】生益科技：Q4受成本及PCB影响，21Q1及全年望迎涨价弹性,招商电子
363,2021-01-30,本周北上资金逆市加仓电子股,Wind
364,2021-01-29,2020中国合同物流企业100强发布,中国贸易新闻网
365,2021-01-29,生益科技业绩快报：2020年净利润16.63亿元 同比增14.77%,e公司
366,2021-01-29,生益科技：2020年净利润同比增长14.77%（业绩快报）,Wind
367,2021-01-26,中英科技首日涨120% 2019净利降高新企业认证未通过 盈利能力下降,中国经济网
368,2021-01-26,生益科技(600183)：内资覆铜板龙头开启新一轮五年扩张规划,新浪
369,2021-01-26,70股获券商买入评级 爱施德目标涨幅达83.56%,Wind
370,2021-01-26,开源晨会0127丨不可贪胜；胜利者的“陷阱”；城市住房问题，值得提到更高位置,开源证券研究所
371,2021-01-25,科技硬件行业周报：南下资金大幅流入 港股科技板块广受关注,新浪
372,2021-01-25,【国金电子】生益科技：常熟二期项目启动，投资节奏匹配行业发展,国金电子研究
373,2021-01-23,上市公司正负面新闻2021年1月23日星期六,Wind
374,2021-01-22,生益科技拟9.45亿元投建年产1140万平方米高性能覆铜板及3600万米粘结片项目,上证报
375,2021-01-22,晚间重要公告2021年1月22日星期五,Wind
376,2021-01-22,联瑞新材：拟1000万元受让生益科技专利技术,上证报
377,2021-01-22,生益科技(600183.SH)：拟投建常熟生益年产1140万平方米高性能覆铜板及3600万米粘结片项目,格隆汇
378,2021-01-22,联瑞新材(688300.SH)子公司拟受让生益科技四项专利技术,格隆汇
379,2021-01-21,电子行业：台积电21年资本开支大幅增长 全球车用芯片供给紧张,新浪
380,2021-01-20,生益科技(600183.SH)：苏锡公司减持完毕 累计减持273.91万股 减持股份,格隆汇
381,2021-01-20,上市公司掀“A拆A”小高潮，生物医药等新兴行业公司成“高发地”,Wind
382,2021-01-18,生益电子：首家“A拆A”上市公司 “科创”含量明显不足,新浪
383,2021-01-18,中泰证券：原材料价格坚挺叠加供需格局改善 CCL企业利润有望上行,证券时报网
384,2021-01-15,PCB行业月度深度跟踪：Q1苹果/CCL高增长可期 数通下游望逐步回暖,新浪
385,2021-01-15,生益科技(600183.SH)：苏锡公司减持数过半累计减持155万股 减持股份,格隆汇
386,2021-01-13,中富电路的原材料采购价格低到不合理，环保问题屡教不改,新浪
387,2021-01-12,物联网行业加速发展，相关产业链迎黄金发展期丨牛熊眼,第一财经
388,2021-01-12,电子周报：智能车步入新时代 汽车电子迎来高速成长期,新浪
389,2021-01-12,国信证券：数字化浪潮驱动下，看好各环节龙头企业,证券时报网
390,2021-01-12,【银河晨报】1.12丨1季度CPI仍然负增长—2020年12月通胀点评,中国银河证券研究
391,2021-01-11,国信证券-数字化大浪潮，科技硬件创新大升级,国信研究
392,2021-01-11,电子元器件行业数字浪潮系列之电子科技硬件：数字化大浪潮 科技硬件创新大升级,新浪
393,2021-01-11,周一机构一致看好的七大金股（1.11）,中金在线
394,2021-01-10,4股获买入评级 最新:宏和科技,中财网
395,2021-01-09,A股资本地图东莞篇：38家公司上市，超七成为细分领域龙头,澎湃新闻
396,2021-01-08,“A拆A”首单再进一步 生益科技子公司科创板IPO注册获批,第一财经
397,2021-01-07,生益科技子公司科创板IPO注册获批 将成首单A股分拆上市案例,e公司
398,2021-01-07,【周末特辑】国金研究十大热门研报,国金证券研究所
399,2021-01-07,“A拆A”首单落地，监管问询重点关注三大问题,Wind
400,2021-01-06,生益科技：证监会同意生益电子在科创板首次公开发行股票的注册申请,e公司
401,2021-01-06,生益科技：子公司生益电子科创板上市获批,格隆汇
402,2021-01-06,生益科技(600183.SH)：生益电子在科创板首次公开发行股票获中国证监会注册,智通财经
403,2021-01-05,科技行业-通信安防月报(1月)：视频物联行业需求明确 光模块确定性增强,新浪
404,2021-01-04,开源证券：12月金股组合亏损2.16% 1月荐股名单出炉 亏损,新浪
405,2021-01-04,【国君产研|新材料系列五】FPC上游材料知多少,国产研究中心
406,2021-01-04,消费电子行业：结构性创新+平台型布局引领全球供应链重塑,新浪
407,2021-01-01,中英科技创业板注册申请获通过 一边贷款一边理财现金流遭疑,中华网
408,2020-12-31,电子行业研究：PCB全年承压 高确定下估值有安全边际,国金证券股份有限公司
409,2020-12-31,午评丨市场情绪高涨 金融股爆发,21世纪经济报道
410,2020-12-31,直奔2000元/股！刚刚，贵州茅台股价又创新高了！,上游新闻
411,2020-12-31,投资策略专题：开源金股 1月推荐,新浪
412,2020-12-29,【中金科技】2021展望：择机布局云网/5G，重视物联网、统一通信和安防机会,乐平科技视角
413,2020-12-28,电子周报：快充和激光雷达步入快车道 半导体景气度高昂,新浪
414,2020-12-28,【中金科技】通信设备周报：广电完成实缴,乐平科技视角
415,2020-12-22,通信行业周报：中央经济工作会议强调产业链自主可控 我国建成全球最大5G网络,新浪
416,2020-12-21,生益科技(600183.SH)拟向东莞生益资本增资1亿元,格隆汇
417,2020-12-21,生益科技：向全资子公司东莞生益资本投资有限公司增资1亿元,Wind
418,2020-12-16,生益科技今日大宗交易成交18.13万股，成交价26.75元溢价0.0%,Wind
419,2020-12-15,电子周报：部分芯片缺货影响镜头放量 半导体芯芯向荣,新浪
420,2020-12-14,电子投资新机遇：新时代、新格局,新浪
421,2020-12-14,通信设备行业周报：光纤光缆集采价格发生边际改善,新浪
422,2020-12-14,【银河电子】2021年度策略：新时代、新格局、电子投资新机遇,中国银河证券研究
423,2020-12-09,牛出没！黑色系、化工品开始“翩翩起舞”,Wind
424,2020-12-09,交易所一问询就跌停：金安国纪怎么了？此前连拉四个涨停板 问询,中国基金报
425,2020-12-09,交易所一问询，就跌停！这只科技股怎么了？此前连拉四个涨停板 问询,中国基金报
426,2020-12-09,生益科技(600183)：景气度向上 新场景拓展高速CCL提升空间,新浪
427,2020-12-08,15股获券商买入评级 中孚信息目标涨幅达44.91%,Wind
428,2020-12-07,周一机构一致看好的七大金股（12.7）,中金在线
429,2020-12-07,【国金晨讯】A股一周策略：明年资管新规过渡期到期对市场有何影响；PCB全年预增4.4%，长期应关注高端布局,国金证券研究所
430,2020-12-07,【国金电子】PCB行业回顾及展望：PCB全年预增4.4%，长期应关注高端布局,国金电子研究
431,2020-12-06,电子行业研究：PCB全年预增4.4% 长期应关注高端布局,国金证券股份有限公司
432,2020-12-06,生益科技(600183)事件点评：碳氢国标提案过论证 公司前瞻性和执行力强,国金证券股份有限公司
433,2020-12-06,投资入魔：科技洪流中的“清泉”，看好覆铜板的跨年机会,新浪
434,2020-12-05,涨价潮无休止，覆铜板谁成王？,智通财经
435,2020-12-04,【兴证固收·转债】PCB-CCL领先制造商——超声转债投资价值分析,兴证固收研究
436,2020-12-04,银行行业：《系统重要性银行评估办法》意义与影响，维持“买入”评级,广发证券
437,2020-12-04,电子行业研究：涨价已部分转移 长期仍需关注高端产品布局,国金证券股份有限公司
438,2020-12-04,【国金电子】覆铜板行业：下游客户接受部分涨价，长期仍需关注高端产品布局,国金电子研究
439,2020-12-03,【招商电子】PCB月度深度跟踪：苹果链景气度高企，详解覆铜板涨价周期,招商电子
440,2020-12-01,12月各行业观点及重点推荐标的,新浪
441,2020-12-01,中泰证券：12月风格可能会延续11月 配置上可以更加均衡（附十大金股）,证券时报网
442,2020-11-24,开源刘翔团队|年度投资策略系列之一：PCB：需求复苏，把握HDI及汽车PCB投资机遇,刘翔电子研究
443,2020-11-24,【中金科技】通信设备周报：光纤光缆集采价格发生边际改善,乐平科技视角
444,2020-11-24,开源刘翔团队|年度投资策略系列之一：PCB — 需求复苏，把握HDI及汽车PCB投资机遇,刘翔电子研究
445,2020-11-24,世界5G大会26日召开，8成公司盈利，资金悄然买入,Wind
446,2020-11-24,化工行业-新材料板块周观点：有机硅全线大涨 可降解塑料概念走强,新浪
447,2020-11-22,“招工难”还是“找工难”？,经济日报
448,2020-11-19,覆铜板龙头再提价，产业链标的持续受益（附股）丨牛熊眼,第一财经
449,2020-11-19,新能源汽车迎“最强风口”，植物油价格创下7年多新高丨明日主题前瞻,第一财经
450,2020-11-19,生益科技(600183.SH)：股东伟华电子的一致行动人苏锡公司拟减持不超273.91万股 拟减持股份,格隆汇
451,2020-11-19,生益科技：股东一致行动人计划减持不超过0.1196%股份 拟减持股份,Wind
452,2020-11-18,开源晨会1125丨2021年，国内温和通胀的微观基础；重述看多有色转债的逻辑；中控技术,开源证券研究所
453,2020-11-12,分拆上市板块中有牛股 | 操盘工作室（财经纪实小说）,东方网
454,2020-11-11,电子行业研究：20Q3电子股持仓维持高位 消费电子、安防配置热度上升,新浪
455,2020-11-11,超50家A股公司拟分拆上市 国企领头民企紧随，业务集中于战略新兴领域,Wind
456,2020-11-11,分拆上市规则落地11月记,Wind
457,2020-11-11,分拆上市规则落地11月记：11家子公司IPO获受理 成大生物有望饮“头啖汤”,21世纪经济报道
458,2020-11-10,分拆上市规则落地11月记：11家子公司IPO获受理，成大生物有望饮“头啖汤”,Wind
459,2020-11-10,分拆上市规则落地11月记：11家子公司IPO获受理 成大生物有望饮“头啖汤”,21世纪经济报道
460,2020-11-10,科技-通信设备周报：贸易摩擦情绪压力受美大选影响释放,新浪
461,2020-11-10,中泰证券：受上游原材料影响 CCL价格上涨势在必行（附股）,证券时报网
462,2020-11-09,【通信】机构持仓低位，基本面向上趋势不改,天风研究
463,2020-11-08,半导体上游品种覆铜板半年三度涨价，聪明资金刚刚埋伏，有望受益的概念股出炉,证券时报
464,2020-11-06,北向资金火力全开！芯片、5G、新能源一个都不能少！,证券时报网
465,2020-11-05,覆铜板半年三度涨价，有何底气？,格隆汇
466,2020-10-28,"生益科技现1笔大宗交易 共成交2,375.00万元",新浪
467,2020-10-28,生益科技今日大宗交易成交95万股，成交价25.0元溢价6.52%,Wind
468,2020-10-27,生益科技(600183)：业绩稳健增长 静待CCL价格弹性和通信订单恢复,新浪
469,2020-10-27,【中金科技】生益科技（600183.SH）：3Q20业绩符合预期，5G基站/服务器基建持续成为中长期利好,乐平科技视角
470,2020-10-27,220股获券商买入评级，荣盛发展目标涨幅达82.68%,Wind
471,2020-10-27,【通信-彭虎】三大运营商均获eSIM服务批文，我国累计建设5G基站达69万个,安信证券研究
472,2020-10-26,【中信建投电子|刘双锋&雷鸣团队】生益科技(600183)：Q3增速略有放缓，Q4汽车和消费类将提供增长动力,中信建投电子研究
473,2020-10-26,机构强烈推荐15只个股-更新中,中财网
474,2020-10-26,【安信电子|季报点评】生益科技：业绩符合预期，覆铜板景气提升，通讯业务短期承压,晓说电子
475,2020-10-26,生益科技(600183)：3Q20业绩符合预期 5G基站/服务器基建持续成为中长期利好,新浪
476,2020-10-26,生益科技(600183)：Q3增速放缓 产品结构升级不改,新浪
477,2020-10-26,社保基金三季度重仓股揭秘：8股社保基金持股比例超5%,证券时报网
478,2020-10-26,【早安新时代】晨会早读2020/10/26：今日关注万华化学、生益科技、信捷电气,新时代证券研究
479,2020-10-26,【新时代电子 毛正团队】生益科技：Q3净利润增速较快，5G招标助力全年稳健增长,新时代证券研究
480,2020-10-25,【招商电子】生益科技：业绩符合预期，覆铜板业务逆势增长,招商电子
481,2020-10-25,周末要闻2020年10月25日星期日,Wind
482,2020-10-24,上市公司正负面新闻2020年10月24日星期六,Wind
483,2020-10-23,生益科技：前三季度净利润同比增长24.99%,格隆汇
484,2020-10-23,生益科技：前三季度净利13.03亿元 同比增25%,e公司
485,2020-10-23,生益科技(600183.SH)：前三季度净利升24.99%至13.03亿元,格隆汇
486,2020-10-19,生益电子科创板IPO过会，上市委要求公司说明如何建立有效的内部控制,智通财经
487,2020-10-19,四过四！生益电子、华锐工具、翔宇医疗、壹石通科创板IPO过会,资本邦
488,2020-10-19,生益电子：今年科创板过会第144家 东莞证券过3单,中国经济网
489,2020-10-19,【通信-彭虎】三大运营商均获eSIM服务批文，我国累计建设5G基站达69万个,安信证券研究
490,2020-10-16,【中金科技】科技硬件周报（10/17）：投资人关注半导体贸易摩擦及iPhone 12,乐平科技视角
491,2020-10-16,生益科技：生益电子科创板上市申请通过上市委审议,证券时报网
492,2020-10-16,生益科技(600183.SH)：生益电子IPO申请通过上市委审议,格隆汇
493,2020-10-14,壹石通冲科：核心业务依赖宁德时代，主要供应商屡遭处罚 经营问题,云掌财经
494,2020-10-13,新股排查丨生益电子或难维持高增长，专利技术数量少于可比公司,21世纪经济报道
495,2020-10-13,通信行业点评报告：科技龙头出台大比例股票期权激励计划 彰显行业长期发展信心,新浪
496,2020-10-13,覆铜板老大“儿子”分拆上市，生益电子“断奶”有点难,新浪
497,2020-10-09,开源证券：9月金股组合亏损5.2% 10月荐股名单出炉 亏损,新浪
498,2020-10-09,10月金股有哪些？券商看好2大主线（名单）,21世纪经济报道
499,2020-09-29,开源金股，10月推荐,开源证券研究所
500,2020-09-25,通信行业：运营商加速布局“G+工业互联网”,财富动力网
501,2020-09-22,《周观点》系列：电子周报：华为芯片供应迎转机助力预期改善 PCB预期修复毛正,新浪
502,2020-09-19,5GETF(159994)：配置性价比再现,新浪
503,2020-09-18,8月以来险资密集调研近700次，消费等板块被险资“锁定”,Wind
504,2020-09-17,电路板指数猛涨，沪电股份率先涨停,Wind
505,2020-09-17,PCB板块大幅异动，沪电股份直线涨停,Wind
506,2020-09-14,生益科技(600183.SH)：发行中票申请获中国银行间市场交易商协会注册,格隆汇
507,2020-09-11,天启新材2020年净利润可达5000万净利润：步履不停 高速增长,Ofweek
508,2020-09-10,开源晨会0910丨昊华科技(600378.SH)、新凤鸣(603225.SH)、生益科技(600183.SH),开源证券研究所
509,2020-09-09,生益科技(600183)公司首次覆盖报告：精于业、专于研 覆铜板龙头有望穿越周期,新浪
510,2020-09-09,券商首次关注3股并给予买入评级（9月9日）,Wind
511,2020-09-06,通信行业周报：全国已建成5G基站48万个 中国广电部署5G 700MHZ试验网,新浪
512,2020-09-01,电子行业周报：苹果产业链持续向好 半导体韧性依旧,新浪
513,2020-08-28,创业板16股涨停，一指标达开板以来历史新高,Wind
514,2020-08-27,公募权益类基金仓位连升两月，8月调研聚焦五行业,Wind
515,2020-08-25,生益科技：公司挠性覆铜板2020年的销量预计是900多万平方米,格隆汇
516,2020-08-23,电子行业周报：中报陆续披露 关注绩优龙头,新浪
517,2020-08-23,科技硬件周报：投资人关注半导体板块调整与中报业绩,新浪
518,2020-08-21,广东PCB企业上半年增收更增利 紧锣密鼓备战下半年,证券日报
519,2020-08-21,生益科技：公司整体订单饱和,Wind
520,2020-08-21,生益科技：公司整体订单饱和,e公司
521,2020-08-21,PCB概念股快速下挫 生益科技、沪电股份跌逾5%,e公司
522,2020-08-20,生益科技：家电订单增长处于爆发性反弹期 汽车订单逐步回暖,中国证券网
523,2020-08-19,比尔盖茨基金、澳门金管局等QFII“扫货”的这些股 三季度以来持续“领跑”大市,红周刊
524,2020-08-19,【读财报】PCB行业中报解读：业绩普遍向好集中度有望提升,面包财经
525,2020-08-18,盖茨基金、澳门金管局等QFII扫货这些股 三季度以来“领跑”大市,红周刊
526,2020-08-18,生益科技上半年存货增四成偿债压力巨大 拟分拆子公司科创板融资40亿元,GPLP犀牛财经
527,2020-08-17,二季末社保险资QFII共同现身5股,中国基金报
528,2020-08-14,生益科技(600183)：拟收购广东绿晟 业务互补性强,新浪
529,2020-08-14,【早安新时代】晨会早读2020/08/14：今日关注生益科技,新时代证券研究
530,2020-08-14,2020半年报业绩超预期个股TOP50,中信建投证券研究
531,2020-08-13,生益科技关联收购溢价107%蹊跷：收购标的连续亏损，子公司股权全质押给二股东 投资失误,和讯
532,2020-08-13,“毛利率显著高于同行”被否，5G同业巨头前中英科技难“翻身”,云掌财经
533,2020-08-13,生益科技(600183)：产品结构持续优化 受益行业加速成长,新浪
534,2020-08-13,A股早报2020年8月13日星期四,Wind
535,2020-08-13,生益科技(600183)：新基建助业绩逆势增长 龙头抗周期能力凸显,新浪
536,2020-08-13,【东北电子张世杰/程雅琪】生益科技（600183）中报点评：产品结构优化，业绩逆势增长,东北证券研究所
537,2020-08-12,生益科技(600183.SH)拟收购广东绿晟27%股份,格隆汇
538,2020-08-12,生益科技(600183.SH)：拟向全资子公司东莞生益资本增资1.5亿元,格隆汇
539,2020-08-12,2020半年报业绩超预期个股TOP30,中信建投证券研究
540,2020-08-12,126股获券商买入评级 江苏神通目标涨幅达91.89%,Wind
541,2020-08-11,拆财报丨生益科技发力“新基建”：上半年净利同比增31%，分拆生益电子冲刺科创板利润增速正常回落,21世纪经济报道
542,2020-08-11,生益科技(600183)：5G驱动盈利能力新高 高速、封装基板基材是未来看点,新浪
543,2020-08-11,生益科技(600183)：中报业绩增长强劲 高端产品占比提升,西南证券
544,2020-08-11,外资A股持仓更新，高盛、小摩、瑞银重仓名单抢先看,Wind
545,2020-08-11,生益科技(600183)：H1稳健成长毛利率提升 结构升级推动全年业绩继续向上,新浪
546,2020-08-11,【生益科技|国信电子】财报点评：Q2业绩创新高，研发持续加强,国信电子研究
547,2020-08-11,【招商电子】生益科技：上半年逆势成长，CCL结构升级/PCB高增长,招商电子
548,2020-08-11,【中信建投电子|刘双锋&雷鸣团队】生益科技(600183)点评：上半年业绩符合预期，覆铜板产品结构优化盈利提升,中信建投电子研究
549,2020-08-11,【国金电子】生益科技：毛利率继续高企，高端渗透逻辑持续带动成长,国金电子研究
550,2020-08-11,【兴业证券晨会聚焦0811】宏观-7月通胀数据点评；金融-银行Q2监管数据点评；食饮-五个维度解析疫情后今世缘；电子-生益科技,兴证研究
551,2020-08-11,生益科技(600183)：CCL产品结构改善盈利能力提升 PCB持续放量 上半年逆势高增长,新浪
552,2020-08-10,生益科技(600183.SH)半年度净利润升31.33%至8.26亿元,格隆汇
553,2020-08-10,生益科技：上半年净利润8.26亿元 同比增31%,e公司
554,2020-08-10,生益科技：上半年净利8.16亿元同比增31%,格隆汇
555,2020-08-10,生益科技：全国社保基金一零四组合新进十大股东行列,Wind
556,2020-08-10,生益科技：上半年净利润同比增长31.33%,Wind
557,2020-08-10,生益科技今日大宗交易成交76.30万股，成交价27.9元溢价0.0%,Wind
558,2020-08-10,开启“造富”盛宴，分拆上市魔力何在？,Wind
559,2020-08-07,"生益科技现1笔大宗交易 共成交1,513.60万元",新浪
560,2020-07-31,电子行业周报：创新层出不穷 持续关注消费电子,渤海证券
561,2020-07-31,53股昨日获机构买入评级 12股上涨空间超20%,证券时报网
562,2020-07-31,82股获券商买入评级，创源文化目标涨幅达92.86%,Wind
563,2020-07-31,“新基建”二级市场走俏幕后：公募REITs百日扬帆遇何梗阻？,Wind
564,2020-07-31,机构加减仓变动方向：25家公司现国家队身影,21世纪经济报道
565,2020-07-30,生益科技(600183)公司点评：中报业绩强劲 5G景气催化高端产品占比提升,新浪
566,2020-07-30,64股获券商买入评级，永创智能目标涨幅达49.55%,Wind
567,2020-07-30,【朝闻国盛0730】为何保持乐观一：外部已非主要矛盾,国盛证券研究所
568,2020-07-30,生益科技抢抓5G机遇半年净利超8亿 上市22年盈利百亿现金分红60亿,长江商报
569,2020-07-30,【早安新时代】晨会早读2020/07/30：今日关注生益科技、中芯国际,新时代证券研究
570,2020-07-29,生益科技(600183)公司研究：持续优化结构 盈利再次高增长,新浪
571,2020-07-29,生益科技(600183)：上半年业绩符合预期 覆铜板产品结构优化盈利提升,新浪
572,2020-07-29,生益科技上半年营业总收入同比增15.16% 净利润同比增逾30%,生益科技
573,2020-07-29,生益科技(600183)：20H1业绩快报符合预期 受益5G高景气,新浪
574,2020-07-28,【招商电子】生益科技：业绩符合预期，主因通信景气+新产能释放,招商电子
575,2020-07-28,晚间重要公告2020年7月28日星期二,Wind
576,2020-07-28,生益科技：生益电子盈利能力持续提升 上半年净利同比增逾三成,发布易
577,2020-07-28,生益科技：上半年净利润8.3亿元同比上涨31.49%,格隆汇
578,2020-07-28,生益科技业绩快报：上半年净利8.27亿元，同比增长31.49%,第一财经
579,2020-07-28,生益科技(600183.SH)业绩快报：上半年净利升31.49%至8.27亿元,格隆汇
580,2020-07-28,生益科技业绩快报：上半年净利润8.27亿元，同比增长31.49%,Wind
581,2020-07-27,中证指数公司：8月6日发布中证兴业证券ESG盈利100指数,Wind
582,2020-07-26,【华西电子孙远峰团队-Q2持仓分析】Q2电子重仓配比提升，半导体配置创新高,远峰电子
583,2020-07-24,本周跌宕起伏的A股，透露出后市两大机会,Wind
584,2020-07-21,下半年核心：板块轮动加剧，逃不过这三大逻辑,Wind
585,2020-07-16,科技板块连续三日重挫！从估值出发，这个细分领域机会来了！,Wind
586,2020-07-16,生益科技(600183.SH)：拟使用1亿元闲置募集资金暂时补充流动资金,格隆汇
587,2020-07-15,科技硬件：PCB/CCL需求走软 5G板块转持谨慎态度,新浪
588,2020-07-15,电子行业2020中报前瞻：半导体国产替代持续兑现 消费电子景气分化,新浪
589,2020-07-14,杠杆牛还是真牛？两融余额7月增逾2100亿,Wind
590,2020-07-14,融资客青睐12股，长虹华意买入占比高达47.17%,Wind
591,2020-07-13,生益科技：优质赛道前景广阔 布局全面向纵深发展,证券时报网
592,2020-07-11,【招商电子】PCB月度深度跟踪：苹果/通信Q2需求景气，关注中报及备货节奏,招商电子
593,2020-07-03,打造一流电力营商环境全力护航广东东莞经济发展,广州日报
594,2020-07-03,“A拆A”上市公司增至31家，首单有望9月份发行上市,Wind
595,2020-06-29,PCB电子行业深度报告：5G、云计算催生PCB高景气 头部厂商充分受益,新浪
596,2020-06-24,44股获券商买入评级，长源电力目标涨幅达62.20%,Wind
597,2020-06-23,电子行业2020年下半年投资策略：一个世界两套系统 创新重启加速替代,光大证券
598,2020-06-23,电子行业2020年中期策略：5G推动消费电子持续创新 国产替代大潮势不可挡,新浪
599,2020-06-23,通信行业第25周周报：通信行业数据向好 流量潜力深度挖掘,广发证券
600,2020-06-22,沪电股份(002463)：股权激励即将推出 流量龙头王者归来,新浪
601,2020-06-22,联瑞新材打破日本垄断 机构持股30%仓位,巨丰财经
602,2020-06-22,兴证张忆东：风格再平衡，“硬科技”吸引力提升,张忆东策略世界
603,2020-06-19,【早安新时代】2020/06/19：今日关注生益科技、三全食品,新时代证券研究
604,2020-06-19,20股获券商买入评级 雄塑科技目标涨幅达39.50%,Wind
605,2020-06-18,生益科技(600183)：生益科技 覆铜板涨价 笑看周期波动,新浪
606,2020-06-17,需求向好带动覆铜板供需两旺，龙头率先提价有啥看点？,格隆汇
607,2020-06-16,主力资金：暴涨17倍的芯片龙头突然崩了，2亿资金蜂拥出逃,中财网
608,2020-06-16,通信行业第24周周报：自主可控企业迎发展契机,广发证券
609,2020-06-16,国网发布“数字新基建”十大重点建设任务 预计拉动社会投资约1000亿元（附股）,证券时报
610,2020-06-14,生益科技(600183.SH)：股票期权拟行权数量1521.955万份,格隆汇
611,2020-06-12,生益电子冲刺科创板：营收净利高歌猛进，毛利率稳步提升,凤凰网
612,2020-06-10,生益科技现1笔大宗交易 共成交217.60万元,新浪
