67,2021-11-14,万得财经周刊：北交所下周一开市,Wind
68,2021-11-13,欧美股市多数收涨，美国三大指数全线上涨,Wind
69,2021-11-13,美国三大股指全线上涨，道指终结连续三天下跌走势,Wind
70,2021-11-13,MSCI“购物车”再添多只科创板股票，今年超三千亿北向资金流入A股,Wind
71,2021-11-12,美股小幅高开，中概新能源汽车股普涨,Wind
72,2021-11-12,周期股数量增加！一文看清MSCI中国A股指数半年度变动,Wind
73,2021-11-12,MSCI半年检出炉!BOSS直聘(BZ.US)、中国中车(01766)等股获纳入，11只科创板股票又批量被纳入,智通财经
74,2021-11-12,【AH互动】中国中车(01766)盘初走强涨4.25% 股票获纳入MSCI中国全股票指数,和讯
75,2021-11-12,每日理财观察: MSCI公布半年度指数评审结果,Wind
76,2021-11-12,刚刚，50只个股新纳入MSCI中国指数！,Wind
77,2021-11-12,港股盘前必读：中芯国际第三季度净利润20.77亿元同比增22.6%,Wind
78,2021-11-12,MSCI公布最新调整结果，北上动向将发生变化！,Wind
79,2021-11-12,MSCI中国A股在岸指数新纳入53个成分股 市值前三大个股为合盛硅业、舍得酒业、藏格控股,金融界
80,2021-11-12,MSCI中国全股票指数新纳入68个成分股，剔除52个成分股,Wind
81,2021-11-12,中国中车和《绝地求生》出品方被纳入MSCI新兴市场指数,财联社
82,2021-11-12,明晟公司（MSCI）：纳入MSCI新兴市场指数的市值前三大个股为合盛硅业，中国中车（CRRC），以及韩国《绝地求生》出品方魁匠团,金十数据
83,2021-11-12,MSCI公布半年度指数评审结果：MSCI ACWI新增111只成分股、剔除105只,Wind
84,2021-11-11,多家公司申报精选层获受理，北交所新鲜血液源源不断,Wind
85,2021-11-10,中国短期融资券及中期票据信用分析周报,新浪
86,2021-11-10,中国中车：完成发行30亿元超短期融资券 票面利率2.06%,中国网
87,2021-11-09,中国中车与吉林省举行合作交流座谈会 深化央地合作,e公司
88,2021-11-09,联合动力联姻西门子借船下海：央企国企风电装备企业全下海 未来,我的煤炭网
89,2021-11-08,高盛：下调中国中车(01766)目标价至2.9港元 评级降至“沽售” 机构下调估值,智通财经
90,2021-11-08,华铁股份终止收购轮对巨头 BVV中资企业身份不受影响 并购重组异常,中国经营报
91,2021-11-08,大行评级 | 高盛：下调中国中车(1766.HK)每股盈利预测 降评级至沽售 投资评级恶化,格隆汇
92,2021-11-07,创新层也疯狂，129只北交所概念股区间涨幅翻番,Wind
93,2021-11-05,A股半导体公司前三季度业绩报告：136家公司合计盈利655亿元 60家公司翻倍增长,搜狐
94,2021-11-05,国家科学技术奖轨交奖项均在基建领域 中国中车4年来首缺席,中国经营报
95,2021-11-04,晚间重要公告2021年11月4日星期四,Wind
96,2021-11-04,中国中车：控股子公司西安中车永电捷通电气有限公司和控股子公司西安中车永电捷力风能有限公司与新疆金风科技股份有限公司分别签订了总计约14.9亿元人民币的风力发电机销售合同,每日经济新闻
97,2021-11-04,中国中车：6-10月期间签订了若干项合同，合计金额约278.1亿元,Wind
98,2021-11-04,中国中车6-10月签订合同金额合计约278.1亿元,乐居财经
99,2021-11-02,中国中车：深圳地铁14号线首列车正式交付,e公司
100,2021-11-02,摩根士丹利：下调中国中车目标价至5港元，评级增持 机构下调估值,Wind
101,2021-11-02,大摩：维持中国中车(01766)“增持”评级 目标价降至5港元,智通财经
102,2021-11-02,51696名中国企业管理者票选出了2021最受赞赏的中国公司,吴晓波频道
103,2021-11-01,华铁股份终止收购轮对巨头BVV BVV中资企业身份不受影响 并购重组异常,中国经营网
104,2021-11-01,花旗：维持中国中车买入评级，目标价升至5.5港元,Wind
105,2021-11-01,图解中国中车三季报：第三季度单季净利润同比减20.27% 盈利能力下降,证券之星
106,2021-10-30,中国中车营收净利再双降 铁路装备采购长期低迷是主因 盈利能力下降,中国经营网
107,2021-10-29,中国中车公布三季报 前三季净利减少4.9% 盈利能力下降,新浪
108,2021-10-29,中国中车：前三季度净利润64.61亿元 业绩延续稳健态势,中证网
109,2021-10-29,【港股通】中国中车(01766)第三季度净利润24.72亿元 同比减少20.27% 盈利能力下降,和讯
110,2021-10-29,新产业布局价值持续兑现 中国中车前三季度业绩延续稳健态势,证券时报网
111,2021-10-29,中国中车(01766.HK)：第三季度净利24.72亿元 同比下降20.27% 盈利能力下降,格隆汇
112,2021-10-29,中国中车：第三季度净利润24.7亿元 同比下降20.27% 盈利能力下降,财联社
113,2021-10-29,中国中车：前三季度净利润同比减少4.9%，三季度降20.27% 盈利能力下降,Wind
114,2021-10-28,超一半企业涉氢！2021年最受赞赏的中国公司出炉,新能源网
115,2021-10-25,河钢承钢公司直供中国中车单月最大订单高效完成,钢企网
116,2021-10-21,中国中车风电产业链多项新技术发布,上证报
117,2021-10-21,交锋高速磁悬浮：车有了，却无人修路,新浪
118,2021-10-20,中国中车：完成发行20亿元超短期融资券 票面利率2.71%,中金在线
119,2021-10-19,碳中和背景下重点布局 中国中车欲将风电装备打造为支柱业务,每日经济新闻
120,2021-10-19,大行评级 | 摩通：降时代电气、中国中车目标价，评级增持,格隆汇
121,2021-10-19,小摩：下调中国中车(01766)及时代电气(03898)目标价 评级均为“增持” 机构下调估值,智通财经
122,2021-10-18,中国中车党委书记、董事长孙永才：风电装备是中车未来业务版图的重要一极,北极星电力
123,2021-10-15,中国中车：聘任王健先生为本公司董事会秘书,Wind
124,2021-10-15,中国中车：董事会通过《关于聘任中国中车股份有限公司董事会秘书的议案》,Wind
125,2021-10-15,中国中车：信息披露事务负责人变更为王健 董监高成员变化,Wind
126,2021-10-15,中国中车：聘任王健为公司董事会秘书,每日经济新闻
127,2021-10-14,反垄断局对中国中车收购亚威股份进行公示 相关交易仍正常进行中,Ofweek
128,2021-10-13,中国中车：坚持党的建设与经营发展同频共振,证券时报
129,2021-10-11,收盘综述：沪指震荡整理 创业板指跌1.45% 煤炭板块领涨,新浪
130,2021-10-11,中国中车：10月29日举行董事会会议，审议三季度业绩,Wind
131,2021-10-11,中国中车：董事会将于10月29日举行董事会会议以批准三季度业绩,Wind
132,2021-10-09,国庆钜献丨2021年21家风电齿轮箱企业名录！,北极星电力
133,2021-10-09,中国中车：10月15日兑付“21中车SCP017”本期应偿付本息金额30.05亿元,Wind
134,2021-10-08,华铁股份(000976)2021年中报点评：业绩增长符合预期 拟注入BVV增强国际竞争力,新浪
135,2021-10-04,36岁姐姐狂赌可转债，结局令人唏嘘,菜鸟理财
136,2021-09-30,中国中车：完成发行20亿元超短期融资券 票面利率2.52%,中金在线
137,2021-09-30,深度分析！十张图了解2021年中国城轨交通装备市场现状及发展前景 政策推进整体趋势向好,前瞻研究院
138,2021-09-30,中国中车：超级铜还处于中试的阶段，暂时没有进行市场开发，但是也有小批量的销售,每日经济新闻
139,2021-09-30,中国中车：本次时代电气A股公开发行完成后，中国中车合计间接持有时代电气的股比为44.14%，持股比例较发行前有所降低,每日经济新闻
140,2021-09-30,中国中车：公司目前投入商业运营的氢能源产品有“氢能源有轨电车”,Wind
141,2021-09-30,中国中车：中车集团是中国中车的控股股东，截至2021年6月30日，中车集团持有公司股份比例约51.35%,每日经济新闻
142,2021-09-30,中国中车股份有限公司 2021年第三季度报告,证券日报
143,2021-09-29,湖州德清，“造车梦”能否照进现实？,国际金融报
144,2021-09-29,中国中车：完成发行10亿元超短期融资券 票面利率2.52%,中金在线
145,2021-09-28,北向资金节前连续三日加仓累计净买入90亿，东方财富净买入超6亿元,Wind
146,2021-09-27,行业深度！一文看2021年中国轨道交通装备行业产业链现状、市场竞争格局及发展前景,前瞻研究院
147,2021-09-27,2021年全球轨道交通装备行业市场现状及发展前景分析 未来市场规模将突破650亿欧元,前瞻研究院
148,2021-09-27,中国轨交工业跑过140年 中车唐山新型都市快轨列车发布,中国经营网
149,2021-09-27,中国中车新列车下线，采用全自动无人驾驶，材料全部可回收再利用,新京报
150,2021-09-27,轨道交通工业140年：中国高铁营业里程近4万公里，占世界七成,贝壳财经
151,2021-09-26,中国中车：拟发行10亿元超短期融资券,中金在线
152,2021-09-26,400kW 国内最大功率氢燃料电池混合动力机车完成性能试验,北极星电力
153,2021-09-25,中国中车总经理楼齐良：通过科技创新、深化改革、数字化转型，实现轨道交通装备业的高质量发展,新浪
154,2021-09-20,中国中车间接控股子公司 4012 万项目环评获原则同意,ZAKER
155,2021-09-17,中国中车：9月23日参加北京辖区上市公司投资者集体接待日,Wind
156,2021-09-16,国资委秘书长彭华岗调研中国中车集团,Wind
157,2021-09-16,中国中车：完成发行30亿元超短期融资券 票面利率2.2%,中金在线
158,2021-09-15,中国短期融资券及中期票据信用分析周报,新浪
159,2021-09-14,北向资金今日净卖出超41亿元，中国平安、白酒股持续遭抛售,Wind
160,2021-09-14,【异动股】中国中车(01766.HK)跌3.12%,财华社
161,2021-09-11,丰光精密(430510)：“小而美”高端装备制造核心部件 轻负载机器人成功下线,新浪
162,2021-09-10,华铁股份(000976)：中报业绩符合预期 积极布局核心技术和海外市场,新浪
163,2021-09-10,中国中车王军：到今年8月中国中车已累计交付高速列车3375列,Wind
164,2021-09-09,融资客青睐6股，迪普科技买入占比高达40.47%,Wind
165,2021-09-08,中科电气：目前与中国中车没有业务合作,每日经济新闻
166,2021-09-06,* 东亚机械入选＂专精特新＂企业名单，终端用户包括中国中车、比亚迪等知名企业,阿尔法工场
167,2021-09-06,国都证券研究所晨报,新浪
168,2021-09-06,【异动股】中国中车(01766.HK)涨3.42%,金融界
169,2021-09-06,中国中车首个海外风电整机项目“出海”,中国证券网
170,2021-09-06,中国中车：完成发行20亿元中期票据 票面利率3.06%,中金在线
171,2021-09-06,A股早报2021年9月6日星期一,Wind
172,2021-09-06,中国中车：公司下属公司时代电气将科创板上市 发行后持股44.14%,新浪
173,2021-09-05,晚间重要公告2021年9月5日星期日,Wind
174,2021-09-05,中国中车(601766.SH)下属公司首次公开发行A股股票并在科创板上市申请获批,智通财经
175,2021-09-05,中国中车：下属间接控股子公司9月7日科创板上市,e公司
176,2021-09-05,中国中车：中车时代电气首次公开发行A股股票并在科创板上市,Wind
177,2021-09-03,中国中车：当前暂无发展智能汽车的计划,每日经济新闻
178,2021-09-03,中国中车：目前投入商业运营的有氢能源有轨电车,Wind
179,2021-09-03,中国中车：公司有下属企业开展光伏逆变器，有一定的市场竞争力,每日经济新闻
180,2021-09-03,中国中车：目前投入商业运营的有氢能源有轨电车,每日经济新闻
181,2021-09-02,【异动股】中国中车(01766.HK)涨3.01%,财华社
182,2021-09-01,【异动股】中国中车(01766.HK)涨3.11%,财华社
183,2021-09-01,交大思诺：公司与中国中车及其部分子公司存在业务往来,Wind
184,2021-08-31,沪港通十大成交活跃股排名（8月31日）,Wind
185,2021-08-31,赛道板块加速分化，机构称9月市场处于防御期,Wind
186,2021-08-31,【异动股】中国中车(01766.HK)涨3.17%,金融界
187,2021-08-31,汇丰研究：维持中国中车(01766)“买入”评级 目标价微降至5.4港元,智通财经
188,2021-08-30,收盘综述：两市涨跌互现 HIT电池概念领涨*何玮,新浪
189,2021-08-30,大行评级 | 瑞信：下调中国中车(1766.HK)近两年每股盈利预测，降公司AH股目标价 投资评级恶化,格隆汇
190,2021-08-30,中国中车：孙永才辞任总裁职务 楼齐良获委任 董监高成员变化,中金在线
191,2021-08-30,中国中车：拟发行不超20亿元中期票据,中金在线
192,2021-08-30,瑞信：维持中国中车(01766)“中性”评级 目标价降5.2%至3.4港元 机构下调估值,智通财经
193,2021-08-28,中国中车(01766.HK)半年多赚8% 新签订单为949亿元,财华社
194,2021-08-28,中国中车获批交通强国建设试点,中证网
195,2021-08-27,复兴号再招标总价约39亿元 上半年机车车辆采购不及预期,中国经营报
196,2021-08-27,中国中车净利增8%较疫情前仍大幅下降 产能过剩严重 盈利能力下降,中国经营报
197,2021-08-27,中国中车：上半年净利润同比增长8.02%,Wind
198,2021-08-27,中国中车：孙永才辞去公司总裁职务，聘任楼齐良为公司总裁 董监高成员变化,每日经济新闻
199,2021-08-27,中国中车：上半年新产业持续发力 轨交装备龙头业绩稳定增长,中证网
200,2021-08-27,中国中车(01766.HK)上半年归母净利39.89亿元 同比增长8.02%,格隆汇
201,2021-08-27,中国中车(01766)中期归母净利同比增长8.02%至39.89亿元,智通财经
202,2021-08-27,中国中车2021年上半年实现净利润48.58亿元，同比小幅增长8.09%,经济观察网
203,2021-08-27,中国中车：上半年业绩稳增 新产业业务持续发力,证券时报网
204,2021-08-27,中国中车(601766.SH)上半年归母净利润同比增长8.02%至39.89亿元,智通财经
205,2021-08-27,中国中车(601766.SH)聘任楼齐良为总裁,智通财经
206,2021-08-27,中国中车(01766.HK)：聘任楼齐良为公司总裁及授权代表,格隆汇
207,2021-08-27,中国中车(01766.HK)：上半年城轨与城市基础设施业务的营业收入比上年,新浪
208,2021-08-27,中国中车(01766.HK)：上半年铁路装备业务的营业收入比上年同期下降5 盈利能力下降,新浪
209,2021-08-27,中国中车(01766.HK)：本期研发总投入约为51.68亿元，占本期营业,新浪
210,2021-08-27,中国中车：上半年净利润39.89亿元 同比增8.02%,e公司
211,2021-08-27,中国中车：孙永才辞去董事总裁一职，楼齐良接替,Wind
212,2021-08-27,中国中车盘中直线拉升，获批交通运输部“交通强国”试点,阿尔法工场
213,2021-08-27,高铁板块大幅拉升 中国中车涨超9%,格隆汇
214,2021-08-27,交通运输部：同意中国中车开展中高速磁悬列车研制及应用试点,澎湃新闻
215,2021-08-27,中国中车获批“交通强国”试点：研发600公里时速磁悬浮列车,快科技
216,2021-08-27,磁悬浮概念大幅拉升 中国中车涨超7%,e公司
217,2021-08-27,中国中车午后大幅拉升涨逾9%,上证报
218,2021-08-27,【行情】中国中车短线拉涨，A股涨超5%，港股涨逾4%,金十数据
219,2021-08-27,中字头异动，中国化学拉升触板,Wind
220,2021-08-27,交通运输部批准中国中车“交通强国”试点,Wind
221,2021-08-26,威贸电子(833346)：线束组件及注塑集成件优质公司 直销+出口推动业绩快速增长,新浪
222,2021-08-25,改革红利！“中国神船”提速，军工迎最佳中报季,Wind
223,2021-08-20,丰光精密(430510)：半导体+自动化类精密产品增长49.15% 2021H1净利率升至21.56%,新浪
224,2021-08-20,碧桂园?美好中国ESG100指数完成2021年度调仓,新浪
225,2021-08-19,中国中车(01766)：“16中车01”将于8月30日到期兑付,智通财经
226,2021-08-19,中国中车：与宁夏回族自治区签署战略合作协议,e公司
227,2021-08-18,中国中车：拟发行不超过20亿元公司债券,中国网
228,2021-08-18,宁夏与华润集团中车集团签订战略合作框架协议，涉及新能源产业等,Wind
229,2021-08-17,中字头盘初活跃，中国电建快速封板,Wind
230,2021-08-16,宜信：国内高端访学，走进长沙参访标杆企业,钢企网
231,2021-08-13,极速高铁，青岛造,经济观察报
232,2021-08-13,中国中车：18中车G1票面利率由4.29%调整为2.8%,中国网
233,2021-08-13,欧美股市多数上涨，道指和标普500指数再创收盘新高,Wind
234,2021-08-13,美国三大股指集体收涨，道指和标普500指数再创收盘新高,Wind
235,2021-08-12,美股小幅低开，贝壳大跌逾14%,Wind
236,2021-08-12,通业科技：公司的逆变器产品的主要客户为中国中车以及部分地铁公司,每日经济新闻
237,2021-08-12,哪些上市公司“不差钱”？百亿理财产品潜在买家“大点兵”,新浪
238,2021-08-12,MSCI指数作了季度调整：纳入了这些A股，9月1日起生效,澎湃新闻
239,2021-08-12,11只A股新纳入MSCI中国指数，小心未来的“生效日魔咒”,资本邦
240,2021-08-12,刚刚，MSCI公布最新调整！11只A股进入旗舰指数系列,Wind
241,2021-08-12,11只个股新纳入MSCI中国指数！,Wind
242,2021-08-12,明晟公司（MSCI）：从MSCI中国全股票指数中剔除两个成分股，新增23个成分股,Wind
243,2021-08-12,明晟公司（MSCI）：从MSCI中国全股票指数（MSCI China All Shares Indexes）中剔除两个成分股，新增23个成分股，新增成分股中包括万泰生物、中国中车,金十数据
244,2021-08-11,中国中车：信息披露事务负责人发生变动,Wind
245,2021-08-11,中国中车(01766)：谢纪龙辞任董事会秘书及联席公司秘书 董监高成员变化,智通财经
246,2021-08-11,中国中车(01766.HK)：聘任王健为联席公司秘书,格隆汇
247,2021-08-11,中国中车(01766.HK)8月27日举行董事会会议以考虑及批准中期业绩,格隆汇
248,2021-08-11,中国中车：董事会秘书辞职,Wind
249,2021-08-11,中国中车：600公里的磁悬浮列车目前尚无业绩,每日经济新闻
250,2021-08-10,国资委公布200家标杆企业、100个标杆项目和10个标杆模式,数据观
251,2021-08-10,威奥股份：公司作为中国中车、西门子、阿尔斯通、CAF等国内外知名轨道交通整车制造厂商的配套产品供应商，在高铁配套产品领域一直处于领先地位,每日经济新闻
252,2021-08-10,威奥股份：公司与中国中车存在稳定的合作关系,每日经济新闻
253,2021-08-10,威奥股份：公司有参与中车唐山的时速620公里高温超导高速磁浮样车制造,Wind
254,2021-08-10,能源央企人事：葛洲坝董事长任中能建党委常委，中车集团总经理落定,国际电力网
255,2021-08-09,能源央企人事集中变动：中车集团总经理落定，葛洲坝董事长任中能建党委常委 董监高成员变化,华夏能源网
256,2021-08-07,中国中车：目前，公司基本面未发生重大变化，生产经营稳定,每日经济新闻
257,2021-08-06,中国中车：公司当前暂无开展新能源乘用车整车业务的计划,每日经济新闻
258,2021-08-06,中国中车：公司间接控股子公司时代电气目前提供汽车电驱产品,Wind
259,2021-08-06,中国中车：中车电动是中车集团旗下非上市部分业务,Wind
260,2021-08-06,中国中车：公司目前没有农机业务,Wind
261,2021-08-06,中国能建、中国中车重要人事调整！ 董监高成员变化,北极星电力
262,2021-08-05,楼齐良被提名为中国中车集团总经理人选，孙永才不再兼任,澎湃新闻
