69,2021-07-15,同益中IPO：研发费用率不满足科创标准,电鳗快报
70,2021-07-13,融资客青睐8股，国投资本买入占比高达45.39%,Wind
71,2021-07-12,国投资本：2020年安信证券完成债券主承销项目54个,Wind
72,2021-07-12,融资客青睐6股，江南水务买入占比高达39.86%,Wind
73,2021-07-09,对美国燃料乙醇E15政策变动的评估【点石成金】,国投安信期货
74,2021-07-08,国投资本(600061.SH)：中国证监会对安信证券试点开展基金投资顾问业务无异议,智通财经
75,2021-07-07,国投安信： 6月投机氛围降温 鸡蛋月差变化最大！本月看好化工,发现网
76,2021-07-07,商品强弱分化凸显 七月或延续振荡【大宗商品板块投资月度观察】,国投安信期货
77,2021-07-07,量价齐升！2021年半年度期货大数据揭晓,Wind
78,2021-07-05,国投资本现1笔大宗交易 共成交320.35万元,新浪
79,2021-07-05,国投资本今日大宗交易成交44.31万股，成交价7.23元折价9.96%,Wind
80,2021-07-02,国投资本(600061)：可转债转股结果暨股份变动情况,生意社
81,2021-07-02,【国投安信|能源深度】从能源消费看经济修复细节,国投安信期货
82,2021-07-01,"国投资本：第二季度可转债有人民币 104,000 元转换为公司 A 股股份",每日经济新闻
83,2021-06-21,"国投资本现1笔大宗交易 共成交19,589.09万元",新浪
84,2021-06-21,国投资本今日大宗交易成交2251.62万股，成交价8.7元溢价3.08%,Wind
85,2021-06-21,国投资本跌2.41%报8.49元 成交额近2亿元,中新经纬
86,2021-06-18,券商股悄然摸高，中金公司大涨6%,Wind
87,2021-06-16,国投安信：有色抛储 “靴子”落地？各品种抛储消息影响速览,新浪
88,2021-06-10,国投资本：将“国投转债”转股价格由15.25元/股下修至9.9元/股,Wind
89,2021-06-10,国投资本(600061.SH)2020年度权益分派10转5.2派1.96元 股权登记日为6月17日,格隆汇
90,2021-06-10,国投资本(600061.SH)每10股转5.2股派1.96元 股权登记日为6月17日,智通财经
91,2021-06-10,融资客青睐3股，东湖高新买入占比高达37.25%,Wind
92,2021-06-10,120家公司获机构调研（附名单）,证券之星
93,2021-06-07,国投资本（600061.SH）：“招福宝”在业内规模排名第3,智通财经
94,2021-06-07,解盘：科技股强势，半导体、操作系统、自主可控略涨,Wind
95,2021-06-04,国投资本：“国投转债”6月10日起停止转股,Wind
96,2021-06-04,国投资本：“国投转债”6月10日起将停止转股,Wind
97,2021-06-03,【国投安信|能源调研社】迎峰度夏前的动煤产地调研Day2,国投安信期货
98,2021-06-02,【国投安信|能源调研社】迎峰度夏前的动煤产地调研Day1,国投安信期货
99,2021-06-01,国投资本股份有限公司关于可转换公司债券2021年跟踪评级结果的公告,中证报
100,2021-05-31,【国投安信|能源调研社】华东LPG调研:仓单注册盘面逻辑调整，预期偏弱上行动力削减,国投安信期货
101,2021-05-25,大连玉米期货主力25日跌0.55% 日线九连阴,中国经济网
102,2021-05-24,【国投安信|能源新星】成品油期货品种手册系列（三）：需求格局,国投安信期货
103,2021-05-19,【国投安信|能源调研社】华东LPG调研日记Day2,国投安信期货
104,2021-05-18,【国投安信|能源调研社】华东LPG调研日记Day1,国投安信期货
105,2021-05-14,路演纪要|国投资本（600061.SH）：证券中高端客户截止报告期末同比增长22.73％,智通财经
106,2021-05-14,国投资本大涨,新浪
107,2021-05-13,可再生航煤也能推动豆油的工业需求吗,国投安信期货
108,2021-05-06,【国投安信|能源新星】天然气期货品种手册系列（二）：天然气物流与价格体系,国投安信期货
109,2021-05-01,券业净资产收益率已升至7.6%，重资本业务知易行难,Wind
110,2021-04-29,国投资本：一季度净利润同比增长69.49%,Wind
111,2021-04-29,国投资本(600061.SH)一季度归母净利同比增长69.49%至10.77亿元,智通财经
112,2021-04-29,国投资本：一季度净利润10.77亿元同比增长69%,格隆汇
113,2021-04-29,国投资本(600061.SH)一季度净利润升69.49%至10.77亿元,格隆汇
114,2021-04-29,国投安信有色会：中国华北锌产业链高质量发展峰会专题,国投安信期货
115,2021-04-12,国投资本董事长叶柏寿：大力支持安信证券增强资本实力 推动六大平台建设,中证网
116,2021-04-07,国投安信：商品供需矛盾犹存 关注超跌反弹机会,国投安信期货
117,2021-04-07,安信证券业绩公开，2020年实现净利润35.12亿元,资本邦
118,2021-04-07,非银金融行业周观点：一季度业务数据向好 券商业绩预计维持增长势头,新浪
119,2021-04-06,非银金融行业跟踪：市场趋稳 低估值券商板块望迎估值修复,新浪
120,2021-04-05,多业务均衡发展推动业绩持续增长丨国投资本（600061）2020年报点评【华创非银】,华创非银
121,2021-04-03,公募基金去年狂赚374亿！41家最新排名来了,Wind
122,2021-04-02,国投资本2020净利增长40%，安信证券成创收主力军,和讯
123,2021-04-02,解盘：人气继续回暖，半导体、今日头条、白酒、高价股领涨,Wind
124,2021-04-02,安信证券有望成金融控股集团重要一棋，去年净利32亿排名上升4位，经纪与自营收入占比超六成,证券之星
125,2021-04-02,券商股午盘前异动，中金公司领涨5%,Wind
126,2021-04-01,国投资本(600061.SH)2020年计提资产减值准备5.46亿元 资产异常,智通财经
127,2021-04-01,国投资本(600061.SH)年度归母净利同比增39.79%至41.48亿元 每10股转5.2股派1.96元,智通财经
128,2021-04-01,国投资本：为满足金控牌照设立条件，拟10转5.2,Wind
129,2021-04-01,国投资本：2020年净利润同比增长39.79%,Wind
130,2021-04-01,国投资本：为满足金控牌照设立条件 2020年度拟10转5.2,e公司
131,2021-04-01,国投资本(600061.SH)2020年度净利润升39.79%至41.48亿元 拟10转5.2派1.96元,格隆汇
132,2021-04-01,金控平台高效协同的探索者 | 国投资本（600061）深度研究报告【华创非银】,华创非银
133,2021-03-25,【国投安信|能源论事】 苏伊士运河搁浅事件对油品期货影响简评,国投安信期货
134,2021-03-24,券商股盘初即表现强势，国联证券领涨5%,Wind
135,2021-03-19,【国投安信|能源评数】增产预期延后，欧洲疫苗接种遇阻恐再施压原油需求前景,国投安信期货
136,2021-03-18,国投安信庞春艳：PTA又到一年检修时 今年比往年来得更积极,新浪
137,2021-03-18,【国投安信|能源深度】LPG结构性价差影响仓单价值，淡季合约高升水难再现,国投安信期货
138,2021-03-15,期货开户，就选国投安信,国投安信期货
139,2021-03-13,4家上市公司豪气“输血”旗下券商子公司 3家为其贡献净利均超60%,证券日报
140,2021-03-12,【国投安信|能源新星】成品油期货品种手册系列（二）：供应格局,国投安信期货
141,2021-03-10,晚间重要公告2021年3月10日星期三,Wind
142,2021-03-10,国投资本2020年净利同比增近四成,上证报
143,2021-03-10,国投资本业绩快报：2020年净利41.48亿元 同比增40%,e公司
144,2021-03-10,国投资本：2020年净利润同比增长39.79%（业绩快报）,Wind
145,2021-03-10,国投资本(600061.SH)业绩快报：2020年度净利升39.79%至41.48亿元,格隆汇
146,2021-03-10,国投资本：2020年净利润41.48亿元同比增长39.79%,格隆汇
147,2021-03-09,中能国际控股(01096.HK)与澳洲国投资本拟就区块链产业相关项目进行合作,格隆汇
148,2021-02-22,美国农业部2月展望论坛大豆种植面积解读【点石成金】,国投安信期货
149,2021-02-21,天然橡胶基差衡量边际权重变差 考验套利商保证金时候到了,新浪
150,2021-02-18,信用负面跟踪20210218,新浪
151,2021-02-07,国投资本(600061)：董事会秘书变更 董监高成员变化,证券时报网
152,2021-02-05,国投资本：聘任姚肇欣为公司董事会秘书,每日经济新闻
153,2021-02-03,【国投安信|能源新星】天然气期货品种手册系列（一）：天然气产业基础,国投安信期货
154,2021-01-25,国投资本：“国投转债”2月1日起开始转股,Wind
155,2021-01-21,【国投安信|能源评数】一季度供需缺口上调，油价震荡偏强格局延续,国投安信期货
156,2021-01-18,券商行业周报(2021年第二期)：债承“价格战”遭肃清 推动行业良性竞争,新浪
157,2021-01-18,安信证券80亿增资完成总资产近1700亿 去年资管业务手续费收入1.46亿同比降74% 盈利能力下降,长江商报
158,2021-01-16,首批6家券商“丰年”业绩亮相投行、自营业务发力,时代周报
159,2021-01-15,A字头券商业绩首秀、净利润增幅近五成 资管业务另有玄机,新浪
160,2021-01-15,国投资本披露两家子公司业绩 安信证券2020年净利润增长近五成,上证报
161,2021-01-15,首批券商业绩报表出炉：净利润同比大增，2020年行业“丰年”基调奠定,21世纪经济报道
162,2021-01-15,券商板块早盘异动拉升，首份券商年报出炉，一叶知秋行业高增长可期,资本邦
163,2021-01-14,业绩抢先看！两家券商2020年净利大增超三成，2021年券业高增长仍可期,中证报
164,2021-01-03,国投资本(600061)：券商、信托同步发力 打造央企上市金融控股平台,新浪
165,2020-12-31,午评：三大指数走高创指涨1.21% 金融板块发力,网易
166,2020-12-31,传复星拍下沱牌舍得集团70%股权 复兴医药一度大涨9%,证券时报网
167,2020-12-31,南财快评：正确解读近期村镇银行监管信息，呵护普惠金融发展壮大,21世纪经济报道
168,2020-12-31,董事长涉嫌内幕交易 格力地产免税重组遭遇黑天鹅,第一财经
169,2020-12-31,现场丨ST舍得控股股东70%股权拍卖：叫价几十轮 上海一家企业拿下,每日经济新闻
170,2020-12-31,反转！？獐子岛原董事长诉证监会获着名法学专家支持,第一财经
171,2020-12-23,铁矿石“涨声连连”，钢铁业突围在路上,Wind
172,2020-12-22,国投安信期货昆明5宗违规收警示函 为安信证券子公司 金融监管处罚,中国经济网
173,2020-12-14,铁矿石为何狂飙？钢厂吨钢毛利翻番！谁在趁机“揩油”？,证券时报
174,2020-12-08,【国投安信|能源新星】成品油期货品种手册系列(一) : 成品油现货基础,国投安信期货
175,2020-12-02,股期联动，有色金属“翩翩起舞”,Wind
176,2020-11-30,国投资本(600061.SH)：拟变更主审会计师事务所 变更会计师,格隆汇
177,2020-11-30,国投资本：变更主审会计师事务所 变更会计师,Wind
