70,2021-12-22,【异动股】航母概念板块下挫，中航重机(600765.CN)跌5.35%,财华社
71,2021-12-22,再获4艘订单！广船国际全年接单量创历史新高,国际船舶
72,2021-12-22,中国船舶旗下沪东中华与GTT公司联合研发全球最新一代LNG船通过认可 －国务院国有资产监督管理委员会,国资委
73,2021-12-21,中国船舶：旗下大船集团正式挺进大型LNG船领域,Wind
74,2021-12-21,中国船舶：旗下大船集团正式挺进大型LNG船领域,e公司
75,2021-12-21,交通运输部：中国船舶交管系统覆盖水域范围居世界第一,中新网
76,2021-12-21,首单3家船厂14艘散货船！又一家中国金融租赁公司进军航运业,国际船舶
77,2021-12-21,22股获券商买入评级，中国船舶目标涨幅达67.26%,第一财经
78,2021-12-21,22股获券商买入评级，中国船舶目标涨幅达67.26%,Wind
79,2021-12-20,陕柴重工与大船集团签署15.5万吨穿梭油轮辅机项目,国际船舶
80,2021-12-20,浦东加快构建大型邮轮新兴产业集群,浦东时报
81,2021-12-20,7家船厂26艘订单！中国船舶集团“乔迁大礼”,国际船舶
82,2021-12-20,中国第二家！大船集团进军大型LNG船市场获首单,国际船舶
83,2021-12-20,海关总署：11月中国船舶进口179艘，同比下降30.6%,我的钢铁
84,2021-12-19,外高桥造船启动大型邮轮创新中心建设,国际船舶
85,2021-12-19,6股获买入评级 最新:中远海控,中财网
86,2021-12-19,46船套！这两家船企签署压载水系统批量订单及FGSS战略合作协议,国际船舶
87,2021-12-18,航运造船事件点评：行业新里程碑 江南、大船首获LNG船订单 招商轮船进入LNG即期运输市场,新浪
88,2021-12-17,里程碑节点，中国首制大型邮轮实现坞内起浮，2023 年交付,IT之家
89,2021-12-17,南京金陵船厂发明专利获中国船舶与海洋工程行业专利金奖,国际船舶
90,2021-12-17,中国首制大型邮轮实现坞内起浮里程碑节点,中新网
91,2021-12-17,中国船舶：下属子公司获得政府补助3029万元,国际船舶
92,2021-12-16,中韩日造船业布局与格局,国际船舶
93,2021-12-16,中国船舶(600150.SH)下属子公司收到政府补助3029.25万元,智通财经
94,2021-12-16,中国船舶(600150.SH)：11月1日起累计收到政府补助3029.25万元,格隆汇
95,2021-12-16,中国船舶沪东中华与法国GTT公司联合研发 全球最新一代“长恒系列”LNG获国际认可,新民网
96,2021-12-16,中国船舶集团董事长雷凡培会见中远海运集团董事长万敏一行,国际船舶
97,2021-12-16,2022年跨境物流行业年度策略：中国物流集团扬帆起航 实现全球物流自主可控,新浪
98,2021-12-15,央企总部加速迁出 北京产业“腾笼换鸟”,中新网
99,2021-12-15,融资客青睐7股，厦门空港买入占比高达53.32%,Wind
100,2021-12-15,皆为全国首制！中国船舶“宏利”号、“扶摇号”同天交付－国务院国有资产监督管理委员会,国资委
101,2021-12-14,黄浦区委、区政府领导带队走访中国船舶集团有限公司,东方网
102,2021-12-14,A股收盘综述：元宇宙再现涨停潮，白酒、电力、数字货币逆市上扬,Wind
103,2021-12-14,军工股短线拉升，中国海防、中国船舶、亚星锚链表现活跃,Wind
104,2021-12-13,中国动力子公司与宁波聚和物流举行甲醇主机合作意向书签字仪式,Wind
105,2021-12-10,“扶摇”直上！国内首台深远海浮式风机获重大进展,北极星电力
106,2021-12-10,我国万米深潜次数和人数居世界首位，“奋斗者”号载人潜水器圆满完成科考任务,科技日报
107,2021-12-10,中国船舶科技论坛“先进材料在舰船及海工领域应用”分论坛在厦门召开,中国有色
108,2021-12-09,2022年全球二手船发展现状及市场规模分析 散货船交易占比最高【组图】,前瞻研究院
109,2021-12-09,中船邮轮自主研发设计的大型邮轮获得意大利船级社原则性（AIP）认可证书,中新网
110,2021-12-09,【*中船小公募（第二期）】不超20亿，3年（2.70%-3.70%）5年（2.90%-3.90%），双向互拨，AAA/AAA,中信建投固定收益部
111,2021-12-09,湖北省委书记应勇来中国船舶集团七一二所黄冈产业园调研,e公司
112,2021-12-09,中国船舶集团七一二所签订佛山首艘大型纯电动游览船电池动力系统供货合同,e公司
113,2021-12-09,“重回”青岛！北船重工升格中国船舶集团二级子公司,国际船舶
114,2021-12-09,冲刺年终！再交两艘高品质船舶,我的钢铁
115,2021-12-08,新周期在路上，造船业能扬眉吐气了么？,星空财富
116,2021-12-08,2022年全球船队资产行业区域市场竞争格局分析 中日处于领先地位,前瞻研究院
117,2021-12-08,解盘：大盘震荡走高，白酒、军工、半导体、光刻胶领涨,Wind
118,2021-12-07,中国物流集团亮相，还有中国稀土集团…央企重组“不为大”,新浪
119,2021-12-07,海关总署：11月中国船舶出口357艘，同比下降74%,我的钢铁
120,2021-12-07,中国船舶沪东中华再签3艘17.4万立方米LNG运输船建造合同,中新网
121,2021-12-05,申万宏源交运一周天地汇：航运产业链利润向港口转移开始兑现期 推荐关注上港集团、招商港口等,新浪
122,2021-12-04,“中国船舶”入驻黄浦,东方网
123,2021-12-02,中船澄西交付民生信托85000吨散货船9号船,国际船舶
124,2021-12-02,广船国际为欧洲船东TORM建造首艘11.4万吨油船命名交船,国际船舶
125,2021-12-01,热点推送丨工作群信息泄露咋办？大数据构建四大安全特性杜绝泄密,上游新闻
126,2021-12-01,中国电子推出国资云蓝信工作群服务，助力政企数字化转型，提供安全移动办公,金融界
127,2021-12-01,194艘！中国船舶集团提前一个月完成全年交船任务,中国船舶报
128,2021-11-30,中国船舶集团与中国石油化工集团签战略合作框架协议,e公司
129,2021-11-30,中国石化与中国船舶签署战略合作框架协议,Wind
130,2021-11-30,中国石化与中国船舶签署战略合作框架协议,电力新闻网
131,2021-11-30,解盘：人气回暖，数字货币、网络安全、军工、大数据领涨,Wind
132,2021-11-30,航母概念股突击上涨，海格通信冲击涨停,Wind
133,2021-11-30,中国船舶集团提前一个月超额完成全年交船任务,中新网
134,2021-11-29,中船财务股权变更获批,中国银行保险报
135,2021-11-29,亚星锚链：正茂集团及其子公司目前没有涉及矿产品,Wind
136,2021-11-26,武船集团调整领导班子姜涛担任董事长,国际船舶
137,2021-11-26,与马士基集团在箱船领域首次合作收官！这家船厂交付最后一艘2200TEU集装箱船,国际船舶
138,2021-11-25,北向资金连续5日净买入成交额创5个月新低，再度净买入贵州茅台超3亿元,Wind
139,2021-11-25,沪东中华交付达飞第三艘15000TEU船提前完成年度任务,国际船舶
140,2021-11-24,10个多月交船17艘！中国船舶沪东中华提前38天完成年度任务,东方网
141,2021-11-24,中国船舶集团与中信集团签署战略合作协议,国际船舶
142,2021-11-23,A股收盘综述：沪指三连阳冲击3600点未果,Wind
143,2021-11-23,首次实现2艘LNG整船同日出坞 中国船舶沪东中华建造效率全球领先,中新网
