,2021-12-31,煤炭坐上“过山车”：价格疯涨后企稳回落,中国经营网
65,2021-12-14,华能国际(600011.SH)完成发行30亿元超短期融资券,智通财经
66,2021-12-14,华能国际：启东H1、H2、H3海上风电与公司无产权关系,Wind
67,2021-12-14,华能国际：启东H1、H2、H3海上风电与公司无产权关系,每日经济新闻
68,2021-12-14,机构资金和北上资金同时抢筹的股票来了，请及时收藏,证券时报网
69,2021-12-13,A股收盘综述：沪指3700点得而复失，元宇宙概念掀涨停潮；北交所一股“30CM”涨停！,Wind
70,2021-12-13,68只股上午收盘涨停(附股),证券时报网
71,2021-12-13,A股午盘综述：沪指放量涨1%，时隔3个月重返3700点！元宇宙概念再度爆发,Wind
72,2021-12-13,电力板块走势活跃 江苏新能、华能国际等涨停,证券时报网
73,2021-12-13,电力股二次拉升，三峡能源、时代新材、长江电力等走势强劲,Wind
74,2021-12-13,快讯：华能国际涨停 报于8.94元,金融界
75,2021-12-13,电力股集体高开，长江电力涨停，上海电力、内蒙华电、华能国际纷纷走强,Wind
76,2021-12-08,新能源发电：“以大代小”无碍补贴周期 激发运营商替换动力,新浪
77,2021-12-08,华能国际：目前公司在甘肃有投资运营风电项目,财联社
78,2021-12-08,华能国际：目前公司没有参与碱性水电解相关项目,Wind
79,2021-12-08,规模持续增长创新不断涌现，绿色债券为高质量发展注入强大力量,Wind
80,2021-12-08,港股异动 | 华能国际(00902)涨超6%领涨电力股 广东省储能、抽水蓄能辅助服务纳入电价,智通财经
81,2021-12-08,机构资金最近入驻这些股,证券之星
82,2021-12-07,电力板块午后发力，闽东电力直线封板,Wind
83,2021-12-07,电力股直线冲高，甘肃电投涨停,Wind
84,2021-12-06,南京与华能集团共建中国能谷！,Wind
85,2021-12-06,碳中和周报：“十四五”工业绿色发展规划出台 全力推动工业碳达峰,新浪
86,2021-12-06,公共事业四问四答,郭丽丽的研究札记
87,2021-12-06,公用环保行业周报：2022年电煤长协征求意见稿发布有利于保障煤电资产现金流,新浪
88,2021-12-06,公用环保行业重大事项点评：火电重新恢复盈利能力 电价步入上行周期,新浪
89,2021-12-06,环保与公用事业行业周报(2021年第46期)：工业和信息化部印发工业绿色发展规划 加快能源消费低碳化转型,新浪
90,2021-12-06,华能国际等75股近五日获机构净买入,证券时报网
91,2021-12-06,绿色电力股延续强势,Wind
92,2021-12-06,每日理财观察：银行保险机构关联交易管理办法有望近期出台,Wind
93,2021-12-06,A股早报2021年12月6日星期一,Wind
94,2021-12-06,陆家嘴财经早餐2021年12月6日星期一,Wind
95,2021-12-06,绿色电力政策密集出台，行业发展步入快车道,Wind
96,2021-12-05,公用事业周观点：煤价中枢提高，绿电优势凸显【国君公用事业】,煤市乾坤
97,2021-12-05,公用周报：江苏首批平价海风项目启动竞争性配置 第二批内陆风电光伏大基地项目开始上报,新浪
98,2021-12-04,沪指重上3600点，北向资金净买入92亿元,Wind
99,2021-12-03,权重股回暖 沪指重上3600点 蓝筹股或推动大盘走出跨年行情,大众证券报
100,2021-12-03,金融街下午茶2021年12月3日星期五,Wind
101,2021-12-03,数据复盘｜食品饮料等行业获主力资金青睐 北向资金加仓兆易创新、泸州老窖等,证券时报网
