,2021-12-31,打造祝桥商业发展新标杆，浦东天和广场盛大开业！,钢企网
0,2021-12-30,36氪首发｜无人配送公司白犀牛获5000万Pre A+轮融资，5年内无人车日活量达5000台,36氪
1,2021-12-29,2021工资最低的十个行业,Wind
2,2021-12-27,山东上市企业观察|业绩下滑不改家家悦扩张步伐 盈利能力下降,财经网
3,2021-12-27,创始人出身百度自动驾驶团队，白犀牛完成5000万元Pre-A+轮融资,猎云网
4,2021-12-27,永辉超市的三重困境：对手、模式和现金流,凤凰网
5,2021-12-26,速看！红心火龙果检出阳性，急寻购买者！来这个超市买过的立即上报,每日经济新闻
6,2021-12-26,2021工资最低的十个行业,36氪
7,2021-12-24,永辉超市入驻天神娱乐旗下生态园,乐居财经
8,2021-12-24,永辉超市入驻天娱旗下生态园,e公司
9,2021-12-24,甘肃永辉超市法人代表由林小昌变更为李盛文,乐居财经
10,2021-12-24,超市连锁板块拉升：三江购物涨停 永辉超市、红旗连锁、家家悦涨超5%,凤凰网
11,2021-12-24,上海证券：零售行业短期或现拐点,财联社
12,2021-12-22,抗疫保供暖人心，永辉超市线上线下全渠道保障供给,中经导报
13,2021-12-22,中国银河证券：消费市场规模扩张持续，建议重点关注,中经导报
14,2021-12-22,永辉超市线上线下全渠道保障供给,质量新闻网
15,2021-12-22,永辉超市(601933.SH)拟选举张轩松为董事长 聘任李松峰为CEO,智通财经
16,2021-12-22,自产食品过期却还在售卖？永辉超市一分公司遭罚2万元,中国网
17,2021-12-18,零售巨头金融策略各不同：物美导流VS永辉自营,中国经营报
18,2021-12-17,12点聊电商：创新强者·至高荣耀，2021金触点大奖揭晓,亿邦动力
19,2021-12-16,集美灌口万达广场即将开业 万达影城、永辉超市等入驻,联商网
20,2021-12-13,消费品零售&化妆品行业周报：中央经济工作会议“稳字当头” 维持推荐经营确定性强的优质零售标的,新浪
21,2021-12-13,受益消费信心边际，永辉超市等高品质龙头市场认可度持续攀升,搜狐
22,2021-12-12,饿了么创始人再创业！五芳斋拟冲刺IPO丨电商财经要闻,亿邦动力
23,2021-12-08,永辉超市拟推荐京东集团总裁徐雷为董事长,搜狐
24,2021-12-07,商贸零售行业周报：零售新业态百舸争流,新浪
25,2021-12-07,永辉超市拟推荐京东集团徐雷为第五届董事会董事候选人,Bianews
26,2021-12-06,永辉超市：58岁监事会主席提前内退，支持组织架构年轻化,澎湃新闻
27,2021-12-06,永辉超市：公司监事会主席辞职 董监高成员变化,中证网
28,2021-12-06,永辉超市最新公告：拟使用5亿元闲置募集资金暂补流动资金,证券之星
29,2021-12-06,这届年轻人都不爱逛超市了吗？,联商网
30,2021-12-06,永辉超市：永辉超市股份有限公司关于监事会主席辞职的公告 董监高成员变化,新浪
31,2021-12-06,永辉超市：监事会主席林振铭辞职 董监高成员变化,Wind
32,2021-12-06,石家庄确定10余家企业适当加大库存，确保应急状态下生活必需品供应,Wind
33,2021-12-03,永辉超市提前归还5亿元至公司募集资金专户,观点地产网
34,2021-12-02,“生鲜”能否拯救无印良品？,中投网
35,2021-12-02,永辉超市归还5亿元用于补充流动资金的募集资金,乐居财经
36,2021-12-02,深度解读！沃尔玛闭店事件 大型商超的冬天到了 付费会员店春天还会远吗？,前瞻研究院
37,2021-12-01,第一家中国卖场要关了，却还要开100家店，沃尔玛在干嘛？,网易
38,2021-12-01,华通银行五年换三任行长，新行长如何破解民营银行吸储魔咒？,时代周报
39,2021-11-30,【银河消费品零售&化妆品甄唯萱】行业周报丨年末各公司不断调整优化自身经营布局，维持推荐优质零售标的,中国银河证券研究
40,2021-11-29,永辉超市股东张轩松解质押9500万股，占总股本1.05%,乐居财经
41,2021-11-29,永辉超市(601933.SH)：股东张轩松质押1.8亿股、解质9500万股,格隆汇
42,2021-11-28,前三季度大亏21亿，所有者权益锐减69亿，永辉超市怎么了？ 亏损,搜狐
43,2021-11-28,国联水产：玄甲投资、国金证券等3家机构于11月10日调研我司,证券之星
44,2021-11-25,尴尬的京东战投部,36氪
45,2021-11-24,财华聚焦|冰火两重天的沃尔玛，能靠“山姆”杀出一条路吗？,财华社
46,2021-11-24,沃尔玛关店，山姆会更好吗？,ZAKER
47,2021-11-24,芝华士13年于永辉旗下咏悦汇酒库首发,中国日报网
48,2021-11-24,沃尔玛将关内地首店；Q3快手电商GMV1758亿；海底捞筹资23亿,搜狐
49,2021-11-24,沃尔玛在国内开的第一家店也要闭店了，大型商超何去何从？,搜狐
50,2021-11-23,沃尔玛中国的冰与火： 山姆会员卖到爆，内地首家卖场却要关店,证券之星
51,2021-11-22,费品零售&化妆品行业行业周报：多家美股消费品零售公司发布最新一季财报 维持推荐优质零售标的,新浪
52,2021-11-19,货币资金短期债务缺口近21亿 永辉超市迷路了,新浪
53,2021-11-17,小米整合零售；苏宁易购回应破产传闻；盒马济南店将开业；淘菜菜暂停贵州业务 减资破产,搜狐
54,2021-11-17,生鲜生意不好做，无印良品为何也要凑热闹？,36氪
55,2021-11-17,“双面”麦德龙：收着会员费的“大卖场”,联商网
56,2021-11-16,社区团购和大型商超是竞合关系，不是敌我关系,搜狐
57,2021-11-15,永辉超市提前归还3000万元至公司募集资金专户,观点地产网
58,2021-11-15,前三季度亏超20亿！永辉超市CEO换帅背后有何考量？ 亏损,投资时报
59,2021-11-14,永辉阵痛：上市11年首亏！股价持续走低，还有戏吗？ 亏损,搜狐
60,2021-11-10,吸引零售巨头布局，双十一前夕“折扣仓”成新“淘宝”地,鲁网
61,2021-11-10,开什么样的超市，永辉超市很迷茫,36氪
