73,2021-12-16,1.36GW！四川新增核准15个风电项目，中广核、中国电建、华能领衔,国际能源网
74,2021-12-16,3245兆瓦！中国电建最大总承包新能源项目开建,电缆网
75,2021-12-16,大基建板块成资金避风港，基建50ETF（516970）涨1.42%，中国电建涨5.52%，药明康德跌1.96%,资本邦
76,2021-12-16,基建前瞻指标好转，中国电建、中国核建涨幅居前，基建ETF（516950）涨近1.5%,资本邦
77,2021-12-15,中国电建山东五莲30MW光伏复合发电项目并网发电,中国电力建设集团
78,2021-12-15,中国电建中标海南天能莺歌海盐场100MW平价光伏项目,中国电力建设集团
79,2021-12-15,中国电建西北院：“心”向太阳，“共和”光热,新能源网
80,2021-12-14,2022年提前批专项债额度已下达！基建50ETF（516970）跌1.83%，中国电建跌0.9%,资本邦
81,2021-12-14,中国电建联合洛阳古都丽景成立中电建金隅城洛阳城开建设，注册资本1亿元,乐居财经
82,2021-12-14,中国电建签署柬埔寨水电项目,微信
83,2021-12-14,中国电建签订中国俄罗斯中心项目合作协议,微信
84,2021-12-13,【预见】两个交易日股价翻倍！中铝国际是真正的“盐湖提锂”概念股吗？,财华社
85,2021-12-13,西藏珠峰与中国电建国际工程公司签署战略合作框架协议,中国有色
86,2021-12-13,中国电建30亿元ABS获上交所受理,乐居财经
87,2021-12-13,快讯：中国电建涨停 报于8.18元,金融界
88,2021-12-13,大基建指数发力上攻，中字头股一马当先,Wind
89,2021-12-13,中国电建签约莫桑比克贝拉供水修复项目,微信
90,2021-12-13,中国电建签约埃塞俄比亚两个项目,微信
91,2021-12-11,中信建投证券六大研究团队最新解读中央经济工作会议,Wind
92,2021-12-10,绿电引领新能源基建，氢能加速碳中和技改，国泰君安：基建底部确立！,智通财经
93,2021-12-10,中国电建在广西投资成立新公司 经营范围含新能源原动设备制造,财联社
94,2021-12-10,中国电建于广西投资成立新公司，注册资本30亿,Bianews
95,2021-12-09,投资179.5亿元！三峡携手中国电建签约吉林新能源开发项目,北极星电力
96,2021-12-09,学贯六中全会精神丨中国电建：凝聚共识 增强斗志,电力新闻网
97,2021-12-09,A股融资融券日报：两融余额增加42.4亿元（12月8日）,Wind
98,2021-12-09,“退房”公司越来越多，转战新产业新经济,Wind
99,2021-12-08,广东省发改委关于电网企业开展代理购电问题的批复点评：抽水蓄能使用者付费时代来临 利好行业进一步扩容,光大证券
100,2021-12-08,北向资金再度加仓近百亿，贵州茅台获大幅净买入超16亿元,Wind
101,2021-12-08,中国电建海外市场连连签！,微信
102,2021-12-08,A股融资融券日报：两融余额减少43.44亿元（12月7日）,Wind
103,2021-12-08,中国电建设计承建的中国俄罗斯中心项目正式启动－国务院国有资产监督管理委员会,国资委
104,2021-12-07,建筑与工程点评报告：第二批风光大基地项目申报开启 或涉及哪些建筑企业？,新浪
105,2021-12-07,建筑装饰行业中央政治局会议点评：经济稳字当头 逆周期调节预期升温,新浪
106,2021-12-07,中国电建与中国进出口银行签订战略合作协议,中国能源网china5e
107,2021-12-07,A股融资融券日报：两融余额减少24.72亿元（12月6日）,Wind
108,2021-12-07,建筑与工程-政治局会议点评：关注基建稳增长和地产基本面改善 看好板块估值提升,新浪
109,2021-12-06,学贯六中全会精神丨中国电建：深化改革 全面创新,电力新闻网
110,2021-12-06,电气设备行业周报：供给端持续突破 光伏终端进入上升周期,新浪
