,2021-12-31,"建业地产与中国铁建地产签约,将在代建、装配式建筑等领域合作",金融界
70,2021-12-10,中国铁建出资55亿元参与认购珠海铁建亚投基金,乐居财经
71,2021-12-10,中国铁建(601186.SH)：子公司拟出资合计55亿元参设珠海市铁建亚投股权投资合伙企业,格隆汇
72,2021-12-10,中国铁建：110亿债转股事项因涉及股份公司且上了公司董事会，所以进行了披露,每日经济新闻
73,2021-12-09,图说│在莫斯科地铁遇见“中国印记”，俄罗斯首次在地铁施工领域引进中国企业,东方网
74,2021-12-09,中国铁建：完成发行30亿元超短期融资券 票面利率2.08%,中金在线
75,2021-12-09,港股盘前必读：人民币汇率创下三年半以来新高，美股连续三日收高,Wind
76,2021-12-09,中国铁建(01186)将于12月15日支付“20铁建Y3”利息 每手派43.7元,智通财经
77,2021-12-09,中国铁建(01186.HK)：“20铁建Y3”将于12月15日开始付息,格隆汇
78,2021-12-08,中国铁建确定30亿可续期公司债首期利率 品种一3.2%品种二3.58%,观点地产网
79,2021-12-08,中国铁建确定30亿元公司债券利率为3.20%、3.58%,乐居财经
80,2021-12-08,中国铁建(01186)：2021年可续期公司债券(第三期)品种一首个周期票面利率为3.2%,智通财经
81,2021-12-08,中国铁建(01186.HK)2021年公司债券第三期品种一首个周期票面利率为3.20%,格隆汇
82,2021-12-08,中国铁建：延长“21中铁建SCP001”簿记建档结束时间至12月8日11:00,Wind
83,2021-12-07,建筑与工程点评报告：第二批风光大基地项目申报开启 或涉及哪些建筑企业？,新浪
84,2021-12-07,中国铁建拟发行30亿元公司债券，用于补充流动资金,乐居财经
85,2021-12-07,中国铁建：“21中铁建SCP001”簿记建档利率区间调整为【1.96%-2.08%】,Wind
86,2021-12-07,中国铁建(01186)拟发行不超30亿元2021年可续期公司债券(第三期),智通财经
87,2021-12-07,中国铁建调整第一期超短期融资券发行规模增加为30亿元,观点地产网
88,2021-12-07,建筑装饰行业中央政治局会议点评：经济稳字当头 逆周期调节预期升温,新浪
89,2021-12-07,中国铁建：“21中铁建SCP001”发行金额调整为30亿元,Wind
90,2021-12-07,中国铁建拟发行不超过30亿元可续期公司债券,观点地产网
91,2021-12-06,中国银河维持建筑行业推荐评级：量变到质变，绿色低碳助发展,每日经济新闻
92,2021-12-06,中国铁建：拟发行不超过50亿元超短期融资券,中金在线
93,2021-12-06,中国铁建拟发行上限50亿元超短期融资券 期限20天,观点地产网
94,2021-12-06,中国铁建100亿元资产支持ABS获上交所受理,中金在线
95,2021-12-05,中国铁建：世界海拔最高的高铁站开通运营,Wind
96,2021-12-05,建筑行业2022年度投资策略：变则通 通则久,新浪
97,2021-12-03,中国铁建：公司报证监会的REITs项目涉及扩能改建,每日经济新闻
98,2021-12-03,中国铁建：公司近几年参与了部分风电项目,每日经济新闻
99,2021-12-03,行业跟踪报告：建筑PMI持续提升 基建投资有望回升,新浪
100,2021-12-03,三大指数弱势震荡，汽车整车板块表现强势,Wind
101,2021-12-02,中国铁建资管第1-4期供应链ABS债券获受理 发行金额80亿元,观点地产网
102,2021-12-02,A股快报 | 中国铁建收涨5.17% 广宇发展收跌7.19%,观点地产网
103,2021-12-01,中国铁建80亿元ABS债券获上交所受理,乐居财经
104,2021-11-30,12月2日中老铁路开通，相关概念股将受益,凤凰网
105,2021-11-30,中国铁建：12月21日召开2021年第二次临时股东大会,Wind
106,2021-11-30,中国铁建：董事会会议审议通过《关于中国铁建股份有限公司董事会授权管理制度的议案》,Wind
107,2021-11-30,中国铁建地产为长沙芙蓉区项目挂牌增资，拟出让60%股权,乐居财经
108,2021-11-30,中字头股跃跃欲试，中国中冶、中国化学、中国铁建均有抬头迹象,Wind
109,2021-11-26,中国铁建地产华东公司南京片区花语江南项目交房进行时：党员冲在前 旗帜显担当,中房网
110,2021-11-26,中国铁建地产推出双12购房钜惠：犒赏每一份热爱,中新网
111,2021-11-26,变革下的地产赛道，如何外秀实力、内修功力？,中新网
112,2021-11-26,建筑行业2022年年度策略：拥抱双碳主线 重视建筑板块“变化”的力量,新浪
113,2021-11-25,南京“两集中”供地首日30宗地块揽金303.74亿元 中国铁建、栖霞建设等均有斩获,中国网
114,2021-11-25,中国铁建6.6亿元底价摘得南京1宗商住用地,中金在线
115,2021-11-25,中国铁建地产华东公司南京片区对已交付项目开展“119”消防演习,凤凰网
116,2021-11-25,噤声下再反思：中国式独董困境,财联社
117,2021-11-24,中国铁建(01186.HK)：建议选举第五届董事会董事及第五届监事会股东代表监事,格隆汇
118,2021-11-24,中国铁建：建议重选及委任董事会董事,Wind
119,2021-11-24,中国铁建:提名汪建平、庄尚标、陈大洋、刘汝臣为执行董事,金融界
120,2021-11-24,中国铁建提名汪建平、庄尚标等为执行董事人选,乐居财经
121,2021-11-24,2022年度建筑行业投资策略：基建发力优选新能源建设 装配式高增长看好钢结构,新浪
122,2021-11-24,运达科技5.9亿关联收购 标的净资产大升是否利益输送,中国经济网
123,2021-11-24,勇闯蓝海拓市场 集中优势创品牌,中国环境报
124,2021-11-23,中国铁建：2021年面向专业投资者公开发行可续期公司债券（第二期）发行结果,Wind
125,2021-11-23,中国铁建(01186.HK)完成发行30亿元可续期公司债,格隆汇
126,2021-11-23,中国铁建近期中标11个重大项目，涉及金额达987.21亿元,我的钢铁
127,2021-11-23,中国铁建：公司目前业务不涉及核建业务,Wind
128,2021-11-22,公司的独立董事有辞职的打算吗？中国铁建：公司不存在该问题 董监高成员变化,每日经济新闻
129,2021-11-22,中国铁建：30亿元可续期公司债券票面利率最高为3.64%,中国网
130,2021-11-19,中国铁建：确定2021年面向专业投资者公开发行可续期公司债券(第二期)票面利率,Wind
131,2021-11-19,中国铁建(01186)：2021年可续期公司债券(第二期)品种一首个周期票面利率为3.3%,智通财经
