,2021-12-31,"建业地产与中国铁建地产签约,将在代建、装配式建筑等领域合作",金融界
788,2021-03-04,中国铁建(01186.HK)拟将“18铁建Y2”全额兑付,格隆汇
789,2021-03-04,中国铁建：“18铁建Y2”不行使续期选择权,Wind
790,2021-03-04,以债偿债，中国铁建成功发行20亿元公司债，发行利率4.17%,资本邦
791,2021-03-04,中国铁建控股子公司环境违法被罚10万元 环保处罚,每日经济新闻
792,2021-03-04,中国铁建房地产：成功发行20亿元中期票据 票面利率4.17%,中金在线
793,2021-03-04,南向资金高比例持有港股名单,证券之星
794,2021-03-02,杭州“第一高楼”底价拍出 融创地标与鹏瑞利TOD玩法,乐居财经
795,2021-03-02,国盛证券--建筑装饰行业周报：碳中和首推水泥工业升级龙头中材国际，经济复苏看好装饰龙头金螳螂【行业研究】,金融界股吧
796,2021-03-02,中国铁建联合体28.73亿元竞得杭州1宗商业用地,中金在线
797,2021-03-01,惠誉：中国最新的交通计划将有利于工程和建筑公司,云掌财经
798,2021-03-01,建筑行业周观点：装配式不惧调整,华创建筑建材研究
799,2021-02-26,【每日丝路快讯】2月26日：全国脱贫攻坚总结表彰大会在京隆重举行,Wind
800,2021-02-26,69只港股获南向资金大比例持有,证券之星
801,2021-02-25,地产股狂飙1100亿，三大谜团待解,券商中国
802,2021-02-25,A股收盘综述：上证指数涨0.59%未能收复3600，地产股大涨,Wind
803,2021-02-25,【异动股】中国铁建(01186-HK)涨3.75%,财华社
804,2021-02-25,低估值基建股再起波澜 机构：从五个角度把握板块春季行情丨牛熊眼,第一财经
805,2021-02-25,A股午盘综述：上证指数涨1.07%收复3600，地产股爆发、万科保利等涨停,Wind
806,2021-02-25,大基建央企指数涨近3%，中铁、中冶、中国建筑、中国铁建等集体走强,Wind
807,2021-02-24,中国铁建拟发行2021年度第一期中期票据20亿元,观点地产网
808,2021-02-24,中国铁建房地产：拟发行20亿元中期票据,中国网
809,2021-02-24,中国铁建地产与华为战略合作落地 推动行业智慧化建设,中新网
810,2021-02-23,八大建筑央企合围10万亿环保市场 谁能率先突围？,环保在线
811,2021-02-23,安信证券--建筑行业：多地明确2021年重点建设计划，低估值板块基本面向好配置价值凸显【行业研究】,金融界股吧
812,2021-02-23,八大建筑央企合围10万亿超级市场 谁能率先突围？,北极星节能
813,2021-02-23,太平洋--建筑周观点：“十四五”开工潮启动，关注轨交减振龙头天铁、减隔震龙头震安【行业研究】,金融界股吧
814,2021-02-23,南向资金高比例持有港股名单,证券之星
815,2021-02-23,A股融资融券日报：两融余额增加99.09亿元（2月22日）,Wind
816,2021-02-23,建筑与工程行业周报：金属品大涨 建筑央企拥有哪些矿产资源,新浪
817,2021-02-22,【异动股】中国铁建(01186-HK)涨3.08%,财华社
818,2021-02-22,华安证券--住建部：农村危房改造要持续推进并长期坚持【行业研究】,金融界股吧
819,2021-02-22,2.5小时到上海！沪深广磁悬浮规划曝光，概念股有哪些？,每日经济新闻
820,2021-02-21,建筑装饰行业：利率上行通道中的价值重估、逆周期氛围的形成与中周期逻辑的展开,新浪
821,2021-02-21,建筑装饰周观点：关注中盘蓝筹的投资机会 首推鸿路钢构、金螳螂,新浪
822,2021-02-20,建筑装饰行业研究周报：1月基建相关社融指标创历史新高 继续看好Q1基建回暖,新浪
823,2021-02-19,【异动股】中国铁建(01186-HK)涨3.44%,财华社
824,2021-02-19,68只港股获南向资金大比例持有,证券之星
825,2021-02-18,建筑与工程行业周报：Q1建筑有哪些景气板块？,新浪
826,2021-02-18,建筑行业第207期周报：顺周期化工有色趋势向上 钢结构业绩确定性增强,新浪
827,2021-02-18,A股价值龙头50强出炉，低位低估值+高ROE白马，社保险资长线重仓股集中营，持续高增长股揭秘,金融界
828,2021-02-08,建筑与工程行业周报：”十四五“开局装配式政策亮点有哪些？,新浪
829,2021-02-08,建筑行业第206期周报：继续推荐顺周期制造业国际工程、装配式与基建龙头,新浪
830,2021-02-08,八大券商主题策略：顺周期品种迎来新一轮复苏周期？三维度把握建材春季行情,中金在线
831,2021-02-08,南向资金高比例持有港股名单,证券之星
832,2021-02-07,建筑装饰行业研究周报：21Q1基建景气度上行 继续推荐装配式龙头及低估值蓝筹,新浪
833,2021-02-07,【太平洋建筑】“城市群”推动轨交高景气，关注减振降噪龙头天铁、减隔震龙头震安 ——周观点0207,新浪
834,2021-02-07,建材行业定期报告：水泥玻璃淡季运行 建筑产业面临发展拐点,新浪
835,2021-02-05,房地产行业月报：开年市场供需两旺 稳中有升整体上行,新浪
836,2021-02-05,上市公司正负面新闻2021年2月5日星期五,Wind
837,2021-02-05,中国铁建(01186-HK)中标8项目共涉资500亿人民币,财华社
838,2021-02-04,晚间重要公告2021年2月4日星期四,Wind
839,2021-02-04,2月4日晚间上市公司十大重磅公告,巨丰财经
840,2021-02-04,中国铁建控股子公司环境违法被罚6.25万元 环保处罚,每日经济新闻
841,2021-02-04,中国铁建(01186.HK)近期中标项目金额合计500.41亿元,格隆汇
842,2021-02-04,中国铁建：近期中标500亿元重大项目,e公司
843,2021-02-04,中国铁建(601186.SH)：近期中标8个重大项目 项目金额合计500.41亿元,格隆汇
844,2021-02-04,建筑装饰行业2020年业绩前瞻：装配式业绩兑现 工程龙头集中度不断提升,新浪
845,2021-02-04,中国铁建房地产完成发行13亿元公司债券 票面利率3.95%,乐居财经
846,2021-02-04,中国铁建中标马来西亚257.6米高层建筑项目！,一带一路高参
847,2021-02-03,广州南沙明珠湾大桥主桥合龙 多项技术达到世界领先水平,中新网
848,2021-02-03,68只港股获南向资金大比例持有,证券之星
849,2021-02-01,【安信建筑】行业周报0207：城镇化建设不断推进，海河水利建设发展可期,勇往直前
850,2021-02-01,建筑与工程行业周报：央企大象何以继续飞奔？,新浪
851,2021-02-01,南向资金高比例持有港股名单,证券之星
852,2021-02-01,【太平洋建筑】关注高景气轨交减振龙头天铁股份，防减灾减隔震单项冠军震安科技——周观点0131,太平洋建筑研究
853,2021-01-31,建筑行业周报：2020Q4建筑板块持仓分析,华安证券
854,2021-01-29,中国铁建(01186.HK)2018年可续期公司债(第一期)不行使续期选择权,格隆汇
855,2021-01-29,中国铁建：“18铁建Y1”不行使续期选择权,Wind
856,2021-01-29,中国铁建房地产拟发13亿公司债券还债 超30%债务为股东借款,中华网
857,2021-01-29,中国铁建地产拟发行13亿公司债 利率询价3.3%-4.3%,搜狐
858,2021-01-29,中国铁建房地产：拟发行13亿元公司债券,中国网
859,2021-01-29,中国铁建地产拟发13亿公司债 利率询价最高4.3%,观点地产网
860,2021-01-29,109股获券商买入评级 精工钢构目标涨幅达104%,Wind
861,2021-01-29,港股盘前必读：阿里巴巴减持阿里健康总金额约39亿港元,Wind
862,2021-01-29,中国铁建(01186.HK)获UBS Group AG增持9532.1万股,格隆汇
863,2021-01-28,【权益变动】中国铁建(01186-HK)获瑞银增持9532.118万股,财华社
864,2021-01-28,中国铁建在莫斯科地铁项目中首发新年首台盾构机,中国贸易报
865,2021-01-27,中国铁建(601186)公司事件点评：2020年新签增27%超额完成目标且延续高增 低估值滞涨基建央企蓝筹,新浪
866,2021-01-27,中银证券--建筑行业周报：行业关注度仍低，继续推荐装配式与工业建筑【行业研究】,金融界股吧
867,2021-01-27,南向资金高比例持有港股名单,证券之星
868,2021-01-27,建筑与工程行业基金4Q20持仓分析：持仓降至历史底部 装配式产业链持仓回落,新浪
869,2021-01-26,2021年资金面研究跟踪报告一：近期南下资金持续加大 投资动向值得关注,新浪
870,2021-01-26,建筑装饰行业点评：订单万亿央企为何仍能“疾驰”？,新浪
871,2021-01-26,中国铁建揽获阿瓦什油码头铁路连接线项目－国务院国有资产监督管理委员会,国资委
872,2021-01-26,月赚两千亿！创纪录南下资金到底买了啥？,证券时报网
873,2021-01-25,【安信建筑】行业周报0131：基建公募REITs规则落地，重大水利建设获得推进,勇往直前
874,2021-01-25,建筑与工程行业：机构持仓创新低 装配式和低估值是配置主线,新浪
875,2021-01-25,中国铁建地产：成功发行13亿元公司债券 票面利率3.78%,中国网
876,2021-01-25,中国铁建(601186)：Q4新签再提速 全年订单高增27%,新浪
877,2021-01-25,港股盘前必读：符合资格的科创板股票将于2月1日起纳入沪深港通股票范围,Wind
878,2021-01-24,【太平洋建筑】长期看好减隔震、城轨新基建、建筑工业化投资机会——周观点0124,太平洋建筑研究
879,2021-01-24,建筑装饰行业Q4建筑板块基金持仓分析：机构重仓持股占比创历史新低 装配式龙头减仓股数较多,新浪
880,2021-01-24,中国铁建(601186)：巨象起舞Q4订单再加速 超低估值配置价值突显,新浪
881,2021-01-22,中国铁建(01186.HK)2020年新签合同额25542.9亿元人民币 同比增长27.28%,格隆汇
882,2021-01-22,中国铁建2020年房产签约销售金额1265.238亿元,金融界
883,2021-01-22,中国铁建地产板块2020年四季度签约销售金额超666亿元 同比涨0.88%,乐居财经
884,2021-01-22,中国铁建2020年房地产新签合同额1265亿 第四季为666.6亿,乐居财经
885,2021-01-22,中国铁建(601186.SH)2020年累计新签合同额同比增长27.28%,智通财经
886,2021-01-22,中国铁建：2020年房地产板块签约销售额1265.238亿元,中国网
887,2021-01-22,中国铁建：2020年房地产开发业务新签合同额1265.24亿元 同比增0.88%,中国网
888,2021-01-22,中国铁建(601186.SH)2020年累计新签合同额25542.887亿元 同比增长27.28%,格隆汇
889,2021-01-22,【异动股】中国铁建(01186-HK)跌3.39%,财华社
890,2021-01-22,1.95万亿弹药涌入港股，这些股票正被疯抢,券商中国
891,2021-01-21,逾10家千亿市值公司试水 “A拆A”或影响企业股权和产业布局规划,每日经济新闻
892,2021-01-21,中国铁建中标多哥大桥项目,一带一路高参
893,2021-01-20,智通港股通占比异动统计|1月20日,智通财经
894,2021-01-20,上市公司掀“A拆A”小高潮，生物医药等新兴行业公司成“高发地”,Wind
895,2021-01-19,【每日丝路快讯】1月19日：2020年中国GDP突破100万亿元，同比增长2.3%,Wind
896,2021-01-19,【异动股】中国铁建(01186-HK)涨3.75%,财华社
897,2021-01-19,中国铁建房地产拟发行13亿元公司债券,乐居财经
898,2021-01-18,中国铁建(01186)：合伙企业聘任国寿资本为管理人,智通财经
899,2021-01-18,中国铁建(01186.HK)成立合伙 投资中国基础设施项目,格隆汇
900,2021-01-18,建筑行业周报：十部门推进实施污水资源化利用重点工程,华安证券
901,2021-01-18,中国铁建进场与保险机构差异化“抢筹” 康养产业“价高位少”尴尬待解,21世纪经济报道
902,2021-01-18,【异动股】中国铁建(01186-HK)涨3.06%,财华社
903,2021-01-18,建筑行业第203期周报：继续推荐装配式、顺周期制造业国际工程与低估值基建央企蓝筹,新浪
904,2021-01-18,建筑行业周报：钢结构、化学工程景气向上 央企稳健增长,新浪
905,2021-01-18,建筑行业动态分析：2020年社融增量超30万亿元 水利建设投资创历史新高,新浪
906,2021-01-18,市场增速下滑 基建央企加速进入彼此传统市场,中国经营报
907,2021-01-18,建筑材料行业：春季行情叠加业绩兑现期 继续推荐消费建材、玻璃、装配式建筑,新浪
908,2021-01-18,建筑装饰行业周报：建筑板块涨幅居前 装配式与基建配置价值凸显,新浪
909,2021-01-17,【太平洋建筑】低融资成本有望带动投资意愿，长期看好制造属性成长板块减隔震、装配式——周观点0117,太平洋建筑研究
910,2021-01-17,中国铁建(601186.SH)：董事会通过关于公司总部金融机构综合授信的议案,格隆汇
911,2021-01-16,中国铁建与中国诚通、大家保险、国药集团合资设立养老公司,乐居财经
912,2021-01-16,2021年基建投资增长能否支撑相关板块的价值重估,经济观察网
913,2021-01-15,中国铁建：计划未来三年现金分红不少于可供分配利润的15%,乐居财经
914,2021-01-15,中国铁建：拟变更五家分公司的总经理 董监高成员变化,中国网
915,2021-01-15,中国铁建：中铁地产拟参与设立中国康养产业投资公司,中国网
916,2021-01-15,中国铁建：拟将中铁建网络信息科技100%股权划转至中铁建发展集团 资产异常,中国网
917,2021-01-15,中国铁建(01186.HK)拟与16家国内银行和5家外资金融机构继续办理授信业务,格隆汇
918,2021-01-14,1月14日晚间重要行业研究汇总(附股),中金在线
919,2021-01-14,中字头基建股连日走强，交通基建板块价值修复中,经济观察网
920,2021-01-14,建筑行业1月投资策略：估值龙头价值凸显，维持“超配”评级,国信证券
921,2021-01-14,什么情况？白酒股大跌2000亿！千亿芯片股涨13%,中国基金报
922,2021-01-14,高铁基建逆势大涨，如何把握“中”字头机会？,养基司令
923,2021-01-14,A股午盘综述：上证指数触底反弹跌0.29%，机构抱团股杀跌、中字头股再度走强,Wind
924,2021-01-14,【异动股】中国铁建(01186-HK)涨3.18%,财华社
925,2021-01-14,大央企基建指数涨超4%，中国中铁、中国化学、电建、铁建、交建等集体上扬,Wind
926,2021-01-14,高铁基建股延续昨日涨势 中国中车涨超9%中国铁建涨超3%,新浪
927,2021-01-14,【行情】港股高铁基建股连涨四个交易日，中国中车涨近10%，中国铁建涨超4%，中国中铁、中国交通建设涨超3%,金十数据
928,2021-01-14,建筑行业1月投资策略：低估值龙头价值凸显,新浪
929,2021-01-14,智通港股通占比异动统计|1月14日,智通财经
930,2021-01-14,“中字头”逆势爆发 低估值龙头“真香”,财富动力网
931,2021-01-13,3000多个股下跌，抱团龙头欺人太甚？茅台创新高,上证报
932,2021-01-13,机械设备行业：智能制造小组周报,新浪
933,2021-01-13,【异动股】中国铁建(01186-HK)涨3.35%,财华社
934,2021-01-13,智通港股通占比异动统计|1月13日,智通财经
935,2021-01-13,中资企业在智利中标首个公路PPP项目－国务院国有资产监督管理委员会,国资委
936,2021-01-12,【安信建筑】行业周报0117：2020年社融增量超30万亿元，水利建设投资创历史新高,勇往直前
937,2021-01-12,【异动股】中国铁建(01186-HK)涨3.03%,财华社
938,2021-01-12,智通港股通占比异动统计|1月12日,智通财经
939,2021-01-12,上市公司正负面新闻2021年1月12日星期二,Wind
940,2021-01-11,晚间重要公告2021年1月11日星期一,Wind
941,2021-01-11,建筑行业周报：地下市政基建获得关注 装配式高景气延续,华安证券
942,2021-01-11,中国铁建：目前生产经营正常 正就美国相关行政命令对公司的潜在影响进行综合评估,e公司
943,2021-01-11,中国铁建：目前生产经营正常，正就美国颁布的行政命令对公司潜在影响进行综合评估,Wind
944,2021-01-11,建筑装饰行业报告：发改委官网通报审批项目总额再创新高,新浪
945,2021-01-11,【异动股】中国铁建(01186-HK)涨4.2%,财华社
946,2021-01-11,南向资金高比例持有港股名单,证券之星
947,2021-01-11,智通港股通占比异动统计|1月11日,智通财经
948,2021-01-11,核心资产还能不能追？北上资金给出答案！,证券时报网
949,2021-01-10,【天风建筑周报】发改委官网通报审批项目总额再创新高,笑谈建筑
950,2021-01-10,建筑行业周报：浅谈地方债务与建筑央企扩张的关系,新浪
951,2021-01-09,中国铁建于广州新设中铁建华南 经营范围包括物业管理等服务,乐居财经
952,2021-01-08,铁建重工科创板首发过会，曾研发国产最大直径盾构机,观察者网
953,2021-01-08,赖文靓：积极关注滞涨且低估的大市值龙头标|微策略,第一财经
954,2021-01-08,中国铁建下属公司科创板上市获批,中国铁建
955,2021-01-08,A股早报2021年1月8日星期五,Wind
956,2021-01-08,智通港股通占比异动统计|1月8日,智通财经
957,2021-01-08,上市公司正负面新闻2021年1月8日星期五,Wind
958,2021-01-07,中国铁建(01186)：科创板上市委认为铁建重工符合上市条件,智通财经
959,2021-01-07,中国铁建(01186.HK)：铁建重工科创板上市申请通过上市委审议,格隆汇
960,2021-01-07,晚间重要公告2021年1月7日星期四,Wind
961,2021-01-07,中国铁建分拆铁建重工至科创板上市获上市委审议通过,金融界
962,2021-01-07,中国铁建：子公司铁建重工科创板上市申请通过上市委审议,e公司
963,2021-01-07,中国铁建(601186.SH)：铁建重工首次公开发行股票并在科创板上市申请通过上市委审议,智通财经
964,2021-01-07,中国铁建(601186.SH)：铁建重工科创板IPO申请通过上市委审议,格隆汇
965,2021-01-07,如何看待北上资金流出与A股背离？,Wind
966,2021-01-07,【异动股】中国铁建(01186-HK)跌3.85%,财华社
967,2021-01-07,60只港股获南向资金大比例持有,证券之星
968,2021-01-07,智通港股通占比异动统计|1月7日,智通财经
969,2021-01-06,2020百强房企掉队榜：这些数据超乎想象,新浪
970,2021-01-06,一字跌停“铁定”退市，股价已跌98%,中国基金报
971,2021-01-06,A股收盘综述：上证指数涨0.63%录得五连阳，贵州茅台股价站上2100,Wind
972,2021-01-06,13年了！沪深300早盘一度重回08年牛市高点！北向资金同步再现净流入,上证报
973,2021-01-06,是否该反向思维投资？北上资金甩卖股集体大涨,Wind
974,2021-01-06,A股市场白酒突然杀跌，三大板块却火了,中国基金报
975,2021-01-06,解盘：成交量放大，军工、基建、乳业、高端装备领涨,Wind
976,2021-01-06,【每日丝路快讯】1月6日：预计2020年经济增速2%左右，中国经济持续恢复底气足,Wind
977,2021-01-06,"""中字头""公司普遍活跃，中国中车、中国铁建、中国交建、中石化、中石油普涨",Wind
978,2021-01-06,【异动股】中国铁建(01186-HK)涨3.05%,财华社
979,2021-01-06,南向资金高比例持有港股名单,证券之星
980,2021-01-06,智通港股通占比异动统计|1月6日,智通财经
981,2021-01-06,北向资金动向盘点：内资高歌猛进，外资忙调仓,Wind
982,2021-01-05,中国铁建(601186.SH)下属公司联合中标南昌市新建区九望新城片区、文旅小镇(新丰新城片区)综合开发项目,智通财经
983,2021-01-05,晚间重要公告2021年1月5日星期二,Wind
984,2021-01-05,中国铁建：联合体中标南昌市新建区综合开发项目 总投资约300亿元,中国网
985,2021-01-05,中国铁建：中铁建东南投资等联合中标300亿元项目,格隆汇
986,2021-01-05,中国铁建：中标总投资约300亿元综合开发项目,Wind
987,2021-01-05,建筑行业周报：6地开展建设工程企业资质审批权限下放试点,华安证券
988,2021-01-05,建材、建筑行业定期报告：传统建材库存去化明显，继续推荐消费建材龙头，维持“推荐”评级,招商证券
989,2021-01-05,【异动股】中国铁建(01186-HK)涨3.33%,财华社
990,2021-01-05,智通港股通占比异动统计|1月5日,智通财经
991,2021-01-05,铁建重工2019业绩下滑 逾期账款高关联交易规模较大 盈利能力下降,中国经济网
992,2021-01-04,【权益变动】中国铁建(01186-HK)被摩根大通减持780.3002万股 减持股份,财华社
993,2021-01-04,建筑行业第201期周报：DDM模型回顾与展望2021年建筑板块股价轨迹,新浪
994,2021-01-04,建筑装饰行业报告：对涨幅多年滞后的建筑板块可多一些逆向思维,新浪
995,2021-01-04,建筑行业每周观点：住建部推动改善装配式供给端 钢结构产业基地占比迅速提升,新浪
996,2021-01-04,【异动股】中国铁建(01186-HK)跌3.07%,财华社
997,2021-01-04,每日理财观察：中国新冠病毒疫苗获批上市并为全民免费提供,Wind
998,2021-01-04,东北证券：行情在惯性上行中，继续布局2021年春季行情,Wind
999,2021-01-03,中国铁建(01186-HK)出资126亿人民币组合伙企业进行股权投资,财华社
1000,2021-01-02,中国铁建中标几内亚铁路隧道工程,一带一路高参
1001,2021-01-01,上市公司正负面新闻2021年1月1日星期五,Wind
1002,2020-12-31,中国人寿携手中国铁建发起设立280.1亿元国寿铁建基础设施投资基金,上证报
1003,2020-12-31,晚间重要公告2020年12月31日星期四,Wind
1004,2020-12-31,中国铁建(601186.SH)子公司拟与中国人寿共设国寿铁建基金投资基础设施投资项目,智通财经
1005,2020-12-31,中国铁建(01186)拟出资126亿元携手中国人寿(02628)等设立合伙企业,智通财经
1006,2020-12-31,中国铁建(01186.HK)与中国人寿就成立合伙企业订立协议,格隆汇
1007,2020-12-31,12月31日晚间上市公司十大重磅公告,巨丰财经
1008,2020-12-31,中国铁建：126亿认购国寿铁建基金,乐居财经
1009,2020-12-31,中国铁建拟与中国人寿设立280.1亿基金 前者认缴出资126亿,乐居财经
1010,2020-12-31,中国铁建：子公司拟与中国人寿发起设立国寿铁建基金,Wind
1011,2020-12-31,中国铁建：中铁建资本集团拟出资126亿元认购国寿铁建基金份额,中国网
1012,2020-12-31,中国铁建：子公司拟与中国人寿发起设立国寿铁建基金,e公司
1013,2020-12-31,中国铁建(601186.SH)下属子公司拟出资126亿元认购国寿铁建基金份额,格隆汇
1014,2020-12-31,中国铁建(01186-HK)近期中标9个重大项目合计923.9亿人民币,财华社
1015,2020-12-31,中国铁建：中欧投资协定签署有利公司拓展欧洲市场,Wind
1016,2020-12-31,朋友圈大突破！一文读懂中欧投资协定：为什么对中国这么重要？,腾讯网
1017,2020-12-31,智通港股通占比异动统计|12月31日,智通财经
1018,2020-12-31,MSCI宣布从各ACWI指数中删除中国公司证券最终名单,Wind
1019,2020-12-30,中国铁建(601186.SH)近期中标9个重大项目,智通财经
1020,2020-12-30,中国铁建(01186.HK)近期中标923.9亿元重大项目,格隆汇
1021,2020-12-30,中国铁建：中标566.6亿元重大项目,e公司
1022,2020-12-30,中国铁建(601186.SH)：联合体中标达州“双城一线”城市综合开发建设合作项目,格隆汇
1023,2020-12-30,中国铁建：近期中标项目合计923.9亿元,Wind
1024,2020-12-30,智通港股通占比异动统计|12月30日,智通财经
1025,2020-12-29,A股共发生184宗大宗交易成交54.06亿元（12月29日）,Wind
1026,2020-12-29,中国铁建今日大宗交易成交50.26万股，成交价7.9元溢价0.0%,Wind
1027,2020-12-29,中国铁建主编行业标准正式发布,e公司
1028,2020-12-29,建龙集团与北京中铁建工签署战略合作协议,钢铁新闻网
1029,2020-12-29,南向资金高比例持有港股名单,证券之星
1030,2020-12-29,智通港股通占比异动统计|12月29日,智通财经
1031,2020-12-29,A股公司研发费用增长势头明显，提升科技创新能力,Wind
1032,2020-12-28,建筑装饰行业周报：2021年建筑板块或将精彩纷呈,新浪
1033,2020-12-28,【兴业证券晨会聚焦1228】宏观-11月工业利润&美国经济；策略-A股周报；建筑-21年展望；地产-“三道红线”；轻工-博汇纸业,兴证研究
1034,2020-12-28,智通港股通占比异动统计|12月28日,智通财经
1035,2020-12-28,小事记 | 佳兆业美好收购浙江物业公司 京东入股中国地利,乐居财经
1036,2020-12-27,中国铁建地产与越秀地产拟深化在南沙等地全方位战略合作意向,乐居财经
1037,2020-12-27,中国铁建地产与越秀地产拟深化在粤港澳大湾区等地的战略合作意向,乐居财经
1038,2020-12-26,兴业“建”谈系列之二十八：2021年基建投资展望,新浪
1039,2020-12-25,“铁建好房非常优惠”为2020年完美收官,凤凰网
1040,2020-12-25,中国铁建19.76亿元竞得武汉市东湖新区一宗住宅用地 溢价率26.19%,中国网
1041,2020-12-25,【每日丝路快讯】12月25日：中国进一步加强交通运输对外开放合作，推动“一带一路”交通重点项目落地实施,Wind
1042,2020-12-25,融资客青睐11股，远达环保买入占比高达70.67%,Wind
1043,2020-12-25,智通港股通占比异动统计|12月25日,智通财经
1044,2020-12-24,南向资金高比例持有港股名单,证券之星
1045,2020-12-24,智通港股通占比异动统计|12月24日,智通财经
1046,2020-12-23,中国铁建(601186.SH)近期合计中标663.44亿元重大项目,格隆汇
1047,2020-12-23,中国铁建(01186)近期中标 6个重大项目 涉资663.44亿元,智通财经
1048,2020-12-23,中国铁建(01186.HK)近期中标663.44亿元重大项目,格隆汇
1049,2020-12-23,建筑装饰建筑2021年度策略：多细分领域基本面向好 建筑板块有望多点开花,新浪
1050,2020-12-23,智通港股通占比异动统计|12月23日,智通财经
1051,2020-12-22,港股IPO火热！新经济股领跑，TOP20均升超1.4倍,Wind
1052,2020-12-22,【异动股】中国铁建(01186-HK)跌3.14%,财华社
1053,2020-12-22,建筑与工程行业-11月基建增速下滑 如何看待明年投资？,新浪
1054,2020-12-22,中铁十四局房桥公司：探索装配式建筑全行业、全产业、全专业之路,中国房地产网
1055,2020-12-22,智通港股通占比异动统计|12月22日,智通财经
1056,2020-12-22,港股盘前必读：稻草熊通过港交所聆讯即将赴港上市,Wind
1057,2020-12-21,摩根大通增持中国铁建(01186)约322.62万股，每股作价4.4873港元,智通财经
1058,2020-12-21,【权益变动】中国铁建(01186-HK)获摩根大通增持322.6159万股,财华社
1059,2020-12-21,港股占比异动统计|12月21日,智通财经
1060,2020-12-21,智通港股通占比异动统计|12月21日,智通财经
1061,2020-12-21,A股拆分新规这一年故事多,国际金融报
1062,2020-12-18,建筑行业12月投资策略：集中度提升 优选龙头,新浪
1063,2020-12-18,南向资金高比例持有港股名单,证券之星
1064,2020-12-18,智通港股通占比异动统计|12月18日,智通财经
1065,2020-12-18,27.65亿，中国铁建中标中泰铁路项目,一带一路高参
1066,2020-12-17,中国铁建中标中泰铁路项目 合同金额合计达4.15亿美元,e公司
1067,2020-12-17,智通港股通占比异动统计|12月17日,智通财经
1068,2020-12-17,每日理财观察：新版市场准入负面清单发布，四年缩减62%,Wind
1069,2020-12-16,金融街下午茶2020年12月16日星期三,Wind
1070,2020-12-16,中国铁建成功发行25亿元公司债券 票面利率4.37%,房天下
1071,2020-12-16,中国铁建14.56亿摘温州鹿城商住地 总建面17.08万平,观点地产网
1072,2020-12-16,中国铁建14.56亿元竞得温州1宗商住用地 溢价率为14.65%,中国网
1073,2020-12-16,MSCI明晟：将从全球可投资市场指数中删除10只中国公司股票,Wind
1074,2020-12-16,智通港股通占比异动统计|12月16日,智通财经
1075,2020-12-16,中国铁建(01186.HK)获摩根大通增持322.62万股,格隆汇
1076,2020-12-16,房企融资成本回升，专家建议关注绿色债券,Wind
1077,2020-12-15,中国铁建完成25亿元可续期公司债发行 利率4.37%,观点地产网
1078,2020-12-15,中国铁建(01186)完成发行25亿元公司债券,搜狐
1079,2020-12-15,中国铁建(01186)：2020年可续期公司债券(第二期)品种一票面利率为4.37%,智通财经
1080,2020-12-15,智通港股通占比异动统计|12月15日,智通财经
1081,2020-12-15,港股盘前必读：蓝月亮全球发售所得款净额约95.8亿港元,Wind
1082,2020-12-15,中金建筑行业2021年展望：制造业投资复苏，“三化”变革深化,Wind
1083,2020-12-14,建筑装饰行业周报：看好装配式与工业工程龙头,新浪
1084,2020-12-14,建筑装饰周观点：“十四五”装配式绿色建筑趋势明确 首推金螳螂和鸿路钢构,新浪
1085,2020-12-14,中国铁建：30亿元可续期公司债券票面利率确定为4.37%,中国网
1086,2020-12-14,【每日丝路快讯】12月14日：定调2021年经济工作，政治局会议释放六大信号,Wind
1087,2020-12-13,【华创建筑建材】建筑行业周观点：继续推荐装配式产业链,华创建筑建材研究
1088,2020-12-13,中国铁建创下中企在拉美铁路承揽新纪录,一带一路高参
1089,2020-12-12,阿根廷与中企签署多项铁路合作协议，金额达46.95亿美元,Wind
1090,2020-12-11,中国铁建(01186.HK)2020年可续期公司债(第二期)品种一票面利率为4.37%,格隆汇
1091,2020-12-10,中国铁建中标108亿元城市综合开发项目,证券时报网
1092,2020-12-10,中国铁建(01186)：2019年可续期公司债券(第三期)将于12月17日付息,智通财经
1093,2020-12-10,中国铁建拟发行30亿可续期公司债券,搜狐
1094,2020-12-10,中国铁建(01186.HK)拟发行不超30亿元可续期公司债,格隆汇
1095,2020-12-10,中国铁建(01186)拟发行不超过30亿元公司债券,智通财经
1096,2020-12-10,南向资金高比例持有港股名单,证券之星
1097,2020-12-10,智通港股通占比异动统计|12月10日,智通财经
1098,2020-12-09,中国短期融资券及中期票据信用分析周报,新浪
1099,2020-12-09,港股公告精选：多家地产商11月销售数据靓丽,Wind
1100,2020-12-09,上市公司正负面新闻2020年12月9日星期三,Wind
1101,2020-12-08,【安信建筑】行业周报1213：11月新增社融略超预期，建筑PMI指数提升,勇往直前
1102,2020-12-08,晚间重要公告2020年12月8日星期二,Wind
1103,2020-12-08,中国铁建(601186.SH)近期中标8个重大项目 金额达524.06亿元,智通财经
1104,2020-12-08,中国铁建：中标八个项目合计中标金额524.06亿元,Wind
1105,2020-12-08,中国铁建(01186.HK)近期中标项目金额合计524.06亿元,格隆汇
1106,2020-12-07,【权益变动】中国铁建(01186-HK)被摩根大通减持1351.6191万股,财华社
1107,2020-12-07,中国铁建地产热销蓉城 市场地位持续领先,房天下
1108,2020-12-07,建筑工程2021年投资策略：风劲帆满，蓄势谋远，维持“超配”评级,国信证券
