,2021-12-31,北新建材董事长王兵：建议房地产产业链成为实现“双碳”目标的主战场,每日经济新闻
0,2021-12-31,北新建材今日大宗交易成交72万股，成交价36.0元溢价0.47%,Wind
1,2021-12-31,北新建材嘉兴公司经营范围新增家用电器制造等,乐居财经
2,2021-12-30,北新建材今日大宗交易成交71万股，成交价36.0元溢价3.27%,Wind
3,2021-12-29,"北新建材现1笔大宗交易 共成交2,556.00万元",新浪
4,2021-12-29,北新建材今日大宗交易成交71万股，成交价36.0元溢价3.81%,Wind
5,2021-12-28,北新建材跌4.56% 兴证全球基金2只混基持股,中国经济网
6,2021-12-28,年底大宗交易井喷，四大行业获机构扫货！,Wind
7,2021-12-28,年末大宗交易增多，机构抢筹藏玄机,Wind
8,2021-12-27,建筑材料周观点：拿地改善反映土地市场回暖，继续推荐地产链,华创建筑建材研究
9,2021-12-27,建筑材料行业周报：品牌建材底部夯实；新材料板块景气延续,新浪
10,2021-12-27,南财研选｜新基建+老基建共振，稳增长政策信号企稳，建材行业迎布局机遇,21世纪经济报道
11,2021-12-27,怎样才是好的上市公司？宋志平：首要是聚焦主业,澎湃新闻
12,2021-12-27,建材股集体走强 北新建材涨超5%,格隆汇
13,2021-12-24,"北新建材现1笔大宗交易 共成交1,476.00万元",新浪
14,2021-12-24,北新建材今日大宗交易成交41万股，成交价36.0元溢价3.0%,Wind
15,2021-12-22,北新建材(000786.SZ)：大股东贾同春拟内部转让不超400万股予其所持的申鑫利24号,格隆汇
16,2021-12-22,北新建材(000786.SZ)大股东贾同春拟增加一致行动人及持股在内部转让,智通财经
17,2021-12-22,低位股悄悄崛起，机构高关注的低位绩优股名单来了,Wind
18,2021-12-21,北新建材：公司石膏板销售中，既有经销商自己提货也有由公司负责运输至经销商指定地点,每日经济新闻
19,2021-12-21,大摩中国：北新建材人事变动后将密切关注“21北新G1”对债券持有人利益有重大影响事项,中华网
20,2021-12-21,中材国际公司及全资子公司发布对外投资暨关联交易,电鳗快报
21,2021-12-20,北新建材：拟在泰国投建石膏板生产线及其他配套项目,e公司
22,2021-12-20,北新建材：关于公司独立董事辞职的公告 董监高成员变化,新浪
23,2021-12-20,北新建材拟向实控人中国建材借款 7560 万元,乐居财经
24,2021-12-20,北新建材：独立董事谷秀娟辞职 董监高成员变化,Wind
25,2021-12-20,北新建材(000786.SZ)：杨艳军、裴鸿雁拟辞任非独立董事职务 董监高成员变化,智通财经
26,2021-12-20,北新建材独立董事谷秀娟、非独立董事杨艳军及裴鸿雁辞任 董监高成员变化,乐居财经
27,2021-12-20,北新建材(000786.SZ)独立董事谷秀娟辞职 董监高成员变化,智通财经
28,2021-12-20,北新建材(000786.SZ)：拟向中国建材集团借款7560万元,格隆汇
29,2021-12-20,中材国际(600970.SH)拟与北新建材在泰国共建石膏板生产线及其他配套项目,智通财经
30,2021-12-20,北新建材：提名尹自波、贾同春为公司第六届董事会非独立董事候选人,每日经济新闻
31,2021-12-20,中材国际(600970.SH)及子公司拟与关联方在泰国合资设立公司,格隆汇
32,2021-12-20,中材国际：拟设合资公司投建纸面石膏板生产线等项目,财联社
33,2021-12-20,业绩承压！家居高管扎堆离职 盈利能力下降,中国房地产网
34,2021-12-20,建筑材料周观点：11月地产数据修复，继续推荐地产链建材,华创建筑建材研究
35,2021-12-20,没有意外！北新建材切割龙牌漆业务装进北新涂料,中化新网
36,2021-12-20,地产后周期的机遇与偏见,投资界
37,2021-12-19,国海证券：给予北新建材买入评级,证券之星
38,2021-12-19,国海证券给予北新建材买入评级：“一体两翼”布局加速，长期投资价值凸显,每日经济新闻
39,2021-12-17,北新建材：2020年末石膏板市场占有率约60%,乐居财经
40,2021-12-17,北新建材：2020年公司龙骨销量为30万吨左右,每日经济新闻
41,2021-12-15,暖风频吹，筑底回升：地产后周期迎估值修复,Wind
42,2021-12-13,北向资金连续9日净买入累计加仓近700亿，爆买东方财富超17亿,Wind
43,2021-12-13,北新建材现1笔大宗交易 共成交383.04万元,新浪
44,2021-12-13,建筑材料周观点：经济会议表态积极，重提房地产支柱产业，推荐地产链建材,华创建筑建材研究
45,2021-12-13,北新建材今日大宗交易成交14万股，成交价27.36元折价17.39%,Wind
46,2021-12-13,北新建材收报33.12元涨8.9% 总市值559.6亿元,乐居财经
47,2021-12-13,北新建材股价涨10.0% 现报33.44元,乐居财经
48,2021-12-13,北新建材股价涨9.9% 现报33.42元,乐居财经
49,2021-12-13,家居业一周｜大亚圣象接证监局警示函，志邦家居股票异常波动,贝壳财经
50,2021-12-13,A股午盘综述：沪指放量涨1%，时隔3个月重返3700点！元宇宙概念再度爆发,Wind
51,2021-12-13,北新建材股价涨停 现报33.44元,乐居财经
52,2021-12-13,快讯：北新建材涨停 报于33.44元,金融界
53,2021-12-10,北新建材：总经理陈雨辞职 董事长王兵暂代行职责 董监高成员变化,中国经济网
54,2021-12-10,北新建材：陈雨辞去董事、总经理及董事会相关专门委员会职务 董监高成员变化,每日经济新闻
55,2021-12-10,北新建材：总经理陈雨辞职 董监高成员变化,Wind
56,2021-12-10,北新建材转让龙牌涂料100%股份，北新涂料接盘,乐居财经
57,2021-12-09,“十四五”农村规划吹风会两大要点：消费更新+粮食安全，五大板块异动！,Wind
58,2021-12-08,北新建材：公司更换了签字注册会计师 变更会计师,每日经济新闻
59,2021-12-08,建材行业动态：多重利好强化信心 防水龙头突围可期,新浪
60,2021-12-07,建筑材料行业点评报告：地产链悲观预期有望修复 布局消费类建材/玻璃/水泥,新浪
61,2021-12-07,地产链板块集体走强，政策利好预期改善，这些板块有望估值修复,财联社
62,2021-12-07,北新建材大涨,新浪
63,2021-12-06,建筑材料周观点：硅片降价有望重启产业链需求，关注光伏玻璃的情绪提振行情,华创建筑建材研究
64,2021-12-06,建材行业周观点：“光储直柔”政策陆续出台 华为打造近零碳园区,新浪
65,2021-12-06,碳中和周报：“十四五”工业绿色发展规划出台 全力推动工业碳达峰,新浪
66,2021-12-06,建筑材料行业周报：玻璃价格回升 稳增长预期下关注水泥板块估值修复,新浪
67,2021-12-06,基础材料和工程服务行业北上资金周报,新浪
68,2021-12-05,建材行业定期报告：静待消费建材基本面改善 关注品牌化优质标的,新浪
69,2021-12-05,建材行业2022年投资策略：拨云见日,广发证券
70,2021-12-03,建材行业2022年度策略：传统领域柳暗花明 新兴链条焕发生机,新浪
71,2021-12-03,北新建材：公司已设立北新涂料有限公司，作为投资和运营涂料业务的平台,每日经济新闻
72,2021-12-02,北新建材联合国电科环集团，将在固废资源化利用等方面合作,乐居财经
73,2021-11-29,基础材料和工程服务行业周观点：浮法玻璃库存进一步下降 期货价格底部反弹,新浪
74,2021-11-28,建筑材料周观点：开工复苏有望前置，周期底部龙头有望强者恒强,华创建筑建材研究
75,2021-11-28,建筑材料行业：平板玻璃底部企稳 行业悲观预期有望修复,广发证券
76,2021-11-28,建筑材料周观点：原油大跌利好成本改善 玻璃库存下降关注冷修节奏,新浪
77,2021-11-26,北新建材(000786.SZ)拟继续使用不超2.55亿元闲置募集资金进行现金管理,智通财经
78,2021-11-26,建筑材料行业：10月新房交易跌幅或收窄 二手房景气仍较低,新浪
79,2021-11-25,北新建材：公司有耐水石膏板、耐火石膏板、净醛石膏板、双防石膏板和穿孔石膏板等纸面石膏板,Wind
80,2021-11-25,建筑材料行业：政策边际放松 玻璃加速冷修,广发证券
81,2021-11-24,北新建材(000786.SZ)：完成兑付本息10.13亿元超短融,格隆汇
82,2021-11-24,北新建材(000786.SZ)完成兑付10亿元超短期融资券,智通财经
83,2021-11-22,基础材料和工程服务行业周观点：行业磨底持续 关注遮阳材料细分赛道投资机会,新浪
84,2021-11-22,掌上辅材与北新建材战略合作搭建供应链,贝壳财经
85,2021-11-22,北新建材与掌上辅材战略签约，合作延伸至家装市场,乐居财经
86,2021-11-21,建筑材料行业：政策边际放松 利于行业悲观预期修复,广发证券
87,2021-11-21,建材行业定期报告：上下游压力纾缓 关注消费建材板块修复机会,新浪
88,2021-11-17,北新建材：公司石膏板产品在住宅以及工业厂房、酒店、宾馆、体育场馆、写字楼等商业和公共建筑领域的各种建筑物的建造和装修过程中被广泛应用,每日经济新闻
89,2021-11-17,北新建材：公司石膏板业务板块会根据市场供求、竞争及成本等情况调整石膏板产品价格,每日经济新闻
90,2021-11-17,北新建材：目前公司未与阿里游戏开展该方面的合作,每日经济新闻
91,2021-11-15,中国银河维持环保公用/建材/钢铁/煤炭行业推荐评级：深入打好污染防治攻坚战，推动经济社会绿色转型,每日经济新闻
92,2021-11-15,建筑材料行业周报：地产信贷有所修复 关注消费建材板块和出口链条标的,新浪
93,2021-11-14,北新建材：应收账款33.7亿元，应收票据大增142%｜债务风暴⑦,乐居财经
94,2021-11-13,北新建材状告北新防水房屋修缮，案由不正当竞争纠纷 诉讼纠纷,乐居财经
95,2021-11-11,北新建材收报28.77元涨8.2% 总市值486.1亿元,乐居财经
96,2021-11-09,蒙娜丽莎(002918)公司点评：至暗时刻或已过去 股权回购彰显长期发展信心,新浪
97,2021-11-09,北新建材：北新建材（海南）有限公司处于项目建设前期阶段，目前不涉及生产运营，正在办理注册地址变更事宜 项目问题,每日经济新闻
98,2021-11-09,北新建材与国检集团达成战略合作，在科技创新等方面深入合作,乐居财经
99,2021-11-09,【国信建材|行业专题】建材行业基金持仓专题：行业配置继续走低，光伏玻璃、玻纤较受关注,微信
100,2021-11-09,中信证券发布2022年海外中资股展望：价值崛起,Wind
101,2021-11-08,建材行业周观点：玻纤维持高景气 管材、消费建材成本承压,新浪
102,2021-11-08,北新建材状告北新建筑装饰，因侵害商标权纠纷 诉讼纠纷,乐居财经
103,2021-11-08,北新建材全资子公司被列为经营异常，因经营场所无法联系 列入经营异常名录,乐居财经
104,2021-11-06,北新建材与国检集团战略签约，将在安全环保等方面合作,乐居财经
105,2021-11-06,国检集团与北新建材签署核心战略合作伙伴协议,e公司
106,2021-11-04,北新建材：公司石膏板产品主要原材料为工业副产石膏和护面纸，其在成本中占比随原材料价格波动而有所不同,每日经济新闻
107,2021-11-04,中信证券：基础设施和现代服务，优质供给的扩张机遇,Wind
108,2021-11-03,北新建材今日大宗交易成交10万股，成交价27.32元溢价0.0%,Wind
109,2021-11-02,北新建材(000786.SZ)：10亿元绿色公司债明日起挂牌深交所,格隆汇
110,2021-11-01,2021三季度建材持仓分析——机构三季度末增持水泥，减配消费建材,鲍大侠之建材
111,2021-10-31,碳中和周报：“双碳”顶层政策发布 明确达峰前相关领域细化目标,新浪
112,2021-10-30,中银证券维持北新建材买入评级：前三季度现金流大增，受成本影响毛利率下滑 盈利能力下降,每日经济新闻
113,2021-10-30,10月29日324只个股获券商关注，北新建材目标涨幅达115.79%,每经网
114,2021-10-29,北向资金连续13个月加仓A股，隆基股份获大幅净买入超10亿,Wind
115,2021-10-29,德邦证券维持北新建材买入评级：Q3石膏板销量稳步增长，成本上涨毛利率承压，目标价55.4-60.94元,每日经济新闻
116,2021-10-28,北新建材2021年三季报点评：原材料影响业绩放缓，防水、涂料布局再加码,华创建筑建材研究
117,2021-10-28,648股获买入评级 最新:北新建材,中财网
118,2021-10-28,北新建材2021年前三季度营收159.23亿 同比增长31.46%,中国水泥网
119,2021-10-28,首创证券：给予北新建材增持评级,证券之星
120,2021-10-28,首创证券给予北新建材增持评级，2021年三季报点评：原材料大幅提价，业绩阶段性承压,每日经济新闻
121,2021-10-28,北向资金逆市加仓超71亿，贵州茅台获大幅净买入13亿元,Wind
122,2021-10-28,中泰证券维持北新建材买入评级：延续高质量发展，成本压力下利润略有承压,每日经济新闻
123,2021-10-28,光伏屋顶万亿市场，防水龙头强势进军,搜狐
124,2021-10-28,国盛证券维持北新建材买入评级：Q3收入环比放缓，业绩阶段性承压，一体两翼加速布局 盈利能力下降,每日经济新闻
125,2021-10-28,国盛证券：给予北新建材买入评级,证券之星
126,2021-10-28,206股获券商买入评级，新安股份目标涨幅达96.48%,Wind
127,2021-10-28,北新建材(000786)：Q3石膏板销量稳步增长 成本上涨毛利率承压,新浪
128,2021-10-27,北新建材(000786)2021年三季报点评：成本上涨压制盈利 依旧看好“一体两翼”成长空间,光大证券
129,2021-10-27,天风证券维持北新建材买入评级：Q3营收小幅增长，防水竞争力再加强，目标价40.50元,每日经济新闻
130,2021-10-27,天风证券：给予北新建材买入评级，目标价位40.5元,证券之星
131,2021-10-27,北新建材公开发行绿色公司债券，发行规模为 10 亿元,乐居财经
132,2021-10-27,北新建材(000786)：Q3业绩阶段性承压 持续推进“两翼”布局 盈利能力下降,新浪
133,2021-10-27,基础材料行业：原材料压制3Q21盈利 龙头凸显性价比,新浪
134,2021-10-27,海通证券：维持北新建材(000786.SZ)“优于大市”评级 合理区间48.84-57.72元,智通财经
135,2021-10-27,A股异动 | 北新建材(000786.SZ)创逾一年新低 第三季度净利降19.71%至8.86亿元 盈利能力下降,格隆汇
136,2021-10-27,建筑材料周观点：房地产税改革试点推进 关注建材龙头核心竞争优势,新浪
137,2021-10-26,北新建材2021年第三季度净利润同比下降19.71% 盈利能力下降,北京商报
138,2021-10-26,北新建材公布三季报 前三季净利增加35.72%,新浪
139,2021-10-26,北新建材：前三季度净利润27.23亿元 同比增长35.72%,中证网
140,2021-10-26,北新建材：第三季度净利8.86亿元 同比下降20% 盈利能力下降,财联社
141,2021-10-26,北新建材第三季度净利降19.71%至8.86亿元 盈利能力下降,乐居财经
142,2021-10-26,中国建材：2021年前三季度归属于北新建材股东的净利润为8.86亿元，同比下滑19.71% 盈利能力下降,Wind
143,2021-10-26,中国建材(03323.HK)：北新建材前三季度净利润增长35.72%至27.2亿元,格隆汇
144,2021-10-26,北新建材(000786.SZ)前三季度归母净利27.23亿元 同比增长35.72%,智通财经
145,2021-10-26,图解北新建材三季报：第三季度单季净利润同比减19.71% 盈利能力下降,证券之星
146,2021-10-26,北新建材：第三季度净利8.86亿元，同比下降19.71% 盈利能力下降,格隆汇
147,2021-10-26,北新建材：2021年前三季度净利润约27.23亿元，同比增加35.72%,每日经济新闻
148,2021-10-26,北新建材：前三季度净利润同比增长35.72%,Wind
149,2021-10-25,北新建材：公司拥有龙牌石膏板、泰山石膏板和梦牌石膏板等系列产品。宜梦牌加丝筋石膏板不属于公司产品,每日经济新闻
150,2021-10-25,建筑材料行业研究周报：消费建材如期迎来反弹 后续持续性如何？,新浪
151,2021-10-24,碳中和周报：政策不断加码 提升能源保供能力,新浪
152,2021-10-22,北新：质量为王 | 北新建材荣获2021年“亚洲质量卓越奖”,TechWeb
153,2021-10-22,华新水泥、东方雨虹、北新建材涨超5%，建材ETF（159745）涨超2%,资本邦
154,2021-10-21,北新建材(000786.SZ)：拟公开发行不超10亿元的绿色公司债券,格隆汇
155,2021-10-20,北新建材：目前公司经营正常,每日经济新闻
156,2021-10-20,9月国家统计局建材行业数据点评：基建投资预期改善 水泥、玻璃韧性延续,新浪
157,2021-10-19,建筑材料行业月报：推荐水泥玻纤板块 预计四季度边际向好,国海证券
158,2021-10-18,北新建材：石膏板项目建设期一般以土建工程开工之日起算，该项目建设用地指标落实时间较长，目前公司正在有序推进项目建设工作,每日经济新闻
159,2021-10-18,建筑材料行业周报：地产链条有望逐步迎来估值修复与基本面改善,新浪
160,2021-10-18,基础材料和工程服务行业周观点：水泥回调后买点显现 玻璃库存下降,新浪
161,2021-10-17,建材行业定期报告：三季报窗口期 关注低估值强Α标的,新浪
162,2021-10-14,北新建材：公司石膏板产品采用的石膏原材料目前主要为工业副产石膏,每日经济新闻
163,2021-10-14,北新建材与北京建工路桥集团合作，全面采用北新防水材料体系,乐居财经
164,2021-10-13,晚间重要公告2021年10月13日星期三,Wind
165,2021-10-13,北新建材5939.5万元收购天津灯塔涂料49%股权,乐居财经
166,2021-10-13,北新建材：拟5939.45万元收购天津灯塔涂料49%股权,财联社
167,2021-10-13,北新建材：全资子公司收购灯塔涂料49%股权,Wind
168,2021-10-08,建材行业：行业仍处于高景气阶段,新浪
169,2021-10-08,北新建材将按照“一体两翼、全球布局”战略发展,乐居财经
170,2021-10-08,建材行业定期报告：成本高涨能耗双控 关注经营稳健、现金流优质标的,新浪
171,2021-10-07,建筑材料行业周报：专项债发行有望继续提速 水泥/玻纤高景气延续,新浪
172,2021-09-30,北新集团建材股份有限公司 2021年第三季度报告,证券日报
173,2021-09-29,建材/建筑与工程行业周报(第三十八周)：节前施工需求回落 重视浮法玻璃调整机会,新浪
174,2021-09-28,北新建材：未来公司将加大粉料砂浆投入,每日经济新闻
175,2021-09-27,建筑材料行业：装饰类建材目前的估值水平如何？,新浪
176,2021-09-26,建筑材料行业：水泥价格继续大涨 供给主线不变,广发证券
177,2021-09-26,坦桑北新建材胡振涛：最牛技术达人,中国水泥网
178,2021-09-26,建筑材料周观点：限产核心源于缺电 进入十月更重自上而下,新浪
179,2021-09-26,北新建材(000786.SZ)：北新防水已注册成立 注册资本为20亿元且已向其过户多家防水企业,格隆汇
180,2021-09-26,北新建材获中泰证券维持“买入”评级,乐居财经
181,2021-09-26,建筑材料行业周报：继续推荐水泥 布局高性价比玻纤及品牌建材龙头,新浪
182,2021-09-24,中泰证券：维持北新建材(000786.SZ)“买入”评级 防水联合重组 增强防水业务整体能力,智通财经
183,2021-09-24,北新建材转让超10家防水企业股权予北新防水,乐居财经
184,2021-09-24,北新建材已转让12家防水企业股权予北新防水,乐居财经
185,2021-09-24,北新建材(000786)：防水、涂料再扩新兵 一体两翼加速推进,新浪
186,2021-09-24,北新建材拟收购四川蜀羊股权，进一步推动防水业务整合,阿尔法工场
187,2021-09-24,北新建材转让禹王橡胶等4家公司100%股权，北新防水接盘,乐居财经
188,2021-09-23,北新建材：北新防水拟取得成都赛特70%股权以提升业务能力,智通财经
189,2021-09-23,北新建材拟3837.4 万元收购成都赛特防水70%股权,乐居财经
190,2021-09-23,北新建材(000786.SZ)：北新防水拟取得天津澳泰70%股权以完善在京津冀产业布局,智通财经
191,2021-09-23,北新建材：子公司拟2.3亿元收购四川蜀羊30%股权,财联社
192,2021-09-23,北新建材(000786.SZ)：北新防水拟收购四川蜀羊的剩余30%股权,格隆汇
193,2021-09-23,北新建材(000786.SZ)：北新防水拟收购成都赛特防水材料70%股权,格隆汇
194,2021-09-23,北新建材：全资子公司北新防水拟以约2.31亿元收购四川蜀羊剩余30%股权,每日经济新闻
195,2021-09-23,北新建材：子公司拟通过摘牌方式收购天津灯塔发展49%股权 退市,财联社
196,2021-09-23,北新建材：拟收购天津灯塔发展49%股权,Wind
197,2021-09-23,北新建材：恒大应收账款占公司应收账款比重很低,每日经济新闻
198,2021-09-23,银河证券每日晨报,新浪
199,2021-09-22,建材行业周观点：水泥限产扩围及持续性可期 防水迎光伏屋面整县推进机遇,新浪
200,2021-09-22,北新建材：用建材技术创新满足民众对美好生活向往,中新网
201,2021-09-22,建材行业：旺季来临叠加供给收缩 行业高增长可期,新浪
202,2021-09-22,建筑材料周观点：8月水泥产量缩减5% 限产或将继续压减产量 价格上行仍有支撑,新浪
203,2021-09-21,建筑材料周报：水泥连续大幅涨价超预期 限电再现供给端发力,新浪
204,2021-09-19,北新建材转让蜀羊防水70%股份，北新防水接盘,乐居财经
205,2021-09-18,北新建材：使命引领创新驱动 打造世界级工业标杆,中证网
206,2021-09-18,北新建材转让禹王防水科技100%股份，北新防水接盘,乐居财经
207,2021-09-17,海外信用评级汇总2021年9月17日星期五,Wind
208,2021-09-17,北新建材转让禹王防水100%股权，北新防水接盘,乐居财经
209,2021-09-17,2021年1-8月建材行业数据跟踪：金九银十行业旺季 市场需求旺盛,新浪
210,2021-09-17,穆迪：确认维持北新建材“A3”发行人评级，展望“稳定”,Wind
211,2021-09-17,北新建材：公司产品在恒大地产项目上的销售比重很小，恒大应收账款占公司应收账款比重很低,Wind
212,2021-09-17,北新建材与中物绿建战略合作，助力钢结构工程建设,乐居财经
213,2021-09-17,北新建材转让金拇指70%股权，北新防水接盘,乐居财经
214,2021-09-16,A股共发生170宗大宗交易成交38.33亿元（9月16日）,Wind
215,2021-09-16,北新建材今日大宗交易成交7.20万股，成交价31.97元溢价0.0%,Wind
216,2021-09-16,北新建材党建引领高质量发展 －国务院国有资产监督管理委员会,国资委
217,2021-09-15,北新建材：恒大应收账款占公司应收账款比重很低,Wind
218,2021-09-14,北新建材跌6% 公募大佬兴全董承非掌舵两基金持股,中国经济网
219,2021-09-13,建筑材料行业周报：能耗双控下两广价格大幅上涨 持续看好水泥修复机会,新浪
220,2021-09-10,布局四季度：成长制造和价值消费间均衡,新浪
221,2021-09-09,建材行业2021年中报业绩总结：水泥业绩承压 玻璃及其他建材业绩高增,新浪
222,2021-09-09,券商首次关注5股并给予买入评级（9月9日）,Wind
223,2021-09-09,16股获券商买入评级，金科股份目标涨幅达65.52%,Wind
224,2021-09-08,消费建材行业2021年中报总结：收入高增 毛利率和现金流承压 等待破局,广发证券
225,2021-09-08,北向资金结束连续12日净买入，中国平安、歌尔股份净卖出均超6亿元,Wind
226,2021-09-08,德邦证券：首予北新建材(000786.SZ)“买入”评级 价值区间55.4-60.94元,智通财经
227,2021-09-08,德邦证券首予北新建材买入评级：深耕石膏板领域四十载，“一体两翼”战略开启新篇章，目标价55.4-60.94元,每日经济新闻
228,2021-09-07,建筑材料行业：8月地产销售景气度明显下行 顺周期品种性价比高,新浪
229,2021-09-06,建材行业周观点：能耗压力下水泥供给收缩有望超预期 玻纤库存再降需求景气持续,新浪
230,2021-09-01,北新建材今日大宗交易成交44万股，成交价33.1元折价5.16%,Wind
231,2021-09-01,建筑材料行业报告：建议重视21H2玻纤行业景气边际向上动能,新浪
232,2021-09-01,中信证券：港股市场有望迎来布局四季度行情的最佳窗口,Wind
233,2021-08-30,科顺股份(300737)：营收高增长 毛利率及现金流承压,新浪
234,2021-08-27,凯伦股份(300715)：营收高增长 毛利率下降 现金流承压 盈利能力下降,新浪
235,2021-08-27,北新建材(000786)：主业基石稳固 防水有望提质增速,新浪
236,2021-08-27,QFII调仓换股，中小盘成长标的成新宠,Wind
237,2021-08-26,外资“拿走”奥普特近半数流通股，今年来涨逾80%,Wind
238,2021-08-26,业绩翻倍+低估值+滞涨股出炉！北上资金扫货8股,Wind
239,2021-08-25,有机硅龙头暴涨6倍！预增王是它 业绩翻倍+低估值+滞涨股名单出炉,中财网
240,2021-08-25,能源 基础材料行业动态：限电影响持续 水泥回升态势确立,新浪
241,2021-08-24,北新建材(000786)：石膏板彰显定价能力，防水等业务整合加速【华西建材建筑戚舒扬团队】20210824,华西工匠
242,2021-08-24,华西证券维持北新建材买入评级：石膏板彰显定价能力，防水等业务整合加速,每日经济新闻
243,2021-08-24,北新建材“防水”，防不住毛利下滑 盈利能力下降,乐居财经
244,2021-08-24,2021年中国石膏板行业市场现状与竞争格局分析 北新建材龙头地位稳固,前瞻研究院
245,2021-08-24,北新建材(000786)：石膏板量价齐升 下半年仍有超额利润空间,新浪
246,2021-08-24,科顺股份(300737)深度报告：集中度提升及品类扩张 看好公司持续成长,新浪
247,2021-08-24,135股获券商买入评级，金丹科技目标涨幅达90.26%,Wind
248,2021-08-23,建材行业周观点：“两高”项目环保管控收紧 地产竣工端景气持续,新浪
249,2021-08-23,17股获买入评级 最新:北新建材,中财网
250,2021-08-23,建材行业资金流向周报,新浪
251,2021-08-23,国盛证券给予北新建材买入评级，石膏板量价齐升盈利改善，一体两翼布局成长可期,每日经济新闻
252,2021-08-23,家居业一周｜居然之家与京东科技战略合作，多家企业发布半年报,贝壳财经
253,2021-08-22,北新建材2021年中报点评：一体两翼进展顺利，单季度业绩13亿创新高,华创建筑建材研究
254,2021-08-22,东兴证券维持北新建材强烈推荐评级，2021年半年报点评：产品结构优化和协同驱动发展,每日经济新闻
255,2021-08-22,东方证券维持北新建材买入评级，2021年中报点评：业绩高增长符合预期，防水经营质量稳步提升,每日经济新闻
256,2021-08-21,天风证券维持北新建材买入评级：主业定价权优势尽显，防水高质量发展可期，目标价格为51.52元,每日经济新闻
257,2021-08-21,中银证券维持北新建材买入评级：石膏板销量超预期，“一体两翼”成长可期,每日经济新闻
258,2021-08-21,中国银河维持北新建材推荐评级：多业务领域共同发展，业绩超预期,每日经济新闻
259,2021-08-21,北新建材(000786)公司半年报：石膏板+战略推进顺利 防水稳健增长,新浪
260,2021-08-20,北新建材(000786)：多业务领域共同发展 业绩超预期,新浪
261,2021-08-20,深度*公司*北新建材(000786)：石膏板销量超预期 “一体两翼”成长可期,新浪
262,2021-08-20,民生证券维持北新建材推荐评级：营收高速增长，石膏板业务毛利率提升,每日经济新闻
263,2021-08-20,【国信建材|中报点评】北新建材(000786)：业绩表现亮眼，一体两翼加速布局,微信
264,2021-08-20,北新建材：与北方众邦装饰签署战略合作协议,e公司
265,2021-08-20,北新建材(000786)：一体两翼进展顺利 单季度业绩13亿创新高,新浪
266,2021-08-20,北新建材上半年营业收入101.25亿元，净利润18.37亿元增长100%,中国房地产网
267,2021-08-20,海通证券：维持北新建材(000786.SZ)“优大于市”评级 价值区间48.84-57.72元,智通财经
268,2021-08-20,北新建材今年上半年净利润18.37亿元,新京报
269,2021-08-20,家居｜北新建材2021年上半年归母净利为18.37亿元 同比增加103.41%,财经网
270,2021-08-20,北新建材(000786)2021中报点评：石膏板继续量价齐升 防水现金流表现超预期,新浪
271,2021-08-20,【北新建材（000786.SZ）】“一体”稳步向前，期待“两翼”弹性释放——2021年半年报点评（孙伟风/冯孟乾）,光大证券
272,2021-08-19,北新建材2021年上半年净利润翻倍,北京商报
273,2021-08-19,北新建材(000786.SZ)：拟投建综合利用工业副产石膏年产4000万平方米纸面石膏板生产线项目,格隆汇
274,2021-08-19,北新建材：投资、筹资现金流双双下降丨中报快讯 运营能力下降,乐居财经
275,2021-08-19,北新建材(000786.SZ)拟2.53亿元投资石膏板生产线项目,智通财经
276,2021-08-19,北新建材(000786.SZ)：上半年净利增103.41%至18.37亿元,格隆汇
277,2021-08-19,北新建材：上半年净利润同比增长103.41%,Wind
278,2021-08-19,市值12年翻100倍，“防水茅”还能增长吗？,联商网
279,2021-08-18,8成预喜！补短板稳投资，大基建估值修复开启,Wind
280,2021-08-18,建材行业：防水质保提标 集中度提升加速演绎,新浪
281,2021-08-18,银河证券每日晨报,新浪
282,2021-08-18,北新建材8月17日现6笔大宗交易,证券时报网
283,2021-08-17,"北新建材现6笔大宗交易 共成交3,898.15万元",新浪
284,2021-08-17,北新建材今日大宗交易成交103.95万股，成交价37.5元溢价0.0%,Wind
285,2021-08-17,2021年1-7月建材行业数据跟踪：行业淡季已过 下半年需求向好,新浪
286,2021-08-17,地产、建筑建材、轻工联合深度研究报告：地产链正当配置时,新浪
287,2021-08-17,北新建材8月16日现6笔大宗交易,证券时报网
288,2021-08-16,中泰证券维持北新建材“买入”评级,乐居财经
289,2021-08-15,14股获超百次心动“投票”！4大板块盛产绩优股,Wind
290,2021-08-10,东方雨虹(002271)：收入大幅增长 毛利率及现金流承压,新浪
291,2021-08-08,每周观点：水泥价格加速回升 玻璃景气趋势不改,新浪
292,2021-08-08,建筑材料周观点：传统建材逐入旺季价格上涨 继续关注光电玻璃进展,新浪
293,2021-08-04,北新建材联手北京市昌平区政府，建设三大建材科学研究院等项目,乐居财经
294,2021-08-04,北新建材：与北京市昌平区政府签署投资合作框架协议,e公司
295,2021-08-03,北新建材龙虎榜数据（8月3日）,Wind
296,2021-08-03,昌平区政府与北新集团建材股份有限公司签署投资合作框架协议,东方网
297,2021-08-03,北新建材股价涨停 现报36.85元,乐居财经
298,2021-08-03,【*中国建材小公募】不超20亿，3年（2.5%-3.5%），5年（2.8%-3.8%），联合AAA/AAA，今日簿记,中信建投固定收益部
299,2021-08-02,建筑材料行业周报：水泥价格企稳趋势 玻璃景气趋势不改继续推荐,新浪
300,2021-08-02,建筑材料行业周报：高端石英耗材龙头迎高光时刻；玻璃景气度高,新浪
