71,2021-12-01,“机场茅”重组落定！上海机场拟191亿元收购虹桥机场等三大资产,资本邦
72,2021-12-01,上海机场191亿收购三大资产，拓展国内航线业务,阿尔法工场
73,2021-12-01,重组方案落地！上海机场(600009.SH)拉升涨超5%,格隆汇
74,2021-12-01,西部证券：维持上海机场(600009.SH)“增持”评级 行业潜力仍在 静待客流量回暖,智通财经
75,2021-12-01,上海机场：收购方案细则披露，虹浦两场合二为一【国信交运&中小盘姜明】,微信
76,2021-12-01,年报业绩预增股来了，7家公司预计业绩翻倍增长,证券时报网
77,2021-12-01,突发，白马股191亿重磅重组方案出炉！年报预增股来了，7股业绩预计翻倍增长（附股）,证券时报
78,2021-12-01,【中证盘前】上海机场拟191亿元购买控股股东资产；世纪华通子公司与腾讯签署联运合作框架协议；美股三大指数下跌,中证报
79,2021-12-01,上市公司正负面新闻2021年12月1日星期三,Wind
80,2021-12-01,大股东履诺解决同业竞争问题 上海机场获注逾191亿元优质资产,上证报
81,2021-12-01,上海机场重组标的估值出炉 虹桥机场等资产作价191亿,证券时报网
82,2021-12-01,上海机场重大资产重组对价出炉：超 190 亿，未就虹桥公司整体净利润作出业绩承诺,ZAKER
83,2021-12-01,"""机场茅""重磅重组定了！191亿收购三大资产",Wind
84,2021-12-01,"""机场茅""重磅重组定了！191亿收购三大资产，股价却几乎腰斩，转机何时到来？",券商中国
85,2021-12-01,超190亿！“机场茅”大动作来了,中国基金报
86,2021-12-01,上海机场发布重磅公告！,每日经济新闻
87,2021-12-01,上海机场191亿重组方案出炉 虹桥、浦东两大机场整体上市再进一步（A）,北京商报
88,2021-11-30,免税业务告急，上海机场191亿收购虹桥机场等资产,贝壳财经
89,2021-11-30,【公告速递】飞荣达：宁德时代预计向公司采购36亿元产品；两公司重整计划获法院批准,上证报
90,2021-11-30,“机场茅”重磅重组来了：近200亿！不单单注入虹桥机场！,上证报
91,2021-11-30,上海机场191亿重组方案出炉，虹桥机场时隔17年重返上市体系,第一财经
92,2021-11-30,上海国投成市第三家国资控股平台：4家国企无偿划转股权超400亿，打造国资运营“三架马车”模式,华夏时报
93,2021-11-30,公告精选：上海机场拟191亿元收购虹桥机场等资产；盛趣游戏与腾讯签署联运合作框架协议,e公司
94,2021-11-30,公告精选：上海机场拟191亿元收购虹桥机场等资产；飞荣达预计宁德时代5年采购金额约36亿元,e公司
95,2021-11-30,公告精选丨上海机场拟191亿元购买大股东资产；飞荣达预计获宁德时代36亿元订单,21世纪经济报道
96,2021-11-30,晚间重要公告2021年11月30日星期二,Wind
97,2021-11-30,【晚间公告抢先看】*ST众泰重整计划获法院裁定批准、宁德时代预计向飞荣达采购约36亿元,金融界
98,2021-11-30,拟收购三大优质资产 上海机场191亿元重大资产重组草案出炉,上证报
99,2021-11-30,“巨无霸”再起航 上海机场拟191.32亿元收购虹桥机场等资产,中证网
100,2021-11-30,上海机场：拟191.32亿元购买虹桥公司100%股权等资产,澎湃新闻
101,2021-11-30,上海机场(600009)：召开2021年第一次临时股东大会，股东大会召开日期为2021年12月16日,资本邦
102,2021-11-30,上海机场(600009)：10月经营数据点评：疫情反复影响复苏 静待客流量回暖,新浪
103,2021-11-30,上海机场(600009)：上海机场发行股份购买资产,资本邦
104,2021-11-30,上海机场：拟191.3亿元购买控股股东机场集团资产,e公司
105,2021-11-30,上海机场：拟购买虹桥公司100%股权等资产 交易作价191.3亿元,财联社
106,2021-11-30,上海机场：拟191.3亿元购买控股股东机场集团资产,Wind
107,2021-11-29,【异动股】民航机场板块下挫，上海机场(600009.CN)跌5.94%,财华社
108,2021-11-29,解盘：股指震荡走高，锂电、储能、肺炎检测领涨,Wind
109,2021-11-29,【行情】A股民航机场板块开盘领跌，白云机场、中国国航、南方航空、上海机场、吉祥航空等跌幅居前,金十数据
110,2021-11-29,航空及机场股下挫，中国国航跌超6%,Wind
111,2021-11-29,交运&中小盘12月投资策略：看好快递四季度表现 聚焦中小市值高成长,新浪
112,2021-11-28,快递主产粮区价格稳定，疫情不改航空复苏预期【安信交运丨周报1128】,微信
113,2021-11-27,涉及超5500亿规模基金！新一轮指数样本大调整出炉,Wind
114,2021-11-26,多只指数样本获调整：上证50指数调入片仔癀(600436.SH)等，调出上海机场(600009.SH)等,智通财经
115,2021-11-26,上海机场(600009.SH)董事朱传武辞职 董监高成员变化,智通财经
116,2021-11-26,上海机场：朱传武向董事会辞去公司董事及董事会专门委员会相关职务 董监高成员变化,Wind
117,2021-11-26,上证50跌幅扩大至1%,Wind
118,2021-11-26,受疫情影响 上海机场部分航班取消,金十数据
119,2021-11-24,中国短期融资券及中期票据信用分析周报,新浪
120,2021-11-23,上海机场集团：无偿划转上海机场部分股份,Wind
121,2021-11-22,交运中小盘行业周报：快递持续边际改善 疫情消退利好出行复苏,新浪
122,2021-11-21,快递旺季后价格有望稳定，航空平稳复苏【安信交运丨周报1121】,微信
123,2021-11-20,民航数据洞察|“回暖期”在10月中途遇阻 专家预期民航业下半年表现或将不及去年,每日经济新闻
124,2021-11-19,静安寺核心商圈有新动作！上海机场城市航站楼将大变样,东方网
125,2021-11-19,综合运输服务“十四五”规划印发 16只概念股机构最关注,证券时报网
126,2021-11-18,国企改革“年检”将至，多家国资公司调整股权结构,Wind
127,2021-11-17,航空机场10月数据点评：数据乏善可陈 但或代表未来几个月的常态,新浪
128,2021-11-17,买爆免税店之后，下一个机场流量变现高地在哪里?,环球旅讯
129,2021-11-17,物流和出行服务行业10月航空机场运营数据跟踪：黎明切近 及时布局,新浪
130,2021-11-16,晚间重要公告2021年11月16日星期二,Wind
131,2021-11-16,上海机场：10月旅客吞吐量同比下降15.4%,财联社
132,2021-11-16,上海机场(600009.SH)：10月旅客吞吐量同比下降15.40%,格隆汇
133,2021-11-16,上海机场：10月旅客吞吐量329.98万人次，同比下降15.4%,Wind
134,2021-11-16,交通运输2022年年度策略：谷雨春光晓 王者再归来,新浪
135,2021-11-16,上海机场最新公告：拟将7%股份（1.35亿A股）无偿划转予上海国投,大众网
136,2021-11-15,交通运输行业2022年投资策略：柳暗花明 拨云见日,光大证券
137,2021-11-15,公告精选：南钢股份拟分拆子公司至北交所上市；比亚迪拟向多氟多采购六氟磷酸锂,e公司
138,2021-11-15,晚间重要公告2021年11月15日星期一,Wind
139,2021-11-15,上海机场7%国有股权被无偿划转至上海国投公司,上证报
140,2021-11-15,上海机场：控股股东拟将公司7%股份无偿划转给上海国投 减持股份,中新经纬
141,2021-11-15,晚间公告｜11月15日这些公告有看头,第一财经
142,2021-11-15,上海机场(600009.SH)机场集团拟将其持有1.35亿股A股股票无偿划转予上海国投公司,智通财经
143,2021-11-15,上海机场：控股股东拟将所持7%公司股份无偿划转给上海国投公司 减持股份,Wind
144,2021-11-15,双十一期间快递量增超两成，中小市值公司表现亮眼【国信交运中小盘周观点】,微信
145,2021-11-14,理性看待快递10月行业表现，航空复苏受疫情扰动【安信交运|周报1114】,微信
146,2021-11-10,北向资金大举出货超百亿连续4日净卖出，房地产产业链持续遭抛售,Wind
147,2021-11-10,2021年10期交通运输行业：把握航空客运趋势性复苏机遇 关注综合物流龙头长期投资价值,新浪
148,2021-11-10,【行情】机场航运板块午后持续走弱，中国国航跌近4%，吉祥航空、春秋航空、上海机场跟跌,金十数据
149,2021-11-10,10月上海机场领涨民航板块 上市航司前三季度减亏约147亿元 亏损,每日经济新闻
150,2021-11-10,前三季度上市航司减亏约147亿元 上海机场营收净利同比双降 亏损,每日经济新闻
151,2021-11-10,北向资金动向盘点：连续19个交易日净买宁德时代,Wind
152,2021-11-10,北向资金连续三日净卖出，抛售中国平安逾10亿，转而加仓这些龙头股（名单）,21世纪经济报道
153,2021-11-10,交运行业2021年三季报综述：集运盈利再创新高 超过其他子板块总和,新浪
154,2021-11-09,上海机场：目前公司董事长未持有公司股票,每日经济新闻
155,2021-11-09,险资去哪儿了？复苏行业有机会,Wind
156,2021-11-09,险资去哪儿了？ 复苏行业有机会,全景网
157,2021-11-08,浙商证券：给予上海机场买入评级，目标价位72.26元,证券之星
158,2021-11-08,机场航运股集体走高，多因素拖累三季报业绩，板块何时迈入复苏周期？ 盈利能力下降,财联社
159,2021-11-08,9000亿赛道重挫、美国突发大消息，市场预期巨变？,Wind
160,2021-11-08,三个月大涨37%，跌落神坛的上海机场将再度起飞？,证券之星
161,2021-11-08,A股收盘综述：锂电池王者归来，天齐锂业上板并获主力净流入27亿元,Wind
162,2021-11-08,解盘：大盘转暖，锂电、航空、稀土、环保、游戏领涨,Wind
163,2021-11-08,港A航空及航空服务股集体大涨：上海机场逼近涨停，南方航空H股涨超12%,格隆汇
164,2021-11-08,机场航运板块板块开盘走强，南方航空触板，中国国航、白云机场、上海机场、春秋,新浪
165,2021-11-08,周末大事很多，一个利好,新浪
166,2021-11-05,物流和出行服务行业2022年投资策略：终越关山 顺势而为,新浪
167,2021-11-05,交通运输行业周报(第四十二周)：首选电商快递 布局航空、油运,新浪
168,2021-11-05,上海机场&百望云:数字化为智慧税务赋能,砍柴网
169,2021-11-05,上海机场集团总裁：将进一步推进建设上海大都市圈城市航站楼,澎湃新闻
170,2021-11-04,上海机场今日大宗交易成交7.61万股，成交价49.24元溢价0.0%,Wind
171,2021-11-04,上海机场：和南通政府合作建当地大型新机场 上海航空枢纽跨地域体系形成,第一财经
172,2021-11-04,上海机场：将建设智慧机场 所有设施运行都数字化,第一财经
173,2021-11-04,中信证券：基础设施和现代服务，优质供给的扩张机遇,Wind
174,2021-11-04,首届北外滩国际航运论坛汇聚全球智慧 共谋行业发展,上观
175,2021-11-04,扬帆远航向未来 首届北外滩国际航运论坛上海举行,交通新闻网
176,2021-11-02,长三角一体化上升为国家战略三周年：从各补短板走向共拉长板,Wind
177,2021-11-02,北向资金连续4日净买入累计扫货近150亿，新能源龙头股集体获抢筹,Wind
178,2021-11-01,中国中免(601888)：Q3疫情毛利率承压 首都机场和所得税冲回增厚业绩,新浪
179,2021-10-31,如何看极兔收购百世快递？【安信交运|周报1031】,微信
180,2021-10-29,“机场茅”前三季度亏损 上海机场如何突围？| 解财报 亏损,第一财经
181,2021-10-29,三季报十大亏损王 华夏幸福亏134亿居首,投资快报
182,2021-10-26,国都证券研究所晨报,新浪
183,2021-10-26,业绩快报 | 上海机场Q3亏损再扩大，免税业务现回暖迹象 亏损,36氪
