,2021-12-28,诺泰生物创上市新低 IPO募8亿南京证券赚0.7亿,中国经济网
308,2020-11-02,南京证券前三季净利7.2亿元 支付给职工现金5.6亿,中国经济网
309,2020-10-31,南京证券股份有限公司 2020年第三季度报告正文,证券日报
310,2020-10-30,天风证券：前三季度扣非归母净利润同比大涨逾3.37倍,Wind
311,2020-10-30,南京证券：前三季度净利润同比增长9.72%,Wind
312,2020-10-30,南京证券(601990.SH)前三季度净利润升9.72%至7.15亿元,格隆汇
313,2020-10-30,南京证券：持股5%以上股东未减持股份，计划时间过半,Wind
314,2020-10-26,招商基金管理有限公司公告（系列）,证券时报
315,2020-10-17,重磅人事变动！59岁东方证券董事长辞职 接任者是谁 董监高成员变化,中国基金报
316,2020-10-14,仅22天 首例上市券商合并案终止 专家称券商并购会不断涌现 并购重组异常,证券日报
317,2020-10-12,券商为何密集“补血”？年内定增、配股超千亿，中小券商突围路径还有哪些？,券商中国
318,2020-09-29,年内券商合并传闻四起：合并潮将至？分析称目前只会出现个案,澎湃新闻
319,2020-09-25,国联国金“联姻”，双双继续停牌，证监会启动核查丨热公司,第一财经
320,2020-09-25,券商板块再度走强 ，东方证券涨停，关注具备并购整合预期标的,证券时报网
321,2020-09-23,一有传闻就涨停！这些券商会合并吗？国元、华安回应：无未披露的重大信息,上证报
322,2020-09-23,证券行业-国联国金合并事件点评：券商并购将不断涌现 定价与整合是关键,新浪
323,2020-09-16,【行情】券商板块开盘活跃，第一创业大涨5%，招商证券、国联证券、南京证券纷纷跟涨,金十数据
324,2020-09-14,南京证券：“17南京01”回售金额为1.5亿元，未进行转售,Wind
325,2020-09-07,上市券商2020H1业绩总结及展望：大自营再次占比首位 券商集中度提升,新浪
326,2020-08-31,券业财富管理转型大比拼！这家黑马暴增11倍,券商中国
327,2020-08-30,38份券商中报：国金兴业跻身投行前十 自营是营收“重头戏”,第一财经
328,2020-08-28,南京证券：上半年净利润同比增长36.7%,Wind
329,2020-08-28,南京证券：上半年实现净利润5.25亿元 同比增长36.70%,中证网
330,2020-08-28,南京证券(601990.SH)：上半年净利升36.7%至5.25亿元,格隆汇
331,2020-08-28,南京证券：上半年净利同比增长36.7%,e公司
332,2020-08-27,南京证券评级由A级下调为BBB级 或因新三板主办券商业务违规 投资评级恶化,新浪
333,2020-08-27,恒生电子(600570)2020H1点评：扣非净利符合预期 坚定看好全年高增长,新浪
334,2020-08-27,恒生电子(600570)2020H1中报点评：二季度恢复良好 金融IT龙头成长逻辑不变,新浪
335,2020-08-26,【A股收盘综述】创业板综指低收2.18%，沪指跌超1%受累半导体等回调,Wind
336,2020-08-26,A股午盘综述：创业板综指午盘跌1.64%，12只创业板股逆市涨超10%,Wind
337,2020-08-25,又见券商股权无偿划转，这次是南京证券！60亿定增进度引关注,腾讯网
338,2020-08-24,南京证券(601990.SH)：南京市食品公司拟向其上级企业无偿划转所持公司56.7861万股,格隆汇
339,2020-08-24,南京证券股东拟将56.79万股公司股份无偿划转至金谷商贸 减持股份,证券日报
340,2020-08-24,南京证券：股东南京市食品公司拟无偿划转56.79万股持股,中证网
341,2020-08-20,游资情报｜“赵老哥”妖股跌停板上捡便宜；“孙哥”携手“章盟主”打板一股未果！,每日经济新闻
342,2020-08-20,IPO承销江湖的喜与忧：中金公司20亿收入居首 6家券商“退群”,投资时报
343,2020-08-19,大洗牌！133家券商上半年25项指标排名来了,券商中国
344,2020-08-18,发债融资热情高，18家券商新增借款逾2700亿元,Wind
345,2020-08-13,南京证券(601990.SH)：蓝天投资的董事长暨法定代表人变更为蒋晓刚 董监高成员变化,格隆汇
346,2020-08-13,南京证券：全资子公司南京蓝天投资有限公司董事长变更为蒋晓刚 董监高成员变化,每日经济新闻
347,2020-08-12,【行情】证券板块异动拉升，华西证券涨超4%，锦龙股份、哈高科、财通证券、南京证券等跟涨,金十数据
348,2020-08-12,今年已有9家券商完成再融资，资金投向扩大至创新业务,Wind
349,2020-08-11,中国证券行业文化建设委员会第一次全体会议召开,Wind
350,2020-08-08,游资情报｜多家顶级游资进出两只军工龙头现分歧；券商龙头异动背后惊现两大游资身影！,每日经济新闻
351,2020-08-06,分拆、借壳、迎战投，中小券商“奔A”在路上,第一财经
352,2020-08-06,南京证券(601990.SH)：7月母公司净利升0.67%至1.02亿元,格隆汇
353,2020-08-06,南京证券：母公司7月份净利润1.02亿元,格隆汇
354,2020-08-06,南京证券：累计新增借款占上年末净资产的比例为52.20% 大额借贷担保,Wind
355,2020-08-04,游资情报｜“孙哥”开门“小鳄鱼”出逃科技牛股；机构、游资对决疫苗龙头！,每日经济新闻
356,2020-08-04,券商板块持续走强，兴业证券大涨7％，方正证券、华创阳安、国信证券、南京证券等集体活跃,金十数据
357,2020-08-03,紫光国微今日涨停，外资卖出为主,Wind
358,2020-08-01,第39家券商昨A股“报到”，44家券商打新浮盈80万元,Wind
359,2020-07-31,【证券行业文化建设】共谋行业高质量发展,中国证券网
360,2020-07-30,818理财节丨南京证券：多种姿势赢积分 参与模拟炒股大赛寓教于乐,新浪
361,2020-07-24,资本“狂人”刘益谦继续买买买，再次瞄准长江证券,券商中国
362,2020-07-22,券商板块冲高回落收涨1.03%，第一创业主力净流入金额超19亿元,Wind
363,2020-07-21,券商涨幅两市第三 股东频抛减持计划 减持股份,时代在线
364,2020-07-20,券商板块今日收涨5.29%，中信证券主力资金净流入约5亿元,Wind
365,2020-07-20,券商板块半日涨6.36%，方正证券、中信证券共获得主力净流入超12亿元,Wind
366,2020-07-19,再提券商合并 哪家呼声最高？,金融界
367,2020-07-17,南京证券控股子公司宁证期货拟增资1.5亿元,证券日报
368,2020-07-17,洞察|宁证期货违规遭罚！2019年业绩大涨，但两年收四张罚单，内控或存严重隐忧 金融监管处罚,和讯
369,2020-07-17,南京证券(601990.SH)：选举李剑锋为董事长、聘任夏宏建为总裁,格隆汇
370,2020-07-17,南京证券(601990.SH)：宁证期货拟增资1.5亿元,格隆汇
371,2020-07-17,券商板块今日缩量收跌3.07%，光大证券等4股跌停遭主力净卖出44亿元,Wind
372,2020-07-17,券商板块半日跌超3%，太平洋、光大证券、中信证券遭主力资金净卖出31亿元,Wind
373,2020-07-16,券商板块收跌5.6%成交金额1273亿元，太平洋获主力净流入32.29亿元,Wind
374,2020-07-16,融资客青睐13股，嘉化能源买入占比高达49.50%,Wind
375,2020-07-16,A股融资融券日报：两融余额增加10.73亿元（7月15日）,Wind
376,2020-07-16,减持、再融资“两头热”！6券商将被减持逾3亿股 减持股份,Wind
377,2020-07-15,券商股惊现减持、再融资“两头热” 六券商频遭重要股东减持 减持股份,证券日报
378,2020-07-15,中信证券“单骑救盘”难挽板块跌势，券商股后市如何演绎？,第一财经
379,2020-07-15,【主力资金】千亿资金净流出！7股出逃最凶，尾盘资金猛砸科技股,证券时报网
380,2020-07-15,南京证券李剑锋：正统、正规、正道 打造基业长青的百年老店,中证协
381,2020-07-15,券商板块今日跌2.87%，无一股收于涨停,Wind
382,2020-07-15,【行情】券商板块尾盘跳水，第一创业触及跌停，华鑫股份、哈高科、南京证券大跌,金十数据
383,2020-07-15,券商股尾盘跳水，越秀金控打开涨停,Wind
384,2020-07-15,券商板块半日跌1.8%成交金额740亿元，越秀金控涨停获主力净流入0.7亿元,Wind
385,2020-07-15,【行情】券商股走弱，中银证券跌逾6%，南京证券、华安证券、东方财富等跟跌,金十数据
386,2020-07-15,高处不胜寒，两融余额7月增逾2200亿,Wind
387,2020-07-15,A股融资融券日报：两融余额增加130.07亿元（7月14日）,Wind
388,2020-07-15,A股早报2020年7月15日星期三,Wind
389,2020-07-15,南京证券李剑锋：正统、正规、正道 打造基业长青的百年老店,中证报
390,2020-07-14,【A股收盘综述】上证指数跌0.83%，午后呈现V型走势,Wind
391,2020-07-14,北向资金和融资客齐加仓 南京证券股价创新高,证券时报网
392,2020-07-14,券商股短线快速拉升，南京证券回封涨停,Wind
393,2020-07-14,券商股上攻 南京证券、越秀金控涨停,第一财经
394,2020-07-14,解盘：科技股集体回调，影视、航母、水泥、高价股略涨,Wind
395,2020-07-14,券商板块半日跌0.03%，南京证券主力净流入额16.96亿元,Wind
396,2020-07-14,A股午盘综述：上证指数跌逾1%，创业板指跌近2%,Wind
397,2020-07-14,券商板块反弹拉升，南京证券涨停，中银证券涨逾8%,证券时报网
398,2020-07-14,券商股盘中拉升 南京证券涨停,e公司
399,2020-07-14,券商股再度走强南京证券拉升封板,格隆汇
400,2020-07-14,券商股午前发力，南京证券涨停,Wind
401,2020-07-14,券商板块再度拉升助力上证指数跌幅收窄，越秀金控涨停,Wind
402,2020-07-11,上市公司正负面新闻2020年7月11日星期六,Wind
403,2020-07-10,券商股大涨却遭股东减持，多家券商股东祭出减持计划，南京证券更被连续两轮减持 减持股份,每日经济新闻
404,2020-07-10,康美300亿造假后续！这家头部券商遭重罚 金融监管处罚,Wind
405,2020-07-10,"首航高科现2笔大宗交易 共成交2,481.73万元",新浪
406,2020-07-10,南京证券：股东凤凰置业计划减持不超1%股份 减持股份,Wind
407,2020-07-10,凤凰股份(600716.SH)：凤凰置业计划减持不超1%南京证券股份 减持股份,格隆汇
408,2020-07-10,分红潮来临！逾百家公司派现，金融股集中现身,Wind
409,2020-07-10,券商板块午盘跌0.73%成交金额945亿元，中信证券主力净流出3.6亿元,Wind
410,2020-07-10,【行情】中银证券快速拉升涨停，浙商证券回封，华创阳安、天风证券、南京证券等跟涨,金十数据
411,2020-07-10,南京证券第四大股东凤凰置业已减持3298.8万股股份 减持股份,资本邦
412,2020-07-10,太会卖:南京证券第四大股东精准择时 5.67亿减持全在高点 减持股份,券商中国
413,2020-07-10,太会“卖”！这家券商第四大股东精准择时，5.67亿元减持全在高点，这些券商的股东也心动了 减持股份,券商中国
414,2020-07-09,炒股高手忙套现！多家上市公司宣布减持券商股份,Wind
415,2020-07-09,南京证券：股东凤凰置业完成减持 累计减持不超总股本1% 减持股份,中证网
416,2020-07-09,注意！南京证券：减持计划完成 凤凰置业累计减持3299万股 减持股份,每日经济新闻
417,2020-07-09,南京证券：凤凰置业已通过集中竞价方式减持3298.8万股，减持计划实施完毕 减持股份,Wind
418,2020-07-09,凤凰股份(600716.SH)：凤凰置业减持3298.8万股南京证券股份 减持股份,格隆汇
419,2020-07-09,凤凰股份：全资子公司减持所持南京证券1%股份，完成减持计划 减持股份,Wind
420,2020-07-09,券商板块小涨成交1656亿元环比微减，光大证券成交额93亿元创历史新高,Wind
421,2020-07-09,券商板块午盘涨1.12%半日成交1088亿元，较上日同期增百亿元,Wind
422,2020-07-09,监管层加大中介机构问责力度，年内13家券商被处罚 金融监管处罚,Wind
423,2020-07-08,晚间重要公告2020年7月8日星期三,Wind
424,2020-07-08,南京证券母公司6月份净利5783万元,上证报
425,2020-07-08,南京证券：母公司6月实现0.58亿元净利润,中证网
426,2020-07-08,多家券商披露6月财务数据：中信建投母公司净利10亿元,金融界
427,2020-07-08,南京证券(601990.SH)：6月母公司净利升1.07%至5783.12万元,格隆汇
428,2020-07-08,南京证券：母公司6月净利润5783.12万元,Wind
429,2020-07-08,券商板块收涨6.63%成交金额1664亿元，中信证券、中信建投尾盘炸板,Wind
430,2020-07-08,券商板块午盘涨3.68%半日成交金额998亿元，较上日同期缩量百亿元,Wind
431,2020-07-08,超1400股“踏空牛市”，历史低位绩优股是它们,证券时报网
432,2020-07-07,周期天王“大繁荣”理论走热，市场激辩风格切换,Wind
433,2020-07-07,南京证券(601990.SH)年报推10派0.7元 股权登记日7月15日,格隆汇
434,2020-07-07,游资情报｜“赵老哥”携手“章盟主”巨资封板省广集团；“作手新一”“小鳄鱼”打板2股,每日经济新闻
435,2020-07-07,券商板块收跌2.3%成交金额1674亿元，中信证券主力净流出4亿元,Wind
436,2020-07-07,【A股收盘综述】上证指数连升6日，创业板指涨2.44%,Wind
437,2020-07-07,【行情】券商板块跌幅扩大，南京证券、红塔证券、华林证券、华西证券等多只个股跌幅超5%,金十数据
438,2020-07-07,【异动股】券商信托板块下挫，南京证券(601990-CN)跌5.06%,财华社
439,2020-07-07,2万亿市值巨头狂飙！A股四大风口并驾齐驱,中证报
440,2020-07-07,券商板块午盘跌0.44%成交金额1096亿元，上日同期为1082亿元,Wind
441,2020-07-07,A股午盘综述：上证指数涨逾1%盘中站上3400点，创业板指涨超3%,Wind
442,2020-07-06,券商板块今日成交金额1516亿元，中信证券主力净流入金额达72亿元,Wind
443,2020-07-06,IPO放量背后监管层从严惩戒投行违规，南京证券等多机构遭遇警示函,21世纪经济报道
444,2020-07-06,券商板块半日成交金额1082.66亿元，已超7月2日全天,Wind
445,2020-07-06,十年复盘：中信证券引爆牛市可能有多大？本轮券商行情有多高,证券时报网
446,2020-07-06,A股融资融券日报：两融余额增加125.53亿元（7月3日）,Wind
447,2020-07-05,科创板投行业务违规，5家券商项目负责人遭监管警示 金融监管处罚,Wind
448,2020-07-03,券商板块半日成交金额884亿元，上日全天为990亿元,Wind
449,2020-07-03,上交所发布2020年二季度证券公司地方政府债券承销排行榜,Wind
450,2020-07-03,A股早报2020年7月3日星期五,Wind
451,2020-07-03,翻身时刻到了，A股剑指3100点，全球市场一起嗨,Wind
452,2020-07-02,每次牛市初期，券商股是如何表现的？,Wind
453,2020-07-02,券商龙头真要合并？四大牛市信号浮现,券商中国
454,2020-07-02,A股收盘综述：上证指数涨逾2%剑指3100点，大金融核心爆发,Wind
455,2020-07-01,非银金融行业点评：创业板试点注册制落地速度超预期 券商行业向上长周期开启,新浪
456,2020-07-01,紫光国微涨停创新高，三机构买入7.42亿元,Wind
457,2020-06-30,南京证券：第三届董事会董事候选名单出炉,证券时报
458,2020-06-19,A股收盘综述：上证指数涨近1%，深成指进入技术性牛市,Wind
459,2020-06-18,昊志机电：变更持续督导保荐代表人,Wind
460,2020-06-18,新开普：变更保荐代表人,Wind
461,2020-06-18,罗莱生活：变更持续督导保荐代表人,Wind
462,2020-06-15,【光大金工 | 定增周报】建信理财定增主题产品推出第2期——20200614,EBQuant
463,2020-06-14,晚间重要公告2020年6月14日星期日,Wind
464,2020-06-14,南京证券：董事会同意聘任徐萍女士、蒋晓刚先生、张兴旭先生担任公司副总裁,Wind
465,2020-06-13,上市券商定增、配股“齐上阵”，近1200亿元募资计划如箭在弦,Wind
466,2020-06-11,海通证券、南京证券定增获准 资本中介业务成定增主要投向,长江商报
467,2020-06-11,"券商迎""补血""潮！6月已有海通、南京、中原增资获批，897亿再融资在路上",证券时报
468,2020-06-10,海通证券南京证券定增获批 券商再融资按下快进键,上证报
469,2020-06-10,上市公司正负面新闻2020年6月10日星期三,Wind
470,2020-06-09,又有两家券商收到定增核准批复 近期4家券商合计募资不超382.5亿元,证券日报
471,2020-06-09,5月份以来3家券商定增申请获批 合计募资182.5亿元,证券日报
472,2020-06-09,晚间重要公告2020年6月9日星期二,Wind
473,2020-06-09,南京证券获准非公开发行6.6亿股票,证券时报网
474,2020-06-09,南京证券定增申请获证监会核准批复,中国证券网
475,2020-06-09,南京证券不超60亿元定增事项获证监会核准,北京商报
476,2020-06-09,南京证券：定增不超6.6亿股新股，获证监会批准,Wind
477,2020-06-09,南京证券(601990.SH)：非公开发行股票获得中国证监会核准,格隆汇
478,2020-06-05,南京证券5月营收、净利环比4月下滑46.52%、33.46% 盈利能力下降,资本邦
479,2020-06-05,券商5月业绩再坐“过山车”，环比普降同比分化 盈利能力下降,第一财经
480,2020-06-04,【公告抢先看】“地摊经济”热度不减 四连板银都股份风险提示喋喋不休、券商月报亮相 业绩“冰火两重天”,金融界
481,2020-06-04,南京证券：5月份实现营收1.37亿元,中证网
482,2020-06-04,南京证券(601990.SH)：5月母公司净利升118.07%至6076.11万元,格隆汇
483,2020-06-04,南京证券：母公司5月净利6076万元 同比大幅增长,证券时报网
484,2020-06-04,南京证券：母公司5月份净利润为6076万元,格隆汇
485,2020-06-02,两路资金扫货榜单出炉，4只个股成为抢筹目标……,上证报
486,2020-06-01,涨停复盘 | 六月开门红，两市再现百股涨停！,第一财经
487,2020-06-01,解盘：资金跑步进场，智能音箱、TWS耳机、大基金领涨,Wind
488,2020-06-01,A股午盘综述：上证指数涨近2%，创业板指大涨3%,Wind
489,2020-06-01,六月“开门红”券商板块强势拉升，券商ETF涨逾3%,Wind
490,2020-05-29,融资加速凸显券商重资本趋势,证券市场周刊
491,2020-05-28,"又有券商总裁将离职！来到这家""交易所""当总裁 董监高成员变化",中国基金报
492,2020-05-28,涨停复盘 | 指数午后震荡回升，大金融板块强势护盘,第一财经
493,2020-05-26,5月26日A股龙虎榜揭秘,Wind
494,2020-05-25,5月25日A股龙虎榜揭秘,Wind
495,2020-05-22,5月22日A股龙虎榜揭秘，机构买入5股,Wind
496,2020-05-22,A股37家券商去年11家人均薪酬福利超50万元 中信居首,中国经济网
497,2020-05-21,5月21日A股龙虎榜揭秘，机构买入13股,Wind
498,2020-05-21,券商增资扩军热情高涨，近900亿定增在路上,Wind
499,2020-05-20,5月20日A股龙虎榜揭秘，机构抛售12股,Wind
500,2020-05-19,5月19日A股龙虎榜揭秘，机构抛售17股,Wind
501,2020-05-19,A股券商资本实力排查：国海证券净资本降幅居首 中信证券四项风控指标倒数,投资时报
502,2020-05-19,A股券商赚钱榜：去年净利合计增长71%仅一家下滑资管业务成最疲弱地带,投资时报
503,2020-05-15,5月15日A股龙虎榜揭秘，机构抢筹10股,Wind
504,2020-05-13,5月13日A股龙虎榜揭秘，机构买入11股,Wind
505,2020-05-13,券商股午后异动，中银证券涨超3%,Wind
506,2020-05-13,年内券商已发债6000亿元，还有超千亿元再融资“在路上”,Wind
507,2020-05-12,全面飙升！券商4月业绩集体爆发，这家净利环比增39倍,券商中国
508,2020-05-12,南京证券60亿定增获批补充资本金 投资业务收入增逾3倍拟再投25亿扩张,长江商报
509,2020-05-12,发债额同比增八成 券商迎“补血”大年,北京商报网
510,2020-05-11,券商多渠道加快“补血”，南京证券60亿定增方案获批,格隆汇
511,2020-05-11,南京证券：股东凤凰置业通过集中竞价方式累计减持2872.61万股公司股票 占总股本0.8708% 减持股份,中证网
512,2020-05-11,发债额逾5700亿、千亿再融资蓄势待发 券商迎“补血”大年,北京商报
513,2020-05-11,南京证券：母公司4月份实现营收2.55亿元、净利9131.74万元,中证网
514,2020-05-11,南京证券：母公司4月份营收2.55亿元 净利润9131.74万元,金融界
515,2020-05-11,南京证券(601990.SH)：4月母公司净利增24.39%至9131.74万元,格隆汇
516,2020-05-11,南京证券(601990.SH)：凤凰置业减持期过半 累计减持2872.61万股 减持股份,格隆汇
517,2020-05-11,南京证券：凤凰置业减持0.8708%公司股份 减持股份,Wind
518,2020-05-11,猪周期投资机会或将延续 机构资金或悄然建仓！,中投网
519,2020-05-11,这10家公司发布公告有看点 机构资金或悄然建仓！,巨丰财经
520,2020-05-11,情绪前瞻0511 | 格力地产拟17.25亿元收购上海科华生物，正向情绪居首；ST康美深夜“大变脸”去年亏36亿，负向情绪警笛拉响,21世纪经济报道
521,2020-05-11,本周操盘攻略：CPI等重磅数据发布 央行明确政策思路,Wind
522,2020-05-11,南京证券60亿元定增方案获批 再融资新规助力券商“补血”,中证报
523,2020-05-11,南京证券等调整再融资方案 再融资新规助力券商补血,中证报
524,2020-05-10,下周操盘攻略：4月CPI工业增加值等重磅数据即将发布,Wind
525,2020-05-10,南京证券(601990.SH)非公开发行A股股票申请获审核通过,格隆汇
526,2020-05-10,南京证券：非公开发行A股股票申请获得中国证监会审核通过,金融界
527,2020-05-10,南京证券：定增申请获证监会审核通过,e公司
528,2020-05-10,南京证券：60亿元定增方案获证监会审核通过,Wind
529,2020-05-08,5月8日A股龙虎榜揭秘，机构买入9股,Wind
530,2020-05-07,5月7日A股龙虎榜揭秘,Wind
531,2020-05-06,5月6日A股龙虎榜揭秘，机构抢筹17股,Wind
532,2020-05-06,奥飞数据连续涨停，机构参与,Wind
533,2020-05-06,券商股集体拉升，越秀金控冲击涨停,Wind
534,2020-04-30,4月30日A股龙虎榜揭秘,Wind
535,2020-04-28,南京证券：一季度净利润同比增长9.39%,Wind
536,2020-04-28,涨停复盘 | 创业板注册制落地，创投板块迎来大爆发,第一财经
537,2020-04-28,林治海辞任广发总经理 年内13家券商高管变更 董监高成员变化,时代在线
538,2020-04-27,4月27日A股龙虎榜揭秘，机构卖出12股,Wind
539,2020-04-25,【兴证金融 傅慧芳】券商配置比例已低于2018Q3水平，头部券商减仓明显——基金2020Q1券商持仓分析,兴证金融
540,2020-04-20,4月20日A股龙虎榜揭秘，机构抢筹2股,Wind
541,2020-04-17,4月17日A股龙虎榜揭秘，机构买入11股,Wind
542,2020-04-17,900多亿募资待发，债融逼近5000亿,Wind
543,2020-04-16,4月16日A股龙虎榜揭秘，机构减持9股,Wind
544,2020-04-15,哪家券商“铁粉”多？中信证券坐拥近60万户，年内已有20家券商股权集中度提升,证券日报
545,2020-04-15,年报数据揭秘 14家上市券商股权集中度提升,证券日报
546,2020-04-13,4月13日A股龙虎榜揭秘，机构抛售14股,Wind
547,2020-04-10,一季度券商业绩“过山车”，3月行业营收净利环比普降 盈利能力下降,第一财经
548,2020-04-10,洞察·财曝|南京证券2019年营收22亿元 高管薪酬增长近四成,和讯
549,2020-04-10,14家券商去年计提70亿元减值准备，股票质押业务“风险系数”下降 资产异常,Wind
550,2020-04-09,4月9日A股龙虎榜揭秘，机构最青睐8股,Wind
551,2020-04-09,南京证券：母公司3月实现净利润0.90亿元,中证网
552,2020-04-09,南京证券(601990.SH)：3月母公司净利增4.04%至9048.87万元,格隆汇
553,2020-04-09,南京证券：母公司3月份净利为9049万元,e公司
554,2020-04-09,南京证券：母公司3月净利润9048.87万元,Wind
555,2020-04-09,3000万+！券业“打工皇帝”大起底，中信、国君3人年薪超2000万,券商中国
556,2020-04-08,券商2019年业绩榜：中信126亿净利居首;17家券商计提百亿资产减值，海通占1/4 资产异常,搜狐
557,2020-04-07,加杠杆迅猛！3家券商一季度新增借款合计超200亿，发债、卖出回购金融资产等是主要方式！ 大额借贷担保,每日经济新闻
558,2020-04-07,南京证券：当年累计新增借款超过上年末净资产的百分之二十 大额借贷担保,Wind
559,2020-04-03,券商年内发债“补血”超4400亿元 仍有超千亿元定增配股在路上,证券日报
560,2020-04-02,犀牛财经早报：私人银行AUM破10万亿 罗永浩直播首秀翻车,GPLP犀牛财经
561,2020-04-02,南京证券、西部证券年报业绩大增逾200%！证券投资收益大增，多家券商受益,中证报
562,2020-04-01,南京证券2019年净利7亿元同比增206% 证券投资业务收入同比大增309%,证券日报
563,2020-04-01,上市公司数据播报：南京证券2019年净利7.1亿元,金融界
564,2020-04-01,4月1日A股龙虎榜揭秘，机构抛售8股,Wind
565,2020-04-01,南京证券2019年净利润同比增206.24% 受益证券投资、投行业务增长,北京商报
566,2020-04-01,南京证券2019年净利同比增逾两倍,上证报
567,2020-04-01,南京证券：2019年实现归母净利润7.10亿元 证券投资业务表现突出,中证网
568,2020-04-01,南京证券：2019年净利7.10亿元 同比增长206.24％,金融界
569,2020-04-01,南京证券(601990.SH)2019年度净利润升206.24%至7.1亿元 拟10派0.7元,格隆汇
570,2020-04-01,南京证券：2019年净利润7.1亿元增逾2倍，拟10派0.7元,Wind
571,2020-03-31,A股融资融券日报：两融余额减少40.59亿元（3月30日）,Wind
572,2020-03-30,3月30日A股龙虎榜揭秘，机构抢筹12股,Wind
573,2020-03-30,年报、季报抢鲜看！大数据寻找“预喜”股票,Wind
574,2020-03-27,3月27日A股龙虎榜揭秘，机构抛售13股,Wind
575,2020-03-27,上证指数午盘涨1.41%，收复2800点,Wind
576,2020-03-25,3月25日A股龙虎榜揭秘，机构最青睐9股,Wind
577,2020-03-25,南京证券今日大宗交易成交426万股，成交价15.25元溢价0.0%,Wind
578,2020-03-24,3月24日A股龙虎榜揭秘，机构抢筹13股,Wind
579,2020-03-24,拓维信息再度涨停，实力游资进驻,Wind
580,2020-03-23,3月23日A股龙虎榜揭秘，机构最青睐7股,Wind
581,2020-03-23,南京证券调整60亿定增预案 3家股东认购7.5亿,中新经纬
582,2020-03-20,券业第三家：南京证券调整60亿元定增方案，募集资金主攻资本中介和自营业务！,每日经济新闻
583,2020-03-20,3月20日A股龙虎榜揭秘，机构抢筹8股,Wind
584,2020-03-20,A股融资融券日报：两融余额增加39.59亿元（3月19日）,Wind
585,2020-03-17,金融板块悉数翻绿下跌,Wind
586,2020-03-17,A股融资融券日报：两融余额减少176.3亿元（3月16日）,Wind
587,2020-03-16,券商股跳水，中银证券跌停,Wind
588,2020-03-16,【行情】券商板块午后大跌，中银证券跌9%，华林证券、华安证券、南京证券、长江证券、红塔证券等集体下挫。 连续下跌,金十数据
589,2020-03-13,券商股大幅攀升，华林证券强势封板,Wind
590,2020-03-11,A股融资融券日报：两融余额增加56.05亿元（3月10日）,Wind
591,2020-03-11,券商再融资按下快进键，千亿弹药砸向重资本业务,Wind
592,2020-03-10,A股上演V型反转，上证指数收盘涨1.82%,Wind
593,2020-03-10,A股宽幅震荡，上证指数午盘涨0.62%,Wind
594,2020-03-10,券商股异动,Wind
595,2020-03-10,A股融资融券日报：两融余额减少34.07亿元（3月9日）,Wind
596,2020-03-09,券商股持续上扬，中原证券涨停,Wind
597,2020-03-09,券商股启动,Wind
598,2020-03-09,A股融资融券日报：两融余额减少50.71亿元（3月6日）,Wind
599,2020-03-07,揭秘A股周涨5%资金动向：追捧2类股，抛售600亿“香饽饽”,Wind
600,2020-03-07,两市融资余额创逾四年新高，三大行业获杠杆资金抢筹,Wind
601,2020-03-06,南京证券：股东凤凰置业已减持1770.94万股公司股份 减持总金额2.90亿元 减持股份,中证网
602,2020-03-06,南京证券(601990.SH)：凤凰置业减持数过半累计减持1770.94万股 减持股份,格隆汇
603,2020-03-06,南京证券：凤凰置业减持0.5368%公司股份 减持股份,Wind
604,2020-03-06,科技板块本周600亿出逃，“刚需”消费类受资金追捧,Wind
605,2020-03-06,11150余亿元！这路活跃资金规模创四年来新高，钱流到哪里去了,上证报
606,2020-03-06,新基建新东方！,德邦证券微资讯
607,2020-03-05,3月6日上市公司重要公告集锦：中信特钢拟10转7派10,证券日报
608,2020-03-05,公告精选：中信特钢拟10转7派10；多家券商披露2月财务数据,e公司
609,2020-03-05,南京证券(601990.SH)：2月母公司净利增15.77%至8593.91万元,格隆汇
610,2020-03-05,南京证券龙虎榜数据(3月5日）,Wind
611,2020-03-05,两连板南京证券(601990.SH)：不存在未披露的重大信息,格隆汇
612,2020-03-05,南京证券：母公司2月实现净利润0.85 亿元,中证网
613,2020-03-05,南京证券：母公司2月净利为8594万元,e公司
614,2020-03-05,A股成交额再上万亿，北上资金回流，79股创历史新高,Wind
615,2020-03-05,暴涨1.2万亿！A股放量上攻，中央频频点名，几十万亿大蛋糕来了,中国基金报
616,2020-03-05,券商股再度拉升,Wind
617,2020-03-05,南京证券拟发行不超过24亿疫情防控债,资本邦
618,2020-03-05,南京证券正向情绪居首，阅文集团负向情绪警笛拉响,21世纪经济报道
619,2020-03-05,吃面也属宅经济 克明面业Q1利润大增，能不能持久？,和讯
620,2020-03-04,南京证券(601990.SH)拟发行24亿元的疫情防控债,格隆汇
621,2020-03-04,涨停复盘 | A股重回3000点，网红经济表现活跃,第一财经
622,2020-03-04,基金收评 | 房地产发力，沪指站上3000点！公募基金这样解读降息,第一财经
623,2020-03-04,券商板块发力,Wind
624,2020-03-04,券商股尾盘发力，南京证券涨停,Wind
625,2020-03-04,9家券商2019年拟计提资产减值逾40亿元,Wind
626,2020-03-03,证券板块迎来“高光”时刻，估值修复开启？,Wind
627,2020-02-27,证券板块开盘强势,Wind
628,2020-02-21,券商股集体回调 南京证券跌逾4%,中国经济网
629,2020-02-21,A股融资融券日报：两融余额增加116.85亿元（2月20日）,Wind
630,2020-02-21,牛市味道？券商股再领涨，“聪明资金”已低位扫货,券商中国
