,2021-12-28,诺泰生物创上市新低 IPO募8亿南京证券赚0.7亿,中国经济网
73,2021-06-25,牛市旗手暴拉，创业板重回3300！后市机会如何？,Wind
74,2021-06-24,券商股早盘走强，中银证券拉升封板，华鑫股份、中泰证券、南京证券、红塔证券等,新浪
75,2021-06-24,券商股持续脉冲，中银证券率先封板,Wind
76,2021-06-23,券商股异动攀升，中银证券冲击涨停,Wind
77,2021-06-21,中信建投“解禁大考”过关？分析称解禁影响应综合考量 解禁,第一财经
78,2021-06-21,北向资金连续2日净卖出，继续抛售医药生物和白酒股,Wind
79,2021-06-21,700亿限售解禁洪峰来袭，两因素保中信建投平稳“度汛” 解禁,21世纪经济报道
80,2021-06-21,中信建投等领涨券商股，又一只打破解禁“魔咒”券商股回稳？,贝壳财经
81,2021-06-20,2100亿头部券商流通盘巨增逾180%！还有这些个股压力山大,Wind
82,2021-06-18,【行情】A股证券板块异动拉升，中金公司涨近5%，中信建投、东方财富、南京证券跟涨,金十数据
83,2021-06-17,券商股午后异动，湘财股份大涨6%,Wind
84,2021-06-17,【行情】证券板块短线拉升，湘财股份涨超5%，南京证券、方正证券、东方财富、财达证券等跟涨,金十数据
85,2021-06-17,【行情】A股证券板块异动拉升，南京证券涨超4%，中泰证券、东方财富、华林证券、方正证券等跟涨,金十数据
86,2021-06-17,南京证券盘中快速上涨,新浪
87,2021-06-16,一锁定乾坤 南京证券“逆势飘红”为那般？,新浪
88,2021-06-16,策略日报：美联储议息会议引发市场担忧 指数回落,新浪
89,2021-06-16,用益-信托市场简报：房地产信托成为信托行业“违约大户”,用益信托网
90,2021-06-16,A股收盘综述：新能源产业链批量跌停，创业板指下挫逾4%,Wind
91,2021-06-16,券商板块发力上扬，湘财股份涨停，南京证券等走高,证券时报网
92,2021-06-16,券商股尾盘持续拉抬，湘财股份涨停,Wind
93,2021-06-16,券商股发力护盘，湘财股份冲击涨停,Wind
94,2021-06-16,今日，南京证券迎来12.38亿股首发限售股解禁，对应解禁市值超过100亿元。 解禁,上证报
95,2021-06-15,大股东等承诺3年内不减持，实际解禁市值大降 南京证券12.38亿股解禁涨3.75% 解禁,每日经济新闻
96,2021-06-15,南京证券打破“魔咒”领涨券商板块,中证网
