,2021-12-31,煤炭坐上“过山车”：价格疯涨后企稳回落,中国经营网
65,2021-11-02,国投电力：两河口水电站3号机组投产，截至目前已投产四台机组共计200万千瓦,36氪
66,2021-11-02,国投电力：两河口水电站3号机组投产,财联社
67,2021-11-02,国投电力：两河口水电站3号机组投产,Wind
68,2021-11-01,国投电力：高煤价致业绩承压，两杨陆续投产未来成长可期,郭丽丽的研究札记
69,2021-11-01,图解国投电力三季报：第三季度单季净利润同比减47.34% 盈利能力下降,证券之星
70,2021-11-01,私募大佬放大招！看邓晓峰、冯柳、裘国根等最新持仓,Wind
71,2021-10-31,国投电力：前三季度净利润34.61亿元，同比下降33.58% 盈利能力下降,资本邦
72,2021-10-29,国投电力：2021年第三季度净利润约11.24亿元，同比下降47.34%,每日经济新闻
73,2021-10-29,国投电力：前三季度净利润同比减少33.58% 盈利能力下降,Wind
74,2021-10-28,国投电力：两河口水电站4号机组投产,财联社
75,2021-10-27,连续四日新股首日破发！新锐股份中1签亏4000元,Wind
76,2021-10-26,公用周报：广东等多省份颁布电价市场改革通知 21Q1-Q3风电光伏分别新增装机16.4、25.7GW,新浪
77,2021-10-26,前瞻性研究行业月报：绿色能源与前瞻性产业月报(2021年10月报),新浪
78,2021-10-25,公用事业行业：火电需求维持强势 风光装机高速增长幅收窄,新浪
79,2021-10-20,37只股票被举牌：7成盈利，翻番牛股出栏,Wind
80,2021-10-18,国投电力非公开发行股票申请获审核通过,上证报
81,2021-10-18,晚间重要公告2021年10月18日星期一,Wind
82,2021-10-18,国投电力(600886.SH)：定增申请获证监会审核通过,格隆汇
83,2021-10-18,国投电力(600886.SH)：杨房沟水电站4号、3号机组已投产,格隆汇
84,2021-10-18,国投电力：雅砻江杨房沟水电站4号、3号机组10月16日、17日正式并网发电,财联社
85,2021-10-18,国投电力：雅砻江杨房沟水电站4号、3号机组正式并网发电,Wind
86,2021-10-18,公用环保行业周报：江苏山东首次交易电价顶格上浮 2022年电价谈判结果保持乐观,新浪
87,2021-10-18,公用事业行业周报：电价上浮落地叠加煤炭保供推进 行业经营压力或将缓和,新浪
88,2021-10-17,公用周报：深化煤电电价市场化改革政策落地 前9月全社会用电量累计同比+12.9%,新浪
89,2021-10-15,A股共发生98宗大宗交易成交14.85亿元（10月15日）,Wind
90,2021-10-15,国投电力现1笔大宗交易 共成交258.87万元,新浪
91,2021-10-15,公用事业三季度业绩前瞻：煤电利润触底 新能源业绩高增,新浪
92,2021-10-15,国投电力今日大宗交易成交25.53万股，成交价10.14元折价0.59%,Wind
93,2021-10-15,公用事业行业：高温叠加需求改善 用电增速触底反弹,新浪
94,2021-10-15,国投电力三季度光伏发电量12.36亿千瓦时,巨潮资讯网
95,2021-10-14,碳中和系列报告(五)：电价上涨元年 打破僵局 电力体制改革实现重大突破,新浪
96,2021-10-13,国投电力前三季度上网电价同比增约6% 多家电力公司预计前三季度业绩下滑 盈利能力下降,每日经济新闻
97,2021-10-13,国投电力(600886.SH)1-9月境内控股企业累计完成发电量1148.29亿千瓦时 同比增加2.28%,格隆汇
98,2021-10-12,公用事业行业周报：正价差时代开启 电价趋势性上行,新浪
99,2021-10-12,公用事业行业国常会电价政策点评：煤电电价市场化改革再进一步,新浪
100,2021-10-09,公用事业行业点评：电价改革加速推进 电力运营商有望充分受益,新浪
101,2021-10-08,公用环保行业周报：限电潮后深化改革信号渐强 改变电力行业底层投资逻辑,新浪
102,2021-10-07,国庆节假期要闻汇总（10月1日-7日）,Wind
103,2021-10-04,陆家嘴财经早餐2021年10月4日星期一,Wind
104,2021-10-03,能源股突然爆发！这些投资大神赚翻了,Wind
105,2021-10-03,"能源股突然爆发！这些投资大神赚翻了，他们是如何踩对""节奏""？要看懂股票""好价格""的真正含义",券商中国
106,2021-10-01,电力、煤气及水等公用事业行业研究：湖南推动煤电联动 重塑发电企业估值,国金证券股份有限公司
107,2021-09-30,电力行业：电力紧张延续 新能源发电重塑供给格局,新浪
108,2021-09-29,国投电力(600886.SH)逆势涨近5%，两河口水电站5号、6号机组将于9月29日正式投产,格隆汇
109,2021-09-29,国投电力(600886.SH)逆势涨近5%，两河口水电站5号、6号机组将于9月29日正式投产,证券之星
110,2021-09-29,A股异动 | 国投电力(600886.SH)逆势涨近5% 两河口水电站5号、6号机组将于9月29日正式投产,格隆汇
111,2021-09-28,国投电力：两河口水电站百万千瓦机组明日将投产发电,上证报
112,2021-09-28,晚间重要公告2021年9月28日星期二,Wind
113,2021-09-28,国投电力：两河口水电站5号、6号机组将投产,财联社
114,2021-09-28,国投电力：两河口水电站5号、6号机组将投产,Wind
115,2021-09-28,地天板！4100万资金跌停价抄底这只电力股,Wind
116,2021-09-28,电力板块午后持续走高，国投电力等近10股涨停,36氪
117,2021-09-28,怎么回事？2400亿锂电白马大跌，千亿龙头大涨40%,Wind
118,2021-09-28,快讯：国投电力涨停 报于12.43元,金融界
119,2021-09-28,电力股集体造好，国投电力5天2板,Wind
120,2021-09-26,公用事业行业周报：能耗双控下 加大新能源电力消纳为必由之路,新浪
121,2021-09-26,公用事业行业周报：煤炭保供稳价及电价政策频出 限电问题有望缓解,新浪
122,2021-09-26,二季度海外头部基金借机增配港股 持股金额达3916亿美元,金融界
123,2021-09-26,工银瑞信基金祭出新混基 王鹏1只产品近2年涨幅远甩同类平均,新浪
124,2021-09-26,周末，A股大事件！,证券之星
125,2021-09-26,刚创阶段新高就大跌，私募大佬裘国根变身“大空头” 抛售国投电力！,证券之星
126,2021-09-26,公用事业周报：多省份大面积限电停产 两部委强化电厂7天安全存煤底线 经营问题,新浪
127,2021-09-26,电力指数五周劲升26%，绿电掀起飓风、机构喊话价值重估,Wind
128,2021-09-26,刚创阶段新高就暴跌 这家公司被私募大佬裘国根减持 减持股份,证券时报
129,2021-09-25,电力行业动态跟踪报告：数说电力(2021年9月刊),新浪
130,2021-09-24,逾200亿元主力资金出逃化学制品 国投电力：“重阳系”卖 机构席位买,大众证券报
131,2021-09-24,国投电力跌6.97% 前十大流通股东重阳战略投资占3席,中国经济网
132,2021-09-24,北向资金疯狂抢筹大消费板块，五粮液创历史最大净买入,Wind
133,2021-09-24,A股异动 | 国投电力(600886.SH)跌超8% 重阳系减持公司0.6%股份 减持股份,格隆汇
134,2021-09-24,机构近期抢筹这81股 你跟吗?,证券之星
135,2021-09-24,裘国根变身“大空头”！“重阳系”急速减持国投电力,Wind
136,2021-09-24,裘国根变身“大空头” “重阳系”急速减持国投电力 减持股份,上证报
137,2021-09-24,欧美股市多数收高，美国三大股指均收涨逾1%,Wind
138,2021-09-23,国投电力(600886.SH)：重阳系今日减持4201.69万股 合计持股比例降至5% 减持股份,格隆汇
139,2021-09-23,国投电力龙虎榜数据(9月23日）,Wind
140,2021-09-23,国投电力：重阳战略才智基金、重阳战略英智基金共减持公司股份约4202万股 减持股份,每日经济新闻
141,2021-09-23,交易异动！国投电力：近3个交易日上涨24.36%，无未披露的重大信息,每日经济新闻
142,2021-09-23,国投电力：重阳投资等股东合计持股比例降至5%,财联社
143,2021-09-23,国投电力(600886.SH)合计持股5%以上股东减持到5% 减持股份,智通财经
144,2021-09-23,国投电力：重阳投资今日减持公司0.6%股份 减持股份,e公司
145,2021-09-23,国投电力(600886.SH)股价异动 不存在未披露的重大事项,智通财经
146,2021-09-23,国投电力盘中一度涨停，机构三日净买2.44亿,证券之星
147,2021-09-23,电力股集体造好，国投电力2连板,Wind
148,2021-09-23,A股早报2021年9月23日星期四,Wind
149,2021-09-23,史无前例！一大批公司限产，牛股核心工厂全面停产,Wind
150,2021-09-22,绿色能源与大宗商品月报(2021年9月)行业月报,新浪
151,2021-09-22,涨停板解密：电力股现批量涨停！（9月22日）,Wind
