,2021-12-24,中金黄金：公司四季度生产经营情况正常，产量稳定,每日经济新闻
300,2020-09-08,有色金属行业2020中报总结：黄金磁材业绩亮眼 新能源铜板块有望企稳,新浪
301,2020-09-08,【异动股】贵金属板块下挫，赤峰黄金(600988-CN)跌9.49%,财华社
302,2020-09-08,紫金、洛钼、江铜...上半年国内矿企过得怎么样？,长江有色
303,2020-09-08,【异动股】贵金属板块下挫，赤峰黄金(600988-CN)跌7.54%,财华社
304,2020-09-08,金价震荡！上半年，黄金首饰销量同比下降超40%！这类饰品却备受青睐，销量逆势增长 盈利能力下降,上海中期期货
305,2020-09-07,【有色&煤炭】鲍威尔表态纠结，不改黄金长牛,国泰君安证券研究
306,2020-09-04,【半年报】全球放水刺激金价大涨 上半年贵金属企业营收普增,上海有色
307,2020-09-04,养老金二季度末现身134家公司前十大流通股东榜,证券时报
308,2020-09-02,中报曝光机构持仓路线图 “国家队”仍然偏爱金融股,金融投资报
309,2020-09-02,35股获杠杆资金净买入超5000万元,证券时报网
310,2020-09-02,权重股尾盘拉升 9月A股迎开门红,上证报
311,2020-09-01,巨·大盘｜沪指围绕3400点拉锯 两大板块受资金追捧,巨丰财经
312,2020-09-01,巨丰收评：九月喜迎开门红,巨丰财经
313,2020-09-01,500亿白马股跌停！多只基金重仓，欧菲光紧急澄清,中国基金报
314,2020-09-01,黄金板块表现强势 银泰黄金逾近7%,上证报
315,2020-09-01,【行情】黄金板块集体走高，银泰黄金涨6%，赤峰黄金、中金黄金、紫金矿业、湖南黄金等跟涨,金十数据
316,2020-09-01,有色金属概念盘中异动走强 银邦股份涨停,中国经济网
317,2020-08-31,A股中报出炉，5大主力资金重仓名单全披露,Wind
318,2020-08-31,午评：两市冲高回落沪指涨0.8%食品饮料股爆发贵州茅台再创新高,金融界
319,2020-08-31,【股市行情】贵金属板块大涨 紫金矿业触及涨停,上海有色
320,2020-08-31,黄金概念股走强 紫金矿业涨逾9%,上证报
321,2020-08-31,中信建投：碳酸锂价格上涨，金银价格反弹,第一财经
322,2020-08-31,【异动股】贵金属板块拉升，紫金矿业(601899-CN)涨6.92%,财华社
323,2020-08-31,黄金股早盘拉升，紫金矿业、赤峰黄金、中金黄金领涨,Wind
324,2020-08-31,晨会0831 | 半年报业绩披露收官,中信建投证券研究
325,2020-08-30,50公司获得增持评级-更新中,中财网
326,2020-08-28,中金黄金|点评：2020H1业绩明显改善，优质金铜资产组合优势显现,齐丁有色研究
327,2020-08-28,中金黄金(600489)：1H20业绩略低于预期；矿产金产量略有下降 盈利能力下降,新浪
328,2020-08-28,瑞信将中金黄金评级上调至跑赢大盘，目标价为13元人民币。,--
329,2020-08-27,"【每日金属资讯】山东黄金上半年净利润增98.22%,中金黄金半年净利润增6.22%,楚江新材预计前三季度净利润降超41%",有色钢铁杨坤河
330,2020-08-27,中金黄金上半年净利增6.22% 市场化债转股圆满收官,上证报
331,2020-08-27,中金黄金(600489.SH)：上半年净利同比增6.22%至5.16亿元,格隆汇
332,2020-08-27,中金黄金：上半年净利润同比增长6.22%,Wind
333,2020-08-27,快讯：截至10：30贵金属涨1.32% 4只个股获大单资金净买入,证券日报
334,2020-08-26,【异动股】贵金属板块下挫，赤峰黄金(600988-CN)跌4.18%,财华社
335,2020-08-26,今年七夕 A股不讲“爱情”,金融投资报
336,2020-08-21,黄金股跳水，紫金矿业、山东黄金、中金黄金普跌,Wind
337,2020-08-20,【异动股】贵金属板块低开，贵研铂业(600459-CN)跌8.86%,财华社
338,2020-08-19,A股混改方案接踵而至，哪个是你的菜？,Wind
339,2020-08-19,【异动股】贵金属板块下挫，中润资源(000506-CN)跌5.15%,财华社
340,2020-08-19,生意社热点商品发现（2020年8月19日）,生意社
341,2020-08-19,巴菲特“青睐黄金”引金价再涨,光明网
342,2020-08-19,这个国家民众买入超480亿元金条，连巴菲特也青睐黄金了，透露啥信号,每日经济新闻
343,2020-08-19,低估值蓝筹轮番领涨 沪指突破只差“临门一脚”,新浪
344,2020-08-18,李唯鑫:黄金涨势如虹美元五连跌黄金建议走势布局策略,新浪
345,2020-08-18,材料行业日报：金价反弹带动贵金属板块上行,新浪
346,2020-08-18,【财经分析】现货金价夺回2000美元关口重启升势 黄金股或跟风,新华网
347,2020-08-18,煤炭、钢铁股集体爆发！顺周期板块获机构扎堆点名,中投网
348,2020-08-18,A股窄幅震荡创指站上2700两市成交再破万亿沪指新高近在咫尺,财华社
349,2020-08-18,基金收评 | 指数集体收涨，黄金主题基金活跃！公募看好后市,第一财经
350,2020-08-18,A股收盘：富时A50收跌0.2% 大盘全天震荡 成交额破连续两日破万亿 连续下跌,英为财情
351,2020-08-18,18日强势板块分析：食品饮料板块走强 汽车股再度活跃,证券时报网
352,2020-08-18,黄金股尾盘持续走高，赤峰黄金封板,Wind
353,2020-08-18,黄金、贵金属板块异动拉升 赤峰黄金、贵研铂业等多股大幅上涨,金融界
354,2020-08-18,有色金属行业更新：钴原材料持续紧张,新浪
355,2020-08-18,解盘：金融拖累指数，生物育种、海南、抗生素领涨,Wind
356,2020-08-18,快讯：黄金板块表现强势 赤峰黄金涨幅7.35%居首,证券日报
357,2020-08-18,A股异动：赤峰黄金涨近8%，现货黄金再度逼近2000美元,英为财情
358,2020-08-18,黄金概念再度发力拉升 国际金价重返2000美元/盎司上方,证券时报网
359,2020-08-18,黄金股涨幅扩大，赤峰黄金冲击涨停,Wind
360,2020-08-17,黄金概念异动拉升,第一财经
361,2020-08-16,大宗商品行业周报：贵金属宽幅震荡 工业品或将走强,新浪
362,2020-08-14,3个客户撑起的金鑫矿业拟IPO 产品单一且金产量低储量薄弱,GPLP犀牛财经
363,2020-08-13,宁波银行，或许是雅戈尔投资履历的“遮羞布”,新浪
364,2020-08-13,国际金价现“跳水行情” 业内仍看好黄金配置价值,新浪
365,2020-08-13,黄金市场惊魂 抄底还是撤离,中证报
366,2020-08-12,有惊无险？沪指V型反转守稳3300 网友:在怀疑中上涨,网易
367,2020-08-12,有惊无险！A股秀出“大长腿”，四大原因引发巨震，创业板五连阴后，后市如何布局？机构这样说,证券时报网
368,2020-08-12,黄金“坑”还是“黄金坑”？跌逾200美元后，黄金多头集体出逃,中证报
369,2020-08-12,深度调整！沪指险守3300点，创业板指一度跌逾4%！市场怎么了？,华夏时报
370,2020-08-12,重要金融指标低于预期A股V型探底金融股护盘沪指险守3300点,财华社
371,2020-08-12,猝不及防！国际金价狂泄，创业板指一度跌近4%,21财闻汇
372,2020-08-12,巨·大盘|大盘深V探底 金融股稳定指数 科技调整尚未到位,巨丰财经
373,2020-08-12,A股收盘：大盘V型回升 沪指3300点失而复得 工业富联大涨约7%,英为财情
374,2020-08-12,国际金价暴跌，热点板块全线下挫，A股后市将如何走？丨火线解读 连续下跌,第一财经
375,2020-08-12,巨丰收评：大盘金针探底 金融股稳定指数,巨丰财经
376,2020-08-12,A股收盘综述：上证指数跌0.63%守住3300，汽配股崛起,Wind
377,2020-08-12,A股情绪突变，热门概念全趴下！创业板指重挫近4%，牛市还在否？这个板块逆风起飞,证券时报网
378,2020-08-12,黄金直线跳水盘中跌破1900美元关口贵金属概念股重挫大跌 连续下跌,财华社
379,2020-08-12,刚刚！黄金又跳水，1900美元失守，上金所紧急提醒！A股震荡加大，军工有色医药带头杀跌！央妈再出手，释放1400亿！机构最新解盘,中国基金报
380,2020-08-12,解盘：题材股走势分化，海南自贸区、大豆、大基建略涨,Wind
381,2020-08-12,【异动股】黄金概念板块下挫，西部资源(600139-CN)跌停,财华社
382,2020-08-12,黄金股异动：赤峰黄金一字跌停 9只黄金ETF跌幅均超6%,金融界
383,2020-08-12,生意社热点商品发现（2020年8月12日）,生意社
384,2020-08-12,金银价暴跌致黄金股全线低开 西部资源、赤峰黄金跌停 连续下跌,格隆汇
385,2020-08-12,A股异动：黄金股大幅回调，赤峰黄金一字跌停,英为财情
386,2020-08-12,国际金价大跌6%，赤峰黄金一字跌停,21世纪经济报道
387,2020-08-12,【异动】沪金沪银开盘跌停 俄新冠疫苗获批消息打击避险情绪,金融界
388,2020-08-12,黄金概念股开盘大跌 赤峰黄金等跌停,e公司
389,2020-08-11,黄金大跌2%！多家国际机构激辩黄金价值，你更看好谁？,搜狐
390,2020-08-11,【异动股】贵金属板块下挫，赤峰黄金(600988-CN)跌5.78%,财华社
391,2020-08-11,【异动股】贵金属板块低开，赤峰黄金(600988-CN)跌4.08%,财华社
392,2020-08-11,有色金属行业周报：有色大幅走强 关注稀土战略资源属性,新浪
393,2020-08-10,顺势完成20亿元配套募资 中金黄金重大无先例债转股收官,上证报
394,2020-08-10,有色金属板块持续强势 南方有色ETF规模突破40亿元,中国网
395,2020-08-09,中国黄金集团市场化债转股圆满收官,中国有色
396,2020-08-09,有色金属行业动态报告：钴价继续上涨 金价再创新高,新浪
397,2020-08-08,公告版位提示,中证报
398,2020-08-07,快讯：有色金属板块表现活跃 3只概念股收获涨停,证券日报
399,2020-08-07,巨丰午评：黄金军工持续走强,巨丰财经
400,2020-08-07,【异动股】贵金属板块拉升，中润资源(000506-CN)涨5.28%,财华社
401,2020-08-06,巨·热点｜市场深V调整 大金融维护护盘 军工、有色点燃市场激情！,巨丰财经
402,2020-08-06,A股收盘：沪指尾盘翻红国防军工领涨市场10多只股票涨停,搜狐
403,2020-08-06,金价还在创新高，为何暴涨？一份理工男的“控制论”解读来了,每日经济新闻
404,2020-08-06,疯狂黄金冲至2055美元续刷新高带动黄金股持续做多热情,财华社
405,2020-08-06,巨丰午评：市场高位震荡 黄金军工走强,巨丰财经
406,2020-08-06,A股异动：贵金属板块延续涨势，紫金矿业、赤峰黄金涨超5%,英为财情
407,2020-08-06,【异动股】贵金属板块拉升，紫金矿业(601899-CN)涨8.11%,财华社
408,2020-08-06,金价首破2000美元大关！ 上金所再次发布风险提示,广州日报
409,2020-08-06,金价开启历史新篇章黄金股市值一日增逾205亿元,格隆汇
410,2020-08-06,黄金突破2000美元：期股联动强烈上金所再次提示风险,证券时报
411,2020-08-05,黄金为何暴涨？理工男的“控制论”解读来了……投资黄金的六大门派曝光！,每日经济新闻
412,2020-08-05,国际金价突破2000美元再创历史新高,证券时报
413,2020-08-05,史无前例！黄金突破2000美元关口，A股再现黄金涨停潮！全球大行继续上调目标价，风险提示也来了,券商中国
414,2020-08-05,趋势巡航：大盘双星会开始大跌吗,金融界
415,2020-08-05,巨·热点｜两市振幅加大 板块切换现常态 五大题材受追捧！,巨丰财经
416,2020-08-05,金价飙升 A股哪些黄金股值得投资？,新浪
417,2020-08-05,黄金酝酿大风暴？罕见指标时隔26年再现，“中国大妈”解套走人,中证报
418,2020-08-05,多因素助推金价“乘风破浪”，机构称黄金牛市还未结束丨牛熊眼,第一财经
419,2020-08-05,生意社热点商品发现（2020年8月5日）,生意社
420,2020-08-05,【异动股】贵金属板块高开，盛达资源(000603-CN)涨6.84%,财华社
421,2020-08-05,现货黄金勇破2020美元关口 A股黄金概念大幅高开,新浪
422,2020-08-05,黄金一夜狂飙，年内暴涨34%，这些A股又要嗨了,中国基金报
423,2020-07-31,巨·大盘|大盘上测箱体顶部遇阻 A股七翻身完美实现,巨丰财经
424,2020-07-31,【异动股】贵金属板块拉升，赤峰黄金(600988-CN)涨6.41%,财华社
425,2020-07-30,A股明日风口：广州市发布氢能产业发展规划,新浪
426,2020-07-30,合肥江航飞机装备股份有限公司首次公开发行股票科创板上市公告书,证券时报
427,2020-07-29,"中金黄金现1笔大宗交易 共成交1,918.38万元",新浪
428,2020-07-29,中金黄金今日大宗交易成交189.75万股，成交价10.11元折价10.53%,Wind
429,2020-07-29,金价创历史新高：上金所发风险警示 “黄金牛”还能跑多远？,中国网
430,2020-07-29,【每日晨报】0729丨石化丨20Q2公募基金持仓创新低，油价企稳+需求回升助力H2业绩改善,中国银河证券研究
431,2020-07-29,金价创新高 现在上车晚不晚？,金融投资报
432,2020-07-29,消费类主题获资金青睐,Wind
433,2020-07-29,伦敦金高台跳水不改上升趋势 黄金股逆市夺A股涨幅榜冠军,21世纪经济报道
434,2020-07-28,疯狂的黄金！小伙儿为结婚买壕配版“三金”，多花1.5万！现在上车还来得及吗,金融投资报
435,2020-07-28,道达投资手记：水井坊中报爆雷 中档酒敲响警钟,每日经济新闻
436,2020-07-28,主力资金：19亿资金出逃疫苗黑马股 尾盘上亿资金搏杀TWS概念龙头,新浪
437,2020-07-28,傻眼了！天量巨阴高位杀跌、百亿抛盘砸懵散户，说好的黄金“大周期机会”，怎么进场后就变脸了？,每日经济新闻
438,2020-07-28,中报业绩爆雷，一大白马股板块敲响警钟——道达投资手记,每日经济新闻
439,2020-07-28,A股收盘综述：上证指数缩量攀升0.71%，创业板指涨1.32%,Wind
440,2020-07-28,金价创9年新高 黄金股早盘冲高回落｜板块牛熊榜,第一财经
441,2020-07-28,黄金珠宝板块跌幅超3%，中金黄金、湖南黄金下挫逾5%,Wind
442,2020-07-28,【异动股】黄金概念板块下挫，赤峰黄金(600988-CN)跌6.11%,财华社
443,2020-07-28,【异动股】贵金属板块下挫，园城黄金(600766-CN)跌5.21%,财华社
444,2020-07-28,太意外！新三板精选层一度全飘绿，速看，有大消息传来,证券时报网
445,2020-07-28,金价迅猛“疯涨”改写历史新高资金抢筹流入有色板块跟涨,财华社
446,2020-07-28,回调来了？国际金价创1980美元新高后急挫40美元,Wind
447,2020-07-28,黄金股出现跳水，园城黄金、中金黄金跌幅扩大明显,Wind
448,2020-07-28,黄金珠宝板块翻绿，紫金矿业、中金黄金均跌超2%,Wind
449,2020-07-28,黄金和白银股齐升 黄金期货触及每盎司2000美元,新浪
450,2020-07-28,【异动股】贵金属板块，赤峰黄金(600988-CN)涨6.78%,财华社
451,2020-07-28,黄金价格创历史新高，山东黄金市值超1200亿！还能涨吗？,大众网
452,2020-07-28,金价再创新高，美国7万亿刺激落地在即，将如何影响？,券商中国
453,2020-07-28,黄金触及2000美元大关 黄金板块早盘飙涨(附股),新浪
454,2020-07-28,策略｜大宗商品和相关股票联动性分析-20200728,中银期货研究
455,2020-07-28,巨丰早评：沪指围绕3200点拉锯 把握低吸机会,巨丰财经
456,2020-07-27,1944美元！金价创历史新高，比特币也迎来巅峰,中国经济网
457,2020-07-27,主力资金：3000亿安防巨头罕见涨停 外资豪掷近8亿抢筹,金融界
458,2020-07-27,黄金价格创历史新高！金饰格每克已破560元，要不要买？,上游新闻
459,2020-07-27,金价暴涨刷新历史 黄金板块龙头股防御能力凸显,大众证券报
460,2020-07-27,1944美元！金价创历史新高，再也不敢笑话“抄底”被套7年的中国大妈了,每日经济新闻
461,2020-07-27,走势完爆全球股指！国际金价刷新纪录，买黄金收益超过25%！黄金概念龙头名单来了,证券时报
462,2020-07-27,黄金概念概念股近三日受16亿主力资金追捧,证券时报网
463,2020-07-27,黄金第三轮大牛市来了！多家上市公司大举注入金矿、扩产能（名单）,红周刊
464,2020-07-27,金价刷新历史新高：板块股票集体暴动 业绩成色如何？,新浪
465,2020-07-27,【研报掘金】有色金属价格延续强势盈利估值双回升 关注三条主线投资机会,证券时报网
466,2020-07-27,27日强势板块分析：黄金概念爆发 医药板块再度活跃,证券时报网
467,2020-07-27,美元信用体系崩塌?避险资金涌入贵金属 分析师看涨黄金至2600美元|美元,华夏时报
468,2020-07-27,巨丰收评：市场回踩箱体底部 黄金疫苗逆势走强,巨丰财经
469,2020-07-27,【异动股】贵金属板块拉升，盛达资源(000603-CN)涨停,财华社
470,2020-07-27,北向资金步伐生变，机构仍看好这些机会,中证报
471,2020-07-27,金价创历史新高：三大利好加持 贵金属行情升级,中证报
472,2020-07-27,“金股”飙升板块涨近8%：北向资金步伐生变 机构仍看好这些机会,中证报
473,2020-07-27,国际金价再创历史新高：A股市场闻风而动 还能追吗？,上证报
474,2020-07-27,十年踪迹十年心——写在《中国资本市场论坛-2020》出版之际,凤凰网
475,2020-07-27,巨丰午评：市场延续调整 黄金股领涨两市,巨丰财经
476,2020-07-27,金价创历史新高！黄金概念股大幅飙升，多股涨停,上游新闻
477,2020-07-27,A股午盘综述：上证指数震荡微升，黄金股强势上涨,Wind
478,2020-07-27,黄金珠宝板块继续拉升，山东黄金、中金黄金涨超8%,Wind
479,2020-07-27,金价涨至1930美元创历史新高港A市场黄金股全线走高,格隆汇
480,2020-07-27,中金黄金大涨5.58%，黄金行业涨4.02%,中新经纬
481,2020-07-27,黄金概念大幅走高，国际金价突破1900美元，逼近历史新高,证券时报网
482,2020-07-27,【SMM快讯】贵金属板块开盘领涨 多股涨幅超5%,上海有色
483,2020-07-27,【异动股】贵金属板块低开，赤峰黄金(600988-CN)涨4.75%,财华社
484,2020-07-27,【异动股】黄金概念板块拉升，华钰矿业(601020-CN)涨停,财华社
485,2020-07-27,黄金板块快速走高 华钰矿业、豫光金铅涨停,e公司
486,2020-07-27,【行情】贵金属板块开盘领涨，盛达资源7.98%、中金黄金3.2%、山东黄金3.24%,金十数据
487,2020-07-27,受到多重因素推动 国际金价站上1900美元大关（附受益股）,证券时报网
488,2020-07-26,点黄金、数白银 给A股公司号一下“矿”脉,上证报
489,2020-07-24,2分钟读财报|中金珠宝IPO:低门槛扩张 金条毛利率低于同行,新浪
490,2020-07-24,【A股午盘综述】上证指数半日下滑2.25%，创业板指、科创50均跌超4%,Wind
491,2020-07-24,7月24日午盘两市机构大单抢筹40股(名单),金融界
492,2020-07-24,【异动股】贵金属板块拉升，赤峰黄金(600988-CN)涨8.49%,财华社
493,2020-07-24,黄金板块飙升，豫光金铅率先涨停，中金黄金、山东黄金纷纷冲高,Wind
494,2020-07-23,涨疯了!金店半月2次涨价 香港金店被掠走百万黄金,每日经济新闻
495,2020-07-23,金价突破1860美元 贵金属股票大涨,第一财经
496,2020-07-23,7月23日早盘两市机构大单抢筹40股(名单),金融界
497,2020-07-23,快讯：金价再度刷新9年来新高 黄金股进一步被激活,证券日报
498,2020-07-23,金价加速冲高 花旗看至2000美元 机构：白银更具超涨期权｜牛熊眼,第一财经
499,2020-07-23,金价持续走高港A两市黄金股普遍高开,格隆汇
500,2020-07-23,全球市场出现三大重磅信号！,Wind
501,2020-07-23,巨丰早评：人民币异动预示调整将继续,巨丰财经
502,2020-07-23,金价创9年来新高，融资客斥资逾17亿元潜伏6只黄金股,Wind
503,2020-07-23,涨涨涨！金价突破1860美元，离历史高位仅一步之遥！贵金属股票今年最高暴涨两倍,券商中国
504,2020-07-22,A股收盘：上证指数收涨0.4% 科创版运行满一周年,英为财情
505,2020-07-22,巨·热点｜修复性行情带来结构性机会 哪些板块最受青睐？,巨丰财经
506,2020-07-22,巨丰收评：大盘冲高回落 箱体震荡确认,巨丰财经
507,2020-07-22,【异动股】贵金属板块涨幅收窄，盛达资源(000603-CN)涨停,财华社
508,2020-07-22,历史性低估？白银涨疯了，4个月狂飙70%，最强股票单日暴拉31%！,证券时报网
509,2020-07-22,"全面走牛！新指数落地大涨,创业板飚升2%，科创板不怕天量解禁潮！更有牛市旗手涨停,白银股狂拉30%",中国基金报
510,2020-07-22,巨丰午评：指数投资进入新时代,巨丰财经
511,2020-07-22,快讯：黄金板块表现活跃涨2.77% 盛达资源、*ST金贵涨停,证券日报
512,2020-07-22,A股异动：贵金属板块高开，黄金、白银双双暴涨,英为财情
513,2020-07-22,【异动股】黄金概念板块高开，豫光金铅(600531-CN)涨停,财华社
514,2020-07-22,7月22日A股小幅低开：沪指跌0.17%，创业板指跌0.4%，贵金属概念普涨,每日经济新闻
515,2020-07-22,黄金概念板块表现强势,中证网
516,2020-07-22,金价大涨促A股黄金珠宝股全线高开豫光金铅(600531.SH)涨停,格隆汇
517,2020-07-21,【异动股】贵金属板块拉升，盛达资源(000603-CN)涨9.67%,财华社
518,2020-07-20,有色金属行业周报：短期调整不改中期趋势 关注铜铝板块,新浪
519,2020-07-20,快讯：有色金属板块冲至涨幅榜前列 国泰君安证券称全面看多,证券日报
520,2020-07-17,有色金属2020年中报前瞻：Q2有色利润复苏 重视铜钴及周期成长个股,新浪
521,2020-07-16,解密主力资金出逃股连续5日净流出745股,证券时报网
522,2020-07-15,嘉友国际(603871.SH)与中原黄金签署货物运输代理合同,格隆汇
523,2020-07-15,解密主力资金出逃股连续5日净流出528股,证券时报网
524,2020-07-14,【异动股】贵金属板块下挫，贵研铂业(600459-CN)跌9.79%,财华社
525,2020-07-14,A股异动：三大指数全线翻绿，贵金属、半导体设备板块领跌,英为财情
526,2020-07-13,有色金属行业周报：基本面支撑 流动性行情继续,新浪
527,2020-07-13,有色金属：全球经济复苏叠加国内地产后周期需求的释放，继续看好铜铝，维持“强于大市”评级,天风证券
528,2020-07-10,【期市星期五】涨涨涨！沪金刷新历史高位 股指期货三主力合约全线大涨,金融界
529,2020-07-10,金价再创新高几无悬念！黄金资产迎高光时刻,券商中国
530,2020-07-10,黄金股早盘大幅回调，山东黄金、紫金矿业、中金黄金领跌,Wind
531,2020-07-10,热点解读：妈妈们的最爱，全球价格近十年新高，这一板块大爆发,恒泰睿财
532,2020-07-09,国际金价连续大涨，黄金股掀涨停潮｜今日异动数据,第一财经
533,2020-07-09,巨·热点｜市场再创年内新高 科技类题材全线大涨 市场风格迎短期切换!,巨丰财经
534,2020-07-09,煤飞色舞！多品种涨价纷至沓来，下个风口是谁,Wind
535,2020-07-09,A股收评：创业板指涨近4%，国防军工板块掀起涨停潮,格隆汇
536,2020-07-09,A股异动：黄金板块持续走高，现货黄金逼近1810美元,英为财情
537,2020-07-09,国际金价破“千八” 创近9年新高,广州日报
538,2020-07-09,金价突破1800美元大关 美联储鸽派利于黄金上行（附受益股）,证券时报网
539,2020-07-08,中金黄金(600489.SH)年报推10派0.193元股权登记日7月15日,格隆汇
540,2020-07-07,有色金属基本面好转企业盈利将大幅改善 6股热,证券时报
541,2020-07-07,中字头概念股近三日受38亿主力资金追捧,证券时报网
542,2020-07-07,【研报掘金】有色金属基本面好转企业盈利将大幅改善 板块估值存明显修复空间,证券时报网
543,2020-07-06,有色金属行业周报：重视板块整体的流动性行情,新浪
544,2020-07-02,A股市场放量大涨：沪指逼近3100点，两市成交超万亿元,澎湃新闻
545,2020-07-02,【异动股】贵金属板块下挫，赤峰黄金(600988-CN)跌2.68%,财华社
546,2020-07-02,【异动股】贵金属板块下挫，山东黄金(600547-CN)跌2.32%,财华社
547,2020-07-01,【异动股】贵金属板块高开，赤峰黄金(600988-CN)涨3.36%,财华社
548,2020-07-01,建信投资助力华北制药市场化债转股 增资8.2亿用于偿债降低财务杠杆,长江商报
549,2020-06-29,40股获券商买入评级 中金黄金目标涨幅达48.33%,Wind
550,2020-06-29,睿财看市场：结构性慢牛行情持续！注册制提供更多动力！,恒泰睿财
551,2020-06-25,价格刷新近8年新高机构预测现货黄金或冲至2000美元,金羊网
552,2020-06-24,36股今日获机构买入评级9股上涨空间超20%,证券时报网
553,2020-06-24,A股收评：创业板连续第九个交易日上涨，房地产、半导体板块全天表现强势,新浪
554,2020-06-24,中金黄金(600489)：集团优质铜钼资产注入提升盈利 黄金资源注入潜力雄厚,安信证券
555,2020-06-24,国际金价创7年多来收盘新高A股黄金股再显普涨之势,财华社
556,2020-06-24,A股异动：贵金属板块表现活跃，黄金现货上破1770美元关口,英为财情
557,2020-06-24,【异动股】贵金属板块拉升，ST天业(600807-CN)涨4.91%,财华社
558,2020-06-23,年内多家上市公司 市场化债转股成绩显著,证券日报
559,2020-06-23,年内多家上市公司市场化债转股成绩显著,证券日报
560,2020-06-22,【异动股】贵金属板块高开，赤峰黄金(600988-CN)涨2.89%,财华社
561,2020-06-15,全球财政对冲政策效果或将显现，铜铝边际改善有望持续，关注中重稀土弹性，维持“强于大市”评级,天风证券
562,2020-06-15,有色金属行业更新：联储鸽派 金价修复,新浪
563,2020-06-14,【华泰有色李斌团队】美货币宽松未改，继续看好金银（周观点20200614）,华泰研究所有色金属
564,2020-06-12,数读丨美股强弩之末，黄金或成避风港？A股哪家金矿最“香”？,每日经济新闻
565,2020-06-11,黄金仍具长期配置价值,期货日报网
566,2020-06-09,解密主力资金出逃股 连续5日净流出431股,证券时报网
567,2020-06-09,【异动股】贵金属板块下挫，赤峰黄金(600988-CN)跌2.08%,财华社
568,2020-06-09,有色金属行业更新：非农数据扰动 不改黄金价值,新浪
569,2020-06-08,"有色金属行业：基本金属持续涨价,锂钴需求预期改善，维持“买入”评级",广发证券
570,2020-06-07,【华泰有色李斌团队】美国非农就业数据有待进一步确认，金价有望修复（周观点20200607）,华泰研究所有色金属
571,2020-06-04,A股港股黄金股普跌 机构：金价年内有望创新高,中证网
572,2020-06-04,黄金股普跌 现货黄金一度跌破1700美元,格隆汇
573,2020-06-03,【读财报】定增提速：前五月预案数超2019全年 过审获批节奏加快,新华网
574,2020-06-03,定增提速：前五月预案数超2019全年 过审获批节奏加快,面包财经
575,2020-06-02,40股今日获机构买入评级 11股上涨空间超20%,证券时报网
576,2020-06-02,【华泰有色李斌团队】中金黄金年报点评：优质资产注入，盈利能力有望提升,华泰研究所有色金属
577,2020-06-01,有色金属行业周报：经济逐步复苏 关注铜铝板块,新浪
578,2020-06-01,有色金属行业更新：新能源链产业重估 利好上游氢氧化锂,新浪
579,2020-06-01,中金黄金：2019年实现营收389.63亿元 分红比例创新高,中证网
580,2020-05-31,中泰金工定向增发跟踪周报(0531),微信
581,2020-05-29,中金黄金2019年实现营收389.63亿元 业绩稳步提升,证券日报
582,2020-05-29,中金黄金(600489.SH)：2019年归母净利较上年减少7.21%拟每10股派0.193元 盈利能力下降,格隆汇
583,2020-05-28,全球货币泛滥 机构：黄金迎来投资机会,中国财富网
584,2020-05-28,黄金专题报告四：A股主要金矿企业经营情况对比,新浪
585,2020-05-28,4.27亿元主力资金今日抢筹有色金属板块,证券时报网
586,2020-05-28,黄金板块拉升 赤峰黄金领涨,中证网
587,2020-05-28,黄金股午后逆势走高，赤峰黄金领涨6%,Wind
588,2020-05-27,【异动股】贵金属板块低开，赤峰黄金(600988-CN)跌2.51%,财华社
589,2020-05-26,贵金属板块回暖,Wind
590,2020-05-25,资本涌进黄金市场！股期联动大涨 金价未来峰值将超预期？,经济观察报
591,2020-05-24,西部黄金缘何错失黄金盛宴？背后是什么原因？,证券市场周刊
592,2020-05-22,中金黄金大宗交易成交31.36万股 成交额269.70万元,证券时报网
593,2020-05-22,华为反击？两大芯片替代商曝光，三星叫板台积电！资金砸盘这些科技股，最狠超25亿,证券时报
594,2020-05-22,中金黄金现1笔大宗交易 共成交269.70万元,新浪
595,2020-05-22,中金黄金今日大宗交易成交31.36万股，成交价8.6元折价6.93%,Wind
596,2020-05-22,西部黄金，缘何错失黄金盛宴？,证券市场周刊
597,2020-05-22,黄金股异动攀升，赤峰黄金直线翻红,Wind
598,2020-05-22,【异动股】贵金属板块下挫，贵研铂业(600459-CN)跌9.65%,财华社
599,2020-05-20,三大概念受20亿主力资金追捧,证券时报网
600,2020-05-20,龙头股宁德时代再度启动 能否带动创业板指再创新高？,中投网
601,2020-05-20,A股收评：创业板跌1.21%科技股跌幅靠前,格隆汇
602,2020-05-20,薛利峰：成交量是制约大盘反弹的主因,财经
603,2020-05-20,金价高歌猛进 黄金板块跃居涨幅榜前列,证券日报
604,2020-05-20,国际金价逼近1750美元/盎司,上证报
605,2020-05-19,【异动股】贵金属板块低开，赤峰黄金(600988-CN)跌3.41%,财华社
606,2020-05-19,基金早班车|一天大卖50亿！爆款基金时隔2个月再出现，还有更多在路上,金融界
607,2020-05-19,大盘运行胶着 稳增长本周进入预热期,金融投资报
608,2020-05-18,上市鲁企首单债转股将顺畅“退出”,经济导报
609,2020-05-18,有色金属行业周报：黄金板块持续强势 关注铜铝板块,新浪
610,2020-05-18,金价创近8年新高：黄金股大涨，行情能走多远？,新浪
611,2020-05-18,金价一路高歌猛涨 黄金类基金突显中长期配置价值,腾讯网
