,2021-12-24,中金黄金：公司四季度生产经营情况正常，产量稳定,每日经济新闻
62,2021-07-20,中金黄金：2018-2020年，公司通过探矿新增金金属量79.3吨；2019年辽宁排山楼并购新民金矿，新增金资源储量12.36吨；2020年并购内蒙古矿业，新增铜金属量233万吨、钼金属量55万吨,每日经济新闻
63,2021-07-20,中金黄金：中原冶炼厂目前尚无铜箔业务,每日经济新闻
64,2021-07-19,中金黄金：股东减持公司股份约348万股 减持股份,每日经济新闻
65,2021-07-19,中金黄金(600489.SH)：河南中鑫基金已通过集中竞价减持348.34万股 减持股份,格隆汇
66,2021-07-19,私募大佬出手：邓晓峰狂买这只股，重仓10个亿,Wind
67,2021-07-18,私募大佬出手：邓晓峰狂买这只股，重仓10个亿！,Wind
68,2021-07-08,中金黄金(600489.SH)将于7月15日分红 每股派0.1604元,智通财经
69,2021-06-19,有色金属行业2021年中期策略：不可低估周期的力量,广发证券
70,2021-06-17,【行情】A股黄金股开盘大跌，银泰黄金、赤峰黄金、中金黄金、湖南黄金等跌幅居前 连续下跌,金十数据
71,2021-06-11,与印钞机抢跑 “黄金时代”成色十足,Wind
72,2021-06-10,史上最大放水，货币之王将迎“黄金时代”？,Wind
73,2021-06-07,中金黄金(600489.SH)股东河南中鑫基金持股比例降至5%以下,智通财经
74,2021-06-07,中金黄金：股东河南中鑫基金减持0.072%公司股份，持股比例降至4.9999984% 减持股份,Wind
75,2021-06-04,黄金股早盘走低，紫金矿业跌超5%，银泰黄金、赤峰黄金、中金黄金、山东黄金等,新浪
76,2021-05-31,有色金属行业：需求向好+多点开花,广发证券
77,2021-05-29,未售先火！首日预约额已超100亿，私募大佬邓晓峰最大规模产品开放销售,Wind
78,2021-05-27,A股午盘综述：上证指数涨0.18%，创业板指涨0.5%,Wind
79,2021-05-26,中金黄金（600489.SH）首板,Wind
80,2021-05-26,黄金股午后持续拉升，中金黄金涨停,Wind
81,2021-05-26,黄金概念午后异动拉升 中金黄金涨超8%,e公司
82,2021-05-26,中金黄金大涨,新浪
83,2021-05-25,高毅邓晓峰：远离抱团股，淘金上游行业,Wind
84,2021-05-24,A股点金手邓晓峰：去年表现差的，今年或有机会,Wind
85,2021-05-24,锂盐需求增长库存下降，锂价有望继续上涨,中信建投证券研究
