,2021-12-31,正泰电器：以集中竞价交易方式回购公司股份,资本邦
32,2021-12-23,正泰电器(601877.SH)：拟以1.65亿元转让杭州泰景100%股权予三峡能源,格隆汇
33,2021-12-23,正泰电器：拟将杭州泰景100%股权转让予三峡能源,财联社
34,2021-12-23,正泰电器：1.65亿元出售部分集中式光伏电站项目公司股权,Wind
35,2021-12-23,产能过剩PK技术变革，光伏行业风险与机遇共存,Wind
36,2021-12-21,连续三年居榜首！正泰电器入选浙江上市公司“最佳内控奖TOP30”,和讯
37,2021-12-20,电气设备行业周报：从新基建角度看电网投资,新浪
38,2021-12-18,中控技术：正泰电器拟减持不超2965万股 拟减持股份,中国经济网
39,2021-12-17,晚间重要公告2021年12月17日星期五,Wind
40,2021-12-17,中控技术(688777.SH)：正泰电器拟减持不超6%股份 拟减持股份,格隆汇
41,2021-12-17,中控技术：正泰电器拟减持不超过总股本6% 拟减持股份,Wind
42,2021-12-17,持仓动向看点多，基金备战跨年行情进退有序,Wind
43,2021-12-16,资本潮涌兴钱塘 A股浙江板块迈入“600+”时代,上证报
44,2021-12-15,光伏企业“承诺收益”暴增 国央企加速抢占农村屋顶,第一财经
45,2021-12-15,中国电研(688128.SH)：减持数过半 正泰电器已大宗交易减持2%股份 减持股份,格隆汇
46,2021-12-15,中国电研：股东浙江正泰电器股份有限公司减持公司股份809万股，本次减持计划的减持数量已过半,每日经济新闻
47,2021-12-15,中国电研：正泰电器累计减持比例达2% 减持股份,Wind
48,2021-12-13,电气设备行业：广东破局储能电价分摊机制改革,新浪
49,2021-12-08,电力设备及新能源行业2022年度投资策略：双碳元年风电光伏坚定成长 储能行业蓄势待发,新浪
50,2021-12-08,电力设备与新能源行业专题策略报告：电动车蓬勃发展 风光储吹响碳中和冲锋号角,新浪
51,2021-12-07,电气设备行业周报：光伏硅片下调报价 产业博弈出现拐点,新浪
52,2021-12-06,电力设备及新能源行业周报：风光大基地二期再加码 装机需求或将迎复苏,新浪
53,2021-12-06,电气设备行业投资策略：回归本质属性的高增长一年 重视供给端变革,新浪
54,2021-12-06,正泰电器荣获2021年度电力科技创新大奖,北极星电力
55,2021-12-06,2021年基金，买了个“寂寞”,Wind
56,2021-12-04,深度*行业*新能源发电行业2022年度策略：奋楫扬帆正当时 抖擞精神再出发,新浪
57,2021-11-30,正泰电器斥资1.2亿元回购232万股，占总股本0.11%,乐居财经
58,2021-11-30,正泰电器：累计回购约232万股，占比0.1078%,每日经济新闻
59,2021-11-30,正泰电器(601877.SH)已累计回购231.74万股 耗资1.2亿元,智通财经
