,2021-12-31,中国建筑：公司目前未参与阿富汗重建相关工程,Wind
69,2021-12-07,建筑与工程点评报告：第二批风光大基地项目申报开启 或涉及哪些建筑企业？,新浪
70,2021-12-07,晚间公告｜12月7日这些公告有看头,第一财经
71,2021-12-07,中国建筑：联合体中标广州芳村至白云机场城际项目,财联社
72,2021-12-07,地产链板块集体走强，政策利好预期改善，这些板块有望估值修复,财联社
73,2021-12-07,建筑装饰行业中央政治局会议点评：经济稳字当头 逆周期调节预期升温,新浪
74,2021-12-07,积极财政政策要提升效能，基建50ETF（516970）涨1.18%，中国建筑涨2.50%，中国能建涨2.88%,资本邦
75,2021-12-07,建筑与工程-政治局会议点评：关注基建稳增长和地产基本面改善 看好板块估值提升,新浪
76,2021-12-06,北向资金连续4日净买入累计加仓超150亿，大幅抢筹券商、银行股,Wind
77,2021-12-06,建筑与工程行业周报(第四十八周)：降准叠加稳增长预期高涨 基建产业链有望延续修复,新浪
78,2021-12-06,中国建筑：目前公司生产经营一切正常,每日经济新闻
79,2021-12-06,中国建筑：目前已实施四期股权激励计划,Wind
80,2021-12-06,中国建筑：股票价格变动因素复杂，公司生产经营一切正常,Wind
81,2021-12-06,中国建筑：已经进入运营期的PPP项目回款情况良好,Wind
82,2021-12-05,【安信建筑】行业周报1205：建筑PMI提升新基建获推进，基建板块上行动力充足,勇往直前
83,2021-12-05,建筑行业2022年度投资策略：变则通 通则久,新浪
84,2021-12-03,建筑行业2022年策略报告：基建发力仍有可能 推荐建筑租赁与建筑新能源主线,广发证券
85,2021-12-03,北向资金今日净买入超92亿元本周累计加仓超150亿，大幅抢筹芯片股,Wind
86,2021-12-03,行业跟踪报告：建筑PMI持续提升 基建投资有望回升,新浪
87,2021-12-02,建筑装饰行业2022年度策略：绿色引领发展 龙头变革突围,新浪
88,2021-12-01,中国短期融资券及中期票据信用分析周报,新浪
89,2021-12-01,广联达刘谦：打造“产业+数字”融合发展的建筑产业新生态,凤凰网
90,2021-11-29,中国建筑：公司2020年实现经营性现金净流入203亿元,每日经济新闻
91,2021-11-29,中国建筑：自2013年实施股权激励计划，目前已经实施了四期,每日经济新闻
92,2021-11-29,中国建筑中标非洲区域矿山冶炼类项目！,微信
93,2021-11-29,中国建筑：目前随着疫情防控形势好转，三局的生产经营已逐步恢复正常,每日经济新闻
94,2021-11-29,中国建筑：目前公司生产经营一切正常,每日经济新闻
95,2021-11-29,【安信建筑】行业周报1128：专项债有望助力投资增长，新型电力建设再获推进,勇往直前
96,2021-11-26,中国建筑：拟2363万元回购第三、四期部分激励对象股票,财联社
97,2021-11-26,中国建筑(601668.SH)：拟斥2363.136万元回购第三、四期A股限制性股票部分激励对象股票,格隆汇
98,2021-11-26,中国建筑：周乃翔先生因就任新职，申请辞去公司第三届董事会董事长等职位，董事 董监高成员变化,新浪
99,2021-11-26,中国建筑：拟回购合计704万股限制性股票,中金在线
100,2021-11-26,中国建筑：拟以2363.14万元回购合计704万股限制性股票,中国网
101,2021-11-26,中国建筑(601668.SH)拟斥2363.14万元回购部分激励对象的限制性股票,智通财经
102,2021-11-26,中国建筑(601668.SH)选举郑学选为新任董事长,智通财经
103,2021-11-26,中国建筑：董事长周乃翔辞任 董监高成员变化,Wind
104,2021-11-26,中国建筑：董事会推选郑学选为董事长,财联社
105,2021-11-26,中国建筑(601668.SH)：周乃翔辞任董事长 由郑学选接任 董监高成员变化,格隆汇
106,2021-11-26,中国建筑拟发行65亿元超短期融资券，期限为30天,乐居财经
107,2021-11-26,建筑行业2022年年度策略：拥抱双碳主线 重视建筑板块“变化”的力量,新浪
108,2021-11-25,碧桂园博智林机器人蓄势待发，推动“智能建筑”高水平发展,ZAKER
109,2021-11-24,中国短期融资券及中期票据信用分析周报,新浪
110,2021-11-24,中国建筑：近期获得9项重大项目，项目金额合计345.7亿元,资本邦
