,2021-12-31,地产板块午后拉升，皇庭国际涨停，招商积余等走高,证券时报网
72,2021-12-06,房地产行业销售周报：11月八成房企单月业绩同比降低 信贷融资有所转暖 盈利能力下降,新浪
73,2021-12-06,天风证券：维持新城控股(601155.SH)“买入”评级 单月销售量价同比下降 累计环比上涨,智通财经
74,2021-12-06,天风证券：长期挖掘房地产行业“住房场景价值”,财联社
75,2021-12-06,新房二手房周报：重点满足首套房、改善性住房按揭需求 合理发放房地产开发贷款、并购贷款,新浪
76,2021-12-06,融资恢复，房地产配置价值渐显,Wind
77,2021-12-05,天风证券：给予新城控股买入评级,证券之星
78,2021-12-04,收缩但不裁员？新城再次启动大区合并,21世纪经济报道
79,2021-12-04,2000亿新城架构调整：减员增效,华尔街见闻
80,2021-12-03,地产人寒冬真的来了？多家头部房企内部架构变动，明年或迎更大调整,ZAKER
81,2021-12-03,地产美元债乍现“赎回潮” 效果有限风险或将加深,财经网
82,2021-12-03,联商头条：滴滴确定美股退市 家家悦首家仓储会员店将开业,联商网
83,2021-12-03,新城控股：富域发展解除质押6800万股股份 占总股本3.01%,中金在线
84,2021-12-03,新城控股：富域发展解质股份6800万股，占总股本的3.01%,乐居财经
85,2021-12-03,新城控股控股股东富域发展所持6800万股解除质押,观点地产网
86,2021-12-03,新城控股(601155.SH)控股股东解质6800万股,智通财经
87,2021-12-03,新城控股“年末冲刺”！12月将新开7座吾悦广场,联商网
88,2021-12-03,房企纷纷“花式”自救，资产转让、债券回购、股东输血,Wind
89,2021-12-03,申万宏源：维持新城控股(601155.SH)“买入”评级 目标价66元,智通财经
90,2021-12-03,新城悦服务：12月22日召开股东特别大会,Wind
91,2021-12-03,接连收获正向评级 标普维持新城发展、新城控股“BB+”评级,中金在线
92,2021-12-03,新城控股(601155)：市场降温拖累销售 海外评级维持稳定 H股供股增资彰显信心 盈利能力下降,新浪
93,2021-12-02,京东参股新能源车企进军“造车”；波音737MAX在华重获适航许可丨大公司动态,第一财经
94,2021-12-02,新城控股：前11个月销售2129亿元，商业、住宅事业部合并,澎湃新闻
95,2021-12-02,旭辉之后，新城也拿出了兜底方案,乐居财经
96,2021-12-02,新城控股架构调整背后，单月销售均价跌破万元 盈利能力下降,观察者网
97,2021-12-02,新城控股：前11个月合同销售2129.67亿，同比下降3.16% 盈利能力下降,房讯
98,2021-12-02,大股东兜底 新城发展供股融资16亿港元与架构整合进行时,观点地产网
99,2021-12-02,新城控股组织架构调整 涉及住宅开发、商业开发事业部,新京报
100,2021-12-02,新城控股前11月销售同比降3.2%完成年目标82% 单月销量同比降三成 盈利能力下降,中华网
101,2021-12-02,RS地产对12月到期的一笔信托贷款寻求展期，奥园与申万菱信和解，惠誉：确认新城控股“BB+”,微信
102,2021-12-02,惠誉称新城发展流动性状况良好 购物中心业务帮助其实现多元化,观点地产网
103,2021-12-02,惠誉维持新城发展、新城控股“BB+”评级，展望维持“稳定”,乐居财经
104,2021-12-02,新城控股架构大整合，总部有员工被约谈转岗或劝退 其他违规处罚,Wind
105,2021-12-02,收缩！新城控股架构大整合，总部有员工被约谈转岗或劝退 其他违规处罚,第一财经
106,2021-12-02,新城发展大股东将增资至多15.67亿，助力公司长期发展,和讯
107,2021-12-01,房地产行业点评：11月单月量减价升 多数房企同比下降-11月百强房企销售点评,新浪
108,2021-12-01,聚焦高质量增长，新城控股组织架构调整升级,乐居财经
109,2021-12-01,新城控股：前11月累计合同销售金额约2129.67亿元,中证网
110,2021-12-01,晚间重要公告2021年12月1日星期三,Wind
111,2021-12-01,新城控股前11个月合同销售额2129.67亿元,贝壳财经
112,2021-12-01,新城控股：2021 年前 11 月累计销售额约 2129.67 亿元，同比下降 3.16% 盈利能力下降,ZAKER
113,2021-12-01,惠誉：确认新城发展“BB+”长期本外币发行人违约评级，展望“稳定”,Wind
114,2021-12-01,新城控股前11月销售额2129.67亿 完成目标82%,金融界
115,2021-12-01,新城控股前11月累计合同销售额2129.67亿元 同比下降3.16% 盈利能力下降,观点地产网
116,2021-12-01,新城控股11月合同销售额200.56亿元，销售面积约213万平米,乐居财经
117,2021-12-01,新城控股(601155.SH)： 1-11月累计合同销售额约2129.67亿元,格隆汇
118,2021-12-01,新城控股：11月份实现合同销售金额约200.56亿元 同比下降30.99% 盈利能力下降,财联社
119,2021-12-01,新城控股：11月合同销售金额同比下降30.99% 盈利能力下降,Wind
120,2021-12-01,11月百强销售点评：基本面持续下行 需要刚需按揭加速变化,新浪
121,2021-12-01,【东北地产】行业周报：多城开启三批次集中供地，成都广州放松预售资金监管,东北证券研究所
122,2021-11-30,房地产开发2022年年度策略行业策略：静待行业出清 重塑竞争格局,新浪
123,2021-11-29,总量“创”辩第27期：房地产的政策、市场和风险边界,新浪
124,2021-11-29,房地产2021年12月投资策略暨三季报总结：行业低迷延续 精选优质龙头,新浪
125,2021-11-26,"新城控股现2笔大宗交易 共成交1,866.68万元",新浪
126,2021-11-26,新城控股今日大宗交易成交57.26万股，成交价32.6元溢价0.0%,Wind
127,2021-11-26,农业银行：“17新城控股MTN001”等三只债券2021年第一次持有人会议无效,Wind
128,2021-11-26,新城控股集团：12月28日全额赎回10亿元“18新城控股MTN001”,Wind
129,2021-11-26,京穗等地土拍遇冷，多地取消限价政策，释放何种信号,Wind
130,2021-11-25,成都住建局公告点评：预售资金监管改善 增加房地产贷款投放额度,新浪
131,2021-11-24,新城控股投资成立商业经营管理公司，注册资本1000万,搜狐
132,2021-11-24,新城控股联合优郡投资成立上海恒秦商管，注册资本1000万元,乐居财经
133,2021-11-24,华创固收：未来地产债投资怎么看？,Wind
134,2021-11-24,楼市调查 | 新城深圳坪山项目里淡化的佳兆业身影,观点地产网
135,2021-11-24,新城控股：提前赎回2.91亿美元债 ，剩余部分12月偿还,澎湃新闻
136,2021-11-23,"新城控股现1笔大宗交易 共成交1,560.87万元",新浪
137,2021-11-23,新城控股今日大宗交易成交47万股，成交价33.21元溢价0.0%,Wind
138,2021-11-23,中国奥园8.16亿ABS获展期；阜兴集团非法集资案宣判；华融国际按期兑付13.5亿美元债券丨预警内参（第六十九期）,21世纪经济报道
139,2021-11-22,新城控股：提前赎回2.91元美元债 ，剩余部分12月偿还,澎湃新闻
140,2021-11-22,房地产行业：银保监会披露信贷投放数据点评：房地产合理贷款需求得到满足 刚需按揭边际改善,新浪
141,2021-11-22,房地产土地周报：土地供应同环比降温 楼市因城施策,新浪
142,2021-11-22,新城控股赎回并注销2.9亿美元债券,新京报
143,2021-11-22,新城控股完成赎回2.91亿美元债券，剩余5933万美元将到期还本付息,乐居财经
144,2021-11-22,新城控股(601155.SH)赎回境外美元债券2.91亿美元,智通财经
145,2021-11-22,新城控股：完成赎回部分境外美元债券，金额超2.9亿美元,Wind
146,2021-11-19,统计局10月数据点评行业点评：单月商品房销售量价延续负增长 新开工面积同比下滑,新浪
147,2021-11-19,债券分析：未来地产债投资怎么看？,新浪
148,2021-11-18,房地产行业周报：10月按揭发放加速 多家央企拟发行票据融资,国金证券股份有限公司
149,2021-11-18,房地产2022年投资策略：快周转的异化、式微与行业新生,新浪
150,2021-11-18,A股快报 | 地产板块下跌0.54% 新城控股跌2.39%,观点地产网
151,2021-11-17,房地产周报：多重利好消息下房地产板块强势反弹,新浪
152,2021-11-17,A股收盘综述：锂电池等高景气赛道股井喷；汇绿生态时隔16年归来上演大涨回落；又有新股破发！,Wind
153,2021-11-17,新城控股集团：“19新城控股MTN001”2021年第一次持有人会议议案概要,Wind
154,2021-11-17,华创固收2022年信用债年度策略：不破不立，分道扬镳,Wind
155,2021-11-17,【A股午盘综述】天齐锂业涨停引爆锂矿题材；又见新股破发！,Wind
156,2021-11-17,中信建投房地产2022年策略：吹尽狂沙始到金,Wind
157,2021-11-16,10月地产数据点评：单月销售大幅下降 按揭贷款边际回暖,新浪
158,2021-11-16,高收益民营房企风险面面观系列(一)：民营房企偿债压力不减 风险出清或仍在底部徘徊,新浪
