68,2021-12-03,未来商业-物流产业市值榜｜11月顺丰重回3000亿市值大关，安能物流市值跌破百亿,每日经济新闻
69,2021-12-03,25股获券商买入评级，中孚信息目标涨幅达62.82%,Wind
70,2021-12-01,交通运输行业周报数据库：快递盈利改善持续 关注航空逆向时机,新浪
71,2021-12-01,一包七百元的开关寄丢了，韵达拖延两个月后赔付五百,澎湃新闻
72,2021-11-30,韵达股份(002120)：行业竞争趋缓 盈利修复开启,新浪
73,2021-11-29,韵达股份：本次中信证券-韵达物流基础设施1号资产支持专项计划纳入公司合并报表处理,每日经济新闻
74,2021-11-29,韵达股份：公司满足适用增值税加计抵减的相关政策条件，所形成的收入和利润不属于政府补助，属于经常性损益,每日经济新闻
75,2021-11-29,深交所：调整深证成指、创业板指、深证100等指数样本股,Wind
76,2021-11-29,交运&中小盘12月投资策略：看好快递四季度表现 聚焦中小市值高成长,新浪
77,2021-11-28,快递主产粮区价格稳定，疫情不改航空复苏预期【安信交运丨周报1128】,微信
78,2021-11-26,极兔整合百世面临哪些挑战？2022年快递市场机遇何在？,36氪
79,2021-11-25,韵达股份多次举办公开交流活动 回应数字化信息化问题,证券日报网
80,2021-11-24,交通运输行业周报数据库：航空复苏趋势确定 快递盈利弹性或超预期,新浪
81,2021-11-24,韵达股份开展投资者交流活动 持续推进数字化信息化建设,上证报
82,2021-11-24,交运物流行业周报：快递行业景气向上,新浪
83,2021-11-24,10月通达系快递单票收入环比看涨 快递公司价格战或进一步缓和,新快报
84,2021-11-23,退换货“江湖”起风：抱上电商大腿，顺丰、百度为何打出0元牌,贝壳财经
85,2021-11-23,快递10月数据点评：通达系单价环比继续改善 价格战压力缓解,新浪
86,2021-11-23,A股午盘综述：上证指数逼近3600点，深成指逼近15000点！,Wind
87,2021-11-23,韵达股份：安信基金、博时基金等12家机构于11月19日调研我司,证券之星
88,2021-11-23,韵达股份：于11月18日调研我司,证券之星
89,2021-11-22,快递结束内卷？韵达股份：行业竞争趋于放缓,经济观察报
90,2021-11-22,交通运输周报第44期：10月通达系量价超预期 民航环比改善稳定复苏,新浪
91,2021-11-22,极兔扰动快递新博弈,证券市场周刊
92,2021-11-22,10月快递行业数据点评：需求和价格表现稳定，期待龙头四季度业绩改善【国信交运中小盘】,微信
93,2021-11-22,【国海交运周延宇】快递月度数据点评：量价齐升，把握快递行业最好的投资阶段——物流行业动态研究,许可交运参考
94,2021-11-22,快递行业10月份数据点评：行业中高速增长 义乌地区价格同环比双增,西南证券
95,2021-11-22,交通运输产业行业：快递价格趋稳 关注航空需求恢复,国金证券股份有限公司
96,2021-11-22,交运中小盘行业周报：快递持续边际改善 疫情消退利好出行复苏,新浪
97,2021-11-22,韵达股份：快递行业将会呈现稳中持续改善态势,e公司
98,2021-11-22,每日理财观察：央行发布三季度货币政策执行报告,Wind
99,2021-11-22,【银河交通王靖添】行业周报丨电商快递单价呈现拐点信号，头部快递公司流量优势有望增厚业绩,中国银河证券研究
100,2021-11-21,快递旺季后价格有望稳定，航空平稳复苏【安信交运丨周报1121】,微信
101,2021-11-21,10月快递业数据点评：十月量价持续改善 看好Q4盈利释放,新浪
102,2021-11-21,快递行业2021年10月经营数据点评：行业CR8指数环比持平 价格战趋缓或将持续被验证,光大证券
103,2021-11-20,快递行业2021年10月数据点评：行业价格战放缓明确 通达系10月单价环比整体提升 圆通单价同比连续3个月提升,新浪
104,2021-11-20,申万宏源交运一周天地汇：“沿海捎带”限制放开利好枢纽港 中通2022年业绩指引超预期,新浪
105,2021-11-20,2021年10月快递数据点评：单票收入持续回升 利润拐点有望到来,新浪
106,2021-11-19,快递公司10月经营数据出炉：仍处低价泥沼中，市场持乐观态度,第一财经
107,2021-11-19,2021年Q3六大快递企业财报盘点,199IT
108,2021-11-19,每日市场热点分析,新浪
109,2021-11-19,这个行业核心指标全面回暖，量价齐升的机会来了？,上证报
110,2021-11-19,金融街下午茶2021年11月19日星期五,Wind
111,2021-11-19,运输“十四五”规划印发，谁是行业“最强王者”？,Wind
112,2021-11-19,集体疯涨，快递还有春天？,格隆汇
113,2021-11-19,11月19日韵达股份涨停分析：智慧物流，快递物流，阿里巴巴概念股概念热股,证券之星
114,2021-11-19,17股获买入评级 最新:捷佳伟创,中财网
115,2021-11-19,A股收盘综述：券商、地产发力，沪指收复半年线；一板块掀涨停潮,Wind
116,2021-11-19,物流板块全线走高，旺季来临叠加行业格局改善，机构：有望实现量价齐升,财联社
117,2021-11-19,沪指、深成指双双涨超1% 大金融板块走强,网易
118,2021-11-19,业绩分化明显 快递业进入竞争新赛道 盈利能力下降,中国商报
119,2021-11-19,【财联社午报】氢能源板块掀涨停潮！指数小幅震荡 元宇宙概念再度活跃,财联社
120,2021-11-19,A股三大指数午间休盘集体上涨，申通快递、韵达股份涨停,36氪
121,2021-11-19,10月快递数据点评：量、价表现符合预期，关注近期价格趋势【安信交运】,微信
122,2021-11-19,申通、韵达涨停，快递股集体飙升 机构：短期基本面改善，长期回归良性竞争,第一财经
123,2021-11-19,解盘：资金持续流入，燃料电池、物流、智能音箱领涨,Wind
124,2021-11-19,A股午盘综述：氢能、智能物流花开两朵，元宇宙反复活跃,Wind
125,2021-11-19,物流ETF(SH516910) 涨超3%，居两市ETF涨幅榜首,Wind
126,2021-11-19,快讯：韵达股份涨停 报于20.88元,金融界
127,2021-11-19,三大头部快递企业10月经营简报出炉 申通、韵达早盘涨停封板,金融界
128,2021-11-19,涨停雷达：快递物流个股异动 韵达股份触及涨停,ZAKER
129,2021-11-19,快递板块走强 韵达股份涨停,上证报
130,2021-11-19,快递股携手攀升，韵达股份涨停,Wind
131,2021-11-19,浙商证券：维持韵达股份(002120.SZ)“买入”评级 日均单量创新高 Q4及明年整体盈利向上,智通财经
132,2021-11-19,犀牛财经早讯：微博通过港交所上市聆讯 Keep回应IPO传言,GPLP犀牛财经
133,2021-11-19,韵达股份(002120)：10月量价如期双升 看好盈利持续修复,新浪
134,2021-11-19,交通运输物流2022年策略：物流蓝海 百舸争流;航空改善、航运盘整,新浪
135,2021-11-18,10月申通业务增速超韵达 圆通单票正增长,北京商报
136,2021-11-18,晚间重要公告2021年11月18日星期四,Wind
137,2021-11-18,韵达股份10月份快递服务业务收入同比增长20.39%,上证报
138,2021-11-18,韵达股份(002120.SZ)：完成发行2021年度第三期中期票据,格隆汇
139,2021-11-18,韵达股份(002120.SZ)：10月快递服务业务收入37.19亿元 同比增长20.39%,格隆汇
140,2021-11-18,韵达股份(002120.SZ)完成发行5亿元中期票据,智通财经
141,2021-11-18,韵达股份：10月快递服务收入37.19亿元 同比增长20%,财联社
142,2021-11-18,韵达股份：10月快递服务业务收入同比增长20.39%,Wind
143,2021-11-18,六大快递企业三季度营收891亿元，价格战较二季度有所缓和,澎湃新闻
144,2021-11-18,快递，无人送达,36氪
145,2021-11-17,中国短期融资券及中期票据信用分析周报,新浪
146,2021-11-16,A股共发生182宗大宗交易成交31.72亿元（11月16日）,Wind
147,2021-11-16,韵达股份现2笔大宗交易 合计成交74.50万股,证券时报网
148,2021-11-16,韵达股份今日大宗交易成交74.50万股，成交价17.02元折价7.95%,Wind
149,2021-11-16,"韵达股份现2笔大宗交易 共成交1,267.99万元",新浪
150,2021-11-15,运输行业：航空布局确定复苏 快递峰值平滑助力改善,新浪
151,2021-11-15,百度推出“0元寄快递”服务，为何顺丰韵达拼多多与腾讯频频布局？,36氪
152,2021-11-15,"韵达股份现18笔大宗交易 共成交8,724.39万元",新浪
153,2021-11-15,圆通速递：快递行业的“被低估者” 高管增持显信心,凤凰网
154,2021-11-15,【国君交运】韵达股份：业绩降幅如期收窄，短期基本面改善确定,郑武看交运
155,2021-11-15,交通运输物流周报：“双十一”期间快递量同比增长超两成,新浪
156,2021-11-15,双十一期间快递量增超两成，中小市值公司表现亮眼【国信交运中小盘周观点】,微信
157,2021-11-14,理性看待快递10月行业表现，航空复苏受疫情扰动【安信交运|周报1114】,微信
158,2021-11-12,2021胡润女企业家榜：碧桂园40岁的杨惠妍第九次成为中国女首富,Wind
159,2021-11-12,韵达股份：博时基金、国泰基金等9家机构于11月9日调研我司,证券之星
160,2021-11-11,韵达股份（002120.SZ）：完成对德邦股份的战略投资 未来或根据服务品质、服务质量及服务产品定价,智通财经
161,2021-11-11,IBM助力韵达快递数字化转型,质量新闻网
162,2021-11-10,2021年10期交通运输行业：把握航空客运趋势性复苏机遇 关注综合物流龙头长期投资价值,新浪
163,2021-11-09,关于为“中信证券-韵达物流基础设施1号资产支持专项计划”提供转让服务的公告,深交所
164,2021-11-09,未来商业-物流产业市值榜｜获王卫加持嘉里物流领涨 中科微至打破物流科技50亿市值“天花板”,每日经济新闻
165,2021-11-08,交通运输行业周报：辉瑞新冠口服药推出 关注航空机场板块,国金证券股份有限公司
166,2021-11-08,极兔速递68亿鲸吞百世汇通 入局不到两年有望成第四大快递公司,长江商报
167,2021-11-08,交通运输行业2022年度策略：曲折复苏 终见曙光,新浪
168,2021-11-08,物流仓储行业：长期竞争回归良性 短期改善确定可期,新浪
169,2021-11-05,"韵达股份现1笔大宗交易 共成交1,594.02万元",新浪
170,2021-11-05,韵达股份今日大宗交易成交93万股，成交价17.14元溢价0.0%,Wind
171,2021-11-05,极兔鲸吞百世：快递江湖整合大潮的中场战役,亿邦动力
172,2021-11-04,快递业再迎洗牌：龙头业绩分化，竞争格局生变,Wind
173,2021-11-02,倒闭、并购、烧钱，快递行业激战2021 行业恶化,新浪
174,2021-11-01,百世的体面退出，居然靠卷王极兔,36氪
175,2021-11-01,单票收入止跌回升 韵达股份前三季度营收增长24%,上证报
176,2021-11-01,韵达股份发布三季报：单票价格环比回升 核心运营单票成本持续下降,证券日报网
177,2021-11-01,图解韵达股份三季报：第三季度单季净利润同比减1.25% 盈利能力下降,证券之星
178,2021-11-01,韵达股份：三季度扣非归母净利润同比增长6.72%,中证网
179,2021-10-31,快递行业重大事件点评：极兔速递收购百世国内快递业务，竞争格局迎来大变革【国信交运中小盘】,微信
180,2021-10-31,韵达股份 | 21年三季报点评：收入端派费调整滞后拖累盈利，期待旺季表现【国信交运中小盘】 盈利能力下降,微信
181,2021-10-31,【国海交运周延宇】韵达股份：业绩环比改善，上调至“买入”评级,许可交运参考
182,2021-10-31,如何看极兔收购百世快递？【安信交运|周报1031】,微信
183,2021-10-31,快递企业巨头三季报：净利两极分化、增速承压，年末旺季将迎拐点？,网易
184,2021-10-30,百世为自救出售国内快递业务，极兔为做大版图豪掷68亿“接盘” 资产异常,钛媒体
185,2021-10-30,CEO自习室：快手程一笑接任宿华 极兔收购百世国内业务,亿邦动力
186,2021-10-29,韵达股份(002120.SZ)第三季度净利润3.35亿元 同比下降1.25% 盈利能力下降,格隆汇
187,2021-10-29,韵达股份：前三季度净利润7.81亿元 同比下降23.41% 盈利能力下降,中证网
188,2021-10-29,中国快递物流健康监测报告｜9月快递服务申诉同比激增70% “通达丰”价格战改善股价普涨,每日经济新闻
189,2021-10-29,韵达单票收入持续下滑，行业走出低价竞争还需时间 盈利能力下降,第一财经
190,2021-10-29,新鲜出炉！韵达股份：2021年第三季度净利润约3.35亿元，同比下降1.25% 盈利能力下降,每日经济新闻
191,2021-10-29,韵达股份：前三季度净利润同比减少23.41% 盈利能力下降,Wind
192,2021-10-29,定增频现“A投A”，产业巨头身影不断,Wind
193,2021-10-27,快递江湖内卷升级，从拼价格到拼服务，价值战将至？,时代周报
194,2021-10-27,切入大家电送装服务 韵达能接住“烫手货”吗,北京商报
195,2021-10-26,韵达合作日日顺切入送装服务？快递企业难吃下家电市场,北京商报
196,2021-10-26,新股又破发，盘中跌超10%，中一签亏损4600 亏损,Wind
197,2021-10-26,刘格菘、黄兴亮、邹曦、陈一峰等知名基金经理三季报持仓大曝光！,Wind
198,2021-10-25,北向资金连续5日加仓累计扫货超300亿，阳光电源、天赐材料净买入额均超新高,Wind
199,2021-10-25,交通运输行业周报：“双十一”预售开启 快递进入旺季,国金证券股份有限公司
200,2021-10-25,交通运输行业周报：聚焦航空冬春换季：国内客运同比增长7% 国际货运增幅显着,新浪
201,2021-10-25,【银河交通王靖添】行业周报丨快递价格竞争有所缓和，利好电商快递龙头业绩修复,中国银河证券研究
202,2021-10-24,双11预售启动，冬春航季供给增速收窄【安信交运|周报1024】,微信
203,2021-10-23,申万宏源交运一周天地汇：低货值货物出口替代高货值 加班船市场预冷预计集运一二级市场价差有望收窄,新浪
204,2021-10-22,谁又趁双十一搅乱快递江湖？,36氪
205,2021-10-21,【兴证交运】2021年9月快递行业数据快评,兴业证券交通运输与物流研究
206,2021-10-21,薇娅李佳琦昨晚销售190亿，超4000家上市公司全年营收,Wind
207,2021-10-21,快递股再迎炒作良机，圆通速递涨停,Wind
208,2021-10-21,快递行业“内卷”终结者：监管重拳下价格战趋缓,Wind
209,2021-10-21,快递行业“内卷”终结者： 监管重拳下价格战趋缓，三季度头部业绩持续修复,Wind
210,2021-10-20,“双十一”临近，快递悄悄涨价，有商家每月物流成本增加10万,新浪
211,2021-10-20,快递行业专题报告：派费传导通畅 9月行业票单价环比+0.41元,新浪
212,2021-10-20,每日报告回放,新浪
213,2021-10-20,北向资金两日净买入80亿，连续五日加仓宁德时代,Wind
214,2021-10-20,提价预期：快递行业的反转？,YY港股圈
215,2021-10-20,快递行业9月份数据点评：终端提价传导顺畅 利润修复可期,西南证券
216,2021-10-19,“通达系”派费上涨首月交卷：韵达、申通涨停，快递概念股集体走高,ZAKER
217,2021-10-19,16点聊电商：B2C出海商家最新女士文胸行业洞察报告请查收,亿邦动力
218,2021-10-19,10月19日韵达股份涨停分析：智慧物流，阿里巴巴概念股，智能制造概念热股,证券之星
219,2021-10-19,快讯：韵达股份涨停 报于19.25元,金融界
220,2021-10-19,韵达股份首板,Wind
221,2021-10-19,快讯：快递概念股午后继续走高 申通快递封涨停,新浪
222,2021-10-19,交通运输行业周报：预计航空Q3业绩承压 快递价格显着回升,新浪
223,2021-10-19,浙商证券：给予韵达股份买入评级,证券之星
224,2021-10-19,快递9月数据点评：9月单价同比和环比均明显改善，看好快递旺季表现,微信
225,2021-10-19,9月快递数据点评：派费顺利传导终端提价，需求增速有所放缓【安信交运】,微信
226,2021-10-19,韵达控股股份有限公司 2021年9月快递服务主要经营指标快报,证券日报
227,2021-10-18,韵达股份9月份快递服务业务收入同比增长10.66%,上证报
228,2021-10-18,韵达股份(002120.SZ)：9月快递服务业务收入34.78亿元 同比增长10.66%,格隆汇
229,2021-10-18,韵达股份：9月快递服务业务收入同比增长10.66%,财联社
230,2021-10-18,韵达股份：2021年9月快递服务业务收入34.78亿元，同比增长10.66%,金十数据
231,2021-10-18,韵达股份：9月快递服务业务收入同比增长10.66%,Wind
232,2021-10-18,交通运输行业周报：海运价格回调 民航客运环比改善,新浪
233,2021-10-18,交通运输行业周报聚焦9月数据：航空环比修复 快递单价环比上涨 部分公司披露三季报预告,新浪
234,2021-10-17,交通运输行业三季报前瞻：繁荣的集运产业链 成长的大宗供应链,新浪
235,2021-10-13,韵达山西公司和网点积极参与抗洪救灾,证券日报网
236,2021-10-13,上万个快递包裹“滞留” 贵阳这个韵达网点怎么了？,中国经济网
237,2021-10-13,交通运输物流3Q业绩预览：Β仍在演绎 关注Α,新浪
238,2021-10-13,复盘韵达快运四年征程：“品”快运行业的“咸与淡”,美股研究社
239,2021-10-12,月酝知风之交运行业：航空运输“十一”遇冷 快递行业价格战暂停,新浪
240,2021-10-12,交通运输行业2021年秋季投资策略：长期趋势确定 把握逆向时机,新浪
241,2021-10-11,运输行业：快递旺季提价在即 航空国庆客源不足,新浪
242,2021-10-10,深度 | 如何看政策框架下的快递行业？【安信交运】,微信
243,2021-10-09,交通运输物流：“十一”交运数据：疫情影响下客流量偏弱,新浪
244,2021-10-08,【国君交运】韵达股份：单票收入好于预期，继续关注估值修复——8月经营数据点评,郑武看交运
245,2021-10-08,物流Ⅱ行业：深度解读《浙江省快递业促进条例》 监管约束的行业格局走向何方？,广发证券
246,2021-10-08,物流仓储行业：旺季提价在即 继续估值修复,新浪
247,2021-10-08,交运物流行业周报：新冠药物研发取得突破 航空乐观情绪得到催化,新浪
248,2021-10-08,德邦快递损毁率攀高 派费上涨利好“通达系”市值普涨,每日经济新闻
249,2021-10-08,金韵达速递违法被通州交通局处罚 为韵达股份子公司 其他违规处罚,中国经济网
250,2021-10-06,国君交运：集运警惕需求拐点，关注航空双重复苏逻辑,证券之星
251,2021-10-04,2021年十月策略金股报告,新浪
252,2021-09-30,传多家快递企业规范价格，圆通已确认了消息的真实性,Wind
253,2021-09-30,交通运输行业事件点评报告：涨价与格局改善共振 把握行业最好的投资阶段,国海证券
254,2021-09-30,中国快递物流健康监测报告｜德邦快递损毁率攀高 派费上涨利好“通达系”市值普涨,每日经济新闻
255,2021-09-30,半年亏1.5亿 市场份额仍居低位！申通快递如何走出盈利困境？ 亏损,投资时报
256,2021-09-30,韵达控股股份有限公司 2021年第三季度报告,证券日报
257,2021-09-29,A股共发生106宗大宗交易成交24.67亿元（9月29日）,Wind
258,2021-09-29,韵达股份今日大宗交易成交66万股，成交价18.15元折价5.22%,Wind
259,2021-09-27,交通运输行业周报：聚焦价格线索：10月有哪些投资机遇？,新浪
260,2021-09-27,【银河交通王靖添】行业周报丨交通新基建行动方案正式发布，把握智慧交通产业链机会,中国银河证券研究
261,2021-09-27,快递行业价格战趋缓 机构开始逆势布局,上证报
262,2021-09-26,交通运输行业：继续推荐电商快递板块 政策催化与龙头提价共振,广发证券
263,2021-09-26,物流仓储行业：单票收入如期回升 有望继续边际改善,新浪
264,2021-09-26,交通运输行业周报：快递供给变化加速 关注竞争格局潜在变化,新浪
265,2021-09-26,快递供给变化加速，关注竞争格局潜在变化【安信交运|周报0926】,明兴交运研究
266,2021-09-24,每日报告回放,新浪
267,2021-09-24,2021年8月快递数据点评：龙头公司价格竞争趋缓 看好旺季高景气成长,新浪
268,2021-09-23,多空互撕！韵达股份龙虎榜上7家机构摩拳擦掌，顶流基金经理浮盈近5亿,华夏时报
269,2021-09-23,韵达股份(002120.SZ)股价异动 不存在应披露而未披露信息,智通财经
270,2021-09-23,韵达股份(002120)：格局风险料将下降 利润改善催化估值,新浪
271,2021-09-23,韵达股份龙虎榜数据（9月23日）,Wind
272,2021-09-23,浙商证券：维持韵达股份(002120.SZ)“买入”评级 8月量价双升趋势延续,智通财经
273,2021-09-23,中国短期融资券及中期票据信用分析周报,新浪
274,2021-09-22,申万宏源交运一周天地汇：关注阳明海运后续集装箱船订单 台风“灿都”推升空海运价格,新浪
275,2021-09-22,韵达股份(002120.SZ)完成发行5亿元2021年度第一期超短期融资券,智通财经
276,2021-09-22,9月22日韵达股份涨停分析：快递物流，长三角一体化，智能制造概念热股,证券之星
277,2021-09-22,快递行业8月份数据点评：价格战缓和 广州地区单价环比转正,西南证券
278,2021-09-22,快讯：韵达股份涨停 报于20.87元,金融界
279,2021-09-22,A股异动 | 快递股走高 韵达股份(002120.SZ)涨超6%,格隆汇
280,2021-09-22,圆通速递(600233)：快递单价同比首次转正 业务量增速表现较优,新浪
281,2021-09-22,运输行业：快递单价如期回升 建议关注估值修复,新浪
282,2021-09-21,快递行业专题报告：行业累计单量已超19全年 韵达6-8月单价环比连续维增,新浪
283,2021-09-21,8月快递数据点评：价格回升趋势确立 关注旺季表现,新浪
284,2021-09-21,交通运输行业周报：快递价格回升 中秋节客流符合预期,新浪
285,2021-09-21,交通运输行业周报：海运价格趋稳 民航增加旺季航班,新浪
286,2021-09-21,浙商证券给予韵达股份买入评级，韵达股份8月经营数据点评，近期获8份券商研报关注，目标均价涨幅0.95%,每日经济新闻
287,2021-09-19,快递公司8月经营数据：陷同质化难题、低价竞争继续,Wind
288,2021-09-18,韵达股份(002120)：8月量价双升趋势延续 逐步回归高质量发展步调,新浪
289,2021-09-18,韵达发布8月业绩简报：业务量高达15.25亿票 领跑快递行业,金融界
290,2021-09-18,韵达控股股份有限公司2021年8月 快递服务主要经营指标快报,证券日报
291,2021-09-17,晚间重要公告2021年9月17日星期五,Wind
292,2021-09-17,韵达股份：8月快递服务业务收入同比增长15.34%,财联社
