,2021-12-31,中国电信携手中国信通院 深耕城市发展、产业升级和网信安全领域,--
574,2021-11-07,5G新基建助力沣西新城快速发展,中国网
575,2021-11-07,中国电信总经理李正茂：加快构建云网融合新型信息基础设施,e公司
576,2021-11-07,中国电信李正茂：算力产业每投入1元 将带动3-4元GDP经济增长,新浪
577,2021-11-06,“超大容量智能骨干路由器技术创新及产业化”项目获国家科技进步奖二等奖,光明网
578,2021-11-06,中国电信在第四届中国国际进口博览会上与4家国际供应商达成采购意向,证券日报网
579,2021-11-06,中国移动A股会不会破发？反正它的H股已经躺平了,和讯
580,2021-11-05,通信行业深度报告：数字经济时代 电信运营商价值有望重估,新浪
581,2021-11-05,【中信建投通信|阎贵成&武超则团队】通信行业三季报综述：经营总体良好，估值仍处底部，建议关注重点子板块,建投通信研究
582,2021-11-05,中国电信与4家国际供应商达成采购意向 涵盖5G移动基站等,上证报
583,2021-11-05,电信三巨头A股聚首 中国移动创10年IPO募资最高纪录,中国经营报
584,2021-11-05,十年来A股最大IPO过会！中国移动IPO拟募资560亿 三大运营商齐聚A股,搜狐
585,2021-11-05,“巨无霸”归来！中国移动首发申请获通过,Ofweek
586,2021-11-05,强强联合！日丰&中国电信5G + 数字化智能化工厂项目正式启动,砍柴网
587,2021-11-05,中国电信与4家国际供应商达成采购意向,e公司
588,2021-11-05,揭秘20年前三大运营商港股上市融资史 越晚上市的油水越少,腾讯网
589,2021-11-05,巨无霸过会！电信破发犹在眼前，中国移动多少钱你会买？,证券之星
590,2021-11-05,A股第五大“航母级”IPO！中国移动过会，专家：勿盲目跟风炒作,金融界
591,2021-11-05,近十年来最大IPO，中移动将如何定价，A股破发潮下能否“独善其身”？,证券之星
592,2021-11-05,瑞信：维持三大电信股“跑赢大市”评级 行业首选中国电信(00728),智通财经
593,2021-11-05,2021年10月中国电信大事要览,C114通信网
594,2021-11-05,5G通信全面提速扩容 电信“数字化转型”服务护航“智慧进博”,上证报
595,2021-11-05,中国移动IPO过会三大运营商齐聚A股 拟募资560亿近半投入5G网络建设,长江商报
596,2021-11-05,中国移动有望成10年来A股最大IPO,北京青年报
597,2021-11-05,中国移动IPO过会！投资者呼吁机构理性询价,中财网
598,2021-11-04,中国移动A股IPO过会！募资额560亿超过中国电信,南都报
599,2021-11-04,中国移动IPO成功过会 三大运营商即将齐聚A股,新浪
600,2021-11-04,财华洞察|大块头遇A股破发潮，中国移动的前程如何？,财华社
601,2021-11-04,拟募资560亿，近10亿人都在用的中国移动“回A”倒计时,第一财经
602,2021-11-04,电信与华为合研顶级路由获国家重奖：性能远超海外厂商,快科技
603,2021-11-04,中国移动首发过会，560亿募资额为近10年最高,北京日报
604,2021-11-04,计算机行业事件点评：华为欧拉操作系统引领国产数字底座新时代,新浪
605,2021-11-04,天翼爱动漫公司获“国家文化和科技融合示范基地”认定，助力文化科技融合发展,北国网
606,2021-11-04,聚焦智慧城市、智慧产业，神州控股与腾讯云达成合作；汉口银行将与腾讯云展开数字生态合作，构建武汉市惠民服务体系 | 36氪大公司数字化创新指南1104,36氪
607,2021-11-04,通信行业2021年三季报总结：物联网增长迅速 运营商长期可期,光大证券
608,2021-11-03,“巨无霸”中国移动即将上会，新股频繁破发下如何“独善其身”？,21世纪经济报道
609,2021-11-03,扣响A股上市大门，中国移动明日迎首发“大考”,通信世界网
610,2021-11-03,【要闻回顾】李锦记紧跟海天味业开始涨价 东鹏饮料经销商“退群”,融资中国
611,2021-11-03,中国电信与华为公司联合创新项目获得2020年度国家科技进步奖二等奖,C114通信网
612,2021-11-03,港股收评：恒指维持震荡 新能源材料板块领跌,财联社
613,2021-11-03,中国电信子公司注册资本增加至40亿,贝壳财经
614,2021-11-03,市场综述：“新牛”暴涨140%！传美海关扣留光伏组件,老虎证券
615,2021-11-03,中国电信子公司注册资本增至40亿 增幅超344%,财联社
616,2021-11-03,美撤销中国电信美洲公司214牌照 中国电信：缺乏正当理据 资质撤销,央视
617,2021-11-03,工信部回应美国吊销中国电信214牌照：坚决反对 资质撤销,经济观察网
618,2021-11-03,美国联邦通信委员会撤销中国电信美洲公司牌照 中国电信：缺乏正当理据 资质撤销,央视
619,2021-11-03,中国电信回应被FCC撤销牌照：该决定缺乏正当理据，损害了公司的正当权益 资质撤销,金十数据
620,2021-11-03,中国电信天翼爱动漫公司获国家文化和科技融合示范基地认定,凤凰网
621,2021-11-03,工业和信息化部发布针对美撤销中国电信214牌照事项的声明：敦促美方撤回吊销中国电信214牌照的决定，以公正、无歧视的态度对待中国电信企业，停止将国家安全概念泛化、将经济问题政治化的错误做法，为中国企业,金十数据
622,2021-11-03,工信部针对美撤销中国电信214牌照事项发表声明 资质撤销,e公司
623,2021-11-03,中国移动首发“大考”来临，约560亿募资有望成为A股近十年以来最大IPO,中金在线
624,2021-11-03,通信行业2021年三季报综述：运营商持续改善 物联网延续高成长,新浪
625,2021-11-02,中国电信旗下2公司电信业务经营不良 登工信部通报 经营问题,中国经济网
626,2021-11-02,通信行业跟踪周报：本周专题 通信第三季度基金持仓环比持平 持续关注物联网及能源信息化赛道投资机会,新浪
627,2021-11-02,小摩：下调电信股目标价 行业首选中国联通(00762) 机构下调估值,智通财经
628,2021-11-02,“5G+云”加速推动VR规模商用落地,中国电子报
629,2021-11-01,中国移动迎“大考”！或成A股近十年最大IPO，“破发潮”下如何定价？,国际金融报
630,2021-11-01,A股首单红筹央企、近十年最大募资IPO项目临考：预计募资560亿的中国移动即将上会,华尔街见闻
631,2021-11-01,联通电信相继回归A股后，中国移动将于三天后上会,观察者网
632,2021-11-01,中国电信：2021年前三季度，公司产业数字化业务保持快速增长，收入达到人民币740.90亿元，同比增长16.8%,每日经济新闻
633,2021-11-01,天风证券维持深信服买入评级：战略选择下的降速，资源再配置Q4强势反弹是大概率事件,每日经济新闻
634,2021-11-01,每经IPO周报第34期 | 上周新股现“破发潮”，本周这几只新股表现会怎样？,每日经济新闻
635,2021-11-01,创纪录募资560亿！中国移动本周四上会，又一个中国电信？,证券之星
636,2021-11-01,中国移动距离上市又接近一步，新股破发潮下还能不能够申购？,搜狐
637,2021-11-01,聪明资金最新动向揭秘，风格紧急切换氢能源概念股，重金杀入3只大白马股，大幅加仓19股,证券之星
638,2021-11-01,安恒信息(688023)：收入高增 募资保证网络信息“新安全”,新浪
639,2021-10-31,通信设备及服务行业：需求亟待新复苏 压力后大浪淘沙,新浪
640,2021-10-31,【招商通信余俊团队】当我们在谈论元宇宙时，我们在谈论什么——招商通信周周谈（2021年第44周）,俊Sir通信研究
641,2021-10-30,重磅！A股近10年最大IPO来了？9亿用户“巨无霸”5天后首发上会,每日经济新闻
642,2021-10-29,重庆金融科技赋能乡村振兴示范工程公布 翼支付提报项目入选,东方网
643,2021-10-29,三大运营商将A股聚首，实力对比：中国移动＞中国电信＞中国联通,搜狐
644,2021-10-29,华安证券：给予光迅科技买入评级,证券之星
645,2021-10-29,IDC：2021上半年，中国电信天翼云市场份额保持增长,C114通信网
646,2021-10-29,韦乐平：400G时代已开启，扩容节奏应循序渐进,C114通信网
647,2021-10-29,商务部回应中国电信被美取消运营牌照：中方对此表示严重关切，已向美方提出严正交涉,每日经济新闻
648,2021-10-29,中国电信发布重要公告！,每日经济新闻
649,2021-10-28,什么情况？中国电信尾盘异动，十分钟股价拉升5%，逾6亿资金出手狂买,金融界
650,2021-10-28,美国撤销中国电信在美经营许可 商务部：中方经贸团队已提出严正交涉 资质撤销,腾讯网
651,2021-10-28,商务部谈美国FCC撤销中国电信214牌照：应立即纠正错误做法,澎湃新闻
652,2021-10-28,中国电信尾盘拉升涨4%，重回发行价指日可待？,证券之星
653,2021-10-28,中国电信5G套餐用户突破1.5亿,电缆网
654,2021-10-28,美取消中国电信运营牌照 商务部回应 资质撤销,金十数据
655,2021-10-28,【国君通信|2021三季报点评】拓邦股份：业绩符合预期，严峻外部环境下龙头竞争力依旧,微信
656,2021-10-28,[公司]Aqara绿米完成10亿元C轮融资 深创投、愉悦资本、中国电信等投资,全景网
657,2021-10-28,中国电信等28股获陆股通增仓超20%,证券时报网
658,2021-10-27,中国电信(601728)首次覆盖报告：C端业务全面向好 云改数转推动B端加速成长,新浪
659,2021-10-27,中国电信加大转型力度 资本运作路径渐趋明晰,通信信息报
660,2021-10-27,年内上市新股破400只！数量已超去年全年 合计募资逾4100亿元,北京商报
661,2021-10-27,运营商3季度财报解读：家宽政企业务高速增长 千兆光网势能强劲,凤凰网
662,2021-10-27,以所谓“国家安全”为由，美方又开始打压中国科技企业！,驱动中国
663,2021-10-27,中电信728｜在美营运权遭撤销 | 头条金融网,头条日报
664,2021-10-26,【中信建投通信|阎贵成&武超则团队】中国电信：业绩好于预期，产业数字化业务发展值得期待,建投通信研究
665,2021-10-26,视频｜中国电信智慧园区管理平台 为客户提供一站式的综合解决方案,每日经济新闻
666,2021-10-26,中国电信5G定制网无线主设备集采：华为、中兴、爱立信、大唐中标,C114通信网
667,2021-10-26,第三届天翼物联开发者大赛企业及高校赛道总决赛顺利举行,凤凰网
668,2021-10-26,2.8万机架 中国电信中部数据中心在郑州开工,中国IDC圈
669,2021-10-26,【国泰君安国际】个股交易参考：中国电信(00728.HK)：5G驱动移动用户数与ARPU双增长,国泰君安证券香港
670,2021-10-26,云VR将是驱动5G流量增长重要业务,中国电子报
671,2021-10-26,“5G+工业互联网”赋能 传统锅炉制造焕发生机,中证报
672,2021-10-25,浙商张建民||中国电信（H股）：业绩符合预期，Q3单季利润同比增17.4%,微信
673,2021-10-25,看到科技与中国电信新国脉签署盘古计划战略合作协议,凤凰网
674,2021-10-25,中智行携手中国电信，创造车路协同无人驾驶“新四跨”纪录,经济日报
675,2021-10-25,总投资34亿元！十八万平方米的中国电信中部数据中心正式开建,Ofweek
676,2021-10-25,天邑股份：目前公司的VR终端只是进入了中国电信的产品库，具备了在中国电信的销售资格,每日经济新闻
677,2021-10-25,浙商证券维持中国电信买入评级，中国电信2021年三季报点评：业绩符合预期，扣非利润增速进一步提升,每日经济新闻
678,2021-10-25,浙商证券：给予中国电信买入评级,证券之星
679,2021-10-25,华创证券：维持中国电信(601728.SH)“推荐”评级 目标价6.35元,智通财经
680,2021-10-25,招商证券(香港)：维持中国电信(00728)“买入”评级 目标价升至4港元,智通财经
681,2021-10-25,民生证券：首予中国电信(601728.SH)“推荐”评级 利润增长引领行业 云网融合加速发展,智通财经
682,2021-10-25,通信行业周报2021年第14期：运营商三季报发布 鸿蒙生态加速构建,新浪
683,2021-10-25,通信行业周报：运营商业绩持续向好 华为发布HARMONYOS3预览版,新浪
684,2021-10-25,未来居科技与中国电信股份有限公司安徽分公司达成战略合作,凤凰网
685,2021-10-25,智造未来：重庆CIO齐聚“惠达5G数智工厂”,乐居财经
686,2021-10-25,5G消息全国试商用步伐临近 运营商5G消息领域项目采购需求增加,e公司
687,2021-10-25,中国电信（601728）财报点评：收入和利润双位数增长，业务结构持续优化,国信研究
688,2021-10-25,中国电信前三季度净利增幅居三大通信运营商之首,阿尔法工场
689,2021-10-25,中国电信数字化力量 助力危化品道路运输全链条监管－国务院国有资产监督管理委员会,国资委
690,2021-10-25,5G和创新业务双引擎驱动：运营商盈利能力显著提升,C114通信网
691,2021-10-25,中国电信中部数据中心一期工程正式开工建设,河南人民政府
692,2021-10-25,中国电信(601728)：利润增长引领行业 云网融合加速发展,新浪
693,2021-10-24,【招商通信余俊团队】运营商三季报出炉，5G建设显著提速，5G用户渗透率近半——招商通信周周谈（2021年第43周）,俊Sir通信研究
694,2021-10-24,中国电信公布回A股后首份财报：净利润增幅三家最高,快科技
695,2021-10-23,犀牛早讯：贵州茅台第三季度净利126.12亿 广和通收重组问询函,GPLP犀牛财经
696,2021-10-23,三大运营商前三季赚了1200多亿 5G套餐用户数达6.24亿户,全景网
697,2021-10-22,中国电信公布三季报 前三季净利增加24.7%,新浪
698,2021-10-22,【晚间公告抢先看】贵州茅台第三季度净利126.12亿元 同比增长12%、三六零拟以10亿元-15亿元回购公司股份,金融界
699,2021-10-22,财华聚焦|“电信三雄”前三季利润超千亿，为何北水偏爱中移动？,财华社
700,2021-10-22,中国电信(00728)订立金融服务框架协议,智通财经
701,2021-10-22,中国电信：建议修订公司章程,Wind
702,2021-10-22,辰安科技(300523.SZ)拟向中国电信财务公司申请不超4亿元综合授信额度,智通财经
703,2021-10-22,中国电信：前三财季盈利233.27亿人民币，同比增长24.7%,Wind
704,2021-10-22,中国电信前三季净利同比增长24.7%,上证报
705,2021-10-22,全方位深化“云改数转”战略 中国电信(00728)前三季股东应占利润同比增长24.7%至233.27亿元,智通财经
706,2021-10-22,中国电信第三季度净利环比降51% 较发行价跌逾8% 盈利能力下降,证券之星
707,2021-10-22,中国电信：2021 年 Q3 净利 55.83 亿元，同比增长 17.4%,IT之家
708,2021-10-22,中国电信：订立新工程设计施工服务框架协议等协议,Wind
709,2021-10-22,中国电信5G套餐用户突破1.5亿，渗透率超42%,C114通信网
710,2021-10-22,双5G赋能数字经济，云VR点亮智慧生活,飞象网
711,2021-10-22,中国电信前三季度收入3265.36亿：净利润233.27亿，同比增长24.7%,C114通信网
712,2021-10-22,中国电信前三季度净利增长24.7% 5G套餐用户渗透率达42.1%,中华网
713,2021-10-22,图解中国电信三季报：第三季度单季净利润同比增17.38%,证券之星
714,2021-10-22,前三季度三大运营商日赚4.57亿！你贡献多少？,中新经纬
715,2021-10-22,科创板新股上市即破发！定价问题出在哪？投行定价再迎一轮拷问,财联社
716,2021-10-22,营收稳步增长 中国电信(601728.SH)前三季度归母净利同比增长24.7%至233.27亿元,智通财经
717,2021-10-22,中国电信(00728.HK)：2021年第三季度营收1089.89亿元，同比增长10.8%,金十数据
718,2021-10-22,中国电信：第三季度净利55.8亿元 同比增长17.4%,格隆汇
719,2021-10-22,中国电信：2021年第三季度净利55.83亿元 同比增长17.4%,新浪
720,2021-10-22,中国电信：第三季度净利55.8亿元 同比增长17%,财联社
721,2021-10-22,"中国电信(00728.HK)：2021年前三季度，移动通信服务收入为人民币1,405.28亿元，较去年同期上升6.3%，移动用户净增1,864万户，继续保持行业领先，达到3.70亿户，5G套餐用户净增",金十数据
722,2021-10-22,中国电信：第三季度净利同比增长17.4%,e公司
723,2021-10-22,中国电信：截至9月30日止9个月净利润为233.27亿元，去年同期为187.06亿元,金十数据
724,2021-10-22,中国电信：截至9月30日止9个月营收为3265.36亿元，去年同期为2926.14亿元,金十数据
725,2021-10-22,中国电信：前三季度净利润同比增长24.7%,Wind
726,2021-10-22,中国联通(600050)：业绩稳健增长 5G渗透率持续提升,新浪
727,2021-10-22,【国君通信|公司点评】威胜信息：业绩符合预期，为“双碳”充分赋能,微信
728,2021-10-22,网络安全是新型智慧城市的基础保障,中投网
729,2021-10-22,从智慧养老到数字乡村：中国电信以数字赋能乡村振兴,C114通信网
730,2021-10-22,股票破发后又创新低 投资者质疑 中国电信回应,快科技
731,2021-10-21,中国电信(00728)签订募集资金专户存储三方监管协议,智通财经
732,2021-10-21,中国电信统一DPI设备宽带互联网部分集采：任子行、浩瀚和百卓3家入围,C114通信网
733,2021-10-21,破发股中国电信又创新低 IPO六大券商赚3亿元,中国经济网
734,2021-10-21,成千上万的集装箱如何高效调度？中国电信5G来助力,C114通信网
735,2021-10-21,中国电信：公司将在10月23日披露的第三季度报告中披露相关股东及持股情况,每日经济新闻
736,2021-10-21,中国电信：公司积极协同行业共同推进5G消息正式商用平台的建设和业务商用准备工作,每日经济新闻
737,2021-10-21,中国电信：公司目前日常经营正常,每日经济新闻
738,2021-10-21,中国电信：控股股东电信集团有宣布增持计划,Wind
739,2021-10-21,私募大佬葛卫东又出手！,中国基金报
740,2021-10-20,安恒信息披露定增结果 中国电信等5家投资者溢价认购,大众证券报
741,2021-10-20,GIC Private Limited增持中国电信股份约1214.60万股,每日经济新闻
742,2021-10-20,安恒信息披露定增结果：中信建投、J.P.Morgan、葛卫东、中国电信等认购,上证报
743,2021-10-20,安恒信息定增获溢价认购 中国电信携手QFII、牛散共同入驻,财联社
744,2021-10-20,【权益变动】中国电信(00728.HK)获新加坡政府投资有限公司增持1214.6万股,财华社
745,2021-10-20,中国电信与土巴兔达成“千兆网络—全屋智装”项目初步合作意向,上证报
746,2021-10-20,中国电信大容量交流不间断电源集采：华为、维谛等4家入围,C114通信网
747,2021-10-20,人工智能与实体经济深度融合 运营商面临全新挑战,C114通信网
748,2021-10-20,共筑网安“防火墙” 中国电信加快科技创新步伐,C114通信网
749,2021-10-20,中国电信携手泰昆集团 送农技下乡 助力乡村振兴,C114通信网
750,2021-10-20,电信三星联手探路超高端折叠屏手机,通信信息报
751,2021-10-20,深挖数据，赋能决策：中国电信对5G+工业互联网的思考和实践,C114通信网
752,2021-10-19,【港股通】中国铁塔(00788)与中国电信订立物资采购框架协议,和讯
753,2021-10-19,北斗时空位置服务云平台正式发布 天翼云赋能行业智慧化升级,东方网
754,2021-10-19,通信行业周报：四季度市场风险偏好或下行 看好通信板块相对配置价值,华安证券
755,2021-10-19,中国电信提速大数据应用创新 重点发展大数据融合应用,中投网
756,2021-10-19,光纤联结世界 点亮非洲梦想（中非共建一带一路）,中国贸易报
757,2021-10-18,5G无人挖掘机，蓝翔大危机？,钛媒体
758,2021-10-18,"华为发布全球首创无线、传输、核心网三域一体化融合网管MAE-Lite, 让行业数字化转型“轻装上阵”",极客网
759,2021-10-18,2021中国IPv6创新发展大会 ——央企信息化分论坛，IPv6演进思路和实践分享,TechWeb
760,2021-10-18,浙商证券：首予中国电信(601728.SH)“买入”评级 目标价5.56元,智通财经
761,2021-10-18,上海市消保委体察发现 手机套餐升级容易降级难,中国消费者报
762,2021-10-17,【浙商|计算机田杰华/邱世梁】紫光股份：高端竞争力持续提升,微信
763,2021-10-17,勇当“数字浙江”建设主力军 中国电信亮相宁波智博会,证券日报网
764,2021-10-17,通信设备及服务行业：中兴盈利能力提升 关注中端制造的企稳机会,新浪
765,2021-10-17,【招商通信余俊团队】多家重点公司三季度业绩超预期，通信板块四季度值得期待——招商通信周周谈（2021年第42周）,俊Sir通信研究
766,2021-10-15,5G应用关键时刻：淘汰数千“样板间”项目后，哪些场景正在大规模推广？,经济观察报
767,2021-10-15,中国电信(601728)：成长性领先的电信运营商,新浪
768,2021-10-15,【权益变动】中国电信(00728.HK)被新加坡政府投资有限公司减持48.2万股 减持股份,财华社
769,2021-10-15,跨界定义新产品 长虹与电信新国脉打造“云游戏电视”,和讯
770,2021-10-15,中兴通讯(000063)：三季报预告再超预期 毛利率持续恢复,新浪
771,2021-10-15,信达证券：给予中兴通讯买入评级,证券之星
772,2021-10-15,中国电信推动水泥行业智能化转型；国家林草局与中国移动合作，推进智慧林草建设 | 36氪大公司数字化创新指南1014,36氪
773,2021-10-15,中国电信(00728.HK)获GIC增持1214.6万股,格隆汇
774,2021-10-15,山西省政府与中国移动中国电信在京举行工作会谈,证券时报网
775,2021-10-14,中国电信联合三星发布心系天下三星W22 5G手机 售价16999元,和讯
776,2021-10-14,科技赋能医疗：全国医院最大规模的云数据中心在武汉启用,21经济网
777,2021-10-14,开设百厅百场“幸福课堂” 试运行114代叫出租，上海电信便民助老服务再升级,驱动中国
778,2021-10-14,5G毫米波产业该如何发展？中国电信给您答案,钛媒体
779,2021-10-14,中国电信：携手三星电子发布心系天下三星W22 5G手机 持续提供优质5G网络服务,证券日报网
780,2021-10-14,中国电信、三星联合发布W22 5G手机 售价16999元,e公司
781,2021-10-14,三星电子携手中国电信发布心系天下三星W22 5G，定价16999元,新快报
782,2021-10-14,三星联合电信推出W22 5G 折叠屏手机市场细分加剧,北京商报
783,2021-10-13,融合的几个层次，运营商该如何取舍与侧重？,C114通信网
784,2021-10-13,中国电信多扣了14个月的费用是怎么回事？,中国经济网
785,2021-10-13,GIC Private Limited增持中国电信(00728)268.2万股，每股作价约2.6港元,智通财经
786,2021-10-13,《2020-2021东盟投资报告》：东盟5G网络、数据中心与云设施投资情况,中国IDC圈
787,2021-10-13,每日策略丨重挫！下跌！朗姿两连板成情绪资金突破口！,国元证券订阅号
788,2021-10-13,赛特斯申请科创板上市：存三类股东 应收款回款较难且依赖大客户,面包财经
789,2021-10-12,【权益变动】中国电信(00728.HK)获新加坡政府投资有限公司增持268.2万股,财华社
790,2021-10-12,GIC Private Limited增持中国电信股份约268.20万股,每日经济新闻
791,2021-10-12,中金：予中国电信跑赢行业评级 目标价3.68港元,新浪
792,2021-10-12,大行评级 | 中金：予中国电信(0728.HK)跑赢行业评级 目标价3.68港元,格隆汇
793,2021-10-12,开放包容·协同创新——网络前沿技术分论坛在京举办,砍柴网
794,2021-10-12,消除“数字鸿沟”，三大运营商有新想法,中国电子报
795,2021-10-12,中国电信启动2021年室外光缆集采,电缆网
796,2021-10-12,中金：给予中国电信A股跑赢大盘的初始评级,格隆汇
797,2021-10-12,2021Q3打新总结及全年展望：顺势而下：注册制巨变后A股打新策略,新浪
798,2021-10-11,中国电信启动2021年室外光缆集采：预估4300万芯公里,C114通信网
799,2021-10-11,刚刚！中国电信重磅官宣,每日经济新闻
800,2021-10-11,科技行业专题研究：5G消息再推进；光模块价格跌幅收窄,新浪
801,2021-10-11,中国电信(00728.HK)将于10月22日举行董事会会议以审批前三季度业绩,格隆汇
802,2021-10-11,中国电信股份有限公司董事会宣布：将于2021年10月22日举行本公司董事会会议，藉以批准本公司及其附属公司截至2021年9月30日止九个月期间的财务业绩,金十数据
803,2021-10-11,中金公司：首予中国电信(601728.SH)“跑赢行业”评级 目标价6.27元,智通财经
804,2021-10-11,板块异动 | 中国电信推“数字人民币”钱包 数字货币板块午后异动拉升,智通财经
805,2021-10-11,中国电信11888充值卡集采：意诚信通和恒宝中标,C114通信网
806,2021-10-11,中国电信牵手三星发布心系天下W22 超高端折叠屏手机探索无止境,砍柴网
807,2021-10-11,中国电信(00728.HK)遭GIC减持48.2万股 减持股份,格隆汇
808,2021-10-10,中国电信推“数字人民币”钱包，赋能数字货币生态建设,IT时代网
809,2021-10-09,招商通信周周谈(2021年第40-41周)：物联网新基建三年行动计划出炉 重点看好上游芯片及中游模组,新浪
810,2021-10-09,蒋骏出席2021年博鳌旅游发展论坛并发表主题演讲,中经导报
811,2021-10-09,通信动态点评：三年行动计划发布 物联网发展向好,新浪
812,2021-10-09,缔结战略联盟 实现合作共赢 华云数据信创云基座全国巡展·徐州站顺利召开,砍柴网
813,2021-10-09,中国电信和中国联通联合推出共建共享区块链调度平台,金十数据
814,2021-10-09,中国联通和中国电信联合推出共建共享区块链调度平台 全面提升网络共建共维共管能力,C114通信网
815,2021-10-08,2021年中国5G产业投资现状及发展前景预测 投资高峰出现在2023-2024年、通信网络设备占比最大,前瞻研究院
816,2021-10-08,【券商聚焦】瑞信大升中国电信目标价6成 料其股息率为三大运营商之冠,凤凰网
817,2021-10-08,港股异动 | 三大电信股全线上涨 中国电信(0728.HK)涨超4%,格隆汇
818,2021-10-08,中国电信陈博：5G定制网，加速产业数字化转型,C114通信网
819,2021-10-08,中国联通、中国电信、海底捞入选黑猫投诉“品质消费领导者组织”,新浪
820,2021-10-08,【异动股】中国电信(00728.HK)涨3.08%,财华社
821,2021-10-08,收盘综述：A股三大指数集体收涨 电力行业领涨,新浪
822,2021-10-08,中国电信国际与中兴通讯签署战略合作协议,e公司
823,2021-10-08,瑞信：维持中国电信(00728)“跑赢大市”评级 目标价升59.7%至6.2港元,智通财经
824,2021-10-08,中国电信股份有限公司 关于执行副总裁辞任的 公 告 董监高成员变化,证券日报
825,2021-10-07,中国电信：执行副总裁张志勇辞任 董监高成员变化,每日经济新闻
826,2021-10-07,A股IPO市场前三季度回顾,红周刊
827,2021-10-07,每经IPO月报：前三季度IPO过会率不足90%，首发上市公司数同比增超两成，港股回A趋势增强？,每日经济新闻
828,2021-10-07,中国电信(00728.HK)获GIC增持268.2万股,格隆汇
829,2021-10-01,生益电子(688183)首次覆盖报告：行业领先数通领域PCB供应商 受益于扩产+通信PCB需求回暖,新浪
830,2021-09-30,国盾量子：量子通信“拓荒者” | “小巨人”时代,经济观察网
831,2021-09-30,南天信息：公司未参与中国电信和中国银行联合研发的数字货币上线项目,每日经济新闻
832,2021-09-30,法大大与喔趣科技合作，将电子签章嵌入人力资源SaaS产品 ；中国电信与中国中铁合作，推动智慧城市、智慧交通、智慧产业等建设 | 36氪大公司数字化创新指南0930,36氪
833,2021-09-30,微创光电(430198)：道路交通信息化先行者 开拓智能视频业务,新浪
834,2021-09-30,中国电信(601728.SH)：张志勇辞任执行副总裁职务 董监高成员变化,智通财经
835,2021-09-30,中国电信：执行副总裁张志勇因工作调动原因辞任 董监高成员变化,财联社
836,2021-09-30,中国电信：执行副总裁辞任 董监高成员变化,Wind
837,2021-09-30,中国5G给人留“车尾灯” 2至4年行业应用初具规模,IT时报
838,2021-09-30,中兴通讯与中国电信国际成功签署战略合作协议,C114通信网
839,2021-09-30,中国电信刘桂清：构筑云网融合的安全绿色新型基础设施，消除数字鸿沟，连通世界,C114通信网
840,2021-09-30,中国电信副总经理唐珂：云改数转助力企业数字化转型,C114通信网
841,2021-09-30,天翼云私有云技术支撑服务采购：软通动力、东软和广东亿迅入围,C114通信网
842,2021-09-30,前三季度A股IPO企业逾370家,财富动力网
843,2021-09-30,东方明珠新媒体股份有限公司 2021年第三季度报告,证券日报
844,2021-09-30,中兴通讯与中国电信5G行业新品联合发布会成功召开,中兴通讯
845,2021-09-29,三大运营商齐发力：拥抱5G定位，加速能力提升，共创产业生态,C114通信网
846,2021-09-29,A股前三季度IPO盘点：373只新股上市，逾700家企业排队审核,第一财经
847,2021-09-29,英维克(002837)首次覆盖报告：精密温控设备龙头 多点布局市场空间持续扩大,新浪
848,2021-09-29,中国电信与教育部教育管理信息中心联合成立“教育云联合创新实验室”,C114通信网
849,2021-09-29,影谱科技中标中国电信数字城市千万级项目 助力数字城市发展,中国网
850,2021-09-29,前三季度A股IPO企业逾370家 全年数量有望创历史新高,上证报
851,2021-09-29,护航数字经济发展 中国电信持续提升安全能力,C114通信网
852,2021-09-29,中国电信建成全球首条全G.654E陆地干线光缆,C114通信网
853,2021-09-29,亚信科技CEO高念书出席自动驾驶网络峰会：践行自动驾驶网络、推进网络数智化转型,新浪
854,2021-09-29,5G扬帆电力 助力电力行业数字化转型,通信世界网
855,2021-09-28,中国电信找准云网新跑道 纵深推进浙江数字化改革,C114通信网
856,2021-09-28,乌镇世界互联网大会：2021长三角工业互联网一体化发展高峰论坛隆重召开,C114通信网
857,2021-09-28,2021年中国5G实力榜,数据观
858,2021-09-28,中国电信高质量护航“智慧全运”燃情落幕,人民邮电报
859,2021-09-28,“绿鞋”护航失败 中国电信能否参与？,深圳商报
860,2021-09-28,中国国际信息通信展：5G新基建，为这些行业赋能,中新网
861,2021-09-28,中国电信上线 数字人民币钱包,中经导报
862,2021-09-27,中国能建明日A股首秀，港股先暴跌18%，网友：又想起中国电信了,证券之星
863,2021-09-27,全国医院最大规模云数据中心在武汉启用,长江商报
864,2021-09-27,中国中铁：与中国电信签署战略合作协议,e公司
865,2021-09-27,产业化提速！中国电信携手国盾量子加快布局量子安全产业,东方网
866,2021-09-27,韭菜的一天｜1028天的等待，原来是对茅台的渴望,腾讯网
867,2021-09-27,从鸿蒙到北斗 “硬科技”扎堆乌镇,中新网
868,2021-09-27,中国电信翼支付区块链研究院院长贺伟：数据隐私保护已经是数据行业不可绕开的的话题,新浪
869,2021-09-27,【财联社时评】中国电信稳定股价为何效果有限？,财联社
870,2021-09-27,A股三大优势凸显 中海油“回A”程序启动,搜狐
871,2021-09-27,中国电信A股盘中股价再创新低,36氪
872,2021-09-27,中国电信“天通一号”获选世界互联网大会领先科技成果－国务院国有资产监督管理委员会,国资委
873,2021-09-27,中国电信光纤配线架及光纤总配线架产品集采：升平、华脉等12家入围,C114通信网
