63,2021-11-16,方正证券：降息预期可期 利好正在积蓄,新浪
64,2021-11-15,券商行业周报(2021年第四十二期)：北交所明确“行业黑名单” 持续关注财富管理提振作用,新浪
65,2021-11-13,券商厉兵秣马备战北交所：全产业链条布局成重点,Wind
66,2021-11-13,方正证券4位董监高辞职，来自中国平安授意？来看最新回应！,Wind
67,2021-11-13,股东重整进入执行阶段！方正证券4位董监高辞职，来自中国平安授意？来看最新回应！ 董监高成员变化,券商中国
68,2021-11-12,方正证券：高利等四位董监高辞职 董监高成员变化,中证网
69,2021-11-12,方正证券：关于董事及高级管理人员辞职的公告 董监高成员变化,新浪
70,2021-11-12,方正证券：关于监事会主席辞职的公告 董监高成员变化,新浪
71,2021-11-12,方正证券(601901.SH)总裁高利辞职,智通财经
72,2021-11-12,方正证券：公司董事、执行委员会副主任、总裁高利、董事廖航以及副总裁施光耀辞职 董监高成员变化,每日经济新闻
73,2021-11-12,方正证券(601901.SH)：总裁高利、副总裁施光耀因退休辞职,格隆汇
74,2021-11-12,方正证券：多名高管辞职 董监高成员变化,Wind
75,2021-11-12,方正证券：监事会主席因雍苹辞职 董监高成员变化,Wind
76,2021-11-12,方正证券昨日融资余额比上日增0.03%至13.66亿元,资本邦
77,2021-11-12,券商双11真拼了！40场直播，理财产品申购费率打1折,Wind
78,2021-11-11,方正证券怎么了？两个月换三位高管，收三张罚单,华夏时报
79,2021-11-11,方正证券上一日融券余量1120万股，融券余额在两融标的中排260名,资本邦
80,2021-11-09,微盛参加腾讯数字大会，再次获奖并进行主题演讲,金融界
81,2021-11-09,ETF生态圈|4只MSCI中国A50互联互通ETF做市商一览（附名单）,金融界
82,2021-11-09,方正证券:融资余额13.67亿元，融券余额为8604万元,资本邦
83,2021-11-08,关于对方正证券股份有限公司北京证券资产管理分公司采取出具警示函监管措施的决定 金融监管处罚,北京证监局
84,2021-11-08,上市首日攻下百亿成交，4只A50 ETF首秀成交比涨跌更抢眼！近20家做市券商名单公布，两大属性撞出火花,财联社
