74,2021-12-13,伊利股份:机构抢筹超百亿定增，一个消费绝对龙头的诞生,阿尔法工场
75,2021-12-12,国际观察：美国经济显著受益于中国入世,Wind
76,2021-12-12,“奶茅”120亿定增爆火，易方达、高毅、高瓴都来了！透露什么信号？,智谷趋势
77,2021-12-12,消费股“王者归来”：市场风格再次切换，“上车”时机已到？,财联社
78,2021-12-12,从发展战略与组织能力，看伊利百亿定增背后的核心逻辑,和讯
79,2021-12-11,伊利印尼乳业生产基地正式投产 构筑国际化增长新支点,中国网
80,2021-12-11,伊利印尼乳业生产基地投产,贝壳财经
81,2021-12-11,内蒙古伊利实业集团股份有限公司2021年非公开发行A股股票发行结果暨股本变动公告,证券时报
82,2021-12-11,伊利印尼乳业生产基地投产 刷新中国乳业在东南亚投资纪录,美通社
83,2021-12-10,伊利储备120亿定增“弹药”向“全球乳业第一”发起冲锋,环球老虎财经
84,2021-12-10,晚间重要公告2021年12月10日星期五,Wind
85,2021-12-10,【预见】外资大咖参与120亿定增，伊利为何如此被看好？,财华社
86,2021-12-10,2021年12月10日晚间上市公司公告汇总,搜狐
87,2021-12-10,伊利股份120亿定增结果出炉 成A股消费行业最大定增 下一步剑指“全球乳业第一”,每经网
88,2021-12-10,发行规模创A股消费行业历史新高，外资机构组团“扫货”伊利股份120亿元定增,21世纪经济报道
89,2021-12-10,伊利股份：收购澳优乳业股权不实施进一步反垄断审查,财联社
90,2021-12-10,伊利股份收到《经营者集中反垄断审查不实施进一步审查决定书》,36氪
91,2021-12-10,又见蓝筹尾盘异动！外资单周净买入488亿元创纪录，重拾“老白马”,Wind
92,2021-12-10,财联社12月10日电，北向资金今日净流入91.48亿元，贵州茅台、东方财富、招商银行、伊利股份净买入居前，分别获净买入12.18亿元、11.58亿元、9.39亿元、8.00亿元；净卖出宁德时代23.7,财联社
93,2021-12-10,伊利的投资圈继续扩容 “全面价值领先”吸引 3.4倍超额认购,经济观察报
94,2021-12-10,伊利股份定增爆火！高瓴、高毅、睿远、张坤纷至沓来，食品股机会来了？,金融界
95,2021-12-10,伊利股份定增出炉 周琦：外围资金更倾向稳定性较强的消费板块,第一财经
96,2021-12-10,继张坤之后，景林、高毅、高瓴、睿远也来争抢这只股票,Wind
97,2021-12-10,伊利股份120亿大额定增落地 外资机构获配超四成,第一财经
98,2021-12-10,超400亿资金竟逐120亿定增 伊利股份缘何受市场追捧？,21世纪经济报道
99,2021-12-10,解盘：超百亿资金流入，锂矿、网游、电源设备、金属领涨,Wind
100,2021-12-10,伊利股份成功实施120亿元定增 将加速产能布局,上证报
101,2021-12-10,伊利股份百亿定增落地，易方达、高瓴资本等22家机构和个人获配,资本邦
102,2021-12-10,120亿定增获顶流资本抢筹 伊利构筑“后千亿时代”战略优势,财经网
103,2021-12-10,板块异动 | 消费品提价趋势受关注 食品饮料板块异动拉升,智通财经
104,2021-12-10,盘前情报丨伊利股份120亿大额定增落定；江特电机被证监会立案调查,21世纪经济报道
105,2021-12-10,伊利股份定增获机构追捧 消费品提价趋势受关注,金融界
106,2021-12-10,"【国金晨讯】伊利定增:看好净利率提升长逻辑,乳制品渠道反馈向好；社区团购11月跟踪：平台转向高质量增长，消费品类表现分化",国金证券研究所
107,2021-12-10,郑爽起诉ST北文，索要1.08亿元片酬；7连板京城股份提示风险；高瓴追捧伊利定增 诉讼纠纷,中证报
108,2021-12-10,【中证盘前】郑爽起诉ST北文，索要1.08亿元片酬；7连板京城股份提示风险；高瓴追捧伊利定增；中伟股份拟100亿元投磷酸铁锂项目,中证报
109,2021-12-10,上市公司正负面新闻2021年12月10日星期五,Wind
