68,2021-12-14,19股获券商买入评级，中天科技目标涨幅达58.20%,Wind
69,2021-12-14,A股：重磅突发！周二，医药板块要迎来大涨吗？,搜狐
70,2021-12-13,长江电力(600900)：“乌白”盈利能力自证 注入后EPS增厚可期,新浪
71,2021-12-13,能耗“双控”转向碳“双控”意味什么,郭丽丽的研究札记
72,2021-12-13,水电龙头一日飙涨250亿，”买买买“还有未来吗？,证券之星
73,2021-12-13,水电龙头一日飙涨300亿，”买买买“还有未来吗？,格隆汇
74,2021-12-13,“忐忑不安，我要投反对票！”5000亿龙头一度逼近涨停，欲募集千亿收购资产！小股东却说：我感到非常失望...发生了什么？,雪球
75,2021-12-13,长江电力复牌涨超6.5%，全市场首只绿色电力ETF（159611）即将发行,资本邦
76,2021-12-13,电力股二次拉升，三峡能源、时代新材、长江电力等走势强劲,Wind
77,2021-12-13,长江电力募资1246亿拟购买云川公司100%股权,阿尔法工场
78,2021-12-13,5000亿水电茅“铁树开花”，拟收购云川100%股权，总装机量增57%,AI财经社
79,2021-12-13,快讯：绿电板块开盘走强 长江电力涨超9%,新浪
80,2021-12-13,电力股集体走强 长江电力(600900.SH)逼近涨停,格隆汇
81,2021-12-13,电力股集体高开，长江电力涨停，上海电力、内蒙华电、华能国际纷纷走强,Wind
82,2021-12-13,A股早报2021年12月13日星期一,Wind
83,2021-12-13,盘前必读丨中央经济工作会议定调“稳健” 标普500刷新收盘纪录,第一财经
84,2021-12-13,“买买买”的水电之王，稳稳的10%幸福,虎嗅网
85,2021-12-12,【建投公用环保】中央经济会议提出新增可再生能源不纳入能耗双控考核指标,能源交运万维网
86,2021-12-11,绿电板块开盘拉升，长江电力涨停,36氪
87,2021-12-11,中国长江电力股份有限公司发行股份、发行可转换公司债券及支付现金购买资产并募集配套资金暨关联交易预案摘要,证券时报
88,2021-12-11,中国长江电力股份有限公司 关于重大资产重组一般风险提示 暨股票复牌公告,中证报
89,2021-12-10,长江电力拟收购云川公司100%股权 控股总装机容量将增长57%,上证报
90,2021-12-10,盘后公告集锦|炸雷！三连板“元宇宙”概念股要被ST？事涉控股股东非经营性资金占用,财联社
91,2021-12-10,晚间要闻2021年12月10日星期五,Wind
92,2021-12-10,公告精选：紫光集团重整确定战略投资者；长江电力拟并购云川公司，水电装机规模将大幅提升,e公司
93,2021-12-10,长江电力：拟并购云川公司 控股水电装机规模将大幅提升,e公司
