67,2021-11-08,坚朗五金(002791.SZ)拟开展票据池业务 额度不超过8亿元,智通财经
68,2021-11-08,坚朗五金接受20家机构调研！短期主力资金净流入，市场资金或早已察觉,每日经济新闻
69,2021-11-06,建材行业全线涨价：经销商称一天一个价,Wind
70,2021-11-04,坚朗五金(002791)：规模效应继续表现 内生优化对冲风险,新浪
71,2021-11-04,坚朗五金：标准类产品根据材料价格，视需要做不定期调价,乐居财经
72,2021-11-02,坚朗五金：国盛证券、国盛证券等32家机构于10月28日调研我司,证券之星
73,2021-10-31,坚朗五金接受24家机构调研！短期主力资金净流入，市场资金或早已察觉,每日经济新闻
74,2021-10-28,华西证券给予坚朗五金买入评级：品类拓展强劲成本承压，现金流边际好转,每日经济新闻
75,2021-10-28,华西证券：给予坚朗五金买入评级，目标价位178.15元,证券之星
76,2021-10-28,中泰证券维持坚朗五金买入评级：收入利润同步高增，现金流压力望逐步缓解,每日经济新闻
77,2021-10-28,国盛证券维持坚朗五金买入评级：Q3收入快速增长，经营效率继续提升,每日经济新闻
78,2021-10-28,国盛证券：给予坚朗五金买入评级,证券之星
79,2021-10-28,坚朗五金：货币资金降42%，经营现金流为负 | 季报拆解,乐居财经
80,2021-10-28,坚朗五金：前三季度实现净利7.05亿元 同比增长40.47%,中证网
81,2021-10-27,坚朗五金2021年前三季度净利润同比增长40.47%,北京商报
82,2021-10-27,坚朗五金：第三季度净利3.26亿元 同比增20.4%,财联社
83,2021-10-27,坚朗五金(002791.SZ)：第三季度净利升20.40%至3.26亿元,格隆汇
84,2021-10-27,图解坚朗五金三季报：第三季度单季净利润同比增20.40%,证券之星
85,2021-10-27,坚朗五金前三季度净利润7.05亿元，同比增40.47%,乐居财经
86,2021-10-27,坚朗五金：2021年第三季度净利润约3.26亿元，同比增长20.4%,每日经济新闻
87,2021-10-27,坚朗五金：前三季度净利润同比增长40.47%,Wind
88,2021-10-27,基础材料行业：原材料压制3Q21盈利 龙头凸显性价比,新浪
89,2021-10-27,建筑材料周观点：房地产税改革试点推进 关注建材龙头核心竞争优势,新浪
90,2021-10-25,建材行业2021年三季报业绩前瞻：玻纤景气持续 水泥产业链成本压力显现,新浪
91,2021-10-25,建筑材料行业研究周报：消费建材如期迎来反弹 后续持续性如何？,新浪
92,2021-10-24,建筑材料每周观点：水泥需求走弱价格企稳 持续推荐消费建材龙头,新浪
93,2021-10-23,银行股地产股轮番发力，低估值板块资金关注度提升,Wind
94,2021-10-22,建材板块二度拉升，坚朗五金上板、东方雨虹冲击涨停,Wind
95,2021-10-22,坚朗五金股价涨停 现报151.46元,乐居财经
96,2021-10-22,消费建材板块造好，坚朗五金首板,Wind
97,2021-10-22,快讯：坚朗五金涨停 报于151.46元,金融界
98,2021-10-22,银行、地产轮番发力，低估值的春天又要来了？,Wind
99,2021-10-20,9月国家统计局建材行业数据点评：基建投资预期改善 水泥、玻璃韧性延续,新浪
100,2021-10-19,61家公司获机构调研（附名单）,证券之星
101,2021-10-18,基础材料和工程服务行业周观点：水泥回调后买点显现 玻璃库存下降,新浪
102,2021-10-18,建材行业北上资金周报,新浪
103,2021-10-18,45家公司获机构调研（附名单）,证券之星
104,2021-10-18,建筑材料行业周报：价格持续上涨 Q4盈利弹性可期 继续推荐水泥板块,新浪
105,2021-10-16,明星机构国庆节后调研多家上市公司,Wind
106,2021-10-15,30家公司获机构调研（附名单）,证券时报网
107,2021-10-14,坚朗五金接受19家机构调研！短期主力资金净流入，市场资金或早已察觉,每日经济新闻
108,2021-10-14,坚朗五金：长江证券、长信基金等23家机构于10月12日调研我司,证券之星
109,2021-10-12,148家公司获机构调研（附名单）,证券之星
110,2021-10-11,建材行业周报：水泥供需失衡 关注价格洼地补涨机会,新浪
111,2021-10-10,最神秘华尔街大鳄出手，疯狂调研A股公司！,Wind
112,2021-10-09,2021年10月金股,新浪
113,2021-10-07,建筑材料行业周报：专项债发行有望继续提速 水泥/玻纤高景气延续,新浪
114,2021-09-30,非金属建材行业10月投资策略：水泥玻纤涨价超预期 关注限电后续变化,新浪
115,2021-09-30,建材行业投资专题：“新结构、新机遇”下的“分化与进化”,新浪
116,2021-09-30,坚朗五金接受7家机构调研，将扩充集成配套产品线,阿尔法工场
117,2021-09-30,申万宏源：予坚朗五金(002791.SZ)“买入”评级 立足“坚朗平台” 打开万亿市场,智通财经
118,2021-09-29,坚朗五金(002791)：立足“坚朗平台” 打开万亿市场,新浪
119,2021-09-29,坚朗五金：花旗银行、Dymon Asia Capital等7家机构于9月28日调研我司,证券之星
120,2021-09-28,北向掘金9月28日战绩榜：坚朗五金强势涨停！露天煤业、东华能源、亚厦股份、新产业等涨幅超过5%,新浪
121,2021-09-28,坚朗五金联手帅康电气，开启全品类、全渠道、全方位战略合作,乐居财经
122,2021-09-28,9月28日坚朗五金涨停分析：垃圾分类，装修装饰概念热股,证券之星
123,2021-09-28,坚朗五金收报141.56元涨10.0% 总市值455.2亿元,乐居财经
124,2021-09-28,建材行业周报：双限范围扩大 水泥供需矛盾加剧,新浪
125,2021-09-28,坚朗五金股价涨停 现报141.56元,乐居财经
126,2021-09-28,消费建材板块造好，坚朗五金首板,Wind
127,2021-09-28,快讯：坚朗五金涨停 报于141.56元,金融界
128,2021-09-26,建筑材料行业：水泥价格继续大涨 供给主线不变,广发证券
129,2021-09-26,建筑材料周观点：限产核心源于缺电 进入十月更重自上而下,新浪
130,2021-09-26,建筑材料行业周报：继续推荐水泥 布局高性价比玻纤及品牌建材龙头,新浪
131,2021-09-25,22只个股股东户数骤降，谁在抢筹？,Wind
132,2021-09-25,坚朗五金：公司所在地区按政策要求实施错峰用电,每日经济新闻
133,2021-09-23,坚朗五金：公司订单较为零散，主要为小B类业务，大多是与施工单位进行交易，较少与地产直接交易,每日经济新闻
