,2021-12-31,恩捷股份、天赐材料、璞泰来，谁是盈利能力最强的电池化学品企业？,Ofweek
736,2021-05-30,本周操盘攻略：这个重磅数据将公布，人民币升值预期助推A股回归上升通道,Wind
737,2021-05-30,电气设备行业周报：异质结转换效率再创记录 美国电动车补贴政策进一步升级,新浪
738,2021-05-29,下周491亿市值限售股解禁，环比增加42.97% 解禁,Wind
739,2021-05-28,璞泰来：高级管理人员冯苏宁减持计划完成，减持股份约94万股,每日经济新闻
740,2021-05-28,璞泰来：高级管理人员冯苏宁减持0.1351%公司股份 减持股份,Wind
741,2021-05-28,璞泰来(603659.SH)：高管冯苏宁减持完毕 累计减持93.8万股 减持股份,格隆汇
742,2021-05-28,璞泰来（603659.SH）首板,Wind
743,2021-05-26,璞泰来(603659.SH)股东冯苏宁累计减持78.5万股 减持数量过半 减持股份,智通财经
744,2021-05-26,璞泰来(603659.SH)：高管冯苏宁减持量过半累计减持78.5万股 减持股份,格隆汇
745,2021-05-26,璞泰来：冯苏宁合计减持0.1130%公司股份 减持股份,Wind
746,2021-05-26,A股收盘综述：上证指数涨0.34%，创业板指跌0.95%,Wind
747,2021-05-26,A股午盘综述：上证指数涨0.29%，创业板指跌逾1%,Wind
748,2021-05-25,公共领域用车未来将全面实现电动化，三条主线布局投资机会丨牛熊眼,第一财经
749,2021-05-25,璞泰来：冯苏宁、齐晓东减持计划时间已过半,每日经济新闻
750,2021-05-25,晚间重要公告2021年5月25日星期二,Wind
751,2021-05-25,璞泰来(603659.SH)两股东已减持79.43万股 减持时间过半 减持股份,智通财经
752,2021-05-25,璞泰来：齐晓东、冯苏宁合计减持79.43万股 减持股份,Wind
753,2021-05-25,电力设备与新能源行业：电动车车型驱动锂电供不应求全面超预期 光伏和工控龙头强者恒强,新浪
754,2021-05-25,首创证券--电气设备行业简评报告：新能源装机下限预期加强，硅料仍将贯穿全年主题【行业研究】,金融界股吧
755,2021-05-25,新能源汽车行业策略报告：碳中和大势已定 电动化进程加速,新浪
756,2021-05-25,电气设备行业周观点：新能源政策落地 21年风光装机100GW以上,新浪
757,2021-05-24,4月新能源车市场高景气延续、动力电池Top10企业所占市场份额下降 经营问题,Ofweek
758,2021-05-24,【申港电新|周观点】我国4月新能源车市场高景气延续,新能源深度研究
759,2021-05-24,18股获券商买入评级，新亚强目标涨幅达49%,Wind
760,2021-05-24,【方正电新丨周观点】光伏材料价格全线上涨，新能源车相关政策持续推进,申建国电新团队
761,2021-05-23,安信电新：锂电材料验证板块高景气，新政落地风光起量在即,科创板日报
762,2021-05-21,东吴证券--电动车行业点评：特斯拉及造车新势力：一季度盈利水平回升，21年高增长可期，供应链受益【行业研究】,金融界股吧
763,2021-05-21,德方纳米(300769)：业绩符合预期 经营触底回升,新浪
764,2021-05-21,电动车2021年4月专题报告：车展新车型引爆需求 长期高增长可期,新浪
765,2021-05-21,【东吴晨报0521】【固收】【宏观】【行业】电新【个股】名创优品,东吴研究所
766,2021-05-21,【电新*曾朵红】特斯拉及造车新势力：一季度盈利水平回升，21年高增长可期，供应链受益,东吴研究所
767,2021-05-20,电力设备新能源行业：能源指导工作意见出炉 车展智能化+铁锂打造爆款,广发证券
768,2021-05-20,中信证券：拜登力推汽车电动化，产业链中上游的中国优质供应商有望继续受益,Wind
769,2021-05-19,前4月新能源汽车产销量均超70万辆，产业链高景气度有望持续（附股）丨牛熊眼,第一财经
770,2021-05-19,璞泰来：监事王晓明累计减持公司37万股 减持股份,Wind
771,2021-05-19,璞泰来(603659.SH)：监事王晓明提前终止减持计划 已减持37万股,格隆汇
772,2021-05-19,精细化工板块午后涨幅明显,Wind
773,2021-05-19,东吴证券--电气设备：海外动力电池21Q1详细点评：LG盈利大幅提升，在美产能扩张提速【行业研究】,金融界股吧
774,2021-05-19,电力设备与新能源行业专题策略报告：碳中和势在必行 新能源领域迎发展机遇,新浪
775,2021-05-19,周报（2021.5.19）：Q2环比预期不宜太高，但Q2仍是电动车中上游建仓机会,电新产业研究
776,2021-05-18,新能源汽车行业：4月渗透率创新高 新势力份额环比提升,广发证券
777,2021-05-18,电气设备行业简评报告：迎接行业风口 产能扩张为王,新浪
778,2021-05-18,【银河电新周然】行业周报丨4月电动车销量延续高景气度 硅片减薄应对硅料价格高企,中国银河证券研究
779,2021-05-17,电力设备：电车景气依旧 光伏拐点已现,新浪
780,2021-05-16,新能源汽车行业2021年度中期策略：智能电动 车行未来,国海证券
781,2021-05-16,特斯拉产业链仍是电动车投资最强主线 | 兴业电新 · 每周观察（5月第3周 朱玥）,兴业电新
782,2021-05-14,电气设备行业点评-3月装机电量点评：装机量同环比大增 季末冲量显着,新浪
783,2021-05-14,电气设备行业-4月国内动力电池产量、装机量点评：产量环比持续增长 锂电需求旺盛-210514+,新浪
784,2021-05-14,电力设备行业：四月新能源车产销同比高增长 成长后劲充足,新浪
785,2021-05-14,锂电隔膜上市公司业绩汇总：价格逐稳盈利回暖,中国电池网
786,2021-05-14,推进负极材料一体化 璞泰来增资内蒙兴丰2.78亿元,上海有色
787,2021-05-13,新能源板块行业跟踪报告：4月新能源车销量同比增长180.3%,新浪
788,2021-05-12,电力设备与新能源产业链核心数据跟踪日报,新浪
789,2021-05-12,锂电池负极材料销量普增投资升温,中国电池网
790,2021-05-11,4月新能源乘用车同比增192.8%，三主线掘金投资机会,第一财经
791,2021-05-11,锂电负极材料上市公司业绩盘点：销量普增 投资升温,上海有色
792,2021-05-11,电新行业2020与1Q21业绩回顾：景气高涨 百花齐放,新浪
793,2021-05-11,璞泰来拟4亿加码负极材料及电池粘结剂,中国电池网
794,2021-05-11,券商晨会精华：核心资产尚未企稳继续把握顺周期行情,证券之星
795,2021-05-10,电气设备新能源行业周报：电动车销量和排产持续向好、光伏5月排产边际改善,新浪
796,2021-05-10,璞泰来：子公司内蒙兴丰拟吸收合并内蒙紫宸,格隆汇
797,2021-05-10,璞泰来(603659.SH)拟向内蒙兴丰增资并由其吸收合并内蒙紫宸,格隆汇
798,2021-05-10,电气设备行业：板块业绩表现靓丽 光伏、新能源车产业链持续高景气,新浪
799,2021-05-10,【方正电新丨周观点】欧洲新能车增势持续强劲，央企光伏组件开标逐步推进,申建国电新团队
800,2021-05-10,安信证券--电力设备行业：政策奠定高增长，车企引领大方向【行业研究】,金融界股吧
801,2021-05-10,电力设备与新能源行业周观察：全球电动化推动产业链出海 国内光伏需求有望逐步启动,新浪
802,2021-05-10,锂电池行业2021年中期投资策略：上升周期渐入佳态 重龙头和弹性环节,新浪
803,2021-05-10,新能源汽车行业周报：北上广等六城市成智能网联汽车第一批试点城市,渤海证券
804,2021-05-10,电力设备新能源行业周报：电车周期启动 需求边际向好,新浪
805,2021-05-10,汽车行业2020年报及2021一季报业绩综述：Q1业绩改善 全年行业复苏可持续,渤海证券
806,2021-05-10,新能源车行业动态报告：终端销量井喷 行业高确定快增长,新浪
807,2021-05-10,【电新*曾朵红】电动车20年及21年一季报总结——下游需求强劲，板块盈利逐季大幅提升,东吴研究所
808,2021-05-07,电力设备新能源行业：一季度光伏高质量发展 关注储能市场边际变化,广发证券
809,2021-05-07,璞泰来(603659)：盈利水平超预期 各业务发展持续向好,新浪
810,2021-05-06,杉杉股份多元化之“问”,证券市场周刊
811,2021-05-06,电力设备新能源行业2020年报及2021年一季报综述：碳中和成就行业高景气 上游价格变动或成择时关键,光大证券
812,2021-05-02,外资重金押注锂电池龙头 业绩持续爆发股仅31只,新浪
813,2021-04-30,上海车展复盘&最新排产跟踪：电动车型大周期启动 拥抱电动化时代,新浪
814,2021-04-27,北向资金连续三日净买入，持续加仓新能源股,Wind
815,2021-04-27,新能源汽车行业点评：特斯拉Q1盈利创新高 中国市场表现亮眼,新浪
816,2021-04-27,【牛人重仓】璞泰来:15日、30日、60日、120日北向资金增仓形成共振，今日资金流入-148.95万元，北向资金持股2861.67万股，融资余额32145.8万元；前3个交易日，北向资金增持853.12万股，融资额增加575.3万元，主力资金净流入-7777.81万元,每日经济新闻
817,2021-04-26,新能源汽车行业周报：上海车展开幕 电动化、智能化加速行业变革,渤海证券
818,2021-04-26,电力设备新能源行业：能源指导工作意见出炉 车展智能化+铁锂打造爆款,广发证券
819,2021-04-26,电气设备行业简评报告：光伏行业景气度仍在 Q1业绩普遍超预期,新浪
820,2021-04-22,璞泰来：公司将加速负极材料一体化进程,Wind
821,2021-04-21,璞泰来：累计收到政府补助7609.87万元,中证网
822,2021-04-21,璞泰来(603659.SH)及子公司累计获政府补助7609.87万元,智通财经
823,2021-04-21,璞泰来：贵州阔能减持0.5531%公司股份，提前终止减持计划,Wind
824,2021-04-21,安信证券--电力设备行业动态分析：ARCFOX上市！从造车盛宴观电动车提速【行业研究】,金融界股吧
825,2021-04-21,光大证券--汽车行业2021年华为智能汽车解决方案HI新品发布会点评：华为Inside汽车，中国Tier1崛起，产业链重构进行时【行业研究】,金融界股吧
826,2021-04-20,4月20日晚间重要行业研究汇总(附股),中金在线
827,2021-04-20,首创证券--电气设备行业简评报告：光伏产业链博弈持续，关注高镍正极快速增长【行业研究】,金融界股吧
828,2021-04-19,4月19日晚间重要行业研究汇总(附股),中金在线
829,2021-04-19,渤海证券--新能源汽车行业周报：多家车企发布新能源车型，车型供给增加【行业研究】,金融界股吧
830,2021-04-18,璞泰来(603659.SH)2020年度权益分派10转4派4.1元股权登记日为4月23日,格隆汇
831,2021-04-18,璞泰来(603659.SH)将于4月26日实施2020年权益分派 每股转0.4股派0.41元,智通财经
832,2021-04-14,杀茅上演连续剧！慌了？看看张坤、刘格菘、赵诣等大佬调仓新动作,格隆汇
833,2021-04-14,信达证券--璞泰来：Q1业绩高增长，龙头地位巩固【公司研究】,金融界股吧
834,2021-04-14,最新数据显示：明星基金经理正买入这些个股,Wind
835,2021-04-14,动力电池板块普涨，石大胜华、天赐材料等多股造好,Wind
836,2021-04-14,东吴证券--璞泰来2021年一季报点评：多点开花，各项业务均超市场预期【公司研究】,金融界股吧
837,2021-04-14,顶流基金经理持仓动态来了,中金在线
838,2021-04-14,明星基金经理“新宠”名单曝光，释放两大投资信号,Wind
839,2021-04-13,浙商证券--新能源行业专题报告：新能源汽车及锂电系列之五，3月装机维持高增速【行业研究】,金融界股吧
840,2021-04-13,东吴证券--电动车3月销量点评：A00及高端车型需求强劲，销量超市场预期【行业研究】,金融界股吧
841,2021-04-13,万联证券--电气设备行业周观点：新能源汽车三月产销高增，风电Q1招标大超预期【行业研究】,金融界股吧
842,2021-04-13,平安证券--璞泰来：盈利能力大幅改善，一季度业绩超预期【公司研究】,金融界股吧
843,2021-04-13,78股获券商买入评级 长盈精密目标涨幅达87.34%,Wind
844,2021-04-12,新能车销量翻番 谁的机会更大？,中金在线
845,2021-04-12,璞泰来(603659)：业绩略超预期 持续看好一体化布局进程下的竞争力,新浪
846,2021-04-12,2021年3月汽车销量跟踪报告：行业进入主动补库 高景气度延续,光大证券
847,2021-04-12,汽车行业月报：车市延续复苏 关注绩优股,渤海证券
848,2021-04-12,冠军基金经理增持振芯科技、璞泰来 葛兰加仓张坤和归凯减仓通策医疗,每日经济新闻
849,2021-04-12,璞泰来(603659)一季报分析：出货景气、盈利提升 各项业务共振向上,新浪
850,2021-04-12,【方正电新】璞泰来一季报点评：降本效果显着，业绩超预期,申建国电新团队
851,2021-04-12,电力设备新能源行业：光伏迈入平价阶段 3月新能源车产销同比高增,广发证券
852,2021-04-12,璞泰来(603659)2021年一季报点评：Q1盈利创新高 负极持续看涨,新浪
853,2021-04-12,2020年国内双积分考核结果透露何种信息？ 璞泰来Q1业绩超预期,新浪
854,2021-04-12,上海璞泰来新能源科技股份有限公司2021第一季度报告,证券时报
855,2021-04-11,亮眼！璞泰来：2021年第一季度净利润约3.35亿元，同比增加260.21%,每日经济新闻
856,2021-04-11,“冠军”基金经理赵诣放大招 6亿狂买这两只股！,中国基金报
857,2021-04-11,【方正电新丨周观点】3月动力电池装机量9.0GWh环增61.3%，光伏户用度电补贴延续,申建国电新团队
858,2021-04-11,璞泰来(603659.SH)一季度净利润升260.21%至3.35亿元,格隆汇
859,2021-04-11,璞泰来：一季度净利润同比增长260.21%,Wind
860,2021-04-11,2021年3月欧洲新能源车销量点评：持续超预期 电动之势如破竹,新浪
861,2021-04-09,新能源板块行业跟踪报告：欧洲六国3月电动车销量同环比高增,新浪
862,2021-04-09,璞泰来现1笔大宗交易 共成交419.50万元,新浪
863,2021-04-09,璞泰来今日大宗交易成交4.20万股，成交价99.88元溢价0.0%,Wind
864,2021-04-09,电力设备：单月预计23万辆 欧洲电动化的3月狂飙,新浪
865,2021-04-09,开源证券--电气设备行业周报：电动车多重因素向上，光伏价格松动后买成长【行业研究】,金融界股吧
866,2021-04-08,电力设备及新能源行业3月行业动态报告：双碳目标加速落实 光伏成本上涨倒逼技术变革,新浪
867,2021-04-08,中国银河证券维持电力设备及新能源行业推荐评级：双碳目标加速落实，光伏成本上涨倒逼技术变革,每日经济新闻
868,2021-04-07,电力设备新能源行业周报：玻璃降价有望激发光伏装机 深圳发布新能源车规划,广发证券
869,2021-04-07,造车新势力销售数据喜人,财富动力网
870,2021-04-06,电气设备行业：小米布局新能源汽车领域 光伏玻璃价格回调,新浪
871,2021-04-06,电力设备新能源行业每周观察：连续第三周 看多电动车板块机会,新浪
872,2021-04-06,申港证券--电气设备行业周报：全国碳交易市场势在必行【行业研究】,金融界股吧
873,2021-04-06,珠海冠宇科创板IPO中止 IPO融资异常,上海有色
874,2021-04-05,【方正电新丨周观点】造车新势力销量继续高增，光伏玻璃4月价格下调,申建国电新团队
875,2021-04-05,王革：碳中和趋势下，新能源迎来历史性机遇,中信建投证券研究
876,2021-04-01,化工、电力电气设备行业电动车中游产业链2月回顾：淡季不淡 量增价稳,新浪
877,2021-03-31,璞泰来现1笔大宗交易 共成交617.50万元,新浪
878,2021-03-31,璞泰来今日大宗交易成交6.50万股，成交价95.0元溢价0.0%,Wind
879,2021-03-31,"璞泰来：随着安装调试及验收的逐步完成,这部分发出商品将转化为主营业务收入",每日经济新闻
880,2021-03-30,电力设备新能源2021年4月投资策略：光伏、锂电关注短期下游需求 产业链价值分配待回归,新浪
881,2021-03-30,新能源汽车行业周报：智慧城市与智能网联汽车协同发展 车联网加速,渤海证券
882,2021-03-30,首创证券--电气设备行业深度报告：供应链一季报业绩抢眼，新能源汽车景气度维持【行业研究】,金融界股吧
883,2021-03-30,电气设备行业周报：中上游原材料价格企稳 龙头电池厂业绩确定性进一步夯实,新浪
884,2021-03-30,东吴证券：碳达峰、碳中和目标引领，光伏和电动车发展提速,证券时报网
885,2021-03-30,【电新*曾朵红】碳达峰、碳中和目标引领，光伏和电动车发展提速,东吴研究所
886,2021-03-29,公募基金年报陆续发布，百亿基金经理的隐形重仓股浮出水面,第一财经
887,2021-03-29,电气设备行业周报：电动车景气度较好 超额收益看业绩成长,新浪
888,2021-03-29,社保基金长期重仓股名单曝光（附股）,证券时报网
889,2021-03-29,电气设备行业周报：筑底接近尾声 强烈看好新能源板块后续行情,新浪
890,2021-03-29,华安证券--电气设备行业周报：一季报逐步兑现高增长，原材料涨价压力暂缓【行业研究】,金融界股吧
891,2021-03-29,【申港电新|周观点】政策推动储能行业进入规模化发展阶段,新能源深度研究
892,2021-03-29,电气设备行业周报：风电全球需求有望稳定增长 电车中游龙头业绩符合预期,新浪
893,2021-03-29,西部证券给予璞泰来增持评级，2020年报点评：业绩符合预期，市占率稳步提升,每日经济新闻
894,2021-03-28,【方正电新丨周观点】新能车产业链迎业绩披露期，光伏上游材料价格涨价趋缓,申建国电新团队
895,2021-03-28,电气设备新能源：电动车产销旺盛 关注材料端业绩兑现,新浪
896,2021-03-27,龙蟒佰利跨界锂电池：2.92亿收购亏损企业 亏损,中国经营报
897,2021-03-26,又是硅基负极：小米快充“黑科技” 与特斯拉的不一样在哪？,新浪
898,2021-03-26,社保基金连续持有25股最长已持有33个季度,证券时报网
899,2021-03-26,东阳光：拟与璞泰来合作开展PVDF产品研发和市场拓展,中证网
900,2021-03-26,16只高增长个股获机构高频买入推荐,Wind
901,2021-03-26,高增长，并获机构高频买入推荐股名单来了,中国基金报
902,2021-03-25,璞泰来拟7500万元增资东阳光氟树脂 扩大PVDF及其原材料配套产能,证券时报
903,2021-03-25,东阳光(600673.SH)签署投资框架协议放弃东阳光氟树脂增资优先认购权,格隆汇
904,2021-03-25,东阳光(600673.SH)拟与璞泰来就PVDF在新能源锂电池领域应用战略合作,智通财经
905,2021-03-25,璞泰来：拟取得东阳光氟树脂60%股权,e公司
906,2021-03-25,璞泰来：拟取得东阳光氟树脂60%股权,Wind
907,2021-03-25,璞泰来(603659.SH)签订投资框架协议 拟认购东阳光氟树脂新增注册资本7500万元,格隆汇
908,2021-03-25,16只高增长个股获机构高频买入推荐，14股后市上涨空间超两成,证券时报网
909,2021-03-25,东吴证券--机械设备行业跟踪周报：建议关注景气持续旺盛的机床、估值回落的新能源板块相关标的【行业研究】,金融界股吧
910,2021-03-25,社保基金长线坚守20只股（附股）,证券时报网
911,2021-03-25,90股获券商买入评级 佳力图目标涨幅达114.13%,Wind
912,2021-03-24,电气设备行业报告：下游景气度持续 关注锂电中游行情,新浪
913,2021-03-23,璞泰来(603659)：产能加速扩张 龙头壁垒进一步强化,新浪
914,2021-03-23,社保基金长期坚守股曝光，32股连续持有至少一年,Wind
915,2021-03-23,社保基金长期坚守股票曝光，32股连续持有至少一年,证券时报
916,2021-03-23,电力设备与新能源行业周观点：“风光”1-2月装机大增 电动车C端市场发力,新浪
917,2021-03-23,中信证券：中国锂电池供应商有望凭借产业链优势，加速走向全球,证券时报网
918,2021-03-23,社保基金去年四季度重仓股揭秘（附股）,证券之星
919,2021-03-23,电力设备新能源行业每周观察：如何看待年初以来电网投资大幅度增长,新浪
920,2021-03-22,电气设备行业周报：业绩预告反映行业高景气 未来电动车持续性好,新浪
921,2021-03-22,监管趋严，高送转成凤毛麟角，后市如何玩？,Wind
922,2021-03-22,织，从否定到肯定、再到否定之否定，璞泰来的股价能否在“百元户”里坐实，那就看2021年的表现了。,财华社
923,2021-03-22,中银证券--璞泰来：年报业绩符合预期，一体化产能深化布局【公司研究】,金融界股吧
924,2021-03-22,社保基金长线坚守30只股（附股）,证券时报网
925,2021-03-22,璞泰来增收容易增利难,证券市场周刊
926,2021-03-22,电气设备行业周报：新能源筑底阶段 强烈推荐各细分领域龙头,新浪
927,2021-03-21,【方正电新丨周观点】碳中和加速新能源发展，光伏上下游景气度分化,申建国电新团队
928,2021-03-21,璞泰来(603659)2020年报点评：各业务持续向上 扩产加速进行时,新浪
929,2021-03-19,券商评级：三大指数下跌 九股迎来掘金良机,证券之星
930,2021-03-19,社保基金持仓动向：新进6股，持有23股超4个季度,Wind
931,2021-03-18,上海证券维持璞泰来增持评级：业绩符合预期，产能加速扩张,每日经济新闻
932,2021-03-18,璞泰来(603659)2020年年报点评：减值影响利润 景气提升趋势明显,新浪
933,2021-03-18,璞泰来(603659)年报点评报告：负极盈利能力超预期 大规模扩产转变战略,新浪
934,2021-03-18,东兴证券：璞泰来（603659.SH）一体化效果凸显，维持“推荐”评级,智通财经
935,2021-03-18,东兴证券维持璞泰来推荐评级：一体化效果凸显，积极扩产打造综合服务供应商,每日经济新闻
936,2021-03-18,安信证券：璞泰来（603659.SH）各项业务稳步发展，维持公司“买入-A”评级,智通财经
937,2021-03-18,晨会聚焦210318重点关注碧桂园服务、新能源汽车产业、璞泰来、柏楚电子、苏试试验、方大特钢,国信研究
938,2021-03-18,安信证券维持璞泰来买入评级：各项业务稳步发展，一体化建设加速推进,每日经济新闻
939,2021-03-18,78股获券商买入评级 三七互娱目标涨幅达93.35%,Wind
940,2021-03-18,璞泰来(603659)：布局上游增厚利润 积极扩产稳固龙头优势,新浪
941,2021-03-17,国信证券维持璞泰来增持评级，2020年年报点评：业绩符合预期，一体化产能释放,每日经济新闻
942,2021-03-17,【万联电新 | 璞泰来】年报点评：产能大幅扩张，盈利有望持续高增,万联证券研究所
943,2021-03-17,璞泰来(603659)2020年报点评：全年业绩稳健 一体化优势彰显,新浪
944,2021-03-17,电力设备新能源行业：政策推进解决风光欠补 2月新能源汽车产销增速新高,广发证券
945,2021-03-17,社保基金连续持有22股最长已持有22个季度,证券时报网
946,2021-03-17,A股异动 | 璞泰来(603659.SH)续涨5% 绩后获券商唱好,格隆汇
947,2021-03-17,璞泰来(603659)2020年财报点评：四季度业绩改善 扩产持续推进,新浪
948,2021-03-17,国元证券--璞泰来：全年业绩稳健，一体化优势彰显【公司研究】,金融界股吧
949,2021-03-17,璞泰来(603659)：盈利能力稳定 扩产展望乐观,新浪
950,2021-03-17,电力电气设备行业大众POWER DAY点评：推进电池降本、加码产能布局、构建能源生态,新浪
951,2021-03-17,野村国际(香港)--璞泰来：四季度业绩改善，扩产持续推进【公司研究】,金融界股吧
952,2021-03-17,89股获券商买入评级，新乡化纤目标涨幅达89.54%,Wind
953,2021-03-17,平安证券给予璞泰来推荐评级，业绩短期休整，聚焦扩产和一体化,每日经济新闻
954,2021-03-17,璞泰来(603659)：业绩符合预期 减值计提影响Q4利润,新浪
955,2021-03-16,璞泰来(603659)：负极出货量稳增长 涂覆膜市占率较高,新浪
956,2021-03-16,璞泰来(603659)：经营现金流显着改善 负极材料全工序产能扩张,新浪
957,2021-03-16,风雨欲来！减值“雷”迎第二弹,Wind
958,2021-03-16,电气设备行业周报：板块调整基本到位 强烈推荐各细分领域龙头,新浪
959,2021-03-16,【东吴电新】璞泰来2020年年报点评：减值损失影响利润增速，未来扩产提速,新兴产业汇
960,2021-03-16,东吴证券--璞泰来2020年年报点评：减值损失拖累业绩，未来扩产提速【公司研究】 盈利能力下降,金融界股吧
961,2021-03-16,璞泰来(603659)2020年年报点评：业绩符合预期 战略继续纵向延伸,新浪
962,2021-03-16,电力设备与新能源行业周观点：大幅增加风光发电规模 减少光伏落后产能,新浪
963,2021-03-16,申港证券--电气设备及新能源行业周报：中欧2月新能源车销量韧性强劲【行业研究】,金融界股吧
964,2021-03-16,电力设备与新能源行业周观察：2月新能源汽车销量同比高增长 五部委引导加大对风电、光伏企业的金融支持力度,新浪
965,2021-03-16,璞泰来(603659)年报点评：业绩短期休整 聚焦扩产和一体化,新浪
966,2021-03-15,璞泰来2020年净利润同比增长3% 拟10转4派4.1元,上证报
967,2021-03-15,璞泰来(603659.SH)年度归母净利同比增2.54%至6.68亿元 拟10股转增4股派4.1元,智通财经
968,2021-03-15,璞泰来(603659.SH)：2020年计提资产减值准备1.24亿元 资产异常,格隆汇
969,2021-03-15,璞泰来：2020年净利同比增2.54% 拟10转4派4.1元,e公司
970,2021-03-15,璞泰来(603659.SH)2020年度净利润升2.54%至6.68亿元 拟10转4派4.1元,格隆汇
971,2021-03-15,璞泰来：2020年净利润同比增长2.54%,Wind
972,2021-03-15,东吴证券--电动车2月销量点评：高端车型需求强劲，整体销量符合预期【行业研究】,金融界股吧
973,2021-03-15,【电新*曾朵红】电动车Q1销量超市场预期，龙头业绩超高增长——电动车2021年2月专题报告,东吴研究所
974,2021-03-14,【东吴电新】电动车2021年2月专题报告：电动车Q1销量超市场预期，龙头业绩超高增长,新兴产业汇
975,2021-03-14,长盈精密：新能源业务有望带来公司业绩和估值双升,投资家
976,2021-03-14,2021年2月国内新能源车销量点评：淡季不淡 持续看好,新浪
977,2021-03-14,电力设备新能源行业：原材料涨价 利润再分配 龙头收份额 格局更清晰,新浪
978,2021-03-14,新能源车周报：2月国内新能源车产销同比分别增723.6%和584.7%,新浪
979,2021-03-12,电力设备与新能源行业月报：“双碳”写入《政府工作报告》 官方引导加大风电光伏金融支持力度,新浪
980,2021-03-12,中国银河--电力设备及新能源行业简评报告：两会圆满收官“双碳”或将重构全球制造业【行业研究】,金融界股吧
981,2021-03-12,2021年2月汽车销量跟踪报告：低基数放大行业复苏趋势,光大证券
982,2021-03-12,新能源行业专题报告-新能源汽车及锂电系列之四：2月装机景气度持续,新浪
983,2021-03-12,浙商证券--新能源行业专题报告：新能源汽车及锂电系列之四：2月装机景气度持续【行业研究】,金融界股吧
984,2021-03-12,【电气设备*曾朵红】销量、业绩均表现亮眼，开启新战略周期,东吴研究所
985,2021-03-11,造车新势力2020年报点评：销量、业绩均表现亮眼，开启新战略周期,新兴产业汇
986,2021-03-10,开源晨会0310丨2月国内新能源汽车淡季不淡，持续看好新能源汽车产业链；中天科技、道通科技、利安隆,开源证券研究所
987,2021-03-10,新能源汽车行业周报：欧洲2月电动车销量表现稳定,新浪
988,2021-03-09,安信证券--电力设备：欧洲电车2月同比再高增，群雄逐鹿格局加速形成【行业研究】,金融界股吧
989,2021-03-08,电力设备：“碳中和”各项规划加速落地 欧洲电车2月同比再高增,新浪
990,2021-03-08,璞泰来：拟超140亿元在邛崃市投资建设新能源电池材料全产业链项目,金融界
991,2021-03-08,璞泰来(603659.SH)与邛崃市政府就投建新能源电池材料全产业链项目签订战略合作协议,格隆汇
992,2021-03-08,新能源汽车产业链行业周报(3月第1周)：青山转产高冰镍致镍价回落 产业链成本压力缓解,新浪
993,2021-03-08,光大证券--海外电动车行业专题系列三：三星SDI：资深锂电池供应商，消费动力齐头并进【行业研究】,金融界股吧
994,2021-03-05,新能源板块行业跟踪报告：欧洲六国2月电动车销量同比增长,新浪
995,2021-03-05,璞泰来投资超140亿元扩产锂电材料！,长江有色
996,2021-03-05,璞泰来8000万投建20万吨负极材料和石墨化一体化项目,集邦新能源网
997,2021-03-05,亿万富豪的“赌局”：豪掷140亿加码新能源,中国能源网china5e
998,2021-03-05,璞泰来并购扩张成锂电材料龙头 推140亿扩产加速抢占市场,长江商报
999,2021-03-03,璞泰来：拟投建四川生产基地项目,e公司
1000,2021-03-03,璞泰来(603659.SH)：拟投建20万吨负极材料和石墨化一体化项目等等,格隆汇
1001,2021-03-03,“碳中和”系列解读纪要——电力新能源,云掌财经
1002,2021-03-03,新能源汽车行业：1月产销同比高增 双积分提振销量预期,广发证券
1003,2021-03-03,电气设备行业点评-蔚来汽车年报点评：全年毛利率转正 销量高增长开启,新浪
1004,2021-03-03,东吴证券--机械设备行业跟踪周报：建议重点关注制造业复苏受益标的，宁德时代百亿扩产利好锂电设备供应商【行业研究】,金融界股吧
1005,2021-03-02,电力设备新能源行业每周观察：需求持续增长 板块景气度继续向上,新浪
1006,2021-03-01,渤海证券--新能源汽车行业周报：上海发布实施计划加快新能源汽车产业发展【行业研究】,金融界股吧
1007,2021-03-01,申港证券--电气设备行业周报：硅片提价减薄对冲上游硅料涨价【行业研究】,金融界股吧
1008,2021-02-28,【方正电新丨周观点】新一轮地方性新能源车政策出炉，硅料紧缺推升硅料、硅片、电池价格,申建国电新团队
1009,2021-02-26,电力设备新能源2021年3月投资策略,新浪
1010,2021-02-26,新能源行业动态点评：CATL拟投资不超过105亿元扩建产能,新浪
1011,2021-02-25,千亿龙头罕见大跳水，牛散葛卫东5天损失1.76亿,证券时报网
1012,2021-02-25,“碳中和”主题投资系列(二)：全行业联合：谋局“碳中和”,广发证券
1013,2021-02-24,浙商早知道 | 2月25日,浙商证券研究所
1014,2021-02-24,浙商证券--新能源汽车及锂电系列之三，1月装机符合预期【行业研究】,金融界股吧
1015,2021-02-23,璞泰来今日大宗交易成交6.50万股，成交价98.7元溢价0.0%,Wind
1016,2021-02-23,璞泰来现1笔大宗交易 共成交641.55万元,新浪
1017,2021-02-22,安信证券--电力设备行业：电动车开年延续高增，碳中和部署如火如荼【行业研究】,金融界股吧
1018,2021-02-22,渤海证券--汽车行业月报：1月车市迎开门红，行业景气度延续【行业研究】,金融界股吧
1019,2021-02-22,申港证券--电气设备行业周报：中欧新能源车销量1月景气迎来开门红【行业研究】,金融界股吧
1020,2021-02-22,中国宝安：举牌热点概念成色几何？,投资家
