,2021-12-31,恩捷股份、天赐材料、璞泰来，谁是盈利能力最强的电池化学品企业？,Ofweek
66,2021-12-01,璞泰来(603659.SH)：累计收到政府补助共计约1.71亿元,格隆汇
67,2021-11-30,北向资金今日净卖出超34亿元11月累计加仓185亿，贵州茅台连续3日遭抛售,Wind
68,2021-11-30,A股收盘综述：有惊无险，沪指午后探底回升；北向资金加速撤离,Wind
69,2021-11-30,锂电池产业链午后持续下挫,Wind
70,2021-11-30,上海区域股市周报：新增1家上市公司 67家机构调研思源电气,每日经济新闻
71,2021-11-30,全国上下一盘棋 新能源政策推动储能板块持续上涨,和讯
72,2021-11-30,动力电池题材下挫明显，恩捷股份跌超8%,Wind
73,2021-11-30,北向资金动向盘点：再次转向电力设备新能源,Wind
74,2021-11-30,锂电池继续活跃，北向资金加仓电池行业8.88亿元，大幅减持这只白酒股（名单） 减持股份,21世纪经济报道
75,2021-11-30,【中证盘前】新力金融提示重组暂停、中止或取消风险,中证报
76,2021-11-29,沪港通十大成交活跃股排名（11月29日）,Wind
77,2021-11-29,北向资金今日净买入逾32亿元，这些股获加仓,第一财经
78,2021-11-29,公募基金年内新发行近2.7万亿，新能源、环保主题受热捧！,Wind
79,2021-11-29,宁德时代盘中创新高，新能源车ETF（515030）低开高走涨超1%,Wind
80,2021-11-29,璞泰来首板,Wind
81,2021-11-29,每日理财观察：新版董监高持股变动规则公开征求意见,Wind
82,2021-11-27,供不应求将持续到明年上半年！这个锂电细分赛道又火了,Wind
83,2021-11-26,涨停复盘 | 两大妖股熄火！英洛华4连板能否接棒？,第一财经
84,2021-11-26,金融街下午茶2021年11月26日星期五,Wind
85,2021-11-26,涨停板解密：政策利好，数字货币概念股逆市遭抢筹！（11月26日）,Wind
86,2021-11-26,A股收盘综述：锂电池、稀土题材大涨，数字货币概念盘中异动,Wind
87,2021-11-26,A股午盘综述：一重磅消息刺激数字货币概念午前急拉,Wind
88,2021-11-26,新能车市场已成燎原之势，璞泰来涨停，新能车ETF（159824）涨1.51%,资本邦
89,2021-11-26,锂电池概念再度活跃，璞泰来等涨停，锂价或迎来年内第三次上涨,证券时报网
90,2021-11-26,快讯：璞泰来涨停 报于182.61元,金融界
91,2021-11-26,【异动股】电池板块拉升，璞泰来(603659.CN)涨10.0%,财华社
92,2021-11-26,璞泰来首板，石墨烯股集体走强,Wind
93,2021-11-26,锂电池产业链再度拉升，璞泰来、蓝晓科技、久吾高科、科达制造等涨势强劲,Wind
94,2021-11-25,新能源汽车行业：小鹏首登新势力销冠 铁锂装机连续四月超三元,广发证券
95,2021-11-25,北向资金连续5日净买入成交额创5个月新低，再度净买入贵州茅台超3亿元,Wind
96,2021-11-25,2021年10月国内动力电池产量点评：产装继续维持高景气 三元装机有所回暖,新浪
97,2021-11-25,电气设备行业2021年10月国内新能源车销量点评：产销持续创记录 全年销量340万辆可期,新浪
98,2021-11-25,电力设备与新能源行业周报(第四十五周)：电车关注美国税收抵免政策投票结果 光伏基本面企稳向好,新浪
99,2021-11-25,10月装机电量点评：装机量环比下降 三元份额有所回升,新浪
100,2021-11-25,结构化行情松动？国际投行喊话2022年超配A股,Wind
101,2021-11-24,结构化行情松动？底部小票开始迎接“20CM盛宴”,Wind
102,2021-11-24,璞泰来：公司目前未参与上游锂矿开采,Wind
103,2021-11-24,璞泰来：公司目前未参与上游锂矿开采,每日经济新闻
104,2021-11-24,璞泰来：今年以来公司累计接受机构调研和业绩说明会共计11次，涉及机构数量132席次,每日经济新闻
105,2021-11-23,电动车2021年三季报总结：行业景气度持续 电池盈利超市场预期 涨价环节弹性较大,新浪
106,2021-11-23,3Q21锂电全球回顾：业绩分化加剧 日韩扩产提速,新浪
107,2021-11-22,电力设备与新能源行业周报：22 年底新能源车渗透率或超35% 光伏组件出口高增,广发证券
108,2021-11-22,中信：汽车智能电动趋势持续加速，把握3条主线,Wind
109,2021-11-21,碳中和行业(电新+环保)周报：美国新能源车刺激政策有望出台 10月新增光伏装机环比增速转正,光大证券
110,2021-11-19,基础材料、电力电气设备、公用事业：工信部强调无效产能防范 新设技术标准门槛促格局优化,新浪
111,2021-11-18,电力设备与新能源行业周报(第四十四周)：电车关注大圆柱电池机会 国常会定调加快新能源基地建设,新浪
112,2021-11-18,EV观察系列：10月新能源销量继续同环比增长,新浪
113,2021-11-17,以近900亿的市值领跑北交所！锂电池负极材料龙头贝特瑞究竟有何过人之处？,Ofweek
114,2021-11-17,汽车行业深度报告：展望2022年新能源汽车增量结构,新浪
115,2021-11-17,璞泰来：公司第二代硅基产品产业化已具备基本条件,每日经济新闻
116,2021-11-17,璞泰来：目前公司硅碳负极材料产品研发已完成第二代，其相应产品在和下游客户进行相应的测试和认证,每日经济新闻
117,2021-11-17,电动车10月月报：行业景气度持续向上 电池技术升级加速,新浪
