63,2021-10-26,汇顶科技：目前没有看到限电政策对公司的直接影响,每日经济新闻
64,2021-10-25,转型阵痛期的汇顶科技，能否重现往日辉煌？,搜狐
65,2021-10-21,华为明天又有重磅会议，鸿蒙是主角，这些上市公司将参会！,Wind
66,2021-10-20,欧菲光三季度业绩预亏，新业务板块尚处起步阶段 预亏,每日财报
67,2021-10-17,一周策略回顾与展望,新浪
68,2021-10-12,大基金持仓|股价自高点累跌近70%！汇顶科技（603160.SH）怎么了？,财华社
69,2021-10-11,汇顶科技(603160.SH)拟向激励对象授予140.01万份股票期权,智通财经
70,2021-10-11,汇顶科技(603160.SH)拟向激励对象授予1546.70万份股票期权,智通财经
71,2021-10-11,汇顶科技(603160.SH)：拟推2021年第二期股票期权激励计划,格隆汇
72,2021-10-08,汇顶科技：9月未回购公司股份,财联社
73,2021-10-08,汇顶科技：累计回购约342万股，占比0.75%,每日经济新闻
74,2021-09-30,2021年深圳市特色产业之集成电路产业全景分析,Ofweek
75,2021-09-29,"汇顶科技现1笔大宗交易 共成交2,925.00万元",新浪
76,2021-09-29,汇顶科技今日大宗交易成交30万股，成交价97.5元折价10.35%,Wind
77,2021-09-28,汇顶科技：汇发国际有限公司减持计划实施完毕，期间减持公司股份约511万股,每日经济新闻
78,2021-09-28,汇顶科技(603160.SH)：汇发国际完成减持1.12%股份 减持股份,格隆汇
79,2021-09-28,汇顶科技：股东汇发国际累计减持1.12%股份，减持计划届满 拟减持股份,Wind
80,2021-09-26,汇顶科技低功耗蓝牙SoC通过PSA安全认证,e公司
81,2021-09-22,汇顶科技(603160.SH)选举冯敬平为职工代表监事,智通财经
82,2021-09-22,汇顶科技今日大宗交易成交15万股，成交价92.5元折价15.06%,Wind
83,2021-09-22,汇顶科技：公司的车规级触控芯片已广泛应用于现在主流的车载显示屏幕,每日经济新闻
84,2021-09-22,汇顶科技：目前没有自建生产线的打算,每日经济新闻
85,2021-09-22,汇顶科技：公司目前没有屏下摄像头相关的解决方案，但会继续保持关注,每日经济新闻
86,2021-09-22,汇顶科技：目前公司的屏下光学指纹方案已在OLED、LCD屏幕积累了丰富的经验,每日经济新闻
